method,path,module,current_status,reason,still_outside_coverage_and_matrix
GET,/v1/ds/tenants/{tenant_id}/demand/forecast,ds,PENDING_INDEPENDENT_OR_MODULE_LEVEL_ADJUDICATION,No new adjudication performed this slice (out of WS2 scope beyond the N01 reconciliation),YES
POST,/v1/ds/tenants/{tenant_id}/demand/recompute,ds,PENDING_INDEPENDENT_OR_MODULE_LEVEL_ADJUDICATION,No new adjudication performed this slice (out of WS2 scope beyond the N01 reconciliation),YES
POST,/v1/ds/tenants/{tenant_id}/pricing/apply,ds,PENDING_INDEPENDENT_OR_MODULE_LEVEL_ADJUDICATION,No new adjudication performed this slice (out of WS2 scope beyond the N01 reconciliation),YES
GET,/v1/ds/tenants/{tenant_id}/customers/{customer_id}/ltv,ds,PENDING_INDEPENDENT_OR_MODULE_LEVEL_ADJUDICATION,No new adjudication performed this slice (out of WS2 scope beyond the N01 reconciliation),YES
POST,/v1/ds/tenants/{tenant_id}/customers/{customer_id}/ltv/recompute,ds,PENDING_INDEPENDENT_OR_MODULE_LEVEL_ADJUDICATION,No new adjudication performed this slice (out of WS2 scope beyond the N01 reconciliation),YES
DELETE,/v1/rag/knowledge-bases/{kb_id},rag,PENDING_INDEPENDENT_OR_MODULE_LEVEL_ADJUDICATION,No new adjudication performed this slice (out of WS2 scope beyond the N01 reconciliation),YES
POST,/v1/rag/knowledge-bases/{kb_id}/documents,rag,PENDING_INDEPENDENT_OR_MODULE_LEVEL_ADJUDICATION,No new adjudication performed this slice (out of WS2 scope beyond the N01 reconciliation),YES
DELETE,/v1/rag/documents/{doc_id},rag,PENDING_INDEPENDENT_OR_MODULE_LEVEL_ADJUDICATION,No new adjudication performed this slice (out of WS2 scope beyond the N01 reconciliation),YES
POST,/v1/rag/documents/{doc_id}/reindex,rag,PENDING_INDEPENDENT_OR_MODULE_LEVEL_ADJUDICATION,No new adjudication performed this slice (out of WS2 scope beyond the N01 reconciliation),YES
PUT,/v1/settings/tenants/{tenant_id}/{key},settings,PENDING_INDEPENDENT_OR_MODULE_LEVEL_ADJUDICATION,No new adjudication performed this slice (out of WS2 scope beyond the N01 reconciliation),YES
DELETE,/v1/settings/tenants/{tenant_id}/{key},settings,PENDING_INDEPENDENT_OR_MODULE_LEVEL_ADJUDICATION,No new adjudication performed this slice (out of WS2 scope beyond the N01 reconciliation),YES
PUT,/v1/notifications/tenants/{tenant_id}/channels/{channel},notifications,PENDING_INDEPENDENT_OR_MODULE_LEVEL_ADJUDICATION,No new adjudication performed this slice (out of WS2 scope beyond the N01 reconciliation),YES
POST,/v1/media/upload/initiate,media,RESOLVED_ADDED_CANONICALLY,Adjudicated with full evidence and added canonically by Slice 2F-31; closed on authorization/privacy grounds by Slice 2F-31A,NO -- now canonical and VERIFIED (in both the canonical CSV and the mutation-enforcement matrix)
POST,/v1/media/upload/{session_id}/confirm,media,RESOLVED_ADDED_CANONICALLY,Adjudicated with full evidence and added canonically by Slice 2F-31; closed on authorization/privacy grounds by Slice 2F-31A,NO -- now canonical and VERIFIED (in both the canonical CSV and the mutation-enforcement matrix)
DELETE,/v1/media/tenants/{tenant_id}/files/{file_id},media,RESOLVED_ADDED_CANONICALLY,Adjudicated with full evidence and added canonically by Slice 2F-31; closed on authorization/privacy grounds by Slice 2F-31A,NO -- now canonical and VERIFIED (in both the canonical CSV and the mutation-enforcement matrix)
POST,/v1/pricing/tenants/{tenant_id}/prices/set,pricing,PENDING_INDEPENDENT_OR_MODULE_LEVEL_ADJUDICATION,No new adjudication performed this slice (out of WS2 scope beyond the N01 reconciliation),YES
PUT,/v1/pricing/tenants/{tenant_id}/brand-adjustment,pricing,PENDING_INDEPENDENT_OR_MODULE_LEVEL_ADJUDICATION,No new adjudication performed this slice (out of WS2 scope beyond the N01 reconciliation),YES
POST,/v1/pricing/tenants/{tenant_id}/zones,pricing,PENDING_INDEPENDENT_OR_MODULE_LEVEL_ADJUDICATION,No new adjudication performed this slice (out of WS2 scope beyond the N01 reconciliation),YES
PUT,/v1/pricing/tenants/{tenant_id}/zones/{zone_id},pricing,PENDING_INDEPENDENT_OR_MODULE_LEVEL_ADJUDICATION,No new adjudication performed this slice (out of WS2 scope beyond the N01 reconciliation),YES
DELETE,/v1/pricing/tenants/{tenant_id}/zones/{zone_id},pricing,PENDING_INDEPENDENT_OR_MODULE_LEVEL_ADJUDICATION,No new adjudication performed this slice (out of WS2 scope beyond the N01 reconciliation),YES
POST,/v1/pricing/tenants/{tenant_id}/rules,pricing,PENDING_INDEPENDENT_OR_MODULE_LEVEL_ADJUDICATION,No new adjudication performed this slice (out of WS2 scope beyond the N01 reconciliation),YES
PUT,/v1/pricing/tenants/{tenant_id}/rules/{rule_id},pricing,PENDING_INDEPENDENT_OR_MODULE_LEVEL_ADJUDICATION,No new adjudication performed this slice (out of WS2 scope beyond the N01 reconciliation),YES
DELETE,/v1/pricing/tenants/{tenant_id}/rules/{rule_id},pricing,PENDING_INDEPENDENT_OR_MODULE_LEVEL_ADJUDICATION,No new adjudication performed this slice (out of WS2 scope beyond the N01 reconciliation),YES
POST,/v1/pricing/compute,pricing,PENDING_INDEPENDENT_OR_MODULE_LEVEL_ADJUDICATION,No new adjudication performed this slice (out of WS2 scope beyond the N01 reconciliation),YES
POST,/v1/commerce/tenants/{tenant_id}/deposit/admin-adjust,commerce,PENDING_INDEPENDENT_OR_MODULE_LEVEL_ADJUDICATION,No new adjudication performed this slice (out of WS2 scope beyond the N01 reconciliation),YES
POST,/v1/commerce/tenants/{tenant_id}/wallet/purchase/initiate,commerce,PENDING_INDEPENDENT_OR_MODULE_LEVEL_ADJUDICATION,No new adjudication performed this slice (out of WS2 scope beyond the N01 reconciliation),YES
POST,/v1/commerce/warranty/claims,commerce,PENDING_INDEPENDENT_OR_MODULE_LEVEL_ADJUDICATION,No new adjudication performed this slice (out of WS2 scope beyond the N01 reconciliation),YES
POST,/v1/commerce/tenants/{tenant_id}/badges/recalculate,commerce,PENDING_INDEPENDENT_OR_MODULE_LEVEL_ADJUDICATION,No new adjudication performed this slice (out of WS2 scope beyond the N01 reconciliation),YES
