route_key,method,path,endpoint,repository_module,router_file,service,model_resource,capability_family_action,permission,protection_status,principal_tenant_source,object_parent_tenant_source,primary_authorization_gap,secondary_gaps,slice_provenance
POST /v1/provider/setup/recommendations,POST,/v1/provider/setup/recommendations,provider_setup_recommendations,app.engines.admin_catalog.recommendation_router,app/engines/admin_catalog/recommendation_router.py,admin_catalog recommendation service,SetupRecommendation,catalog.setup.recommend,require_technician (role only),ROLE_ONLY_NOT_ACCESS_SCOPE_AWARE,role-gated only,not independently audited this slice,missing access-scope-aware guard,none audited this slice beyond guard chain,2F-26 persona sweep
POST /v1/provider/setup/services/{service_id}/supported-options,POST,/v1/provider/setup/services/{service_id}/supported-options,set_supported_options,app.engines.admin_catalog.service_option_provider_router,app/engines/admin_catalog/service_option_provider_router.py,admin_catalog service-option service,ServiceSupportedOption,catalog.service_option.support_set,require_technician (role only),ROLE_ONLY_NOT_ACCESS_SCOPE_AWARE,role-gated only,not independently audited this slice,missing access-scope-aware guard,none audited this slice beyond guard chain,2F-26 persona sweep
POST /v1/rag/query,POST,/v1/rag/query,query,app.engines.rag.router,app/engines/rag/router.py,rag service (_svc),RagQueryLog,rag.query.execute,none (get_current_user only),AUTHENTICATED_ONLY_NO_PERMISSION_CHECK,tenant=u.tenant_id per canonical evidence notes,not independently audited this slice,no role or permission check at all,not independently audited this slice,2F-26 persona sweep
GET /v1/commerce/tenants/{tenant_id}/deposit,GET,/v1/commerce/tenants/{tenant_id}/deposit,get_deposit,app.engines.platform_commerce.router,app/engines/platform_commerce/router.py,CommerceService,SecurityDeposit,commerce.deposit.read,require_tenant_billing_read,PERMISSION_ONLY_NOT_SCOPE_AWARE,path tenant_id (client-supplied); service calls _assert_owns_tenant_deposit(tid) -- directly inspected this slice,service-layer tenant ownership assertion confirmed present (_assert_owns_tenant_deposit),missing access-scope-aware guard only -- cross-tenant already blocked at service layer,none found this slice,2F-26 persona sweep
POST /v1/commerce/tenants/{tenant_id}/deposit/initiate,POST,/v1/commerce/tenants/{tenant_id}/deposit/initiate,initiate_deposit,app.engines.platform_commerce.router,app/engines/platform_commerce/router.py,CommerceService,SecurityDeposit,commerce.deposit.initiate,require_tenant_billing_manage,PERMISSION_ONLY_NOT_SCOPE_AWARE,path tenant_id (client-supplied); service calls _assert_owns_tenant_deposit(tid) -- directly inspected this slice,service-layer tenant ownership assertion confirmed present,missing access-scope-aware guard only,none found this slice,2F-26 persona sweep
GET /v1/commerce/tenants/{tenant_id}/deposit/transactions,GET,/v1/commerce/tenants/{tenant_id}/deposit/transactions,get_deposit_transactions,app.engines.platform_commerce.router,app/engines/platform_commerce/router.py,CommerceService,SecurityDepositTransaction,commerce.deposit.transactions_read,require_tenant_billing_read,PERMISSION_ONLY_NOT_SCOPE_AWARE,path tenant_id (client-supplied); service calls _assert_owns_tenant_deposit(tid) -- directly inspected this slice,service-layer tenant ownership assertion confirmed present,missing access-scope-aware guard only,none found this slice,2F-26 persona sweep
POST /v1/enterprise/saved-views,POST,/v1/enterprise/saved-views,create_saved_view,app.engines.enterprise_grid.router,app/engines/enterprise_grid/router.py,SavedViewService,EnterpriseSavedView,enterprise.saved_view.create,none (get_current_user only),AUTHENTICATED_ONLY_NO_PERMISSION_CHECK,u.tenant_id passed to service; stored on the row,n/a (create -- no existing object),no role/permission or access-scope check; any authenticated role including customer can create,directly inspected -- create has no ownership check needed (new row),2F-26 persona sweep
PUT /v1/enterprise/saved-views/{view_id},PUT,/v1/enterprise/saved-views/{view_id},update_saved_view,app.engines.enterprise_grid.router,app/engines/enterprise_grid/router.py,SavedViewService,EnterpriseSavedView,enterprise.saved_view.update,none (get_current_user only),AUTHENTICATED_ONLY_NO_PERMISSION_CHECK,u.tenant_id passed to service,directly inspected -- SavedViewService.update_view calls get_view (visibility/tenant check) then compares view.owner_user_id == user_id,no role/permission check; object ownership IS enforced at service layer (owner_user_id compare),directly inspected -- ownership check present,2F-26 persona sweep
DELETE /v1/enterprise/saved-views/{view_id},DELETE,/v1/enterprise/saved-views/{view_id},delete_saved_view,app.engines.enterprise_grid.router,app/engines/enterprise_grid/router.py,SavedViewService,EnterpriseSavedView,enterprise.saved_view.delete,none (get_current_user only),AUTHENTICATED_ONLY_NO_PERMISSION_CHECK,u.tenant_id passed to service,directly inspected -- same owner_user_id compare as update,no role/permission check; object ownership IS enforced at service layer,directly inspected -- ownership check present,2F-26 persona sweep
POST /v1/enterprise/saved-views/{view_id}/set-default,POST,/v1/enterprise/saved-views/{view_id}/set-default,set_default_view,app.engines.enterprise_grid.router,app/engines/enterprise_grid/router.py,SavedViewService,EnterpriseSavedView,enterprise.saved_view.set_default,none (get_current_user only),AUTHENTICATED_ONLY_NO_PERMISSION_CHECK,u.tenant_id passed to service,directly inspected -- set_default calls get_view (visibility/tenant check) but does NOT compare owner_user_id before mutating,no role/permission check; PARTIAL ownership gap -- get_view enforces visibility but set_default itself never re-checks ownership before flipping is_default,directly inspected -- weaker than update/delete,2F-26 persona sweep
PUT /v1/enterprise/column-preferences,PUT,/v1/enterprise/column-preferences,save_column_preferences,app.engines.enterprise_grid.router,app/engines/enterprise_grid/router.py,ColumnPreferenceService,EnterpriseColumnPreference,enterprise.column_preference.save,none (get_current_user only),AUTHENTICATED_ONLY_NO_PERMISSION_CHECK,u.tenant_id passed to service,not independently audited this slice (service not read),no role/permission or access-scope check,not independently audited this slice,2F-26 persona sweep
POST /v1/enterprise/exports,POST,/v1/enterprise/exports,create_export,app.engines.enterprise_grid.router,app/engines/enterprise_grid/router.py,ExportService,EnterpriseExportJob,enterprise.export.create,none (get_current_user only),AUTHENTICATED_ONLY_NO_PERMISSION_CHECK,u.tenant_id passed to service,not independently audited this slice (service not read),no role/permission or access-scope check; bulk data export -- privacy/compliance impact,not independently audited this slice,2F-26 persona sweep
DELETE /v1/webhooks/endpoints/{endpoint_id},DELETE,/v1/webhooks/endpoints/{endpoint_id},delete_endpoint,app.engines.webhook.router,app/engines/webhook/router.py,WebhookService,WebhookEndpoint,webhook.endpoint.delete,require_permission(TENANT_UPDATE),PERMISSION_ONLY_NOT_SCOPE_AWARE,tenant_id is a client-supplied Query param -- directly inspected this slice; require_permission does NOT compare it to the caller's own tenant,directly inspected -- WebhookService.delete_endpoint filters WHERE id==endpoint_id AND tenant_id==client_tenant_id (client-asserted; no principal-vs-target check),client-asserted tenant authority: any TENANT_UPDATE holder can delete ANY tenant's webhook endpoint by naming that tenant in the query string,directly inspected -- soft delete (status=DELETED),2F-27A authorized addition
DELETE /v1/geo/zones/{zone_id},DELETE,/v1/geo/zones/{zone_id},delete_zone,app.engines.geo.router,app/engines/geo/router.py,GeoService,ServiceZone,geo.zone.delete,require_permission(TENANT_UPDATE),PERMISSION_ONLY_NOT_SCOPE_AWARE,NO tenant_id parameter exists on this route or in the service call at all -- directly inspected this slice,directly inspected -- GeoService.delete_zone (and update_zone) query WHERE id==zone_id ONLY; zero tenant predicate anywhere,complete absence of tenant/ownership scoping -- worse than the webhook case (no client-supplied tenant_id even exists to compare); any TENANT_UPDATE holder in ANY tenant can deactivate ANY other tenant's zone by ID,directly inspected -- update_zone shares the identical defect (not canonical; noted as an out-of-scope adjacent observation),2F-27A authorized addition
