app,route_type,route,notes
tenant-portal,production,/(tenant)/analytics,+5 subroutes
tenant-portal,production,/(tenant)/reviews,
tenant-portal,production,/(tenant)/dispatch,
tenant-portal,production,/(tenant)/appointments,
tenant-portal,production,/(tenant)/documents,
tenant-portal,production,/(tenant)/media,
tenant-portal,production,/(tenant)/marketing,+2 subroutes
tenant-portal,production,/(tenant)/insights,
tenant-portal,production,/(tenant)/reports,
tenant-portal,production,/(tenant)/notifications,
tenant-portal,production,/(tenant)/chat,
tenant-portal,production,/(tenant)/ai-chat,
tenant-portal,production,/(tenant)/activity,
tenant-portal,production,/(tenant)/users,
tenant-portal,production,/(tenant)/settings,+/engines subroute
tenant-portal,production,/(tenant)/account,+privacy subroutes
tenant-portal,production,/(tenant)/profile,
tenant-portal,production,/(tenant)/onboarding-status,
tenant-portal,production,/(tenant)/setup,+checklist/service-coverage subroutes
tenant-portal,production,/(tenant)/tenant/setup/*,availability/services
tenant-portal,production,/(tenant)/provider/*,~25 subroutes (staff/availability/pricing/offerings/services/etc -- provider-role surface)
tenant-portal,production,/staff/*,~14 routes (dashboard/jobs/chat/activity/etc -- this app ALSO serves an embedded staff-facing surface distinct from mobile/staff-app)
tenant-portal,auth,/login,/staff/login,/register,/forgot-password,/change-password,/change-password-required
tenant-portal,root,/,
tenant-portal,onboarding,/onboarding,
tenant-portal,dev-showcase,/dev/ux-03/*,~22 dev-only showcase routes
tenant-portal,dev-showcase,/dev/ux-04/*,~17 dev-only showcase routes
tenant-portal,dev-showcase,/dev/sample-shell,
mobile/staff-app,production,HomeScreen,
mobile/staff-app,production,JobsListScreen,
mobile/staff-app,production,JobDetailScreen,REAL flow verified live this round (accept action)
mobile/staff-app,production,ChatListScreen,ChatRoomScreen
mobile/staff-app,production,EarningsScreen,points at real service_jobs endpoint per MODULE-L5-36
mobile/staff-app,production,NotificationsScreen,
mobile/staff-app,production,ProfileScreen,
mobile/staff-app,production,LoginScreen,REAL /v1/auth/login verified live this round
mobile/staff-app,production-ux05,ux05/StaffHomeScreen,ux05/CurrentJobScreen,ux05/ScheduleScreen,ux05/StaffWorkQueueScreen,ux05/StaffMoreScreen -- current UX-05 production surface
mobile/staff-app,dev-showcase,ux05/*ShowcaseScreen,8 showcase screens (Accessibility/InspectionChecklist/JobNotesMedia/Localization/OfflineStates/PartsRequest/Quote/StaffPartsApproval/SystemStates/Theme) -- per UX05-BL-001, ~18/30 still pending per backlog
mobile/customer-app,production,HomeScreen,
mobile/customer-app,production,BookingsListScreen,BookingDetailScreen,REAL flow verified live this round
mobile/customer-app,production,ServiceDetailScreen,JobTrackingScreen,
mobile/customer-app,production,DeepSeekChatScreen,SmartBot -- multilingual chat, verify narrowing to EN/HI/PA this round (see smartbot-language-verification.md)
mobile/customer-app,production,ChatScreen,QuoteApprovalScreen,ReviewScreen,InvoiceScreen,
mobile/customer-app,production,AddressBookScreen,PaymentMethodsScreen,ServiceHistoryScreen,
mobile/customer-app,production,NotificationsScreen,ProfileScreen,SettingsScreen,HelpSupportScreen,
mobile/customer-app,auth,LoginScreen,REAL /v1/auth/login verified live this round
