method,path,endpoint_name,module_source_file,auto_classification,dependency_names,guard_status,required_action,verification_level
POST,/v1/provider/brands/services/{service_id}/supported,set_supported_brands,app.engines.admin_catalog.brand_provider_router,TENANT_USER_MUTATION,set_supported_brands|require_technician|get_current_user|_svc|get_db|require_technician|get_current_user,TENANT_MUTATION_ROLE_SCOPE_AWARE,none -- protected via require_staff_or_above_mutation (Slice 2F-36),SLICE_2F36_VERIFIED (live route/guard introspection -- see phase-02a-slice-02f36/frozen-scope-verification.md)
PUT,/v1/provider/business-profile,update_business_profile,app.engines.profile.router,TENANT_USER_MUTATION,update_business_profile|require_technician|get_current_user|_svc_technician|get_db|require_technician|get_current_user,TENANT_MUTATION_ROLE_SCOPE_AWARE,none -- protected via require_staff_or_above_mutation (Slice 2F-36),SLICE_2F36_VERIFIED (live route/guard introspection -- see phase-02a-slice-02f36/frozen-scope-verification.md)
POST,/v1/provider/business-profile/submit-review,submit_business_profile_for_review,app.engines.profile.router,TENANT_USER_MUTATION,submit_business_profile_for_review|require_technician|get_current_user|_svc_technician|get_db|require_technician|get_current_user,TENANT_MUTATION_ROLE_SCOPE_AWARE,none -- protected via require_staff_or_above_mutation (Slice 2F-36),SLICE_2F36_VERIFIED (live route/guard introspection -- see phase-02a-slice-02f36/frozen-scope-verification.md)
POST,/v1/provider/chat/threads,provider_create_thread,app.engines.platform_notifications.provider_router,TENANT_USER_MUTATION,provider_create_thread|require_owner_or_office_staff_mutation|get_current_user|get_db,TENANT_MUTATION_ROLE_SCOPE_AWARE,NONE — protected in Slice 2F-18,RUNTIME_VERIFIED (route+dependency data from live app); per-endpoint domain/ownership semantics not individually hand-reviewed for every row
POST,/v1/provider/chat/threads/{thread_id}/messages,provider_send_message,app.engines.platform_notifications.provider_router,TENANT_USER_MUTATION,provider_send_message|require_owner_or_office_staff_mutation|get_current_user|get_db,TENANT_MUTATION_ROLE_SCOPE_AWARE,NONE — protected in Slice 2F-18,RUNTIME_VERIFIED (route+dependency data from live app); per-endpoint domain/ownership semantics not individually hand-reviewed for every row
POST,/v1/provider/chat/threads/{thread_id}/read,provider_mark_thread_read,app.engines.platform_notifications.provider_router,TENANT_USER_MUTATION,provider_mark_thread_read|require_owner_or_office_staff_mutation|get_current_user|get_db,TENANT_MUTATION_ROLE_SCOPE_AWARE,NONE — protected in Slice 2F-18,RUNTIME_VERIFIED (route+dependency data from live app); per-endpoint domain/ownership semantics not individually hand-reviewed for every row
POST,/v1/provider/coaching-appointments/{appointment_id}/cancel,provider_cancel,app.engines.execution.coaching_router,TENANT_USER_MUTATION,provider_cancel|require_owner_or_office_staff_mutation|get_current_user|get_db,TENANT_MUTATION_ROLE_SCOPE_AWARE,"none -- fixed in Slice 2F-12: require_owner_or_office_staff_mutation applied (technician deliberately excluded, no caller evidence); pre-existing per-appointment staff_member_id assignment ownership check in CoachingAppointmentExecutionService unchanged",SLICE_2F12_VERIFIED (direct HTTP test proof -- see phase-02a-slice-02f12/direct-authorization-idor-test-matrix.csv)
POST,/v1/provider/complaints/{complaint_id}/ai-session/answers,submit_ai_answers,app.engines.complaints.provider_router,TENANT_USER_MUTATION,submit_ai_answers|require_tenant_owner_mutation|get_current_user|get_db,TENANT_MUTATION_ROLE_SCOPE_AWARE,none -- fixed in Slice 2F-9: require_tenant_owner_mutation applied (no COMPLAINT_*/REWORK_*/REFUND_* permission exists to use instead),SLICE_2F9_VERIFIED (direct HTTP test proof -- see phase-02a-slice-02f9/direct-authorization-test-matrix.csv)
POST,/v1/provider/complaints/{complaint_id}/offer-resolution,offer_resolution,app.engines.complaints.provider_router,TENANT_USER_MUTATION,offer_resolution|require_tenant_owner_mutation|get_current_user|get_db,TENANT_MUTATION_ROLE_SCOPE_AWARE,none -- fixed in Slice 2F-9: require_tenant_owner_mutation applied (no COMPLAINT_*/REWORK_*/REFUND_* permission exists to use instead),SLICE_2F9_VERIFIED (direct HTTP test proof -- see phase-02a-slice-02f9/direct-authorization-test-matrix.csv)
POST,/v1/provider/complaints/{complaint_id}/respond,respond_to_complaint,app.engines.complaints.provider_router,TENANT_USER_MUTATION,respond_to_complaint|require_tenant_owner_mutation|get_current_user|get_db,TENANT_MUTATION_ROLE_SCOPE_AWARE,none -- fixed in Slice 2F-9: require_tenant_owner_mutation applied (no COMPLAINT_*/REWORK_*/REFUND_* permission exists to use instead),SLICE_2F9_VERIFIED (direct HTTP test proof -- see phase-02a-slice-02f9/direct-authorization-test-matrix.csv)
POST,/v1/provider/complaints/{complaint_id}/settlement-proposals,create_settlement_proposal,app.engines.complaints.provider_router,TENANT_USER_MUTATION,create_settlement_proposal|require_tenant_owner_mutation|get_current_user|get_db,TENANT_MUTATION_ROLE_SCOPE_AWARE,none -- fixed in Slice 2F-9: require_tenant_owner_mutation applied (no COMPLAINT_*/REWORK_*/REFUND_* permission exists to use instead),SLICE_2F9_VERIFIED (direct HTTP test proof -- see phase-02a-slice-02f9/direct-authorization-test-matrix.csv)
POST,/v1/provider/complaints/{complaint_id}/settlement-proposals/{proposal_id}/respond,respond_to_settlement,app.engines.complaints.provider_router,TENANT_USER_MUTATION,respond_to_settlement|require_tenant_owner_mutation|get_current_user|get_db,TENANT_MUTATION_ROLE_SCOPE_AWARE,none -- fixed in Slice 2F-9: require_tenant_owner_mutation applied (no COMPLAINT_*/REWORK_*/REFUND_* permission exists to use instead),SLICE_2F9_VERIFIED (direct HTTP test proof -- see phase-02a-slice-02f9/direct-authorization-test-matrix.csv)
POST,/v1/provider/compliance/consents/{consent_type}/withdraw,withdraw_consent,app.engines.compliance.provider_router,TENANT_USER_MUTATION,withdraw_consent|get_db|require_tenant_owner_mutation|get_current_user|_svc|get_db|require_technician|get_current_user,TENANT_MUTATION_ROLE_SCOPE_AWARE,NONE — protected in Slice 2F-20,RUNTIME_VERIFIED (route+dependency data from live app); per-endpoint domain/ownership semantics not individually hand-reviewed for every row
POST,/v1/provider/compliance/customer-requests/{request_id}/tenant-response,customer_tenant_response,app.engines.compliance.provider_router,TENANT_USER_MUTATION,customer_tenant_response|get_db|require_tenant_owner_mutation|get_current_user,TENANT_MUTATION_ROLE_SCOPE_AWARE,NONE — protected in Slice 2F-20,RUNTIME_VERIFIED (route+dependency data from live app); per-endpoint domain/ownership semantics not individually hand-reviewed for every row
POST,/v1/provider/compliance/requests,create_my_request,app.engines.compliance.provider_router,TENANT_USER_MUTATION,create_my_request|get_db|require_tenant_owner_mutation|get_current_user|_svc|get_db|require_technician|get_current_user,TENANT_MUTATION_ROLE_SCOPE_AWARE,NONE — protected in Slice 2F-20,RUNTIME_VERIFIED (route+dependency data from live app); per-endpoint domain/ownership semantics not individually hand-reviewed for every row
POST,/v1/provider/compliance/requests/{request_id}/cancel,cancel_my_request,app.engines.compliance.provider_router,TENANT_USER_MUTATION,cancel_my_request|get_db|require_tenant_owner_mutation|get_current_user,TENANT_MUTATION_ROLE_SCOPE_AWARE,NONE — protected in Slice 2F-20,RUNTIME_VERIFIED (route+dependency data from live app); per-endpoint domain/ownership semantics not individually hand-reviewed for every row
POST,/v1/provider/compliance/requests/{request_id}/generate-export,generate_export,app.engines.compliance.provider_router,TENANT_USER_MUTATION,generate_export|get_db|require_tenant_owner_mutation|get_current_user,TENANT_MUTATION_ROLE_SCOPE_AWARE,NONE — protected in Slice 2F-20,RUNTIME_VERIFIED (route+dependency data from live app); per-endpoint domain/ownership semantics not individually hand-reviewed for every row
POST,/v1/provider/compliance/staff-requests/{request_id}/tenant-response,staff_tenant_response,app.engines.compliance.provider_router,TENANT_USER_MUTATION,staff_tenant_response|get_db|require_tenant_owner_mutation|get_current_user,TENANT_MUTATION_ROLE_SCOPE_AWARE,NONE — protected in Slice 2F-20,RUNTIME_VERIFIED (route+dependency data from live app); per-endpoint domain/ownership semantics not individually hand-reviewed for every row
PUT,/v1/provider/marketing/assets/{asset_id}/provider-notes,update_asset_provider_notes,app.engines.marketing_automation.provider_router,TENANT_USER_MUTATION,update_asset_provider_notes|get_current_user|get_db,TENANT_MUTATION_ROLE_SCOPE_AWARE,none -- protected via require_mutation_access_scope (Slice 2F-36),SLICE_2F36_VERIFIED (live route/guard introspection -- see phase-02a-slice-02f36/frozen-scope-verification.md)
POST,/v1/provider/marketing/campaigns/generate-launch,generate_launch_campaign,app.engines.marketing_automation.provider_router,TENANT_USER_MUTATION,generate_launch_campaign|get_current_user|get_db,TENANT_MUTATION_ROLE_SCOPE_AWARE,none -- protected via require_mutation_access_scope (Slice 2F-36),SLICE_2F36_VERIFIED (live route/guard introspection -- see phase-02a-slice-02f36/frozen-scope-verification.md)
POST,/v1/provider/marketing/campaigns/{campaign_id}/submit-review,submit_campaign_review,app.engines.marketing_automation.provider_router,TENANT_USER_MUTATION,submit_campaign_review|get_current_user|get_db,TENANT_MUTATION_ROLE_SCOPE_AWARE,none -- protected via require_mutation_access_scope (Slice 2F-36),SLICE_2F36_VERIFIED (live route/guard introspection -- see phase-02a-slice-02f36/frozen-scope-verification.md)
POST,/v1/provider/notifications/mark-all-read,provider_mark_all_read,app.engines.platform_notifications.provider_router,TENANT_USER_MUTATION,provider_mark_all_read|require_owner_or_office_staff_mutation|get_current_user|get_db,TENANT_MUTATION_ROLE_SCOPE_AWARE,NONE — protected in Slice 2F-18,RUNTIME_VERIFIED (route+dependency data from live app); per-endpoint domain/ownership semantics not individually hand-reviewed for every row
PUT,/v1/provider/notifications/preferences,provider_update_pref,app.engines.platform_notifications.provider_router,TENANT_USER_MUTATION,provider_update_pref|require_owner_or_office_staff_mutation|get_current_user|get_db,TENANT_MUTATION_ROLE_SCOPE_AWARE,NONE — protected in Slice 2F-18,RUNTIME_VERIFIED (route+dependency data from live app); per-endpoint domain/ownership semantics not individually hand-reviewed for every row
POST,/v1/provider/notifications/{notification_id}/read,provider_mark_read,app.engines.platform_notifications.provider_router,TENANT_USER_MUTATION,provider_mark_read|require_owner_or_office_staff_mutation|get_current_user|get_db,TENANT_MUTATION_ROLE_SCOPE_AWARE,NONE — protected in Slice 2F-18,RUNTIME_VERIFIED (route+dependency data from live app); per-endpoint domain/ownership semantics not individually hand-reviewed for every row
POST,/v1/provider/offerings/enabled,enable_offering,app.engines.provider_portal.router,TENANT_USER_MUTATION,enable_offering|get_db|require_tenant_owner_mutation|require_tenant_owner|get_current_user,TENANT_MUTATION_ROLE_SCOPE_AWARE,none -- already access-scope-aware (Slice 2F-2),SLICE_2F2_VERIFIED (direct HTTP test proof -- see phase-02a-slice-02f2/provider-portal-authorization-test-matrix.csv)
PUT,/v1/provider/offerings/enabled/{offering_id},update_enabled_offering,app.engines.provider_portal.router,TENANT_USER_MUTATION,update_enabled_offering|get_db|require_tenant_owner_mutation|require_tenant_owner|get_current_user,TENANT_MUTATION_ROLE_SCOPE_AWARE,none -- already access-scope-aware (Slice 2F-2),SLICE_2F2_VERIFIED (direct HTTP test proof -- see phase-02a-slice-02f2/provider-portal-authorization-test-matrix.csv)
POST,/v1/provider/offerings/enabled/{offering_id}/activate,activate_offering,app.engines.provider_portal.router,TENANT_USER_MUTATION,activate_offering|get_db|require_tenant_owner_mutation|require_tenant_owner|get_current_user,TENANT_MUTATION_ROLE_SCOPE_AWARE,none -- already access-scope-aware (Slice 2F-2),SLICE_2F2_VERIFIED (direct HTTP test proof -- see phase-02a-slice-02f2/provider-portal-authorization-test-matrix.csv)
POST,/v1/provider/offerings/enabled/{offering_id}/deactivate,deactivate_offering,app.engines.provider_portal.router,TENANT_USER_MUTATION,deactivate_offering|get_db|require_tenant_owner_mutation|require_tenant_owner|get_current_user,TENANT_MUTATION_ROLE_SCOPE_AWARE,none -- already access-scope-aware (Slice 2F-2),SLICE_2F2_VERIFIED (direct HTTP test proof -- see phase-02a-slice-02f2/provider-portal-authorization-test-matrix.csv)
POST,/v1/provider/offerings/enabled/{offering_id}/refresh-readiness,refresh_offering_readiness,app.engines.provider_portal.router,TENANT_USER_MUTATION,refresh_offering_readiness|get_db|require_tenant_owner_mutation|require_tenant_owner|get_current_user,TENANT_MUTATION_ROLE_SCOPE_AWARE,none -- already access-scope-aware (Slice 2F-2),SLICE_2F2_VERIFIED (direct HTTP test proof -- see phase-02a-slice-02f2/provider-portal-authorization-test-matrix.csv)
POST,/v1/provider/onboarding/refresh,refresh_onboarding,app.engines.provider_portal.router,TENANT_USER_MUTATION,refresh_onboarding|get_db|require_tenant_owner_mutation|require_tenant_owner|get_current_user,TENANT_MUTATION_ROLE_SCOPE_AWARE,none -- already access-scope-aware (Slice 2F-2),SLICE_2F2_VERIFIED (direct HTTP test proof -- see phase-02a-slice-02f2/provider-portal-authorization-test-matrix.csv)
POST,/v1/provider/profile/logo,upload_provider_logo,app.engines.media.new_router,TENANT_USER_MUTATION,upload_provider_logo|require_technician|get_current_user|_svc|get_db|get_current_user,STAFF_EXECUTION_ROLE_SCOPE_AWARE,none -- closed by Slice 2F-31 (N01): require_staff_or_above_mutation access-scope guard (same role set as require_technician) in front of the pre-existing MediaAccessService ownership chain,RUNTIME_VERIFIED + service evidence (Slice 2F-31): access-scope gated; tenant server-derived from actor; MediaAccessService.assert_can_view/replace ownership preserved
DELETE,/v1/provider/profile/logo,remove_provider_logo,app.engines.media.new_router,TENANT_USER_MUTATION,remove_provider_logo|require_technician|get_current_user|_svc|get_db|get_current_user,STAFF_EXECUTION_ROLE_SCOPE_AWARE,none -- closed by Slice 2F-31 (N01): require_staff_or_above_mutation access-scope guard (same role set as require_technician) in front of the pre-existing MediaAccessService ownership chain,RUNTIME_VERIFIED + service evidence (Slice 2F-31): access-scope gated; tenant server-derived from actor; MediaAccessService.assert_can_view/replace ownership preserved
POST,/v1/provider/profile/shop-photo,upload_provider_shop_photo,app.engines.media.new_router,TENANT_USER_MUTATION,upload_provider_shop_photo|require_technician|get_current_user|_svc|get_db|get_current_user,STAFF_EXECUTION_ROLE_SCOPE_AWARE,none -- closed by Slice 2F-31 (N01): require_staff_or_above_mutation access-scope guard (same role set as require_technician) in front of the pre-existing MediaAccessService ownership chain,RUNTIME_VERIFIED + service evidence (Slice 2F-31): access-scope gated; tenant server-derived from actor; MediaAccessService.assert_can_view/replace ownership preserved
DELETE,/v1/provider/profile/shop-photo,remove_provider_shop_photo,app.engines.media.new_router,TENANT_USER_MUTATION,remove_provider_shop_photo|require_technician|get_current_user|_svc|get_db|get_current_user,STAFF_EXECUTION_ROLE_SCOPE_AWARE,none -- closed by Slice 2F-31 (N01): require_staff_or_above_mutation access-scope guard (same role set as require_technician) in front of the pre-existing MediaAccessService ownership chain,RUNTIME_VERIFIED + service evidence (Slice 2F-31): access-scope gated; tenant server-derived from actor; MediaAccessService.assert_can_view/replace ownership preserved
POST,/v1/provider/refund-requests/{refund_id}/review,review_refund,app.engines.complaints.provider_router,TENANT_USER_MUTATION,review_refund|require_tenant_owner_mutation|get_current_user|get_db,TENANT_MUTATION_ROLE_SCOPE_AWARE,none -- fixed in Slice 2F-9: require_tenant_owner_mutation applied (no COMPLAINT_*/REWORK_*/REFUND_* permission exists to use instead),SLICE_2F9_VERIFIED (direct HTTP test proof -- see phase-02a-slice-02f9/direct-authorization-test-matrix.csv)
POST,/v1/provider/reports/run,provider_run_report,app.engines.analytics.provider_router,TENANT_USER_MUTATION,provider_run_report|get_current_user|get_db,TENANT_MUTATION_ROLE_SCOPE_AWARE,none -- protected via require_mutation_access_scope (Slice 2F-36),SLICE_2F36_VERIFIED (live route/guard introspection -- see phase-02a-slice-02f36/frozen-scope-verification.md)
POST,/v1/provider/reviews/{review_id}/flag,flag_review,app.engines.customer_reviews.provider_router,TENANT_USER_MUTATION,flag_review|get_db|require_tenant_owner_mutation|get_current_user,TENANT_MUTATION_ROLE_SCOPE_AWARE,NONE -- protected in Slice 2F-24 (persona + mutation scope + central scoped ownership lookup),RUNTIME_VERIFIED + full ownership/actor/state/alternate-route review (Slice 2F-24)
POST,/v1/provider/reviews/{review_id}/reply,submit_reply,app.engines.customer_reviews.provider_router,TENANT_USER_MUTATION,submit_reply|get_db|require_tenant_owner_mutation|get_current_user,TENANT_MUTATION_ROLE_SCOPE_AWARE,NONE -- protected in Slice 2F-24 (persona + mutation scope + central scoped ownership lookup),RUNTIME_VERIFIED + full ownership/actor/state/alternate-route review (Slice 2F-24)
POST,/v1/provider/rework-requests/{rework_id}/complete,complete_rework,app.engines.complaints.provider_router,TENANT_USER_MUTATION,complete_rework|require_tenant_owner_mutation|get_current_user|get_db,TENANT_MUTATION_ROLE_SCOPE_AWARE,none -- fixed in Slice 2F-9: require_tenant_owner_mutation applied (no COMPLAINT_*/REWORK_*/REFUND_* permission exists to use instead),SLICE_2F9_VERIFIED (direct HTTP test proof -- see phase-02a-slice-02f9/direct-authorization-test-matrix.csv)
POST,/v1/provider/rework-requests/{rework_id}/schedule,schedule_rework,app.engines.complaints.provider_router,TENANT_USER_MUTATION,schedule_rework|require_tenant_owner_mutation|get_current_user|get_db,TENANT_MUTATION_ROLE_SCOPE_AWARE,none -- fixed in Slice 2F-9: require_tenant_owner_mutation applied (no COMPLAINT_*/REWORK_*/REFUND_* permission exists to use instead),SLICE_2F9_VERIFIED (direct HTTP test proof -- see phase-02a-slice-02f9/direct-authorization-test-matrix.csv)
POST,/v1/provider/rework-requests/{rework_id}/start,start_rework,app.engines.complaints.provider_router,TENANT_USER_MUTATION,start_rework|require_tenant_owner_mutation|get_current_user|get_db,TENANT_MUTATION_ROLE_SCOPE_AWARE,none -- fixed in Slice 2F-9: require_tenant_owner_mutation applied (no COMPLAINT_*/REWORK_*/REFUND_* permission exists to use instead),SLICE_2F9_VERIFIED (direct HTTP test proof -- see phase-02a-slice-02f9/direct-authorization-test-matrix.csv)
PUT,/v1/provider/service-areas/{area_id}/coverage,set_area_coverage,app.engines.provider_portal.router,TENANT_USER_MUTATION,set_area_coverage|get_db|require_tenant_mutation_tenant_service_area_service_update|get_current_user,TENANT_MUTATION_PERMISSION_SCOPE_AWARE,none -- already access-scope-aware (Slice 2F-2),SLICE_2F2_VERIFIED (direct HTTP test proof -- see phase-02a-slice-02f2/provider-portal-authorization-test-matrix.csv)
POST,/v1/provider/service-invoices/{invoice_id}/issue,provider_issue_invoice,app.engines.invoice_payment.provider_router,TENANT_USER_MUTATION,provider_issue_invoice|require_tenant_mutation_field_ops_invoice_gen|get_current_user|get_db,TENANT_MUTATION_PERMISSION_SCOPE_AWARE,none -- already fixed in Slice 2F-6A; canonical CSV was stale (see phase-02a-slice-02f17/),SLICE_2F17_RECONCILED (runtime tool confirmed 0 unverified for app.engines.invoice_payment.provider_router)
POST,/v1/provider/service-invoices/{invoice_id}/record-payment,provider_record_payment,app.engines.invoice_payment.provider_router,TENANT_USER_MUTATION,provider_record_payment|require_owner_or_office_staff_mutation|get_current_user|get_db,STAFF_EXECUTION_ROLE_SCOPE_AWARE,none -- already fixed in Slice 2F-6A; canonical CSV was stale (see phase-02a-slice-02f17/),SLICE_2F17_RECONCILED (runtime tool confirmed 0 unverified for app.engines.invoice_payment.provider_router)
POST,/v1/provider/service-jobs/{job_id}/assign,assign_job,app.engines.home_service_assignment.provider_router,TENANT_USER_MUTATION,assign_job|require_tenant_owner_mutation|require_tenant_owner|get_current_user|get_db,TENANT_MUTATION_ROLE_SCOPE_AWARE,none -- already access-scope-aware (Slice 2F-3B),SLICE_2F3B_VERIFIED (see phase-02a-slice-02f3b/final-live-route-inventory.csv)
POST,/v1/provider/service-jobs/{job_id}/cancel,provider_cancel_job,app.engines.execution.home_service_router,TENANT_USER_MUTATION,provider_cancel_job|require_staff_or_above_mutation|require_staff_or_above|get_current_user|get_db,STAFF_EXECUTION_ROLE_SCOPE_AWARE,none -- already access-scope-aware (Slice 2F-3B),SLICE_2F3B_VERIFIED (see phase-02a-slice-02f3b/final-live-route-inventory.csv)
POST,/v1/provider/service-jobs/{job_id}/cancel-assignment,cancel_assignment,app.engines.home_service_assignment.provider_router,TENANT_USER_MUTATION,cancel_assignment|require_tenant_owner_mutation|require_tenant_owner|get_current_user|get_db,TENANT_MUTATION_ROLE_SCOPE_AWARE,none -- already access-scope-aware (Slice 2F-3B),SLICE_2F3B_VERIFIED (see phase-02a-slice-02f3b/final-live-route-inventory.csv)
POST,/v1/provider/service-jobs/{job_id}/parts-requests/{parts_request_id}/approve,provider_approve_parts_request,app.engines.execution.home_service_router,TENANT_USER_MUTATION,provider_approve_parts_request|require_staff_or_above_mutation|require_staff_or_above|get_current_user|get_db,STAFF_EXECUTION_ROLE_SCOPE_AWARE,none -- already access-scope-aware (Slice 2F-3B),SLICE_2F3B_VERIFIED (see phase-02a-slice-02f3b/final-live-route-inventory.csv)
POST,/v1/provider/service-jobs/{job_id}/parts-requests/{parts_request_id}/install,provider_install_parts_request,app.engines.execution.home_service_router,TENANT_USER_MUTATION,provider_install_parts_request|require_staff_or_above_mutation|require_staff_or_above|get_current_user|get_db,STAFF_EXECUTION_ROLE_SCOPE_AWARE,none -- already access-scope-aware (Slice 2F-3B),SLICE_2F3B_VERIFIED (see phase-02a-slice-02f3b/final-live-route-inventory.csv)
POST,/v1/provider/service-jobs/{job_id}/parts-requests/{parts_request_id}/reject,provider_reject_parts_request,app.engines.execution.home_service_router,TENANT_USER_MUTATION,provider_reject_parts_request|require_staff_or_above_mutation|require_staff_or_above|get_current_user|get_db,STAFF_EXECUTION_ROLE_SCOPE_AWARE,none -- already access-scope-aware (Slice 2F-3B),SLICE_2F3B_VERIFIED (see phase-02a-slice-02f3b/final-live-route-inventory.csv)
POST,/v1/provider/service-jobs/{job_id}/reassign,reassign_job,app.engines.home_service_assignment.provider_router,TENANT_USER_MUTATION,reassign_job|require_tenant_owner_mutation|require_tenant_owner|get_current_user|get_db,TENANT_MUTATION_ROLE_SCOPE_AWARE,none -- already access-scope-aware (Slice 2F-3B),SLICE_2F3B_VERIFIED (see phase-02a-slice-02f3b/final-live-route-inventory.csv)
POST,/v1/provider/service-jobs/{job_id}/schedule,schedule_job,app.engines.home_service_assignment.provider_router,TENANT_USER_MUTATION,schedule_job|require_tenant_owner_mutation|require_tenant_owner|get_current_user|get_db,TENANT_MUTATION_ROLE_SCOPE_AWARE,none -- already access-scope-aware (Slice 2F-3B),SLICE_2F3B_VERIFIED (see phase-02a-slice-02f3b/final-live-route-inventory.csv)
POST,/v1/provider/setup/recommendations,provider_setup_recommendations,app.engines.admin_catalog.recommendation_router,TENANT_USER_MUTATION,provider_setup_recommendations|get_db|require_technician|get_current_user,TENANT_MUTATION_ROLE_SCOPE_AWARE,none -- protected via require_staff_or_above_mutation (Slice 2F-36),SLICE_2F36_VERIFIED (live route/guard introspection -- see phase-02a-slice-02f36/frozen-scope-verification.md)
POST,/v1/provider/setup/services/{service_id}/supported-options,set_supported_options,app.engines.admin_catalog.service_option_provider_router,TENANT_USER_MUTATION,set_supported_options|require_technician|get_current_user|_svc|get_db|require_technician|get_current_user,TENANT_MUTATION_ROLE_SCOPE_AWARE,none -- protected via require_staff_or_above_mutation (Slice 2F-36),SLICE_2F36_VERIFIED (live route/guard introspection -- see phase-02a-slice-02f36/frozen-scope-verification.md)
POST,/v1/provider/status/refresh,refresh_provider_status,app.engines.provider_portal.router,TENANT_USER_MUTATION,refresh_provider_status|get_db|require_tenant_owner_mutation|require_tenant_owner|get_current_user,TENANT_MUTATION_ROLE_SCOPE_AWARE,none -- already access-scope-aware (Slice 2F-2),SLICE_2F2_VERIFIED (direct HTTP test proof -- see phase-02a-slice-02f2/provider-portal-authorization-test-matrix.csv)
