router_module,domain,total_endpoints,fully_protected,role_only,permission_only,unverified_authenticated_only,pct_fully_protected,verification_level
app.engines.compliance.provider_router,DPDP compliance requests,6,6,0,0,0,100%,RUNTIME_VERIFIED (live route+dependency introspection) — protected in Slice 2F-20
app.engines.media.new_router,Media/profile photo upload,9,9,9,0,0,100%,"SLICE_2F31A_VERIFIED (N01 full closure: the 2 remaining customer-capable routes (upload, replace) now use the new minimal require_mutation_access_scope helper -- same admitted roles, adds read-only access-scope denial, no new permission. All 9 Set A routes now TENANT_MUTATION_ROLE_SCOPE_AWARE or FULLY_PROTECTED. See phase-02a-slice-02f31a/)"
app.engines.field_ops.staff_router,Staff/technician self-service job actions on field_ops.Job (my jobs/status/checklist),6,6,0,0,0,100%,"SLICE_2F14_VERIFIED (SECURITY_DOMAIN_INTEGRITY_AND_PRIVACY_CLOSED: all 6 routes were already gated by a correct pre-existing inline `if u.role not in (\staff\""","\""technician\"")` check in the shared _svc dependency factory", but that check was INVISIBLE to dependency-name-based runtime introspection -- extracted into a named dependency require_staff_or_technician_only (app/dependencies/auth.py) with identical policy, now recognized as STAFF_EXECUTION_ROLE_SCOPE_AWARE. Object-ownership/assignment enforcement (_get_job_for_staff_action, _assert_assigned) was already correct and unchanged. Also fixed a genuine completion-gate integrity defect in the connected service method update_job_checklist_item: no status guard previously existed, allowing mutation of a checklist item after complete_job_checklist had already finalized the checklist (or the job had progressed further) -- now requires job.status == CHECKLIST_STARTED," mirroring complete_job_checklist's own precondition. See phase-02a-slice-02f14/)"""
app.engines.field_ops.router,Tenant/provider job actions on field_ops.Job -- 28 of 28 routes now guard-verified (execution alternates + assign/status + financial/void + creation/conversion/quotes + notes/media),28,28,0,0,0,100%,"SLICE_2F14C_VERIFIED (closes the final 2 of Slice 2F-14B's remaining gap. add_note/add_media had a real service-level ownership fix from Slice 2F-14A (_assert_can_access_job + customer denial + server-derived tenant_id) that was never tool-visible because it lived entirely inside the service method with no router-level named dependency -- fixed this slice by adding require_staff_or_above_mutation (excludes customer, denies read-only tenant access-scope) at the router, in front of the unmodified service-level object-ownership checks. This closes the field_ops.router module: all 28 mounted mutations are now runtime-tool-verified protected. See phase-02a-slice-02f14c/)"
app.engines.field_ops.checklist_router,Tenant checklist templates,6,6,0,0,0,100%,"SLICE_2F13_VERIFIED (SECURITY_AND_DOMAIN_INTEGRITY_CLOSED: 6 tenant checklist-TEMPLATE mutations were require_permission(FIELD_OPS_CHECKLIST_MANAGE) only (PERMISSION_ONLY_NOT_SCOPE_AWARE); now require_tenant_mutation_permission = TENANT_OWNER_TEMPLATE_MUTATION (permission tenant_owner-only by default grant, no permission added). A cross-tenant IDOR was also found+fixed: ChecklistTemplateService._get_template_for_tenant only enforced tenant ownership for actor_role=='tenant_owner', letting a staff member granted the permission via override reach any tenant's template by ID -- now enforced for every tenant-scoped actor. Router manages ServiceChecklistTemplate/Item only (catalog templates); per-job JobChecklistItem execution + completion gating live in field_ops.service.py/staff_router (distinct model, out of scope). See phase-02a-slice-02f13/)"
app.engines.invoice_payment.provider_router,Provider invoices/wallet/subscription,4,4,0,0,0,100%,SLICE_2F6_VERIFIED (SECURITY_CLOSED_PRODUCT_POLICY_BLOCKED: provider_issue_invoice guarded by require_tenant_mutation_permission(FIELD_OPS_INVOICE_GEN) = TENANT_OWNER_SELF_SERVICE; provider_record_payment + staff_create_invoice + staff_add_invoice_item guarded by require_staff_or_above_mutation = TENANT_OWNER_OR_DELEGATED_STAFF/DELEGATED_STAFF_MUTATION; all 4 previously AUTHENTICATED_ONLY_NO_PERMISSION_CHECK; see phase-02a-slice-02f6/)
app.engines.home_service_assignment.provider_router,Technician assignment (provider side),4,4,0,0,0,100%,SLICE_2F3B_VERIFIED (SECURITY_CLOSED: all 4 require_tenant_owner_mutation-guarded; see phase-02a-slice-02f3b/)
app.engines.profile.router,Tenant/staff profile self-service (technician-self-service subset; universal self-service PUT /v1/me/profile tracked separately, mixed persona),3,3,0,0,0,100%,SLICE_2F36_VERIFIED (all 3 now require_staff_or_above_mutation)
app.engines.marketing_automation.provider_router,Marketing campaigns,3,3,0,0,0,100%,SLICE_2F36_VERIFIED (all 3 now require_mutation_access_scope)
app.engines.admin_catalog.brand_provider_router,Canonical brand operations,2,2,0,0,0,100%,SLICE_2F36_VERIFIED (both now require_staff_or_above_mutation)
app.engines.customer_reviews.provider_router,Provider review replies,2,0,0,0,2,0%,RUNTIME_VERIFIED (live route+dependency introspection)
app.engines.home_service_assignment.staff_router,Technician assignment (staff/technician side),2,2,0,0,0,100%,SLICE_2F3B_VERIFIED (SECURITY_CLOSED: both require_staff_or_above_mutation-guarded + new tenant defense-in-depth; canonical winner of the Slice 2F-3A/3B shadowed-route closure; see phase-02a-slice-02f3b/)
app.engines.analytics.provider_router,Analytics/KB,1,1,0,0,0,100%,SLICE_2F36_VERIFIED (provider_run_report now require_mutation_access_scope)
app.engines.admin_catalog.recommendation_router,Recommendation rules (provider setup),1,1,0,0,0,100%,SLICE_2F36_VERIFIED (provider_setup_recommendations now require_staff_or_above_mutation)
app.engines.admin_catalog.service_option_provider_router,Service options/setup,1,1,0,0,0,100%,SLICE_2F36_VERIFIED (set_supported_options now require_staff_or_above_mutation)
app.engines.package_commerce.tenant_router,Package/security-deposit tenant view,1,0,1,0,0,0%,RUNTIME_VERIFIED (live route+dependency introspection)
app.engines.webhook.router,Webhook endpoints (integration),1,1,0,0,0,100%,SLICE_2F35_VERIFIED (delete_endpoint closed: require_tenant_mutation_permission(TENANT_UPDATE) + WebhookService._require_trusted_tenant server-derived scoping. See phase-02a-slice-02f35/)
app.engines.geo.router,Geo service zones,3,3,0,0,0,100%,SLICE_2F33_VERIFIED (geo_zone_management closure: delete_zone closed require_tenant_mutation_permission(TENANT_UPDATE) + GeoService._require_trusted_tenant server-derived scoping; create_zone and update_location adjudicated TENANT_PROVIDER_MUTATION_ADD from the 2F-27a held registry (rows 28/29) and closed in the same slice. All 3 routes TENANT_MUTATION_PERMISSION_SCOPE_AWARE or TENANT_MUTATION_ROLE_SCOPE_AWARE. See phase-02a-slice-02f33/)
app.engines.auth.router,Identity/credential + tenant staff mutation (M01),12,12,0,0,0,100%,"SLICE_2F29_VERIFIED (M01 closure: 6 tenant mutations moved from require_permission to require_tenant_mutation_permission = TENANT_MUTATION_PERMISSION_SCOPE_AWARE; impersonate = PLATFORM_ADMIN_ONLY (AuthService enforces super_admin); 5 self-service credential/profile routes = FULLY_PROTECTED (act only on the token principal with credential proof). Two service-layer defects fixed: update_permissions foreign-tenant existence oracle -> NotFound, and unvalidated StaffPermission keys on both update_permissions and invite_staff -> registry-validated. The separate /v1/security/api-keys subsystem (APIKey -> tenant_api_keys) is untouched. See phase-02a-slice-02f29/)"
app.engines.media.router,Media files/upload sessions (Set B adjudication),3,3,3,0,0,100%,"SLICE_2F31A_VERIFIED (N01 residual closure: MediaService now requires actor_role/actor_tenant_id trusted context on initiate_upload, confirm_upload and delete_file; client-asserted tenant is compared to the principal, never trusted directly; foreign session/file failures are non-oracular. See phase-02a-slice-02f31a/)"
TOTAL,,182 (unchanged this slice -- no denominator correction; runtime-reconfirmed),106,,,,58.2%,"Slice 2F-9 reconciliation: 97/182 confirmed as the pre-slice baseline (Slice 2F-8). This slice newly protected all 9 app.engines.complaints.provider_router mutations (previously AUTHENTICATED_ONLY_NO_PERMISSION_CHECK -- zero role/permission/access-scope guard of any kind) via require_tenant_owner_mutation, no permission granted. 97 + 9 = 106/182. Also fixed 3 directly-connected cross-tenant service-layer bypasses (create_settlement_proposal, ServiceReworkService._get_rework, RefundRequestService._get_refund) as defense-in-depth, not a coverage-count change. See phase-02a-slice-02f9/global-coverage-update.md for the full reconciliation detail."
app.engines.booking.router,Customer/tenant-assisted booking creation and full mutation lifecycle (create/confirm/reject/convert/cancel/reschedule/notes),11,10,0,0,0,91%,"SLICE_2F15C_VERIFIED (SECURITY_DOMAIN_INTEGRITY_AND_PRIVACY_CLOSED. This module-level row counts all 11 MOUNTED mutation-method routes (a different convention than the tenant-only canonical CSV -- see phase-02a-slice-02f15c/canonical-csv-structure.md); of these, 1 is booking_preflight, a confirmed FALSE_POSITIVE_NON_MUTATION (zero persistence, exempted from the runtime tool's fail-closed check, hence 10/11 rather than 11/11 in this row's own protected/total convention). Per-route persona (Slice 2F-15C, corrects 2F-15B's contradictory dual-labeling): 6 TENANT_PROVIDER_MUTATION (confirm_booking, reject_booking, convert_to_job, accept_reschedule, reject_reschedule, add_note -- these 6 alone enter the canonical tenant-facing X/Y denominator, all protected), 3 CUSTOMER_SELF_SERVICE_MUTATION (create_booking, cancel_booking, request_reschedule -- protected via require_tenant_mutation_permission, but excluded from the tenant denominator since they are reachable by the customer persona), 1 PLATFORM_INTERNAL_MUTATION (void_booking, require_super_admin, excluded from the tenant denominator). Slice 2F-15C also bound every Booking creation-provenance query's actor identity explicitly to Booking.customer_id (changed_by == Booking.customer_id), closing the theoretical gap where role equality (changed_by_role=='customer') alone could not prove the acting user WAS this Booking's own customer. Runtime tool reports 0 unverified, exit 0, with a persona-breakdown + drift check (BOOKING_ROUTE_PERSONA). See phase-02a-slice-02f15c/)"
app.engines.rag.router,RAG query/knowledge-base/document mutations,5,5,0,0,0,100%,"SLICE_2F35_VERIFIED (query closed as Set A; delete_kb/ingest_document/delete_document/reindex_document adjudicated TENANT_PROVIDER_MUTATION_ADD and closed as Set B; all scoped via RAGService._require_trusted_tenant / _get_kb_trusted. Set C read routes (get_kb, list_kbs, update_kb, search, list_documents, etc.) untouched. See phase-02a-slice-02f35/)"
app.engines.security.router,Tenant API-key rotate/revoke,2,2,0,0,0,100%,SLICE_2F35_VERIFIED (rotate_api_key/revoke_api_key adjudicated TENANT_PROVIDER_MUTATION_ADD and closed; require_tenant_mutation_permission(TENANT_UPDATE) + SecurityService._require_trusted_tenant server-derived scoping. See phase-02a-slice-02f35/)
app.engines.document.router,Document generate/send/void,3,3,0,0,0,100%,SLICE_2F35_VERIFIED (generate_doc/send_for_signature/void_document adjudicated TENANT_PROVIDER_MUTATION_ADD and closed; require_tenant_mutation_permission(TENANT_UPDATE) + DocumentService._require_trusted_tenant server-derived scoping. See phase-02a-slice-02f35/)
app.engines.enterprise_grid.router,Saved views/column preferences/exports (enterprise_grid_saved_views + enterprise_grid_preferences_exports),6,6,0,0,0,100%,SLICE_2F36_VERIFIED (create/update/delete_saved_view + set_default_view + save_column_preferences + create_export all require_mutation_access_scope; set_default additionally hardened with an explicit owner_user_id re-check. See phase-02a-slice-02f36/)
app.engines.chat.router,Chat message send (held: chat),1,1,0,0,0,100%,SLICE_2F36_VERIFIED (send_message adjudicated TENANT_PROVIDER_MUTATION_ADD; require_mutation_access_scope + ChatService._require_trusted_tenant + _require_participant for customer principals. See phase-02a-slice-02f36/)
app.engines.inventory.router,Inventory item/stock/reservation mutations (held: inventory),5,5,0,0,0,100%,SLICE_2F36_VERIFIED (create_item/receive_stock/create_reservation/confirm_reservation/release_reservation adjudicated TENANT_PROVIDER_MUTATION_ADD; require_tenant_mutation_permission(TENANT_UPDATE) + InventoryService._require_trusted_tenant + tenant-scoped reservation lookups. See phase-02a-slice-02f36/)
app.engines.appointment.router,Appointment confirm/cancel/reschedule/no-show + calendar/working-hours (held: appointments),7,7,0,0,0,100%,SLICE_2F36_VERIFIED (confirm_hold/cancel_appointment/reschedule adjudicated TENANT_PROVIDER_MUTATION_ADD via require_mutation_access_scope + _assert_appt_access; mark_no_show/block_calendar/unblock_calendar/set_working_hours via require_tenant_mutation_permission(TENANT_UPDATE) + _require_trusted_tenant/tenant ownership check. See phase-02a-slice-02f36/)
app.engines.service_catalog.router,Service catalog item create/update (held: catalog),2,2,0,0,0,100%,SLICE_2F36_VERIFIED (create_item/update_item adjudicated TENANT_PROVIDER_MUTATION_ADD; require_tenant_mutation_permission(TENANT_UPDATE) + ServiceCatalogService._require_trusted_tenant + tenant ownership check on update. See phase-02a-slice-02f36/)
app.engines.dispatch.router,Job dispatch/reassign (held: dispatch),2,2,0,0,0,100%,SLICE_2F36_VERIFIED (dispatch_job/reassign adjudicated TENANT_PROVIDER_MUTATION_ADD; require_tenant_mutation_permission(TENANT_UPDATE) + DispatchService._require_trusted_tenant + job/record tenant cross-check. See phase-02a-slice-02f36/)
app.engines.data_science.router,Demand recompute/pricing apply/customer LTV (held: ds; 2 of 6 held ds routes -- churn/score, demand/forecast -- are READ_ONLY_EXCLUDE and not counted here),4,4,0,0,0,100%,SLICE_2F36_VERIFIED (trigger_recompute/apply_pricing via require_tenant_mutation_permission(TENANT_UPDATE); customer_ltv (mutating GET)/recompute_ltv via require_mutation_access_scope; all via DSService._require_trusted_tenant. See phase-02a-slice-02f36/)
app.engines.settings_engine.router,Tenant setting set/delete (held: settings),2,2,0,0,0,100%,SLICE_2F36_VERIFIED (set_tenant/delete_tenant adjudicated TENANT_PROVIDER_MUTATION_ADD; require_tenant_mutation_permission(TENANT_UPDATE) + SettingsService._require_trusted_tenant. See phase-02a-slice-02f36/)
app.engines.notification.router,Tenant notification channel config (held: notifications),1,1,0,0,0,100%,SLICE_2F36_VERIFIED (set_channel adjudicated TENANT_PROVIDER_MUTATION_ADD; require_tenant_mutation_permission(TENANT_UPDATE) + NotificationService._require_trusted_tenant. See phase-02a-slice-02f36/)
app.engines.platform_commerce.router,Security deposit Set A + wallet purchase/warranty claim/badges recalculate (held: commerce),6,6,0,0,0,100%,SLICE_2F37_VERIFIED (3 Set A deposit routes + wallet/purchase/initiate + warranty/claims + badges/recalculate all closed; require_tenant_mutation_permission/require_mutation_access_scope + CommerceService._assert_owns_tenant_deposit or parent-job ownership check. deposit/admin-adjust adjudicated PLATFORM_ADMIN_EXCLUDE, not counted here. See phase-02a-slice-02f37/)
app.engines.pricing.router,Tenant price/brand-adjustment/zone/rule mutations + price compute (held: pricing),9,9,0,0,0,100%,SLICE_2F37_VERIFIED (all 9 adjudicated TENANT_PROVIDER_MUTATION_ADD; require_tenant_mutation_permission(TENANT_UPDATE) or require_mutation_access_scope (compute_price) + PricingService._require_trusted_tenant; update_zone/delete_zone/update_rule/delete_rule additionally gained a tenant-ownership check where previously ZERO tenant scoping existed. See phase-02a-slice-02f37/)
app.engines.payment.router,Tenant payout request (held: payments),1,1,0,0,0,100%,SLICE_2F37_VERIFIED_PRODUCT_POLICY_BLOCKED (request_payout adjudicated TENANT_PROVIDER_MUTATION_ADD; tenant_id trust closed via require_tenant_mutation_permission + PaymentService._require_trusted_tenant; requested amount remains client-supplied with no authoritative balance ledger -- open PRODUCT_DECISION_REQUIRED financial-integrity gap. See phase-02a-slice-02f37/)
app.engines.subscription.router,Tenant subscription plan change (held: subscriptions),1,1,0,0,0,100%,SLICE_2F37_VERIFIED (update_plan adjudicated TENANT_PROVIDER_MUTATION_ADD; require_tenant_mutation_permission(TENANT_BILLING_MANAGE) + SubscriptionService._require_trusted_tenant. See phase-02a-slice-02f37/)
app.engines.compliance.router,DPDP erasure/portability self-service requests (held: compliance),2,2,0,0,0,100%,SLICE_2F37_VERIFIED (existing DPDP workflow already implemented; both routes adjudicated TENANT_PROVIDER_MUTATION_ADD -- closed missing self-only ownership check (user_id was fully client-supplied) + require_mutation_access_scope. See phase-02a-slice-02f37/)
