method,path,m_side_effect,t_side_effect,agree_side_effect,m_capability_family,t_capability_family,agree_capability_family,m_capability_action,t_capability_action,agree_capability_action,m_persona,t_persona,agree_persona,m_tenant_direction,t_tenant_direction,agree_tenant_direction,m_abstention_reason,t_abstention_reason,agree_abstention_reason
PUT,/v1/pricing/tenants/{tenant_id}/brand-adjustment,DATABASE_MUTATION,DATABASE_MUTATION,True,pricing,pricing,True,update,update,True,TENANT_PROVIDER_MUTATION,TENANT_PROVIDER_MUTATION,True,CLIENT_ASSERTED_TARGET_TENANT,CLIENT_ASSERTED_TARGET_TENANT,True,,,True
PUT,/v1/pricing/tenants/{tenant_id}/rules/{rule_id},DATABASE_MUTATION,DATABASE_MUTATION,True,pricing,pricing,True,update,update,True,TENANT_PROVIDER_MUTATION,TENANT_PROVIDER_MUTATION,True,CLIENT_ASSERTED_TARGET_TENANT,CLIENT_ASSERTED_TARGET_TENANT,True,,,True
DELETE,/v1/media/{media_id},DATABASE_MUTATION,DATABASE_MUTATION,True,media,media,True,delete,delete,True,REQUIRES_MANUAL_ADJUDICATION,REQUIRES_MANUAL_ADJUDICATION,True,REQUIRES_MANUAL_TENANT_ADJUDICATION,REQUIRES_MANUAL_TENANT_ADJUDICATION,True,OWNERSHIP_CHECK_IN_SERVICE_NOT_TRACEABLE,OWNERSHIP_CHECK_IN_SERVICE_NOT_TRACEABLE,True
DELETE,/v1/rag/knowledge-bases/{kb_id},DATABASE_MUTATION,DATABASE_MUTATION,True,other,other,True,delete,delete,True,REQUIRES_MANUAL_ADJUDICATION,REQUIRES_MANUAL_ADJUDICATION,True,REQUIRES_MANUAL_TENANT_ADJUDICATION,REQUIRES_MANUAL_TENANT_ADJUDICATION,True,OWNERSHIP_CHECK_IN_SERVICE_NOT_TRACEABLE,OWNERSHIP_CHECK_IN_SERVICE_NOT_TRACEABLE,True
POST,/v1/appointments/{appointment_id}/confirm,DATABASE_MUTATION,DATABASE_MUTATION,True,booking,booking,True,confirm,confirm,True,REQUIRES_MANUAL_ADJUDICATION,REQUIRES_MANUAL_ADJUDICATION,True,REQUIRES_MANUAL_TENANT_ADJUDICATION,REQUIRES_MANUAL_TENANT_ADJUDICATION,True,OWNERSHIP_CHECK_IN_SERVICE_NOT_TRACEABLE,OWNERSHIP_CHECK_IN_SERVICE_NOT_TRACEABLE,True
POST,/v1/auth/logout-all,DATABASE_MUTATION,DATABASE_MUTATION,True,identity_access,identity_access,True,create,create,True,SELF_SERVICE_MUTATION,SELF_SERVICE_MUTATION,True,NO_TENANT_AUTHORITY_REQUIRED,NO_TENANT_AUTHORITY_REQUIRED,True,,,True
POST,/v1/auth/sessions/revoke-all-other,DATABASE_MUTATION,DATABASE_MUTATION,True,identity_access,identity_access,True,revoke,revoke,True,SELF_SERVICE_MUTATION,SELF_SERVICE_MUTATION,True,NO_TENANT_AUTHORITY_REQUIRED,NO_TENANT_AUTHORITY_REQUIRED,True,,,True
POST,/v1/chat/conversations,DATABASE_MUTATION,DATABASE_MUTATION,True,notification,notification,True,create,create,True,TENANT_PROVIDER_MUTATION,TENANT_PROVIDER_MUTATION,True,CLIENT_ASSERTED_TARGET_TENANT,CLIENT_ASSERTED_TARGET_TENANT,True,,,True
POST,/v1/compliance/deletion-requests,DATABASE_MUTATION,DATABASE_MUTATION,True,compliance,compliance,True,create,create,True,TENANT_PROVIDER_MUTATION,TENANT_PROVIDER_MUTATION,True,CLIENT_ASSERTED_TARGET_TENANT,CLIENT_ASSERTED_TARGET_TENANT,True,,,True
POST,/v1/dispatch/jobs/{job_id}/accept,DATABASE_MUTATION,DATABASE_MUTATION,True,job_execution,job_execution,True,execute,execute,True,REQUIRES_MANUAL_ADJUDICATION,REQUIRES_MANUAL_ADJUDICATION,True,REQUIRES_MANUAL_TENANT_ADJUDICATION,REQUIRES_MANUAL_TENANT_ADJUDICATION,True,OWNERSHIP_CHECK_IN_SERVICE_NOT_TRACEABLE,OWNERSHIP_CHECK_IN_SERVICE_NOT_TRACEABLE,True
POST,/v1/documents/{document_id}/send,DATABASE_MUTATION,DATABASE_MUTATION,True,media,media,True,create,create,True,TENANT_PROVIDER_MUTATION,TENANT_PROVIDER_MUTATION,True,OBJECT_DERIVED_TENANT,OBJECT_DERIVED_TENANT,True,,,True
POST,/v1/enterprise/exports/{export_id}/retry,DATABASE_MUTATION,DATABASE_MUTATION,True,analytics,analytics,True,create,create,True,SELF_SERVICE_MUTATION,SELF_SERVICE_MUTATION,True,NO_TENANT_AUTHORITY_REQUIRED,NO_TENANT_AUTHORITY_REQUIRED,True,,,True
POST,/v1/inventory/reservations,DATABASE_MUTATION,DATABASE_MUTATION,True,other,other,True,create,create,True,TENANT_PROVIDER_MUTATION,TENANT_PROVIDER_MUTATION,True,CLIENT_ASSERTED_TARGET_TENANT,CLIENT_ASSERTED_TARGET_TENANT,True,,,True
POST,/v1/media/upload/{session_id}/confirm,DATABASE_MUTATION,DATABASE_MUTATION,True,media,media,True,confirm,confirm,True,REQUIRES_MANUAL_ADJUDICATION,REQUIRES_MANUAL_ADJUDICATION,True,REQUIRES_MANUAL_TENANT_ADJUDICATION,REQUIRES_MANUAL_TENANT_ADJUDICATION,True,OWNERSHIP_CHECK_IN_SERVICE_NOT_TRACEABLE,OWNERSHIP_CHECK_IN_SERVICE_NOT_TRACEABLE,True
