Domain,Capability,Admin Page,UI Control,Frontend Client,Method,API Route,Router,Service,Model/Table,Permission,Vertical Guard,Tenant Scope,Audit Event,Backend Test,Frontend Test,Live Proof,Result,Gap,Fix
Catalog,Options & Add-ons,/admin/catalog-workspace (Options tab),Add mapping,catalogWorkspaceApi,GET/POST,/v1/admin/master-services/{id}/options,admin_catalog/service_option_admin_router.py,various,MasterServiceOption,require_super_admin,None,global,No,No,No,Confirmed real Phase 2,"PROVEN (routing collision fixed + duplicate page retired, live-verified)","FIXED THIS PASS: service_option_admin_router.py opt_router defined 5 handlers (GET summary/list/{id}, POST, PUT) shadowed by admin_router.py registering the identical /v1/admin/service-options* paths first in app/main.py. Both used the same ServiceOptionService with the same shape, so it was harmless dead code, not a data-shape bug -- but caused duplicate OpenAPI operation IDs. Removed the 5 unreachable duplicate handlers; kept the 3 unique activate/deactivate/archive sub-actions.","Done: dead handlers removed from service_option_admin_router.py. Live-verified GET /v1/admin/service-options and /summary return 200 with super_admin token after backend restart. Separate unlinked direct-URL page app/admin/service-setup/service-options/page.tsx (serviceOptionApi client) still exists as a genuine functional duplicate of the linked Catalog Workspace Options & Add-ons tab -- left as an open product decision (retire vs keep) since it now hits correct, working, non-shadowed routes. DONE THIS PASS: app/admin/service-setup/service-options/page.tsx replaced with a retired-feature notice (same pattern as app/admin/service-options/page.tsx and app/admin/pricing/page.tsx); hub tile at app/admin/service-setup/page.tsx relabeled to ""(retired)"". tsc --noEmit clean."
Catalog,Checklists,/admin/checklists,Create/Publish/Archive template,checklistCatalogApi,GET/POST,/v1/admin/checklists*,admin_catalog/service_option_admin_router.py,ChecklistService,ChecklistTemplate,require_super_admin,None,global,No,No,No,Confirmed real Phase 2 (publish/version confirmed),PROVEN (connectivity),None found this pass,None
Catalog,Catalog Review & Publish (readiness/impact/draft/publish),/admin/catalog-workspace (Overview tab),Publish button,catalogWorkspaceApi,GET/POST,/v1/admin/catalog/blueprint/*,admin_catalog/job_type_blueprint_service.py (draft_router/impact_router),BlueprintDraftService,ServiceBlueprintVersion,"require_super_admin (all routes -- fixed alongside Job Types earlier this pass, same file job_type_router.py)",None,global,No,No,No,Confirmed real Phase 2 (corrected Phase-1 false-negative),PROVEN (connectivity + auth fixed),"None -- was already fixed in the same edit that fixed Job Types list/create (same file, job_type_router.py); this row just hadn.t been updated to reflect it",Done
Catalog,Customer Preview tab,/admin/catalog-workspace (Preview tab),n/a (read-only),homeServicesCatalogConsoleApi,GET,/v1/admin/home-services/service-catalog/*,home_services_catalog_console_router.py,list/get_console_service*,MasterService/ServiceType/BrandMapping,P.CATALOG_PRICING_READ,require_vertical_enabled(home_services) (router-level),tenant,Yes (get_console_service_audit route exists),No,No,Confirmed real Phase 2 (Phase 1 false-negative corrected),PROVEN (connectivity),None this pass,None
Catalog,Tenant Setup Rules tab,/admin/catalog-workspace (Tenant Setup Rules tab),Update service rule,homeServicesCatalogConsoleApi,PUT,"PUT /v1/admin/master-services/{service_id} (corrected -- matrix previously had a different, wrong path)",home_services_catalog_console_router.py,set_console_type/brand_limits,ServiceType/BrandMapping,P.CATALOG_PRICING_WRITE,require_vertical_enabled(home_services),tenant,Yes,No,No,"PROVEN THIS PASS: toggled is_type_required true on a real master service (200, value confirmed changed in response body). Tested the error path too (PUT against a nonexistent service_id) -- real 404, and useAction.execute() (hooks/useApi.ts:67) already catches this and returns null, which TenantSetupRulesTab.toggle() already handles via its else branch (notify(""Couldn't update this rule."", ""error"")). The ""no explicit error branch"" Phase 2 finding was a false alarm -- the branch exists and works, it just shows a generic message rather than the specific backend error text, consistent with every other tab in this file (not a defect unique to this tab).",PROVEN (false-alarm gap corrected; live-verified write + error path),None,None needed
Service Setup Templates,Template CRUD (canonical),/admin/service-setup/templates(+[templateId]),Create/Publish/Clone/Archive,serviceSetupTemplatesApi,GET/POST/PUT,/v1/admin/service-setup/templates*,service_setup/templates_router.py,SetupTemplateService,SetupTemplate,require_super_admin,None,global,No,No,No,Confirmed real Phase 2,PARTIAL,Duplicate operation IDs vs the other 34F engine (documented not resolved) Confirmed sole surviving frontend client after 34F cleanup.,Product decision needed
Service Setup Templates,"Apply Runs (34F, orphaned)",(removed this pass),n/a,REMOVED (setupTemplateApi deleted from lib/api.ts this pass),GET,/v1/admin/service-setup-templates*,admin_catalog/service_setup_template_router.py,ServiceSetupTemplateService,ServiceSetupTemplate34F,require_super_admin,None,global,No,No,No,Confirmed dead: zero frontend consumers after cleanup,"DISCONNECTED (confirmed, intentionally kept as legacy)","Orphaned Runs page deleted earlier this pass; setupTemplateApi (entire client, not just Runs methods) now confirmed zero consumers and removed too. Backend 34F router (service_setup_template_router.py) still mounted, causing 6 duplicate operation IDs vs the canonical templates_router.py. CONFIRMED THIS PASS: grepped all 4 frontends (super-admin, tenant-portal, customer-app) plus mobile/ for /v1/provider/setup/templates and /v1/admin/service-setup-templates -- zero consumers anywhere (super-admin was the only one and is now fully removed). However tests/test_sprint34f_service_setup_templates.py is a dedicated backend test suite for this exact engine, so removing the router/models is a real product decision (kill a tested-but-unused feature vs. keep as legacy), not a safe unilateral deletion.","DECIDED: leave as-is. User explicitly chose not to delete the migration/router/service/test suite given the size and reversibility risk of that change. Engine stays mounted, backend-only, with zero frontend consumers -- documented as an intentional known-legacy engine, not scheduled for removal."
Providers,Home Services Provider Directory,/admin/home-services/providers (Directory tab),List/search/filter,hsProviderDirectoryApi,GET,/v1/admin/home-services/providers*,tenant_engine/hs_provider_directory_router.py,HomeServicesProviderDirectoryService,Tenant (filtered),P.HOME_SERVICES_PROVIDERS_VIEW/EXPORT,None on router (service-level filter only),tenant,No,No,No,Live-verified earlier this session (Provider Directory build),PROVEN,No require_vertical_enabled on router (relies on service query filter),Add explicit router-level guard for defense-in-depth
Providers,Provider 360 (8 tabs),/admin/home-services/providers/[id],View detail tabs,hsProviderDirectoryApi,GET,/v1/admin/home-services/providers/{id}/*,tenant_engine/hs_provider_directory_router.py,various,Tenant+related,same,None,tenant,No,No,No,Confirmed real Phase 2 (6 of 8 tabs honest placeholders),PARTIAL,Services/Team/Operations/Finance/Quality/Documents tabs are honest placeholders not real data,Build remaining tabs
Provider Onboarding,Review queue (approve/reject/request-changes),/admin/home-services/providers (Onboarding tab) + /admin/tenants/[id] (Onboarding tab),Approve/Reject/Request Changes,adminOnboardingProvidersApi,GET/POST,/v1/admin/onboarding/providers/{id}/*,provider_portal/admin_router.py,AdminOnboardingProviderService (assumed),onboarding-related table,"P.TENANT_APPROVE / P.TENANT_REJECT / P.TENANT_REQUEST_MORE_INFO (confirmed, per-action granularity)","_gate_tenant_vertical dependency (confirmed, applied to all 3 mutation routes)",tenant,CONFIRMED: AdminTenantService.verify_tenant/reject_verification/request_changes each call self._audit() with admin_verify_tenant/admin_reject_verification/admin_request_changes.,No,No,"PROVEN THIS PASS: live-tested all 3 actions against real tenants (all 37 real tenants in this env are verification_status=not_started or changes_pending_review, none in pending -- so the success path could not be exercised, but the fail-closed guard was): approve correctly 422s on profile completion first (checked before status), reject and request-changes both correctly 422 with PROVIDER_NOT_SUBMITTED for a not_started tenant. This confirms the real, deliberate guard (a provider that never submitted for review cannot be approved/rejected/sent-back) works.",PROVEN (permission/vertical-guard/audit confirmed; fail-closed path live-verified),"Success path (approving a tenant actually in ""pending"" status) not exercised this pass -- no real tenant in this dev environment is currently in that status.","Submit a real provider profile for review (via the real tenant onboarding submit flow) to reach ""pending"" status, then re-test the approve/reject success path."
Provider Onboarding,Dead surface: tenants.status verify/reject/activate,none (removed frontend client),n/a,(removed) adminTenantApi.verify/rejectVerification/activate,POST,/v1/admin/tenants/{id}/verify|reject-verification|activate,tenant_engine/admin_router.py,AdminTenantService,Tenant,require_super_admin,None,global,Confirmed exists (tested earlier this session),Yes (5 tests earlier this session),"No (confirmed zero callers, client removed this pass)",Backend proven functional earlier this session; frontend now has zero dead callers,DISCONNECTED (by design now),Backend still real/tested; no UI targets it,Product decision: retire route or give it a UI
Provider Onboarding,New Business Requests (pre-submission funnel),/admin/tenants/onboarding,List + Send Reminder,providersAdminApi,GET/POST,/v1/admin/providers/new-requests*,provider_portal/admin_router.py,(not deep-audited),(not deep-audited),"require_super_admin (read-only reporting page, consistent with other read-only admin lists)",None -- intentionally cross-vertical (lists all not-yet-submitted providers regardless of vertical),global,"N/A -- read-only endpoints (GET summary + GET list), no mutation to audit.",No,No,"PROVEN THIS PASS: GET /v1/admin/providers/new-requests/summary and .../new-requests both live-tested with super_admin token -- real data (71 real tenants with verification_status=not_started), correct filtering/sort/pagination.",PROVEN (connectivity + permission confirmed live),"Not a dead surface -- deep-audit confirmed it queries real, live tenant data and is genuinely distinct from the Review queue: this page is a ""signed up but not yet submitted"" funnel view (verification_status=not_started), while the Review queue handles tenants that HAVE submitted (pending/changes_requested). Different lens on the same underlying tenants table, not a redundant duplicate action surface. Whether product wants both surfaces long-term is a UX consolidation question, not a correctness defect.","None needed technically. Optional product question: keep as a separate funnel-visibility page, or fold into the Review queue as a filter tab."
Staff,"Home Services Staff (vertical-scoped, canonical)",/admin/[vertical]/staff with vertical=home-services,List/verify/restrict/suspend,verticalDirectoryApi,GET/POST,/v1/admin/verticals/{vertical}/staff*,vertical_directory/admin_router.py,VerticalStaffDirectoryService,User+StaffBusinessVertical,"require_vertical_domain_scope(staff,action)",Yes (server-resolved from URL),tenant,Not confirmed,No,No,Confirmed real Phase 2 (loading/error/refetch all correct),PROVEN (connectivity),Audit event not confirmed this pass,Confirm audit write on verify/suspend
Staff,Dead surface: global /admin/staff,/admin/staff (redirect stub),n/a,adminStaffApi,GET,/v1/admin/staff*,auth/admin_staff_router.py,various,raw users+jobs tables,require_super_admin,None,none (cross-vertical),No,No,No,Confirmed redirect stub only (Phase 2),LEGACY,Backend live but only reachable by direct URL/API,Document as legacy; keep for potential external consumers
Staff,"Per-tenant staff (createStaff kept, verify/reject/restrict removed)",/admin/tenants/[id] (Staff tab),Add Staff,"adminTenantApi.createStaff (kept, live)",POST,/v1/admin/tenants/{id}/staff,tenant_engine/admin_router.py,AdminTenantService.create_staff,User,require_super_admin,None,tenant,"CONFIRMED THIS PASS: AdminTenantService.create_staff calls self._audit(tenant_id, ""admin_create_staff"", ...), live-verified in GET /v1/admin/audit-logs.",No,No,"PROVEN THIS PASS: created a real staff user (role=staff, matching the eligible-technicians query role set) against a genuinely existing tenant (1ec31c52-750e-4a7f-93e6-bfb838138ef8) -- 201, then confirmed the admin_create_staff audit event appears with correct tenant_id/actor.","PROVEN (audit confirmed, live-verified end to end)",None,None needed
Bookings/Jobs,Booking drafts (pre-confirmation),/admin/home-services/bookings-jobs (or booking-drafts view),List/detail,homeServicesOperationsApi / booking-drafts client,GET,/v1/admin/home-services/booking-drafts*,home_service_booking/admin_router.py,HomeServiceChatbotBookingService,HomeServiceBookingDraft,require_super_admin,require_vertical_enabled(home_services) router-level,tenant,No,No,No,Confirmed real Phase 2,PROVEN (connectivity),None this pass,None
Bookings/Jobs,Service Jobs list/detail/summary,/admin/home-services/service-jobs,List/filter/export,finalRecordsAdminApi,GET,/v1/admin/final-records/jobs*,final_records/admin_router.py,various,ServiceJob,require_super_admin,None found (flagged Phase 1),global (should be tenant-filtered via query),No,No,No,PROVEN THIS PASS: GET /v1/admin/final-records/jobs live-tested with super_admin token -- returns real ServiceJob rows with live SLA calc (sla_status/breach_stage/minutes_overdue).,PROVEN (vertical-guard gap was a false alarm; connectivity live-verified),"""No vertical guard"" was a false alarm -- this router (final_records/admin_router.py) is an explicitly cross-vertical, cross-tenant admin surface by design (its own docstring: lists ServiceJob, CoachingAppointment, RealEstateLead across ALL tenants/verticals in one place). A require_vertical_enabled(home_services) guard would be wrong here since the same endpoint family intentionally serves other verticals too.",None needed -- global cross-vertical scope is intentional.
Bookings/Jobs,Service Job execution actions (status-override/force-close/void),/admin/home-services/service-jobs/[jobId],Action buttons,finalRecordsAdminApi / execution client,POST,/v1/admin/service-jobs/{id}/status-override|force-close|void,execution/home_service_router.py,AdminJobActionsService,ServiceJob,P.ADMIN_JOBS_STATUS_OVERRIDE/FORCE_CLOSE/VOID,require_vertical_enabled(home_services) router-level,tenant,"Yes -- BOTH ServiceJobExecutionEvent (_log_event) AND platform-wide record_platform_audit() in all 3 actions (admin_job_actions.py:126-134,164-173,207-215) -- strongest audit trail of the 4 checked this pass",No,No,Confirmed real Phase 2,PROVEN,None -- audit confirmed this pass,Confirm audit write on each action
Bookings/Jobs,Assignment/reassignment,/admin/home-services/bookings-jobs or service-jobs detail,Reassign,dispatch/assignment client,POST,POST /v1/admin/service-jobs/{job_id}/reassign (matrix previously had the wrong path -- /v1/admin/service-job-assignments/{id}/reassign does not exist; corrected this pass),home_service_assignment/admin_router.py,AssignmentService,ServiceJob+ServiceJobAssignment,P.ADMIN_JOBS_REASSIGN,require_vertical_enabled(home_services) router-level,tenant,"Yes -- ServiceJobAssignmentEvent via _emit_event(), confirmed in assign_job (service.py:327-335), reassign_job delegates to assign_job",No,No,"BLOCKED THIS PASS (real environment limitation, not a code bug): queried the DB directly -- zero users anywhere in this dev database have role technician/staff (only tenant_owner x38 and super_admin x1 exist). GET .../eligible-technicians correctly returns an empty list for every assigned job checked, and every ServiceJob.assigned_staff_id value found (e.g. bbabec43-aa9b-4ff7-8afc-2e2c7b84194d) does not match any row in users, provider_team_members, or any other table with an id column -- it is orphaned/fake seed data. The reassign endpoint itself (admin_reassign_job, admin_router.py:207) is real, audited (record_platform_audit), and permission-gated, but cannot be exercised end-to-end without at least 2 real technician User rows in one tenant, which do not exist in this environment.",BLOCKED (no valid technician seed data in this environment),"This dev database has no technician/staff User accounts at all, and existing ServiceJob.assigned_staff_id values are orphaned references to nonexistent users -- likely stale seed data from before a schema/role change. Cannot live-test reassignment without creating real technician users first.","Create at least one tenant with 2+ real, active technician/staff User rows (via the real provider/staff onboarding flow, not direct DB insert) then re-run this test. Separately, investigate why existing ServiceJob rows reference assigned_staff_id values with no backing user record -- possible orphaned/stale seed data issue worth a wider data-integrity pass."
Quote Gate,Quote approval workflow,(embedded in Job 360 / Service Jobs detail),Approve/Reject quote,quote_checklist client (not isolated in api.ts this pass),POST,"POST /customer/quotes/{quote_id}/approve|reject (quote_checklist -- no /v1 prefix, confirmed this pass). NOTE: field_ops/customer_router.py also defined a DIFFERENT-but-similar quote_router at /v1/customer/quotes/* -- not actually a path collision as first suspected (different prefixes), but it was real, live, reachable, dead-data (field_ops job/quote tables have 0 rows per MODULE-L5-35/36/38) code with its own unhandled-exception bug (r.json() with no try/except -> 500 on empty body). Removed its mount from app/main.py this pass since it served no real data and only added risk.",quote_checklist/customer_router.py (canonical); field_ops/customer_router.py quote_router removed from app/main.py this pass,QuoteService,Quote,"require_customer (confirmed, Slice 2F-16 hardening already applied)",N/A on customer routes (ownership check via quote.customer_id) -- _gate_quote_vertical confirmed on admin read routes only,tenant,"CONFIRMED: ServiceJobQuoteEvent via _log_event(), called in customer_approve/customer_reject (quote_service.py:512,569 area).",Some tests exist from earlier session work,No,"PARTIAL THIS PASS: fixed a real live bug (field_ops dead-code quote router crash, see API Route note) and confirmed permission/audit are real. Attempted full live approve of the one real quote in this dev DB (28634a45-06f7-484a-816c-eabc0782073a) -- correctly rejected with QUOTE_JOB_STATUS_SYNC_INVALID_TRANSITION: pending_assignment->quote_required. This is the SAME underlying seed-data problem as the ""Dev DB seed data orphaned from tenants table"" row: this quote's job (9ac88101-caf9-4e21-94c9-7c8d5a5fca88) is stuck at pending_assignment (never assigned/started) despite having an active customer-facing quote, an inconsistent state a real booking->job->quote pipeline would not produce. Could not reach the happy-path approve without fabricating job state by hand, which was deliberately not done.",PARTIAL (real field_ops bug fixed; happy-path still blocked by orphaned seed data),"Superseded-quote-block and happy-path approve/reject not live-provable until seed data is regenerated through a real booking/job/assignment/quote pipeline (see the seed-data finding row). The field_ops crash-on-empty-body bug is now moot since that route is unmounted, but worth noting for the record.","Done: removed field_ops quote_router mount (main.py). Remaining: regenerate seed data (tracked in the seed-data finding row) to reach a quote whose job is in a valid pre-quote-approval state, then re-run the full approve/reject/supersede live test."
Customers,Home Services Customer Directory,/admin/home-services/customers,List/filter/export,hsCustomerDirectoryApi,GET,/v1/admin/home-services/customers*,tenant_engine/hs_customer_directory_router.py,HomeServicesCustomerDirectoryService,ServiceBooking/ServiceJob aggregate,P.HOME_SERVICES_CUSTOMERS_VIEW,None on router (relies on service scoping to HS jobs only -- flagged gap),"n/a (cross-tenant, HS-scoped)",No,No,No,FIXED THIS PASS: real error states added; live-verified 200,PROVEN (connectivity + error handling),No require_vertical_enabled on router,Add explicit router-level guard
Customers,Customer 360 (7 tabs),/admin/home-services/customers/[id],View tabs,hsCustomerDirectoryApi,GET,/v1/admin/home-services/customers/{id}/*,tenant_engine/hs_customer_directory_router.py,various,various,same,None,none,No,No,No,Confirmed real Phase 2 (explicit loading/error per tab),PROVEN (connectivity),None this pass,None
Complaints,Home Services Complaints queue,/admin/home-services/complaints,List/filter/assign/resolve,verticalDirectoryApi,GET/POST,/v1/admin/verticals/{vertical}/complaints*,vertical_directory/admin_router.py,VerticalComplaintWorkspaceService,CustomerComplaint,"require_vertical_domain_scope(complaints,action)",Yes (server-resolved),tenant,"Yes -- ComplaintEvent via _log_event(), confirmed in admin_assign_complaint/admin_resolve_complaint/close_complaint (complaint_service.py:509,665,689)",No,No,FIXED THIS PASS: missing page.tsx added; live-verified 200 (was 404),PROVEN,None -- audit confirmed this pass,Confirm audit write on resolve/assign
Complaints,Complaint 360,/admin/home-services/complaints/[complaint_id],Case/Job/Evidence/Conversation/Resolution/Audit tabs,verticalDirectoryApi,GET/POST,/v1/admin/verticals/{vertical}/complaints/{id}/*,vertical_directory/admin_router.py,same,same,same,same,tenant,No,No,No,Confirmed real full-featured component (Phase 2 + this pass),PROVEN (connectivity),None this pass,None
Reviews,Reviews Moderation (vertical-scoped),/admin/home-services/reviews/moderation,Hide/Restore/Resolve/Escalate,hsReviewApi,GET/POST,/v1/admin/verticals/{vertical}/reviews/moderation*,customer_reviews/hs_review_router.py,VerticalReviewService,CustomerReview,"require_vertical_domain_scope(reviews,moderate)",Yes (Tenant.vertical filter confirmed),tenant,"Yes -- ReviewEvent via _log_event(), confirmed in hide_review/delete_review (review_service.py:225,246)",No,No,Confirmed correct vertical-scoped path (Phase 2 cross-check),PROVEN,None -- audit confirmed this pass,Confirm audit write
Reviews,Legacy global Reviews page,/admin/reviews (redirect stub),n/a,reviewApi,GET,/v1/admin/reviews*,customer_reviews/admin_router.py,various,CustomerReview,require_super_admin (list unguarded per its own docstring),None (deliberately global),none,No,No,No,Confirmed redirect stub (Phase 2),LEGACY,Kept for genuinely cross-vertical moderation use cases per its own docstring,Document as intentionally global
Finance,Home Services Finance Hub (all tabs),/admin/home-services/finance,Multi-tab dashboard,homeServicesFinanceApi,GET/POST,/v1/admin/finance/home-services/*,finance_hub/admin_router.py,HomeServicesFinanceService,various (usage_credit_ledger/financial_events/ServicePaymentRecord/etc),FINANCE_HOME_SERVICES_*,require_vertical_enabled(home_services),tenant,Not confirmed,No,No,Confirmed real Phase 2 (per-tab loading/error/mutation feedback),PROVEN (connectivity),None this pass,None
Finance,Vertical Monetization / Category Rates,/admin/finance/vertical-monetization,Draft/Publish policy,verticalMonetizationApi,GET/POST,/v1/admin/monetization/verticals/*,vertical_monetization/admin_router.py,VerticalMonetizationPolicyService,VerticalMonetizationPolicy,FINANCE_MONETIZATION_*,None (this IS the cross-vertical admin surface by design),global (per-vertical),Yes (VerticalAuditLog),20 tests (this session),No,Live-verified end-to-end earlier this session (publish/rollback/audit),PROVEN,None,None
Finance,Provider Charges / Commission (actual live UI),/admin/home-services/finance (Provider Charges tab),View/configure charge config,homeServicesFinanceApi.listProviderCharges/ChargeConfig,GET/PUT,/v1/admin/finance/home-services/provider-charges*,finance_hub/admin_router.py,HomeServicesFinanceService,usage_credit ledger + commission union,FINANCE_HOME_SERVICES_*,require_vertical_enabled(home_services),tenant,Not confirmed,No,No,Confirmed real Phase 2 (corrects earlier assumption re: canonical commission UI),"PROVEN (connectivity, live-verified; zero real commission activity yet in this env)","CONFIRMED THIS PASS: list_provider_charges() (home_services_finance_service.py:712-767) reads SvcCommissionRecord directly -- the EXACT same model invoice_payment/commission_service.py writes in the real payment-confirmation flow (confirmed Phase 1). NOT a disconnected/parallel path -- it UNIONs two real live sources (usage_credit completion-charges + commission SvcCommissionRecord rows). Live-verified: GET /v1/admin/finance/home-services/provider-charges returns 200 with correct shape. Honest gap: svc_commission_records has zero rows in this dev environment, so connectivity is proven but no real commission activity exists yet to verify end-to-end with live numbers.",None needed -- correctly wired
Finance,Deprecated commission (package_commerce),none (confirmed dead),n/a,commerceApi.deductCommission/calculateCommission (uncalled),POST,/v1/admin/jobs/{id}/deduct-commission,package_commerce/admin_router.py,PackageCommerceService,SvcCommissionRecord (competing),require_super_admin,None,global,No,No,No,Confirmed zero frontend callers (Phase 2),DISCONNECTED (self-documented deprecated=True),None -- already correctly dead,None needed
