method,path,held_module,related_canonical_module,same_boundary_as_M01,mandatory_before_module_closure,can_defer_safely
POST,/v1/ds/tenants/{tenant_id}/pricing/apply,ds,no canonical module in queue (ds/analytics engine),no,no (not on selected M01 boundary),yes
GET,/v1/ds/tenants/{tenant_id}/customers/{customer_id}/ltv,ds,no canonical module in queue (ds/analytics engine),no,no (not on selected M01 boundary),yes
POST,/v1/ds/tenants/{tenant_id}/customers/{customer_id}/ltv/recompute,ds,no canonical module in queue (ds/analytics engine),no,no (not on selected M01 boundary),yes
DELETE,/v1/rag/knowledge-bases/{kb_id},rag,M09_rag_knowledge,no,no (not on selected M01 boundary),yes
POST,/v1/rag/knowledge-bases/{kb_id}/documents,rag,M09_rag_knowledge,no,no (not on selected M01 boundary),yes
DELETE,/v1/rag/documents/{doc_id},rag,M09_rag_knowledge,no,no (not on selected M01 boundary),yes
POST,/v1/rag/documents/{doc_id}/reindex,rag,M09_rag_knowledge,no,no (not on selected M01 boundary),yes
PUT,/v1/settings/tenants/{tenant_id}/{key},settings,no canonical module in queue,no,no (not on selected M01 boundary),yes
DELETE,/v1/settings/tenants/{tenant_id}/{key},settings,no canonical module in queue,no,no (not on selected M01 boundary),yes
PUT,/v1/notifications/tenants/{tenant_id}/channels/{channel},notifications,no canonical module in queue,no,no (not on selected M01 boundary),yes
POST,/v1/media/upload/initiate,media,M02_media_assets,no,no (not on selected M01 boundary),yes
POST,/v1/media/upload/{session_id}/confirm,media,M02_media_assets,no,no (not on selected M01 boundary),yes
DELETE,/v1/media/tenants/{tenant_id}/files/{file_id},media,M02_media_assets,no,no (not on selected M01 boundary),yes
POST,/v1/pricing/tenants/{tenant_id}/prices/set,pricing,no canonical module in queue (pricing engine),no,no (not on selected M01 boundary),yes
PUT,/v1/pricing/tenants/{tenant_id}/brand-adjustment,pricing,no canonical module in queue (pricing engine),no,no (not on selected M01 boundary),yes
POST,/v1/pricing/tenants/{tenant_id}/zones,pricing,no canonical module in queue (pricing engine),no,no (not on selected M01 boundary),yes
PUT,/v1/pricing/tenants/{tenant_id}/zones/{zone_id},pricing,no canonical module in queue (pricing engine),no,no (not on selected M01 boundary),yes
DELETE,/v1/pricing/tenants/{tenant_id}/zones/{zone_id},pricing,no canonical module in queue (pricing engine),no,no (not on selected M01 boundary),yes
POST,/v1/pricing/tenants/{tenant_id}/rules,pricing,no canonical module in queue (pricing engine),no,no (not on selected M01 boundary),yes
PUT,/v1/pricing/tenants/{tenant_id}/rules/{rule_id},pricing,no canonical module in queue (pricing engine),no,no (not on selected M01 boundary),yes
DELETE,/v1/pricing/tenants/{tenant_id}/rules/{rule_id},pricing,no canonical module in queue (pricing engine),no,no (not on selected M01 boundary),yes
POST,/v1/pricing/compute,pricing,no canonical module in queue (pricing engine),no,no (not on selected M01 boundary),yes
POST,/v1/commerce/tenants/{tenant_id}/deposit/admin-adjust,commerce,M06_security_deposit (commerce boundary),no,no (not on selected M01 boundary),yes
POST,/v1/commerce/tenants/{tenant_id}/wallet/purchase/initiate,commerce,M06_security_deposit (commerce boundary),no,no (not on selected M01 boundary),yes
POST,/v1/commerce/warranty/claims,commerce,M06_security_deposit (commerce boundary),no,no (not on selected M01 boundary),yes
POST,/v1/commerce/tenants/{tenant_id}/badges/recalculate,commerce,M06_security_deposit (commerce boundary),no,no (not on selected M01 boundary),yes
