method,path,endpoint,source_module,guard_status,canonical_row,module,primary_gap,secondary_gaps,provenance
PUT,/v1/staff/profile,update_staff_profile,app.engines.profile.router,ROLE_ONLY_NOT_ACCESS_SCOPE_AWARE,present (1),M04_profile_self_service,role gate without mutation access-scope enforcement,,2F-26/earlier
POST,/v1/staff/profile/photo,upload_staff_profile_photo,app.engines.media.new_router,ROLE_ONLY_NOT_ACCESS_SCOPE_AWARE,present (1),M02_media_assets,role gate without mutation access-scope enforcement,,2F-26/earlier
DELETE,/v1/staff/profile/photo,remove_staff_profile_photo,app.engines.media.new_router,ROLE_ONLY_NOT_ACCESS_SCOPE_AWARE,present (1),M02_media_assets,role gate without mutation access-scope enforcement,,2F-26/earlier
POST,/v1/auth/mfa/confirm,confirm_mfa,app.engines.auth.router,AUTHENTICATED_ONLY_NO_PERMISSION_CHECK,present (1),M01_identity_credentials,no permission or role gate (authenticated-only),credential mutation,2F-26/earlier
POST,/v1/auth/mfa/disable,disable_mfa,app.engines.auth.router,AUTHENTICATED_ONLY_NO_PERMISSION_CHECK,present (1),M01_identity_credentials,no permission or role gate (authenticated-only),credential mutation,2F-26/earlier
PUT,/v1/auth/me,update_profile,app.engines.auth.router,AUTHENTICATED_ONLY_NO_PERMISSION_CHECK,present (1),M01_identity_credentials,no permission or role gate (authenticated-only),,2F-26/earlier
PUT,/v1/auth/password/change,change_password,app.engines.auth.router,AUTHENTICATED_ONLY_NO_PERMISSION_CHECK,present (1),M01_identity_credentials,no permission or role gate (authenticated-only),credential mutation,2F-26/earlier
POST,/v1/auth/staff/invite,invite_staff,app.engines.auth.router,PERMISSION_ONLY_NOT_SCOPE_AWARE,present (1),M01_identity_credentials,permission gate without access-scope / object-ownership,,2F-26/earlier
PUT,/v1/auth/staff/{user_id}/permissions,update_permissions,app.engines.auth.router,PERMISSION_ONLY_NOT_SCOPE_AWARE,present (1),M01_identity_credentials,permission gate without access-scope / object-ownership,object addressed by id (ownership check required); StaffPermission mutation,2F-26/earlier
POST,/v1/auth/staff/{user_id}/deactivate,deactivate_staff,app.engines.auth.router,PERMISSION_ONLY_NOT_SCOPE_AWARE,present (1),M01_identity_credentials,permission gate without access-scope / object-ownership,object addressed by id (ownership check required),2F-26/earlier
POST,/v1/auth/impersonate,impersonate,app.engines.auth.router,PERMISSION_ONLY_NOT_SCOPE_AWARE,present (1),M01_identity_credentials,permission gate without access-scope / object-ownership,impersonation / identity assumption,2F-26/earlier
POST,/v1/auth/api-keys,create_api_key,app.engines.auth.router,PERMISSION_ONLY_NOT_SCOPE_AWARE,present (1),M01_identity_credentials,permission gate without access-scope / object-ownership,,2F-26/earlier
DELETE,/v1/auth/api-keys/{key_id},revoke_api_key,app.engines.auth.router,PERMISSION_ONLY_NOT_SCOPE_AWARE,present (1),M01_identity_credentials,permission gate without access-scope / object-ownership,object addressed by id (ownership check required),2F-26/earlier
PATCH,/v1/auth/api-keys/{key_id},update_api_key,app.engines.auth.router,PERMISSION_ONLY_NOT_SCOPE_AWARE,present (1),M01_identity_credentials,permission gate without access-scope / object-ownership,object addressed by id (ownership check required),2F-26/earlier
POST,/v1/auth/change-password-required,change_password_required,app.engines.auth.router,AUTHENTICATED_ONLY_NO_PERMISSION_CHECK,present (1),M01_identity_credentials,no permission or role gate (authenticated-only),credential mutation,2F-26/earlier
POST,/v1/rag/query,query,app.engines.rag.router,AUTHENTICATED_ONLY_NO_PERMISSION_CHECK,present (1),M09_rag_knowledge,no permission or role gate (authenticated-only),,2F-26/earlier
POST,/v1/media/upload,upload_media,app.engines.media.new_router,AUTHENTICATED_ONLY_NO_PERMISSION_CHECK,present (1),M02_media_assets,no permission or role gate (authenticated-only),,2F-26/earlier
POST,/v1/media/{media_id}/replace,replace_media,app.engines.media.new_router,AUTHENTICATED_ONLY_NO_PERMISSION_CHECK,present (1),M02_media_assets,no permission or role gate (authenticated-only),object addressed by id (ownership check required),2F-26/earlier
POST,/v1/me/profile-photo,upload_my_profile_photo,app.engines.media.new_router,AUTHENTICATED_ONLY_NO_PERMISSION_CHECK,present (1),M02_media_assets,no permission or role gate (authenticated-only),,2F-26/earlier
PUT,/v1/me/profile,update_my_profile,app.engines.profile.router,AUTHENTICATED_ONLY_NO_PERMISSION_CHECK,present (1),M04_profile_self_service,no permission or role gate (authenticated-only),,2F-26/earlier
GET,/v1/commerce/tenants/{tenant_id}/deposit,get_deposit,app.engines.platform_commerce.router,PERMISSION_ONLY_NOT_SCOPE_AWARE,present (1),M06_security_deposit,permission gate without access-scope / object-ownership,client-asserted tenant in path,2F-26/earlier
POST,/v1/commerce/tenants/{tenant_id}/deposit/initiate,initiate_deposit,app.engines.platform_commerce.router,PERMISSION_ONLY_NOT_SCOPE_AWARE,present (1),M06_security_deposit,permission gate without access-scope / object-ownership,client-asserted tenant in path,2F-26/earlier
GET,/v1/commerce/tenants/{tenant_id}/deposit/transactions,get_deposit_transactions,app.engines.platform_commerce.router,PERMISSION_ONLY_NOT_SCOPE_AWARE,present (1),M06_security_deposit,permission gate without access-scope / object-ownership,client-asserted tenant in path,2F-26/earlier
POST,/v1/enterprise/saved-views,create_saved_view,app.engines.enterprise_grid.router,AUTHENTICATED_ONLY_NO_PERMISSION_CHECK,present (1),M03_enterprise_grid_views,no permission or role gate (authenticated-only),,2F-26/earlier
PUT,/v1/enterprise/saved-views/{view_id},update_saved_view,app.engines.enterprise_grid.router,AUTHENTICATED_ONLY_NO_PERMISSION_CHECK,present (1),M03_enterprise_grid_views,no permission or role gate (authenticated-only),object addressed by id (ownership check required),2F-26/earlier
DELETE,/v1/enterprise/saved-views/{view_id},delete_saved_view,app.engines.enterprise_grid.router,AUTHENTICATED_ONLY_NO_PERMISSION_CHECK,present (1),M03_enterprise_grid_views,no permission or role gate (authenticated-only),object addressed by id (ownership check required),2F-26/earlier
POST,/v1/enterprise/saved-views/{view_id}/set-default,set_default_view,app.engines.enterprise_grid.router,AUTHENTICATED_ONLY_NO_PERMISSION_CHECK,present (1),M03_enterprise_grid_views,no permission or role gate (authenticated-only),object addressed by id (ownership check required),2F-26/earlier
PUT,/v1/enterprise/column-preferences,save_column_preferences,app.engines.enterprise_grid.router,AUTHENTICATED_ONLY_NO_PERMISSION_CHECK,present (1),M03_enterprise_grid_views,no permission or role gate (authenticated-only),,2F-26/earlier
POST,/v1/enterprise/exports,create_export,app.engines.enterprise_grid.router,AUTHENTICATED_ONLY_NO_PERMISSION_CHECK,present (1),M03_enterprise_grid_views,no permission or role gate (authenticated-only),,2F-26/earlier
DELETE,/v1/webhooks/endpoints/{endpoint_id},delete_endpoint,app.engines.webhook.router,PERMISSION_ONLY_NOT_SCOPE_AWARE,present (1),M10_webhook_integration,permission gate without access-scope / object-ownership,,2F-27A
DELETE,/v1/geo/zones/{zone_id},delete_zone,app.engines.geo.router,PERMISSION_ONLY_NOT_SCOPE_AWARE,present (1),M11_geo_zones,permission gate without access-scope / object-ownership,,2F-27A
