method,path,function,capability_classification,admitted_roles,dependency,technician_policy,parent_pipeline,visibility_policy,attachment_behavior,delivery_side_effect,final_status
GET,/v1/provider/chat/threads/{thread_id},provider_get_thread,STAFF_INTERNAL_CONVERSATION (read),super_admin/tenant_owner/staff,require_owner_or_office_staff_mutation,TECHNICIAN_NOT_SUPPORTED,via thread,privacy-equivalent NOT_FOUND on denial (2F-18A),none,none,VERIFIED
GET,/v1/provider/chat/threads/{thread_id}/messages,provider_list_messages,STAFF_INTERNAL_CONVERSATION (read),super_admin/tenant_owner/staff,require_owner_or_office_staff_mutation,TECHNICIAN_NOT_SUPPORTED,via thread,enum-filtered,none,none,VERIFIED
GET,/v1/provider/audit-logs,provider_list_audit,TENANT_NOTIFICATION_ADMIN (read),super_admin/tenant_owner/staff,require_owner_or_office_staff_mutation,TECHNICIAN_NOT_SUPPORTED,n/a,n/a,none,none,VERIFIED
GET,/v1/provider/audit-logs/record-timeline,provider_record_timeline,TENANT_NOTIFICATION_ADMIN (read),super_admin/tenant_owner/staff,require_owner_or_office_staff_mutation,TECHNICIAN_NOT_SUPPORTED,n/a,n/a,none,none,VERIFIED
POST,/v1/staff/notifications/{notification_id}/read,staff_mark_read,TECHNICIAN_RECIPIENT_OPERATION,staff/technician,require_staff_or_technician_only,TECHNICIAN_DIRECT_RECIPIENT_ONLY (service filters WHERE user_id=caller),n/a,n/a,none,none,VERIFIED
POST,/v1/staff/notifications/mark-all-read,staff_mark_all_read,TECHNICIAN_RECIPIENT_OPERATION,staff/technician,require_staff_or_technician_only,TECHNICIAN_DIRECT_RECIPIENT_ONLY,n/a,n/a,none,none,VERIFIED
GET,/v1/staff/notifications,staff_list_notifications,TECHNICIAN_RECIPIENT_OPERATION (read),staff/technician,require_staff_or_technician_only,TECHNICIAN_DIRECT_RECIPIENT_ONLY,n/a,n/a,none,none,VERIFIED
GET,/v1/staff/notifications/unread-count,staff_unread_count,TECHNICIAN_RECIPIENT_OPERATION (read),staff/technician,require_staff_or_technician_only,TECHNICIAN_DIRECT_RECIPIENT_ONLY,n/a,n/a,none,none,VERIFIED
GET,/v1/staff/chat/threads,staff_list_threads,ASSIGNED_JOB_CONVERSATION (read, participant-scoped for technician / tenant-wide for staff),staff/technician,require_staff_or_technician_only,TECHNICIAN_ACTIVE_PARTICIPANT_ONLY (list),n/a,n/a,none,none,VERIFIED
GET,/v1/staff/chat/threads/{thread_id},staff_get_thread,ASSIGNED_JOB_CONVERSATION,staff/technician,require_staff_or_technician_only,TECHNICIAN_ASSIGNED_SERVICEJOB_ONLY (resolvable types) / TECHNICIAN_ACTIVE_PARTICIPANT_ONLY (fallback),ServiceJob/ServiceBooking (live assignment lookup, 2F-18A),privacy-equivalent NOT_FOUND on denial,none,none,VERIFIED
GET,/v1/staff/chat/threads/{thread_id}/messages,staff_list_messages,ASSIGNED_JOB_CONVERSATION,staff/technician,require_staff_or_technician_only,TECHNICIAN_ASSIGNED_SERVICEJOB_ONLY / TECHNICIAN_ACTIVE_PARTICIPANT_ONLY,ServiceJob/ServiceBooking,enum-filtered per viewer_type=technician (2F-18A -- staff-internal content now correctly hidden from technician viewers),none,none,VERIFIED
POST,/v1/staff/chat/threads/{thread_id}/messages,staff_send_message,ASSIGNED_JOB_CONVERSATION,staff/technician,require_staff_or_technician_only,TECHNICIAN_ASSIGNED_SERVICEJOB_ONLY / TECHNICIAN_ACTIVE_PARTICIPANT_ONLY,ServiceJob/ServiceBooking,enum-validated + non-admin restricted to thread,ATTACHMENT_MODEL_SUPPORTED (2F-18A),writes 1 InAppNotification per other active participant,VERIFIED
POST,/v1/staff/chat/threads/{thread_id}/read,staff_mark_thread_read,ASSIGNED_JOB_CONVERSATION (recipient-owned read receipt),staff/technician,require_staff_or_technician_only,TECHNICIAN_ASSIGNED_SERVICEJOB_ONLY / TECHNICIAN_ACTIVE_PARTICIPANT_ONLY,via thread,n/a,none,none,VERIFIED
GET,/v1/customer/notifications,list_notifications,CUSTOMER_NOTIFICATION_OPERATION (read),customer,require_customer,n/a (customer route),n/a,n/a,none,none,VERIFIED
POST,/v1/customer/notifications/{notification_id}/read,mark_read,CUSTOMER_NOTIFICATION_OPERATION,customer,require_customer,n/a,n/a,n/a,none,none,VERIFIED
POST,/v1/customer/chat/threads,create_thread,CUSTOMER_CONVERSATION_OPERATION,customer,require_customer,n/a,ServiceBooking/ServiceJob/CustomerComplaint (record-ownership enforced 2F-18),thread (default),ATTACHMENT_MODEL_SUPPORTED (send only),none at create,VERIFIED
POST,/v1/customer/chat/threads/{thread_id}/messages,send_message,CUSTOMER_CONVERSATION_OPERATION,customer,require_customer,n/a,via thread,enum-validated + restricted to thread,ATTACHMENT_MODEL_SUPPORTED (2F-18A),writes 1 InAppNotification per other active participant,VERIFIED
GET,/v1/customer/chat/threads/{thread_id},get_thread,CUSTOMER_CONVERSATION_OPERATION,customer,require_customer,n/a,via thread,privacy-equivalent NOT_FOUND on denial (2F-18A),none,none,VERIFIED
