method,path,endpoint,module,final_persona,basis,evidence_level,admitted_roles,actor_derivation,tenant_derivation,role_branching,db_writes,external_effects,auth_dependencies
POST,/v1/tenants/{tenant_id}/suspend,suspend_tenant,app.engines.tenant_engine.router,TENANT_PROVIDER_MUTATION,service layer scopes by tenant (service.suspend_tenant); route mutates,ROUTE_LEVEL,admin_finance|admin_operations|admin_readonly|admin_security|customer|staff|super_admin|technician|tenant_owner,no,service:service.suspend_tenant,no,add,publish,require_tenant_mutation_tenant_suspend|get_current_user|get_current_user
POST,/v1/tenants/{tenant_id}/reinstate,reinstate_tenant,app.engines.tenant_engine.router,PRODUCT_DECISION_REQUIRED,mutates shared/global state with neither tenant nor actor derivation,ROUTE_LEVEL,admin_finance|admin_operations|admin_readonly|admin_security|customer|staff|super_admin|technician|tenant_owner,no,,no,add,,require_tenant_mutation_tenant_reinstate|get_current_user|get_current_user
POST,/v1/tenants/{tenant_id}/terminate/begin,begin_termination,app.engines.tenant_engine.router,PRODUCT_DECISION_REQUIRED,mutates shared/global state with neither tenant nor actor derivation,ROUTE_LEVEL,admin_finance|admin_operations|admin_readonly|admin_security|customer|staff|super_admin|technician|tenant_owner,no,,no,add,,require_tenant_mutation_tenant_terminate|get_current_user|get_current_user
POST,/v1/tenants/{tenant_id}/terminate/confirm,confirm_termination,app.engines.tenant_engine.router,TENANT_PROVIDER_MUTATION,service layer scopes by tenant (service.confirm_termination); route mutates,ROUTE_LEVEL,admin_finance|admin_operations|admin_readonly|admin_security|customer|staff|super_admin|technician|tenant_owner,no,service:service.confirm_termination,no,add,,require_tenant_mutation_tenant_terminate|get_current_user|get_current_user
POST,/v1/tenants/{tenant_id}/plan/upgrade,upgrade_plan,app.engines.tenant_engine.router,PRODUCT_DECISION_REQUIRED,mutates shared/global state with neither tenant nor actor derivation,ROUTE_LEVEL,admin_finance|admin_operations|admin_readonly|admin_security|customer|staff|super_admin|technician|tenant_owner,no,,no,add,,require_tenant_mutation_tenant_plan_manage|get_current_user|get_current_user
POST,/v1/tenants/{tenant_id}/plan/downgrade,downgrade_plan,app.engines.tenant_engine.router,PRODUCT_DECISION_REQUIRED,mutates shared/global state with neither tenant nor actor derivation,ROUTE_LEVEL,admin_finance|admin_operations|admin_readonly|admin_security|customer|staff|super_admin|technician|tenant_owner,no,,no,add,,require_tenant_mutation_tenant_plan_manage|get_current_user|get_current_user
POST,/v1/tenants/{tenant_id}/trial/convert,convert_trial,app.engines.tenant_engine.router,PRODUCT_DECISION_REQUIRED,mutates shared/global state with neither tenant nor actor derivation,ROUTE_LEVEL,admin_finance|admin_operations|admin_readonly|admin_security|customer|staff|super_admin|technician|tenant_owner,no,,no,add,,require_tenant_mutation_tenant_plan_manage|get_current_user|get_current_user
POST,/v1/tenants/{tenant_id}/engines/{engine_id}/enable,enable_engine,app.engines.tenant_engine.router,TENANT_PROVIDER_MUTATION,service layer scopes by tenant (service.enable_engine); route mutates,ROUTE_LEVEL,admin_finance|admin_operations|admin_readonly|admin_security|customer|staff|super_admin|technician|tenant_owner,no,service:service.enable_engine,no,add,,require_tenant_mutation_tenant_engines_manage|get_current_user|get_current_user
POST,/v1/tenants/{tenant_id}/engines/{engine_id}/disable,disable_engine,app.engines.tenant_engine.router,TENANT_PROVIDER_MUTATION,service layer scopes by tenant (service.disable_engine); route mutates,ROUTE_LEVEL,admin_finance|admin_operations|admin_readonly|admin_security|customer|staff|super_admin|technician|tenant_owner,no,service:service.disable_engine,no,add,,require_tenant_mutation_tenant_engines_manage|get_current_user|get_current_user
POST,/v1/tenants/{tenant_id}/engines/bulk-enable,bulk_enable,app.engines.tenant_engine.router,PRODUCT_DECISION_REQUIRED,mutates shared/global state with neither tenant nor actor derivation,ROUTE_LEVEL,admin_finance|admin_operations|admin_readonly|admin_security|customer|staff|super_admin|technician|tenant_owner,no,,no,add,,require_tenant_mutation_tenant_engines_manage|get_current_user|get_current_user
POST,/v1/tenants/{tenant_id}/engines/bulk-disable,bulk_disable,app.engines.tenant_engine.router,READ_ONLY_FALSE_POSITIVE,no persistent or external effect,ROUTE_LEVEL,admin_finance|admin_operations|admin_readonly|admin_security|customer|staff|super_admin|technician|tenant_owner,no,,no,,,require_tenant_mutation_tenant_engines_manage|get_current_user|get_current_user
PUT,/v1/tenants/{tenant_id}/engines/{engine_id}/config,update_engine_config,app.engines.tenant_engine.router,TENANT_PROVIDER_MUTATION,service layer scopes by tenant (service.update_engine_config); route mutates,ROUTE_LEVEL,admin_finance|admin_operations|admin_readonly|admin_security|customer|staff|super_admin|technician|tenant_owner,no,service:service.update_engine_config,no,add|raw_sql,,require_tenant_mutation_tenant_engines_manage|get_current_user|get_current_user
PUT,/v1/tenants/{tenant_id}/feature-flags/{flag_key},set_feature_flag,app.engines.tenant_engine.router,TENANT_PROVIDER_MUTATION,service layer scopes by tenant (service.set_feature_flag); route mutates,ROUTE_LEVEL,admin_finance|admin_operations|admin_readonly|admin_security|customer|staff|super_admin|technician|tenant_owner,no,service:service.set_feature_flag,no,add,,require_tenant_mutation_tenant_flags_manage|get_current_user|get_current_user
DELETE,/v1/tenants/{tenant_id}/feature-flags/{flag_key},delete_feature_flag,app.engines.tenant_engine.router,TENANT_PROVIDER_MUTATION,service layer scopes by tenant (service.delete_feature_flag); route mutates,ROUTE_LEVEL,admin_finance|admin_operations|admin_readonly|admin_security|customer|staff|super_admin|technician|tenant_owner,no,service:service.delete_feature_flag,no,add|delete,,require_tenant_mutation_tenant_flags_manage|get_current_user|get_current_user
PUT,/v1/tenants/{tenant_id}/billing/payment-method,update_payment_method,app.engines.tenant_engine.router,PRODUCT_DECISION_REQUIRED,mutates shared/global state with neither tenant nor actor derivation,ROUTE_LEVEL,admin_finance|admin_operations|admin_readonly|admin_security|customer|staff|super_admin|technician|tenant_owner,no,,no,add|raw_sql,,require_tenant_mutation_tenant_billing_manage|get_current_user|get_current_user
POST,/v1/tenants/{tenant_id}/data/export,request_data_export,app.engines.tenant_engine.router,PRODUCT_DECISION_REQUIRED,mutates shared/global state with neither tenant nor actor derivation,ROUTE_LEVEL,admin_finance|admin_operations|admin_readonly|admin_security|customer|staff|super_admin|technician|tenant_owner,no,,no,add,,require_tenant_mutation_tenant_data_export|get_current_user|get_current_user
POST,/v1/tenants/{tenant_id}/data/delete-request,gdpr_deletion,app.engines.tenant_engine.router,PRODUCT_DECISION_REQUIRED,mutates shared/global state with neither tenant nor actor derivation,ROUTE_LEVEL,admin_finance|admin_operations|admin_readonly|admin_security|customer|staff|super_admin|technician|tenant_owner,no,,no,add,,require_tenant_mutation_tenant_data_delete|get_current_user|get_current_user
PUT,/v1/tenant/service-areas/{area_id},update_tenant_service_area,app.engines.serviceability.router,TENANT_PROVIDER_MUTATION,service layer scopes by tenant (service.update_service_area); route mutates,ROUTE_LEVEL,admin_finance|admin_operations|admin_readonly|admin_security|customer|staff|super_admin|technician|tenant_owner,no,service:service.update_service_area,no,commit|flush|raw_sql,,require_tenant_mutation_tenant_service_area_update|get_current_user|get_current_user
DELETE,/v1/tenant/service-areas/{area_id},delete_tenant_service_area,app.engines.serviceability.router,TENANT_PROVIDER_MUTATION,service layer scopes by tenant (service.deactivate_service_area); route mutates,ROUTE_LEVEL,admin_finance|admin_operations|admin_readonly|admin_security|customer|staff|super_admin|technician|tenant_owner,no,service:service.deactivate_service_area,no,commit|flush,,require_tenant_mutation_tenant_service_area_delete|get_current_user|get_current_user
POST,/v1/tenant/service-areas/{area_id}/set-primary,set_primary_tenant_service_area,app.engines.serviceability.router,TENANT_PROVIDER_MUTATION,service layer scopes by tenant (service.set_primary_service_area); route mutates,ROUTE_LEVEL,admin_finance|admin_operations|admin_readonly|admin_security|customer|staff|super_admin|technician|tenant_owner,no,service:service.set_primary_service_area,no,commit,,require_tenant_mutation_tenant_service_area_update|get_current_user|get_current_user
POST,/v1/tenant/service-areas/{area_id}/services,add_service_mapping,app.engines.serviceability.router,TENANT_PROVIDER_MUTATION,service layer scopes by tenant (service.add_service_mapping); route mutates,ROUTE_LEVEL,admin_finance|admin_operations|admin_readonly|admin_security|customer|staff|super_admin|technician|tenant_owner,no,service:service.add_service_mapping,no,add|commit,,require_tenant_mutation_tenant_service_area_service_create|get_current_user|get_current_user
PUT,/v1/tenant/service-areas/{area_id}/services/{mapping_id},update_service_mapping,app.engines.serviceability.router,PRODUCT_DECISION_REQUIRED,mutates shared/global state with neither tenant nor actor derivation,ROUTE_LEVEL,admin_finance|admin_operations|admin_readonly|admin_security|customer|staff|super_admin|technician|tenant_owner,no,,no,commit|raw_sql,,require_tenant_mutation_tenant_service_area_service_update|get_current_user|get_current_user
DELETE,/v1/tenant/service-areas/{area_id}/services/{mapping_id},delete_service_mapping,app.engines.serviceability.router,PRODUCT_DECISION_REQUIRED,mutates shared/global state with neither tenant nor actor derivation,ROUTE_LEVEL,admin_finance|admin_operations|admin_readonly|admin_security|customer|staff|super_admin|technician|tenant_owner,no,,no,commit,,require_tenant_mutation_tenant_service_area_service_delete|get_current_user|get_current_user
POST,/v1/serviceability/check,check_serviceability,app.engines.serviceability.router,PLATFORM_INTERNAL_MUTATION,mutates an object owned by the authenticated principal itself,ROUTE_LEVEL,admin_finance|admin_operations|admin_readonly|admin_security|customer|staff|super_admin|technician|tenant_owner,yes,,yes,add|commit,,require_serviceability_check|get_current_user|get_current_user
POST,/v1/compliance/consent,record_consent,app.engines.compliance.router,TENANT_PROVIDER_MUTATION,service layer scopes by tenant (service.record_consent); route mutates,ROUTE_LEVEL,admin_finance|admin_operations|admin_readonly|admin_security|customer|staff|super_admin|technician|tenant_owner,no,service:service.record_consent,no,add|flush|raw_sql,,get_current_user|get_current_user
GET,/v1/compliance/consent/users/{user_id},list_consents,app.engines.compliance.router,PRODUCT_DECISION_REQUIRED,mutates shared/global state with neither tenant nor actor derivation,ROUTE_LEVEL,admin_finance|admin_operations|admin_readonly|admin_security|customer|staff|super_admin|technician|tenant_owner,no,,no,add|raw_sql,,get_current_user|get_current_user
POST,/v1/compliance/consent/withdraw,withdraw_consent,app.engines.compliance.router,PRODUCT_DECISION_REQUIRED,mutates shared/global state with neither tenant nor actor derivation,ROUTE_LEVEL,admin_finance|admin_operations|admin_readonly|admin_security|customer|staff|super_admin|technician|tenant_owner,no,,no,add|flush,,get_current_user|get_current_user
POST,/v1/compliance/deletion-requests,request_deletion,app.engines.compliance.router,TENANT_PROVIDER_MUTATION,service layer scopes by tenant (service.request_deletion); route mutates,ROUTE_LEVEL,admin_finance|admin_operations|admin_readonly|admin_security|customer|staff|super_admin|technician|tenant_owner,no,service:service.request_deletion,no,add|flush|raw_sql,,get_current_user|get_current_user
POST,/v1/compliance/portability-requests,request_export,app.engines.compliance.router,TENANT_PROVIDER_MUTATION,service layer scopes by tenant (service.request_export); route mutates,ROUTE_LEVEL,admin_finance|admin_operations|admin_readonly|admin_security|customer|staff|super_admin|technician|tenant_owner,no,service:service.request_export,no,add|flush|raw_sql,,get_current_user|get_current_user
POST,/v1/security/api-keys,create_api_key,app.engines.security.router,TENANT_PROVIDER_MUTATION,service layer scopes by tenant (service.create_api_key); route mutates,ROUTE_LEVEL,admin_finance|admin_operations|admin_readonly|admin_security|customer|staff|super_admin|technician|tenant_owner,no,service:service.create_api_key,no,add|flush|raw_sql,,require_tenant_update|get_current_user|get_current_user
POST,/v1/security/api-keys/{key_id}/rotate,rotate_api_key,app.engines.security.router,TENANT_PROVIDER_MUTATION,service layer scopes by tenant (service.rotate_api_key); route mutates,ROUTE_LEVEL,admin_finance|admin_operations|admin_readonly|admin_security|customer|staff|super_admin|technician|tenant_owner,no,service:service.rotate_api_key,no,add|flush|raw_sql,,require_tenant_update|get_current_user|get_current_user
POST,/v1/security/api-keys/{key_id}/revoke,revoke_api_key,app.engines.security.router,TENANT_PROVIDER_MUTATION,service layer scopes by tenant (service.revoke_api_key); route mutates,ROUTE_LEVEL,admin_finance|admin_operations|admin_readonly|admin_security|customer|staff|super_admin|technician|tenant_owner,no,service:service.revoke_api_key,no,add|raw_sql,,require_tenant_update|get_current_user|get_current_user
POST,/v1/security/activity/record,record_activity,app.engines.security.router,PRODUCT_DECISION_REQUIRED,mutates shared/global state with neither tenant nor actor derivation,ROUTE_LEVEL,admin_finance|admin_operations|admin_readonly|admin_security|customer|staff|super_admin|technician|tenant_owner,no,,no,add|flush,,get_current_user|get_current_user
POST,/v1/security/audit-log,write_audit,app.engines.security.router,PRODUCT_DECISION_REQUIRED,mutates shared/global state with neither tenant nor actor derivation,ROUTE_LEVEL,admin_finance|admin_operations|admin_readonly|admin_security|customer|staff|super_admin|technician|tenant_owner,no,,no,add|flush|raw_sql,,get_current_user|get_current_user
POST,/v1/security/sessions,create_session,app.engines.security.router,TENANT_PROVIDER_MUTATION,service layer scopes by tenant (service.create_session); route mutates,ROUTE_LEVEL,admin_finance|admin_operations|admin_readonly|admin_security|customer|staff|super_admin|technician|tenant_owner,no,service:service.create_session,no,add|flush,,get_current_user|get_current_user
POST,/v1/security/sessions/{session_id}/revoke,revoke_session,app.engines.security.router,TENANT_PROVIDER_MUTATION,service layer scopes by tenant (admin_service.revoke_session); route mutates,ROUTE_LEVEL,admin_finance|admin_operations|admin_readonly|admin_security|customer|staff|super_admin|technician|tenant_owner,no,service:admin_service.revoke_session,no,add|raw_sql,,get_current_user|get_current_user
POST,/v1/chat/conversations,create_conversation,app.engines.chat.router,TENANT_PROVIDER_MUTATION,service layer scopes by tenant (service.get_or_create_conversation); route mutates,ROUTE_LEVEL,admin_finance|admin_operations|admin_readonly|admin_security|customer|staff|super_admin|technician|tenant_owner,no,service:service.get_or_create_conversation,no,add|flush,,get_current_user|get_current_user
POST,/v1/chat/conversations/{conversation_id}/messages,send_message,app.engines.chat.router,TENANT_PROVIDER_MUTATION,service layer scopes by tenant (service.send_message); route mutates,ROUTE_LEVEL,admin_finance|admin_operations|admin_readonly|admin_security|customer|staff|super_admin|technician|tenant_owner,yes,service:service.send_message,no,add|flush,,get_current_user|get_current_user
POST,/v1/payments/orders,create_order,app.engines.payment.router,PRODUCT_DECISION_REQUIRED,mutates shared/global state with neither tenant nor actor derivation,ROUTE_LEVEL,admin_finance|admin_operations|admin_readonly|admin_security|customer|staff|super_admin|technician|tenant_owner,no,,no,,create_order,require_tenant_billing_manage|get_current_user|get_current_user
POST,/v1/payments/invoices,generate_invoice,app.engines.payment.router,TENANT_PROVIDER_MUTATION,service layer scopes by tenant (service.generate_invoice); route mutates,ROUTE_LEVEL,admin_finance|admin_operations|admin_readonly|admin_security|customer|staff|super_admin|technician|tenant_owner,no,service:service.generate_invoice,no,add|flush,,require_tenant_billing_manage|get_current_user|get_current_user
POST,/v1/payments/tenants/{tenant_id}/payout,request_payout,app.engines.payment.router,TENANT_PROVIDER_MUTATION,service layer scopes by tenant (service.request_payout); route mutates,ROUTE_LEVEL,admin_finance|admin_operations|admin_readonly|admin_security|customer|staff|super_admin|technician|tenant_owner,no,service:service.request_payout,no,add|flush,,require_tenant_billing_manage|get_current_user|get_current_user
POST,/v1/inventory/tenants/{tenant_id}/items,create_item,app.engines.inventory.router,TENANT_PROVIDER_MUTATION,service layer scopes by tenant (service.create_item); route mutates,ROUTE_LEVEL,admin_finance|admin_operations|admin_readonly|admin_security|customer|staff|super_admin|technician|tenant_owner,no,service:service.create_item,no,add|flush,,require_tenant_update|get_current_user|get_current_user
POST,/v1/inventory/items/{item_id}/locations/{location_id}/receive,receive_stock,app.engines.inventory.router,PRODUCT_DECISION_REQUIRED,mutates shared/global state with neither tenant nor actor derivation,ROUTE_LEVEL,admin_finance|admin_operations|admin_readonly|admin_security|customer|staff|super_admin|technician|tenant_owner,no,,no,add|flush,,require_tenant_update|get_current_user|get_current_user
POST,/v1/inventory/reservations,create_reservation,app.engines.inventory.router,TENANT_PROVIDER_MUTATION,service layer scopes by tenant (service.create_reservation); route mutates,ROUTE_LEVEL,admin_finance|admin_operations|admin_readonly|admin_security|customer|staff|super_admin|technician|tenant_owner,no,service:service.create_reservation,no,add|flush|raw_sql,,require_tenant_update|get_current_user|get_current_user
POST,/v1/inventory/reservations/confirm,confirm_reservation,app.engines.inventory.router,PRODUCT_DECISION_REQUIRED,mutates shared/global state with neither tenant nor actor derivation,ROUTE_LEVEL,admin_finance|admin_operations|admin_readonly|admin_security|customer|staff|super_admin|technician|tenant_owner,no,,no,add|flush,,require_tenant_update|get_current_user|get_current_user
POST,/v1/inventory/reservations/release,release_reservation,app.engines.inventory.router,PRODUCT_DECISION_REQUIRED,mutates shared/global state with neither tenant nor actor derivation,ROUTE_LEVEL,admin_finance|admin_operations|admin_readonly|admin_security|customer|staff|super_admin|technician|tenant_owner,no,,no,add|flush,,require_tenant_update|get_current_user|get_current_user
PUT,/v1/subscriptions/tenants/{tenant_id}/plan,update_plan,app.engines.subscription.router,TENANT_PROVIDER_MUTATION,service layer scopes by tenant (service.update_plan); route mutates,ROUTE_LEVEL,admin_finance|admin_operations|admin_readonly|admin_security|customer|staff|super_admin|technician|tenant_owner,no,service:service.update_plan,no,add,,require_tenant_billing_manage|get_current_user|get_current_user
POST,/v1/documents,generate_doc,app.engines.document.router,TENANT_PROVIDER_MUTATION,service layer scopes by tenant (service.generate_document); route mutates,ROUTE_LEVEL,admin_finance|admin_operations|admin_readonly|admin_security|customer|staff|super_admin|technician|tenant_owner,no,service:service.generate_document,no,add|flush,,require_tenant_update|get_current_user|get_current_user
POST,/v1/documents/{document_id}/send,send_for_signature,app.engines.document.router,TENANT_PROVIDER_MUTATION,service layer scopes by tenant (service.send_for_signature); route mutates,ROUTE_LEVEL,admin_finance|admin_operations|admin_readonly|admin_security|customer|staff|super_admin|technician|tenant_owner,no,service:service.send_for_signature,no,add,,require_tenant_update|get_current_user|get_current_user
POST,/v1/documents/{document_id}/void,void_document,app.engines.document.router,TENANT_PROVIDER_MUTATION,service layer scopes by tenant (service.void_document); route mutates,ROUTE_LEVEL,admin_finance|admin_operations|admin_readonly|admin_security|customer|staff|super_admin|technician|tenant_owner,no,service:service.void_document,no,add,,require_tenant_update|get_current_user|get_current_user
POST,/v1/bookings,create_booking,app.engines.booking.router,TENANT_PROVIDER_MUTATION,service layer scopes by tenant (service.create_booking); route mutates,ROUTE_LEVEL,admin_finance|admin_operations|admin_readonly|admin_security|customer|staff|super_admin|technician|tenant_owner,yes,service:service.create_booking,yes,add|flush,,require_tenant_mutation_booking_bookings_create|get_current_user|get_current_user
POST,/v1/appointments/hold,hold_slot,app.engines.appointment.router,TENANT_PROVIDER_MUTATION,service layer scopes by tenant (service.hold_slot); route mutates,ROUTE_LEVEL,admin_finance|admin_operations|admin_readonly|admin_security|customer|staff|super_admin|technician|tenant_owner,no,service:service.hold_slot,no,add|flush,,get_current_user|get_current_user
POST,/v1/appointments/{appointment_id}/confirm,confirm_hold,app.engines.appointment.router,TENANT_PROVIDER_MUTATION,service layer scopes by tenant (service.confirm_hold); route mutates,ROUTE_LEVEL,admin_finance|admin_operations|admin_readonly|admin_security|customer|staff|super_admin|technician|tenant_owner,no,service:service.confirm_hold,no,add,,get_current_user|get_current_user
POST,/v1/appointments/{appointment_id}/cancel,cancel_appointment,app.engines.appointment.router,TENANT_PROVIDER_MUTATION,service layer scopes by tenant (service.cancel_appointment); route mutates,ROUTE_LEVEL,admin_finance|admin_operations|admin_readonly|admin_security|customer|staff|super_admin|technician|tenant_owner,no,service:service.cancel_appointment,no,add,,get_current_user|get_current_user
POST,/v1/appointments/{appointment_id}/reschedule,reschedule,app.engines.appointment.router,TENANT_PROVIDER_MUTATION,service layer scopes by tenant (service.reschedule_appointment); route mutates,ROUTE_LEVEL,admin_finance|admin_operations|admin_readonly|admin_security|customer|staff|super_admin|technician|tenant_owner,no,service:service.reschedule_appointment,no,add|flush,,get_current_user|get_current_user
POST,/v1/appointments/{appointment_id}/no-show,mark_no_show,app.engines.appointment.router,TENANT_PROVIDER_MUTATION,service layer scopes by tenant (service.mark_no_show); route mutates,ROUTE_LEVEL,admin_finance|admin_operations|admin_readonly|admin_security|customer|staff|super_admin|technician|tenant_owner,no,service:service.mark_no_show,no,add,,require_tenant_update|get_current_user|get_current_user
POST,/v1/appointments/staff/{staff_id}/calendar/block,block_calendar,app.engines.appointment.router,TENANT_PROVIDER_MUTATION,service layer scopes by tenant (service.block_calendar_time); route mutates,ROUTE_LEVEL,admin_finance|admin_operations|admin_readonly|admin_security|customer|staff|super_admin|technician|tenant_owner,no,service:service.block_calendar_time,no,add|flush,,require_tenant_update|get_current_user|get_current_user
DELETE,/v1/appointments/calendar/blocks/{block_id},unblock_calendar,app.engines.appointment.router,PRODUCT_DECISION_REQUIRED,mutates shared/global state with neither tenant nor actor derivation,ROUTE_LEVEL,admin_finance|admin_operations|admin_readonly|admin_security|customer|staff|super_admin|technician|tenant_owner,no,,no,delete,,require_tenant_update|get_current_user|get_current_user
PUT,/v1/appointments/staff/{staff_id}/working-hours,set_working_hours,app.engines.appointment.router,TENANT_PROVIDER_MUTATION,service layer scopes by tenant (service.set_working_hours); route mutates,ROUTE_LEVEL,admin_finance|admin_operations|admin_readonly|admin_security|customer|staff|super_admin|technician|tenant_owner,no,service:service.set_working_hours,no,add,,require_tenant_update|get_current_user|get_current_user
POST,/v1/catalog,create_item,app.engines.service_catalog.router,TENANT_PROVIDER_MUTATION,service layer scopes by tenant (service.create_item); route mutates,ROUTE_LEVEL,admin_finance|admin_operations|admin_readonly|admin_security|customer|staff|super_admin|technician|tenant_owner,no,service:service.create_item,no,add|flush,,require_tenant_update|get_current_user|get_current_user
PUT,/v1/catalog/{item_id},update_item,app.engines.service_catalog.router,PRODUCT_DECISION_REQUIRED,mutates shared/global state with neither tenant nor actor derivation,ROUTE_LEVEL,admin_finance|admin_operations|admin_readonly|admin_security|customer|staff|super_admin|technician|tenant_owner,no,,no,raw_sql,,require_tenant_update|get_current_user|get_current_user
POST,/v1/geo/tenants/{tenant_id}/zones,create_zone,app.engines.geo.router,TENANT_PROVIDER_MUTATION,service layer scopes by tenant (service.create_zone); route mutates,ROUTE_LEVEL,admin_finance|admin_operations|admin_readonly|admin_security|customer|staff|super_admin|technician|tenant_owner,no,service:service.create_zone,no,add|flush,,require_tenant_update|get_current_user|get_current_user
POST,/v1/geo/tenants/{tenant_id}/staff/{staff_id}/location,update_location,app.engines.geo.router,TENANT_PROVIDER_MUTATION,service layer scopes by tenant (service.update_staff_location); route mutates,ROUTE_LEVEL,admin_finance|admin_operations|admin_readonly|admin_security|customer|staff|super_admin|technician|tenant_owner,yes,service:service.update_staff_location,yes,add|raw_sql,,get_current_user|get_current_user
POST,/v1/dispatch/jobs/{job_id}/dispatch,dispatch_job,app.engines.dispatch.router,TENANT_PROVIDER_MUTATION,service layer scopes by tenant (service.dispatch_job); route mutates,ROUTE_LEVEL,admin_finance|admin_operations|admin_readonly|admin_security|customer|staff|super_admin|technician|tenant_owner,no,service:service.dispatch_job,no,add|flush,,require_tenant_update|get_current_user|get_current_user
POST,/v1/dispatch/jobs/{job_id}/accept,accept_job,app.engines.dispatch.router,PRODUCT_DECISION_REQUIRED,mutates shared/global state with neither tenant nor actor derivation,ROUTE_LEVEL,admin_finance|admin_operations|admin_readonly|admin_security|customer|staff|super_admin|technician|tenant_owner,no,,no,add,,get_current_user|get_current_user
POST,/v1/dispatch/jobs/{job_id}/reject,reject_job,app.engines.dispatch.router,TENANT_PROVIDER_MUTATION,service layer scopes by tenant (service.reject_job); route mutates,ROUTE_LEVEL,admin_finance|admin_operations|admin_readonly|admin_security|customer|staff|super_admin|technician|tenant_owner,no,service:service.reject_job,no,add,,get_current_user|get_current_user
POST,/v1/dispatch/jobs/{job_id}/reassign,reassign,app.engines.dispatch.router,TENANT_PROVIDER_MUTATION,service layer scopes by tenant (service.reassign_job); route mutates,ROUTE_LEVEL,admin_finance|admin_operations|admin_readonly|admin_security|customer|staff|super_admin|technician|tenant_owner,no,service:service.reassign_job,no,add,,require_tenant_update|get_current_user|get_current_user
POST,/v1/jobs/{job_id}/financial-close,financial_close,app.engines.field_ops.router,PRODUCT_DECISION_REQUIRED,mutates shared/global state with neither tenant nor actor derivation,ROUTE_LEVEL,admin_finance|admin_operations|admin_readonly|admin_security|customer|staff|super_admin|technician|tenant_owner,no,,no,add|flush,,require_tenant_mutation_field_ops_jobs_close|get_current_user|get_current_user
