method,path,endpoint,module,final_class,db_writes,external_effects,audit_effects,handler_write_expr
POST,/v1/security/activity/{log_id}/acknowledge,acknowledge_activity,app.engines.security.router,PURE_CALCULATION,,,,no
POST,/v1/reviews,create_review,app.engines.review.router,PURE_CALCULATION,,,,no
POST,/v1/reviews/{review_id}/reply,submit_reply,app.engines.review.router,PURE_CALCULATION,,,,no
POST,/v1/chat/conversations/{conversation_id}/messages/read,mark_read,app.engines.chat.router,PURE_CALCULATION,,,,no
POST,/v1/chat/conversations/{conversation_id}/typing,set_typing,app.engines.chat.router,PURE_CALCULATION,,,,no
PUT,/v1/chat/messages/{message_id},edit_message,app.engines.chat.router,PURE_CALCULATION,,,,no
DELETE,/v1/chat/messages/{message_id},delete_message,app.engines.chat.router,HIDDEN_SIDE_EFFECT_FOUND,,,,yes
PUT,/v1/webhooks/endpoints/{endpoint_id},update_endpoint,app.engines.webhook.router,PURE_CALCULATION,,,,no
DELETE,/v1/webhooks/endpoints/{endpoint_id},delete_endpoint,app.engines.webhook.router,HIDDEN_SIDE_EFFECT_FOUND,,,,yes
POST,/v1/webhooks/endpoints/{endpoint_id}/pause,pause_endpoint,app.engines.webhook.router,PURE_CALCULATION,,,,no
POST,/v1/webhooks/endpoints/{endpoint_id}/resume,resume_endpoint,app.engines.webhook.router,PURE_CALCULATION,,,,no
POST,/v1/inventory/tenants/{tenant_id}/items/{item_id}/replenish,replenish,app.engines.inventory.router,PURE_CALCULATION,,,,no
POST,/v1/bookings/preflight,booking_preflight,app.engines.booking.router,PURE_CALCULATION,,,,no
POST,/v1/bookings/reschedule/{reschedule_id}/reject,reject_reschedule,app.engines.booking.router,PURE_CALCULATION,,,,no
POST,/v1/catalog/{item_id}/deactivate,deactivate_item,app.engines.service_catalog.router,PURE_CALCULATION,,,,no
PUT,/v1/geo/zones/{zone_id},update_zone,app.engines.geo.router,PURE_CALCULATION,,,,no
DELETE,/v1/geo/zones/{zone_id},delete_zone,app.engines.geo.router,HIDDEN_SIDE_EFFECT_FOUND,,,,yes
PUT,/v1/jobs/{job_id}/checklist/items/{item_id},update_checklist_item,app.engines.field_ops.router,SEARCH_OR_QUERY,,,,no
POST,/v1/jobs/{job_id}/spawn-repair,spawn_repair,app.engines.field_ops.router,PURE_CALCULATION,,,,no
POST,/v1/jobs/{job_id}/deduct-commission,deduct_commission,app.engines.field_ops.router,PURE_CALCULATION,,,,no
PUT,/v1/staff/me/jobs/{job_id}/checklist/items/{item_id},my_job_checklist_item,app.engines.field_ops.staff_router,SEARCH_OR_QUERY,,,,no
DELETE,/v1/tenant/checklist-templates/{template_id},delete_template,app.engines.field_ops.checklist_router,HIDDEN_SIDE_EFFECT_FOUND,,,,yes
DELETE,/v1/tenant/checklist-templates/{template_id}/items/{item_id},delete_item,app.engines.field_ops.checklist_router,HIDDEN_SIDE_EFFECT_FOUND,,,,yes
POST,/v1/admin/tenants/{tenant_id}/wallet/top-up,admin_wallet_topup,app.engines.field_ops.admin_finance_router,PURE_CALCULATION,,,,no
POST,/v1/admin/tiers/resolve-location,resolve_location_post,app.engines.admin_catalog.admin_router,PURE_CALCULATION,,,,no
POST,/v1/admin/pricing-rules/preview,preview_pricing,app.engines.admin_catalog.admin_router,PREVIEW,,,,no
POST,/v1/admin/pricing/bargain-rules/{rule_id}/validate,validate_bargain_rule,app.engines.admin_catalog.admin_router,VALIDATION_ONLY,,,,no
POST,/v1/admin/pricing/provider-overrides/validate-preview,validate_provider_override_preview,app.engines.admin_catalog.admin_router,PREVIEW,,,,no
POST,/v1/admin/workflow-templates/seed-defaults/preview,seed_workflow_defaults_preview,app.engines.admin_catalog.admin_router,PREVIEW,,,,no
POST,/v1/admin/workflow-templates/preview-runtime,preview_workflow_runtime,app.engines.admin_catalog.admin_router,PREVIEW,,,,no
POST,/v1/admin/workflow-templates/{template_id}/validate,validate_workflow_template,app.engines.admin_catalog.admin_router,VALIDATION_ONLY,,,,no
POST,/v1/tenant/catalog/price-options/preview,preview_tenant_price_options,app.engines.admin_catalog.tenant_router,PREVIEW,,,,no
POST,/v1/customer/catalog/brands/validate,validate_brand,app.engines.admin_catalog.brand_customer_router,VALIDATION_ONLY,,,,no
POST,/v1/customer/catalog/service-diagnostics/validate,validate_service_diagnostics,app.engines.admin_catalog.service_option_customer_router,VALIDATION_ONLY,,,,no
POST,/v1/admin/service-setup-templates/{template_id}/preview,preview_template,app.engines.admin_catalog.service_setup_template_router,PREVIEW,,,,no
POST,/v1/admin/home-services/price-experience/preview,admin_price_experience_preview,app.engines.admin_catalog.auto_price_options_router,PREVIEW,,,,no
POST,/v1/admin/home-services/matching/diagnostics,admin_matching_diagnostics,app.engines.admin_catalog.auto_price_options_router,PURE_CALCULATION,,,,no
POST,/v1/admin/home-services/service-catalog/price-preview,console_price_preview,app.engines.admin_catalog.home_services_catalog_console_router,PREVIEW,,,,no
POST,/v1/admin/bulk-setup/drafts/{draft_id}/validate,validate_draft,app.engines.admin_catalog.bulk_setup_router,VALIDATION_ONLY,,,,no
POST,/v1/recommendations/evaluate,evaluate_recommendations,app.engines.admin_catalog.recommendation_router,PURE_CALCULATION,,,,no
POST,/v1/recommendations/validate,validate_recommendation,app.engines.admin_catalog.recommendation_router,VALIDATION_ONLY,,,,no
POST,/v1/ai/recommendations,ai_recommendations,app.engines.admin_catalog.recommendation_router,PURE_CALCULATION,,,,no
POST,/v1/admin/bulk-setup/drafts/{draft_id}/recommendations,bulk_setup_draft_recommendations,app.engines.admin_catalog.recommendation_router,PURE_CALCULATION,,,,no
POST,/v1/provider/setup/recommendations,provider_setup_recommendations,app.engines.admin_catalog.recommendation_router,PURE_CALCULATION,,,,no
POST,/v1/customer/booking/recommendations,customer_booking_recommendations,app.engines.admin_catalog.recommendation_router,PURE_CALCULATION,,,,no
POST,/v1/admin/tenants/{tenant_id}/wallet/topup,credit_topup,app.engines.tenant_engine.admin_router,PURE_CALCULATION,,,,no
POST,/v1/tenant/staff/{user_id}/lock,lock_staff,app.engines.tenant_engine.portal_router,PURE_CALCULATION,,,,no
POST,/v1/tenant/staff/{user_id}/unlock,unlock_staff,app.engines.tenant_engine.portal_router,PURE_CALCULATION,,,,no
POST,/v1/tenant/staff/{user_id}/sessions/revoke-all,revoke_staff_sessions,app.engines.tenant_engine.portal_router,PURE_CALCULATION,,,,no
DELETE,/v1/admin/packages/{package_id}/features/{feature_id},delete_package_feature,app.engines.package_commerce.admin_router,HIDDEN_SIDE_EFFECT_FOUND,,,,yes
DELETE,/v1/admin/packages/{package_id}/limits/{limit_id},delete_package_limit,app.engines.package_commerce.admin_router,HIDDEN_SIDE_EFFECT_FOUND,,,,yes
POST,/v1/admin/tenants/{tenant_id}/security-deposit/mark-paid,admin_mark_deposit_paid,app.engines.package_commerce.admin_router,PURE_CALCULATION,,,,no
POST,/v1/admin/tenants/{tenant_id}/security-deposit/refund,admin_refund_deposit,app.engines.package_commerce.admin_router,PURE_CALCULATION,,,,no
POST,/v1/admin/tenants/{tenant_id}/security-deposit/forfeit,admin_forfeit_deposit,app.engines.package_commerce.admin_router,PURE_CALCULATION,,,,no
POST,/v1/ds/anomalies/{anomaly_id}/acknowledge,acknowledge_anomaly,app.engines.data_science.router,PURE_CALCULATION,,,,no
POST,/v1/rag/search,search,app.engines.rag.router,SEARCH_OR_QUERY,,,,no
POST,/v1/admin/settings/{setting_key}/impact-preview,impact_preview,app.engines.settings_engine.admin_router,PREVIEW,,,,no
POST,/v1/admin/settings/resolve-effective-value,resolve_effective_value,app.engines.settings_engine.admin_router,PURE_CALCULATION,,,,no
POST,/v1/admin/settings/feature-flags/{flag_id}/enable,enable_feature_flag,app.engines.settings_engine.admin_router,PURE_CALCULATION,,,,no
POST,/v1/admin/settings/feature-flags/{flag_id}/disable,disable_feature_flag,app.engines.settings_engine.admin_router,PURE_CALCULATION,,,,no
POST,/v1/notifications/{notification_id}/retry,retry,app.engines.notification.router,PURE_CALCULATION,,,,no
PUT,/v1/notifications/templates/{template_id},update_template,app.engines.notification.router,PURE_CALCULATION,,,,no
DELETE,/v1/notifications/templates/{template_id},delete_template,app.engines.notification.router,HIDDEN_SIDE_EFFECT_FOUND,,,,yes
POST,/v1/notifications/tenants/{tenant_id}/channels/{channel}/test,test_channel,app.engines.notification.router,PURE_CALCULATION,,,,no
POST,/v1/ai/chat,ai_chat,app.engines.ai_chat.router,PURE_CALCULATION,,,,no
DELETE,/v1/pricing/city-tiers/{config_id},delete_city_tier,app.engines.pricing.router,HIDDEN_SIDE_EFFECT_FOUND,,,,yes
POST,/v1/pricing/tenants/{tenant_id}/rules/{rule_id}/activate,activate_rule,app.engines.pricing.router,PURE_CALCULATION,,,,no
POST,/v1/pricing/tenants/{tenant_id}/rules/{rule_id}/deactivate,deactivate_rule,app.engines.pricing.router,PURE_CALCULATION,,,,no
POST,/v1/pricing/tenants/{tenant_id}/price-preview,preview_price,app.engines.pricing.router,PREVIEW,,,,no
POST,/v1/pricing/snapshots/{snapshot_id}/replay,replay_snapshot,app.engines.pricing.router,PURE_CALCULATION,,,,no
POST,/v1/pricing/tenants/{tenant_id}/cache/invalidate,invalidate_cache,app.engines.pricing.router,VALIDATION_ONLY,,,,no
DELETE,/v1/commerce/packages/{package_id},archive_package,app.engines.platform_commerce.router,HIDDEN_SIDE_EFFECT_FOUND,,,,yes
POST,/v1/commerce/tenants/{tenant_id}/wallet/deduct,engine_deduct,app.engines.platform_commerce.router,PURE_CALCULATION,,,,no
POST,/v1/commerce/bookings/{booking_id}/reservation/confirm,confirm_reservation,app.engines.platform_commerce.router,PURE_CALCULATION,,,,no
POST,/v1/commerce/warranty/claims/{claim_id}/reject,reject_claim,app.engines.platform_commerce.router,PURE_CALCULATION,,,,no
POST,/v1/commerce/bookings/preflight,run_preflight,app.engines.platform_commerce.router,PURE_CALCULATION,,,,no
POST,/v1/customer/flow/resolve,resolve_customer_flow,app.engines.customer_flow.router,PURE_CALCULATION,,,,no
POST,/v1/admin/categories/{category_id}/engines/{engine_id}/disable,disable_category_engine,app.engines.admin_catalog.category_runtime_router,PURE_CALCULATION,,,,no
POST,/v1/admin/categories/{category_id}/dashboard-modules,create_dashboard_module,app.engines.admin_catalog.category_runtime_router,PURE_CALCULATION,,,,no
POST,/v1/admin/categories/{category_id}/dashboard-modules/{module_id}/enable,enable_module,app.engines.admin_catalog.category_runtime_router,PURE_CALCULATION,,,,no
POST,/v1/admin/categories/{category_id}/dashboard-modules/{module_id}/disable,disable_module,app.engines.admin_catalog.category_runtime_router,PURE_CALCULATION,,,,no
POST,/v1/admin/categories/{category_id}/dashboard-modules/reorder,reorder_modules,app.engines.admin_catalog.category_runtime_router,PURE_CALCULATION,,,,no
POST,/v1/admin/ai-chat/test-console,admin_test_console,app.engines.ai_conversation.admin_router,PURE_CALCULATION,,,,no
POST,/v1/customer/bookings/{booking_id}/rating,submit_booking_rating,app.engines.home_service_assignment.customer_router,PURE_CALCULATION,,,,no
POST,/v1/admin/service-jobs/{job_id}/status-override,admin_override_status,app.engines.execution.home_service_router,PURE_CALCULATION,,,,no
POST,/v1/admin/service-jobs/{job_id}/force-close,admin_force_close,app.engines.execution.home_service_router,PURE_CALCULATION,,,,no
POST,/v1/admin/service-jobs/{job_id}/void,admin_void,app.engines.execution.home_service_router,PURE_CALCULATION,,,,no
POST,/v1/customer/service-invoices/{invoice_id}/apply-credit,customer_apply_credit,app.engines.invoice_payment.customer_router,PURE_CALCULATION,,,,no
POST,/v1/admin/analytics/operational-alerts/{alert_id}/resolve,resolve_alert,app.engines.analytics.platform_router,PURE_CALCULATION,,,,no
POST,/v1/admin/analytics/operational-alerts/{alert_id}/ignore,ignore_alert,app.engines.analytics.platform_router,PURE_CALCULATION,,,,no
POST,/v1/admin/analytics/reports/export,export_report,app.engines.analytics.platform_router,PURE_CALCULATION,,,,no
POST,/v1/admin/marketing/segments/preview,preview_segment,app.engines.marketing_automation.admin_router,PREVIEW,,,,no
POST,/v1/admin/marketing/automation-triggers/{trigger_key}/run,run_trigger,app.engines.marketing_automation.admin_router,PURE_CALCULATION,,,,no
POST,/v1/provider/team-members/{member_id}/create-login,create_member_login,app.engines.provider_portal.router,PURE_CALCULATION,,,,no
POST,/v1/provider/home-services/matching-inputs/preview,preview_matching_inputs,app.engines.provider_portal.router,PREVIEW,,,,no
POST,/v1/provider/onboarding/refresh,refresh_onboarding,app.engines.provider_portal.router,PURE_CALCULATION,,,,no
POST,/v1/admin/onboarding/providers/{tenant_id}/send-reminder,send_provider_reminder,app.engines.provider_portal.admin_router,PURE_CALCULATION,,,,no
POST,/v1/admin/onboarding/providers/{tenant_id}/refresh,refresh_provider_onboarding,app.engines.provider_portal.admin_router,PURE_CALCULATION,,,,no
POST,/v1/admin/monetization/providers/{tenant_id}/sync,sync_monetization,app.engines.provider_portal.admin_router,PURE_CALCULATION,,,,no
POST,/v1/admin/service-setup/templates/seed-defaults/preview,seed_defaults_preview,app.engines.service_setup.templates_router,PREVIEW,,,,no
POST,/v1/admin/service-setup/templates/{template_id}/validate,validate_template,app.engines.service_setup.templates_router,VALIDATION_ONLY,,,,no
POST,/v1/admin/marketing/social-accounts/{account_id}/test,test_social_account,app.engines.marketing_command_center.admin_router,PURE_CALCULATION,,,,no
POST,/v1/admin/intelligence/knowledge-bases/seed-defaults/preview,seed_defaults_preview,app.engines.analytics.kb_router,PREVIEW,,,,no
POST,/v1/admin/intelligence/knowledge-bases/{kb_id}/access-preview,preview_access,app.engines.analytics.kb_router,PREVIEW,,,,no
POST,/v1/admin/intelligence/models/{model_id}/evaluate,evaluate_model,app.engines.analytics.intelligence_router,PURE_CALCULATION,,,,no
POST,/v1/admin/workflows/templates/seed-defaults/preview,seed_defaults_preview,app.engines.workflows.workflow_router,PREVIEW,,,,no
POST,/v1/admin/workflows/templates/{wid}/simulate,simulate_template,app.engines.workflows.workflow_router,PREVIEW,,,,no
POST,/v1/admin/roles,create_role,app.engines.roles_permissions.admin_router,PURE_CALCULATION,,,,no
POST,/v1/admin/roles/{role_id}/enable,enable_role,app.engines.roles_permissions.admin_router,PURE_CALCULATION,,,,no
POST,/v1/admin/roles/{role_id}/disable,disable_role,app.engines.roles_permissions.admin_router,PURE_CALCULATION,,,,no
