method,path,endpoint,canonical_guard,final_persona,final_disposition,basis,evidence_source,admitted_roles,actor_derivation,tenant_derivation,role_branching,db_writes,external_effects,auth_dependencies
PUT,/v1/tenant/service-areas/{area_id},update_tenant_service_area,TENANT_MUTATION_PERMISSION_SCOPE_AWARE,TENANT_PROVIDER_MUTATION,CANONICAL_ROW_CONFIRMED,service layer scopes by tenant (cached); route mutates,runtime dependency + AST,admin_finance|admin_operations|admin_readonly|admin_security|customer|staff|super_admin|technician|tenant_owner,no,service:cached,no,commit|flush|raw_sql,,require_tenant_mutation_tenant_service_area_update|get_current_user|get_current_user
DELETE,/v1/tenant/service-areas/{area_id},delete_tenant_service_area,TENANT_MUTATION_PERMISSION_SCOPE_AWARE,TENANT_PROVIDER_MUTATION,CANONICAL_ROW_CONFIRMED,service layer scopes by tenant (cached); route mutates,runtime dependency + AST,admin_finance|admin_operations|admin_readonly|admin_security|customer|staff|super_admin|technician|tenant_owner,no,service:cached,no,commit|flush,,require_tenant_mutation_tenant_service_area_delete|get_current_user|get_current_user
POST,/v1/tenant/service-areas/{area_id}/services,add_service_mapping,TENANT_MUTATION_PERMISSION_SCOPE_AWARE,TENANT_PROVIDER_MUTATION,CANONICAL_ROW_CONFIRMED,service layer scopes by tenant (cached); route mutates,runtime dependency + AST,admin_finance|admin_operations|admin_readonly|admin_security|customer|staff|super_admin|technician|tenant_owner,no,service:cached,no,add|commit,,require_tenant_mutation_tenant_service_area_service_create|get_current_user|get_current_user
PUT,/v1/tenant/service-areas/{area_id}/services/{mapping_id},update_service_mapping,TENANT_MUTATION_PERMISSION_SCOPE_AWARE,PRODUCT_DECISION_REQUIRED,CANONICAL_PERSONA_CORRECTED,mutates shared/global state with neither tenant nor actor derivation,runtime dependency + AST,admin_finance|admin_operations|admin_readonly|admin_security|customer|staff|super_admin|technician|tenant_owner,no,,no,commit|raw_sql,,require_tenant_mutation_tenant_service_area_service_update|get_current_user|get_current_user
DELETE,/v1/tenant/service-areas/{area_id}/services/{mapping_id},delete_service_mapping,TENANT_MUTATION_PERMISSION_SCOPE_AWARE,PRODUCT_DECISION_REQUIRED,CANONICAL_PERSONA_CORRECTED,mutates shared/global state with neither tenant nor actor derivation,runtime dependency + AST,admin_finance|admin_operations|admin_readonly|admin_security|customer|staff|super_admin|technician|tenant_owner,no,,no,commit,,require_tenant_mutation_tenant_service_area_service_delete|get_current_user|get_current_user
POST,/v1/tenant/service-areas/{area_id}/set-primary,set_primary_tenant_service_area,TENANT_MUTATION_PERMISSION_SCOPE_AWARE,TENANT_PROVIDER_MUTATION,CANONICAL_ROW_CONFIRMED,service layer scopes by tenant (cached); route mutates,runtime dependency + AST,admin_finance|admin_operations|admin_readonly|admin_security|customer|staff|super_admin|technician|tenant_owner,no,service:cached,no,commit,,require_tenant_mutation_tenant_service_area_update|get_current_user|get_current_user
POST,/v1/tenant/staff/{user_id}/lock,lock_staff,TENANT_MUTATION_ROLE_SCOPE_AWARE,TENANT_PROVIDER_MUTATION,CANONICAL_ROW_CONFIRMED,dependency admits only tenant-side roles,runtime dependency + AST,super_admin|tenant_owner,no,,no,,,require_tenant_owner_mutation|require_tenant_owner|get_current_user
POST,/v1/tenant/staff/{user_id}/sessions/revoke-all,revoke_staff_sessions,TENANT_MUTATION_ROLE_SCOPE_AWARE,TENANT_PROVIDER_MUTATION,CANONICAL_ROW_CONFIRMED,dependency admits only tenant-side roles,runtime dependency + AST,super_admin|tenant_owner,no,_tenant_id(),no,,,require_tenant_owner_mutation|require_tenant_owner|get_current_user
POST,/v1/tenant/staff/{user_id}/unlock,unlock_staff,TENANT_MUTATION_ROLE_SCOPE_AWARE,TENANT_PROVIDER_MUTATION,CANONICAL_ROW_CONFIRMED,dependency admits only tenant-side roles,runtime dependency + AST,super_admin|tenant_owner,no,,no,,,require_tenant_owner_mutation|require_tenant_owner|get_current_user
POST,/v1/tenants/onboarding/signup,submit_signup,PUBLIC_NO_AUTH,PRODUCT_DECISION_REQUIRED,CANONICAL_PERSONA_CORRECTED,mutates shared/global state with neither tenant nor actor derivation,runtime dependency + AST,ALL_AUTHENTICATED,no,,no,add|flush,,NONE
POST,/v1/tenants/onboarding/{request_id}/activate,activate_tenant,PLATFORM_ADMIN_ONLY,PLATFORM_ADMIN_MUTATION,CANONICAL_PERSONA_CORRECTED,dependency admits super_admin only,runtime dependency + AST,super_admin,no,service:service.activate_tenant,no,add|flush,,require_super_admin|get_current_user|get_current_user
PUT,/v1/tenants/onboarding/{request_id}/checklist/{item_key},update_checklist,PLATFORM_ADMIN_ONLY,PLATFORM_ADMIN_MUTATION,CANONICAL_PERSONA_CORRECTED,dependency admits super_admin only,runtime dependency + AST,super_admin,no,,no,raw_sql,,require_super_admin|get_current_user|get_current_user
POST,/v1/tenants/onboarding/{request_id}/preflight-check,preflight_check,PLATFORM_ADMIN_ONLY,PLATFORM_ADMIN_MUTATION,CANONICAL_PERSONA_CORRECTED,dependency admits super_admin only,runtime dependency + AST,super_admin,no,,no,,,require_super_admin|get_current_user|get_current_user
POST,/v1/tenants/onboarding/{request_id}/reject,reject_onboarding,PLATFORM_ADMIN_ONLY,PLATFORM_ADMIN_MUTATION,CANONICAL_PERSONA_CORRECTED,dependency admits super_admin only,runtime dependency + AST,super_admin,no,,no,,,require_super_admin|get_current_user|get_current_user
POST,/v1/tenants/onboarding/{request_id}/request-documents,request_documents,PLATFORM_ADMIN_ONLY,PLATFORM_ADMIN_MUTATION,CANONICAL_PERSONA_CORRECTED,dependency admits super_admin only,runtime dependency + AST,super_admin,no,,no,,,require_super_admin|get_current_user|get_current_user
POST,/v1/tenants/onboarding/{request_id}/start-review,start_review,PLATFORM_ADMIN_ONLY,PLATFORM_ADMIN_MUTATION,CANONICAL_PERSONA_CORRECTED,dependency admits super_admin only,runtime dependency + AST,super_admin,no,,no,,,require_super_admin|get_current_user|get_current_user
PUT,/v1/tenants/{tenant_id},update_tenant,TENANT_MUTATION_PERMISSION_SCOPE_AWARE,PRODUCT_DECISION_REQUIRED,CANONICAL_PERSONA_CORRECTED,mutates shared/global state with neither tenant nor actor derivation,runtime dependency + AST,admin_finance|admin_operations|admin_readonly|admin_security|customer|staff|super_admin|technician|tenant_owner,no,,no,add|raw_sql,,require_tenant_mutation_tenant_update|get_current_user|get_current_user
POST,/v1/tenants/{tenant_id}/billing/dunning,trigger_dunning,PLATFORM_ADMIN_ONLY,PLATFORM_ADMIN_MUTATION,CANONICAL_PERSONA_CORRECTED,dependency admits super_admin only,runtime dependency + AST,super_admin,no,,no,,,require_super_admin|get_current_user|get_current_user
PUT,/v1/tenants/{tenant_id}/billing/payment-method,update_payment_method,TENANT_MUTATION_PERMISSION_SCOPE_AWARE,PRODUCT_DECISION_REQUIRED,CANONICAL_PERSONA_CORRECTED,mutates shared/global state with neither tenant nor actor derivation,runtime dependency + AST,admin_finance|admin_operations|admin_readonly|admin_security|customer|staff|super_admin|technician|tenant_owner,no,,no,add|raw_sql,,require_tenant_mutation_tenant_billing_manage|get_current_user|get_current_user
POST,/v1/tenants/{tenant_id}/data/delete-request,gdpr_deletion,TENANT_MUTATION_PERMISSION_SCOPE_AWARE,PRODUCT_DECISION_REQUIRED,CANONICAL_PERSONA_CORRECTED,mutates shared/global state with neither tenant nor actor derivation,runtime dependency + AST,admin_finance|admin_operations|admin_readonly|admin_security|customer|staff|super_admin|technician|tenant_owner,no,,no,add,,require_tenant_mutation_tenant_data_delete|get_current_user|get_current_user
POST,/v1/tenants/{tenant_id}/data/export,request_data_export,TENANT_MUTATION_PERMISSION_SCOPE_AWARE,PRODUCT_DECISION_REQUIRED,CANONICAL_PERSONA_CORRECTED,mutates shared/global state with neither tenant nor actor derivation,runtime dependency + AST,admin_finance|admin_operations|admin_readonly|admin_security|customer|staff|super_admin|technician|tenant_owner,no,,no,add,,require_tenant_mutation_tenant_data_export|get_current_user|get_current_user
POST,/v1/tenants/{tenant_id}/engines/bulk-disable,bulk_disable,TENANT_MUTATION_PERMISSION_SCOPE_AWARE,READ_ONLY_FALSE_POSITIVE,CANONICAL_PERSONA_CORRECTED,no persistent or external effect,runtime dependency + AST,admin_finance|admin_operations|admin_readonly|admin_security|customer|staff|super_admin|technician|tenant_owner,no,,no,,,require_tenant_mutation_tenant_engines_manage|get_current_user|get_current_user
POST,/v1/tenants/{tenant_id}/engines/bulk-enable,bulk_enable,TENANT_MUTATION_PERMISSION_SCOPE_AWARE,PRODUCT_DECISION_REQUIRED,CANONICAL_PERSONA_CORRECTED,mutates shared/global state with neither tenant nor actor derivation,runtime dependency + AST,admin_finance|admin_operations|admin_readonly|admin_security|customer|staff|super_admin|technician|tenant_owner,no,,no,add,,require_tenant_mutation_tenant_engines_manage|get_current_user|get_current_user
PUT,/v1/tenants/{tenant_id}/engines/{engine_id}/config,update_engine_config,TENANT_MUTATION_PERMISSION_SCOPE_AWARE,TENANT_PROVIDER_MUTATION,CANONICAL_ROW_CONFIRMED,service layer scopes by tenant (cached); route mutates,runtime dependency + AST,admin_finance|admin_operations|admin_readonly|admin_security|customer|staff|super_admin|technician|tenant_owner,no,service:cached,no,add|raw_sql,,require_tenant_mutation_tenant_engines_manage|get_current_user|get_current_user
POST,/v1/tenants/{tenant_id}/engines/{engine_id}/config/validate,validate_engine_config,TENANT_MUTATION_PERMISSION_SCOPE_AWARE,READ_ONLY_FALSE_POSITIVE,CANONICAL_PERSONA_CORRECTED,no persistent or external effect,runtime dependency + AST,admin_finance|admin_operations|admin_readonly|admin_security|customer|staff|super_admin|technician|tenant_owner,no,,no,,,require_tenant_mutation_tenant_engines_manage|get_current_user|get_current_user
POST,/v1/tenants/{tenant_id}/engines/{engine_id}/disable,disable_engine,TENANT_MUTATION_PERMISSION_SCOPE_AWARE,TENANT_PROVIDER_MUTATION,CANONICAL_ROW_CONFIRMED,service layer scopes by tenant (cached); route mutates,runtime dependency + AST,admin_finance|admin_operations|admin_readonly|admin_security|customer|staff|super_admin|technician|tenant_owner,no,service:cached,no,add,,require_tenant_mutation_tenant_engines_manage|get_current_user|get_current_user
POST,/v1/tenants/{tenant_id}/engines/{engine_id}/enable,enable_engine,TENANT_MUTATION_PERMISSION_SCOPE_AWARE,TENANT_PROVIDER_MUTATION,CANONICAL_ROW_CONFIRMED,service layer scopes by tenant (cached); route mutates,runtime dependency + AST,admin_finance|admin_operations|admin_readonly|admin_security|customer|staff|super_admin|technician|tenant_owner,no,service:cached,no,add,,require_tenant_mutation_tenant_engines_manage|get_current_user|get_current_user
PUT,/v1/tenants/{tenant_id}/feature-flags/{flag_key},set_feature_flag,TENANT_MUTATION_PERMISSION_SCOPE_AWARE,TENANT_PROVIDER_MUTATION,CANONICAL_ROW_CONFIRMED,service layer scopes by tenant (cached); route mutates,runtime dependency + AST,admin_finance|admin_operations|admin_readonly|admin_security|customer|staff|super_admin|technician|tenant_owner,no,service:cached,no,add,,require_tenant_mutation_tenant_flags_manage|get_current_user|get_current_user
DELETE,/v1/tenants/{tenant_id}/feature-flags/{flag_key},delete_feature_flag,TENANT_MUTATION_PERMISSION_SCOPE_AWARE,TENANT_PROVIDER_MUTATION,CANONICAL_ROW_CONFIRMED,service layer scopes by tenant (cached); route mutates,runtime dependency + AST,admin_finance|admin_operations|admin_readonly|admin_security|customer|staff|super_admin|technician|tenant_owner,no,service:cached,no,add|delete,,require_tenant_mutation_tenant_flags_manage|get_current_user|get_current_user
POST,/v1/tenants/{tenant_id}/plan/downgrade,downgrade_plan,TENANT_MUTATION_PERMISSION_SCOPE_AWARE,PRODUCT_DECISION_REQUIRED,CANONICAL_PERSONA_CORRECTED,mutates shared/global state with neither tenant nor actor derivation,runtime dependency + AST,admin_finance|admin_operations|admin_readonly|admin_security|customer|staff|super_admin|technician|tenant_owner,no,,no,add,,require_tenant_mutation_tenant_plan_manage|get_current_user|get_current_user
POST,/v1/tenants/{tenant_id}/plan/upgrade,upgrade_plan,TENANT_MUTATION_PERMISSION_SCOPE_AWARE,PRODUCT_DECISION_REQUIRED,CANONICAL_PERSONA_CORRECTED,mutates shared/global state with neither tenant nor actor derivation,runtime dependency + AST,admin_finance|admin_operations|admin_readonly|admin_security|customer|staff|super_admin|technician|tenant_owner,no,,no,add,,require_tenant_mutation_tenant_plan_manage|get_current_user|get_current_user
POST,/v1/tenants/{tenant_id}/reinstate,reinstate_tenant,TENANT_MUTATION_PERMISSION_SCOPE_AWARE,PRODUCT_DECISION_REQUIRED,CANONICAL_PERSONA_CORRECTED,mutates shared/global state with neither tenant nor actor derivation,runtime dependency + AST,admin_finance|admin_operations|admin_readonly|admin_security|customer|staff|super_admin|technician|tenant_owner,no,,no,add,,require_tenant_mutation_tenant_reinstate|get_current_user|get_current_user
POST,/v1/tenants/{tenant_id}/suspend,suspend_tenant,TENANT_MUTATION_PERMISSION_SCOPE_AWARE,TENANT_PROVIDER_MUTATION,CANONICAL_ROW_CONFIRMED,service layer scopes by tenant (cached); route mutates,runtime dependency + AST,admin_finance|admin_operations|admin_readonly|admin_security|customer|staff|super_admin|technician|tenant_owner,no,service:cached,no,add,publish,require_tenant_mutation_tenant_suspend|get_current_user|get_current_user
POST,/v1/tenants/{tenant_id}/terminate/begin,begin_termination,TENANT_MUTATION_PERMISSION_SCOPE_AWARE,PRODUCT_DECISION_REQUIRED,CANONICAL_PERSONA_CORRECTED,mutates shared/global state with neither tenant nor actor derivation,runtime dependency + AST,admin_finance|admin_operations|admin_readonly|admin_security|customer|staff|super_admin|technician|tenant_owner,no,,no,add,,require_tenant_mutation_tenant_terminate|get_current_user|get_current_user
POST,/v1/tenants/{tenant_id}/terminate/confirm,confirm_termination,TENANT_MUTATION_PERMISSION_SCOPE_AWARE,TENANT_PROVIDER_MUTATION,CANONICAL_ROW_CONFIRMED,service layer scopes by tenant (cached); route mutates,runtime dependency + AST,admin_finance|admin_operations|admin_readonly|admin_security|customer|staff|super_admin|technician|tenant_owner,no,service:cached,no,add,,require_tenant_mutation_tenant_terminate|get_current_user|get_current_user
POST,/v1/tenants/{tenant_id}/trial/convert,convert_trial,TENANT_MUTATION_PERMISSION_SCOPE_AWARE,PRODUCT_DECISION_REQUIRED,CANONICAL_PERSONA_CORRECTED,mutates shared/global state with neither tenant nor actor derivation,runtime dependency + AST,admin_finance|admin_operations|admin_readonly|admin_security|customer|staff|super_admin|technician|tenant_owner,no,,no,add,,require_tenant_mutation_tenant_plan_manage|get_current_user|get_current_user
POST,/v1/jobs/quotes/{quote_id}/respond,respond_to_quote,CUSTOMER_ROLE_ONLY_NOT_TENANT_SCOPED,CUSTOMER_SELF_SERVICE_MUTATION,CANONICAL_PERSONA_CORRECTED,dependency admits customer only,runtime dependency + AST,customer,yes,service:service.respond_to_quote,no,add,,require_customer|get_current_user|get_current_user
PUT,/v1/jobs/{job_id}/checklist/items/{item_id},update_checklist_item,STAFF_EXECUTION_ROLE_SCOPE_AWARE,TENANT_PROVIDER_MUTATION,CANONICAL_ROW_CONFIRMED,dependency admits only tenant-side roles,runtime dependency + AST,staff|technician,no,,no,,,require_staff_or_technician_only|get_current_user|get_current_user
POST,/v1/jobs/{job_id}/deduct-commission,deduct_commission,TENANT_MUTATION_PERMISSION_SCOPE_AWARE,TENANT_PROVIDER_MUTATION,CANONICAL_ROW_CONFIRMED,tenant derived from the authenticated principal and route mutates,runtime dependency + AST,admin_finance|admin_operations|admin_readonly|admin_security|customer|staff|super_admin|technician|tenant_owner,no,self.actor_tenant_id,no,,,require_tenant_mutation_field_ops_jobs_close|get_current_user|get_current_user
POST,/v1/jobs/{job_id}/financial-close,financial_close,TENANT_MUTATION_PERMISSION_SCOPE_AWARE,PRODUCT_DECISION_REQUIRED,CANONICAL_PERSONA_CORRECTED,mutates shared/global state with neither tenant nor actor derivation,runtime dependency + AST,admin_finance|admin_operations|admin_readonly|admin_security|customer|staff|super_admin|technician|tenant_owner,no,,no,add|flush,,require_tenant_mutation_field_ops_jobs_close|get_current_user|get_current_user
POST,/v1/jobs/{job_id}/quotes/{quote_id}/approve,approve_job_quote,CUSTOMER_ROLE_ONLY_NOT_TENANT_SCOPED,CUSTOMER_SELF_SERVICE_MUTATION,CANONICAL_PERSONA_CORRECTED,dependency admits customer only,runtime dependency + AST,customer,yes,service:service.approve_job_quote,no,add,,require_customer|get_current_user|get_current_user
POST,/v1/jobs/{job_id}/quotes/{quote_id}/reject,reject_job_quote,CUSTOMER_ROLE_ONLY_NOT_TENANT_SCOPED,CUSTOMER_SELF_SERVICE_MUTATION,CANONICAL_PERSONA_CORRECTED,dependency admits customer only,runtime dependency + AST,customer,yes,service:service.reject_job_quote,no,add,,require_customer|get_current_user|get_current_user
POST,/v1/jobs/{job_id}/spawn-repair,spawn_repair,TENANT_MUTATION_PERMISSION_SCOPE_AWARE,TENANT_PROVIDER_MUTATION,CANONICAL_ROW_CONFIRMED,tenant derived from the authenticated principal and route mutates,runtime dependency + AST,admin_finance|admin_operations|admin_readonly|admin_security|customer|staff|super_admin|technician|tenant_owner,no,self.actor_tenant_id,no,,,require_tenant_mutation_tenant_update|get_current_user|get_current_user
POST,/v1/bookings/reschedule/{reschedule_id}/reject,reject_reschedule,TENANT_MUTATION_PERMISSION_SCOPE_AWARE,TENANT_PROVIDER_MUTATION,CANONICAL_ROW_CONFIRMED,tenant derived from the authenticated principal and route mutates,runtime dependency + AST,admin_finance|admin_operations|admin_readonly|admin_security|customer|staff|super_admin|technician|tenant_owner,no,self.actor_tenant_id,no,,,require_tenant_mutation_tenant_update|get_current_user|get_current_user
POST,/v1/reviews/{review_id}/reply,submit_reply,TENANT_MUTATION_PERMISSION_SCOPE_AWARE,TENANT_PROVIDER_MUTATION,CANONICAL_ROW_CONFIRMED,tenant derived from the authenticated principal and route mutates,runtime dependency + AST,admin_finance|admin_operations|admin_readonly|admin_security|customer|staff|super_admin|technician|tenant_owner,no,_get_review_scoped()|self.actor_tenant_id,no,,,require_tenant_mutation_tenant_update|get_current_user|get_current_user
