method,path,m_side_effect,t_side_effect,agree_side_effect,m_capability_family,t_capability_family,agree_capability_family,m_capability_action,t_capability_action,agree_capability_action,m_persona,t_persona,agree_persona,m_tenant_direction,t_tenant_direction,agree_tenant_direction,m_abstention,t_abstention
POST,/v1/notifications/send,DATABASE_MUTATION,DATABASE_MUTATION,True,notification,notification,True,REQUIRES_MANUAL_ACTION_ADJUDICATION,REQUIRES_MANUAL_ACTION_ADJUDICATION,True,TENANT_PROVIDER_MUTATION,TENANT_PROVIDER_MUTATION,True,CLIENT_ASSERTED_TARGET_TENANT,CLIENT_ASSERTED_TARGET_TENANT,True,,
POST,/v1/rag/documents/{doc_id}/reindex,DATABASE_MUTATION,DATABASE_MUTATION,True,other,other,True,REQUIRES_MANUAL_ACTION_ADJUDICATION,REQUIRES_MANUAL_ACTION_ADJUDICATION,True,REQUIRES_MANUAL_ADJUDICATION,REQUIRES_MANUAL_ADJUDICATION,True,REQUIRES_MANUAL_TENANT_ADJUDICATION,REQUIRES_MANUAL_TENANT_ADJUDICATION,True,OWNERSHIP_CHECK_IN_SERVICE_NOT_TRACEABLE,OWNERSHIP_CHECK_IN_SERVICE_NOT_TRACEABLE
POST,/v1/rag/knowledge-bases,DATABASE_MUTATION,DATABASE_MUTATION,True,other,other,True,create,create,True,TENANT_PROVIDER_MUTATION,TENANT_PROVIDER_MUTATION,True,CLIENT_ASSERTED_TARGET_TENANT,CLIENT_ASSERTED_TARGET_TENANT,True,,
POST,/v1/rag/knowledge-bases/{kb_id}/documents,DATABASE_MUTATION,DATABASE_MUTATION,True,other,other,True,import,import,True,REQUIRES_MANUAL_ADJUDICATION,REQUIRES_MANUAL_ADJUDICATION,True,REQUIRES_MANUAL_TENANT_ADJUDICATION,REQUIRES_MANUAL_TENANT_ADJUDICATION,True,OWNERSHIP_CHECK_IN_SERVICE_NOT_TRACEABLE,OWNERSHIP_CHECK_IN_SERVICE_NOT_TRACEABLE
POST,/v1/security/api-keys/{key_id}/revoke,DATABASE_MUTATION,DATABASE_MUTATION,True,security_audit,security_audit,True,revoke,revoke,True,TENANT_PROVIDER_MUTATION,TENANT_PROVIDER_MUTATION,True,CLIENT_ASSERTED_TARGET_TENANT,CLIENT_ASSERTED_TARGET_TENANT,True,,
POST,/v1/security/api-keys/{key_id}/rotate,DATABASE_MUTATION,DATABASE_MUTATION,True,security_audit,security_audit,True,rotate,rotate,True,TENANT_PROVIDER_MUTATION,TENANT_PROVIDER_MUTATION,True,CLIENT_ASSERTED_TARGET_TENANT,CLIENT_ASSERTED_TARGET_TENANT,True,,
POST,/v1/serviceability/check,DATABASE_MUTATION,DATABASE_MUTATION,True,geography_serviceability,geography_serviceability,True,REQUIRES_MANUAL_ACTION_ADJUDICATION,REQUIRES_MANUAL_ACTION_ADJUDICATION,True,TENANT_PROVIDER_MUTATION,REQUIRES_MANUAL_ADJUDICATION,False,OBJECT_DERIVED_TENANT,REQUIRES_MANUAL_TENANT_ADJUDICATION,False,,OWNERSHIP_CHECK_IN_SERVICE_NOT_TRACEABLE
PUT,/v1/appointments/staff/{staff_id}/working-hours,DATABASE_MUTATION,DATABASE_MUTATION,True,booking,booking,True,update,update,True,TENANT_PROVIDER_MUTATION,TENANT_PROVIDER_MUTATION,True,CLIENT_ASSERTED_TARGET_TENANT,CLIENT_ASSERTED_TARGET_TENANT,True,,
PUT,/v1/auth/staff/{user_id}/schedule,DATABASE_MUTATION,DATABASE_MUTATION,True,staff_management,staff_management,True,update,update,True,REQUIRES_MANUAL_ADJUDICATION,REQUIRES_MANUAL_ADJUDICATION,True,REQUIRES_MANUAL_TENANT_ADJUDICATION,REQUIRES_MANUAL_TENANT_ADJUDICATION,True,OWNERSHIP_CHECK_IN_SERVICE_NOT_TRACEABLE,OWNERSHIP_CHECK_IN_SERVICE_NOT_TRACEABLE
PUT,/v1/catalog/{item_id},DATABASE_MUTATION,DATABASE_MUTATION,True,catalog,catalog,True,update,update,True,REQUIRES_MANUAL_ADJUDICATION,REQUIRES_MANUAL_ADJUDICATION,True,REQUIRES_MANUAL_TENANT_ADJUDICATION,REQUIRES_MANUAL_TENANT_ADJUDICATION,True,OWNERSHIP_CHECK_IN_SERVICE_NOT_TRACEABLE,OWNERSHIP_CHECK_IN_SERVICE_NOT_TRACEABLE
PUT,/v1/pricing/tenants/{tenant_id}/zones/{zone_id},DATABASE_MUTATION,DATABASE_MUTATION,True,pricing,pricing,True,update,update,True,TENANT_PROVIDER_MUTATION,TENANT_PROVIDER_MUTATION,True,CLIENT_ASSERTED_TARGET_TENANT,CLIENT_ASSERTED_TARGET_TENANT,True,,
PUT,/v1/rag/knowledge-bases/{kb_id},DATABASE_MUTATION,DATABASE_MUTATION,True,other,other,True,update,update,True,REQUIRES_MANUAL_ADJUDICATION,REQUIRES_MANUAL_ADJUDICATION,True,REQUIRES_MANUAL_TENANT_ADJUDICATION,REQUIRES_MANUAL_TENANT_ADJUDICATION,True,OWNERSHIP_CHECK_IN_SERVICE_NOT_TRACEABLE,OWNERSHIP_CHECK_IN_SERVICE_NOT_TRACEABLE
PUT,/v1/settings/tenants/{tenant_id}/{key},DATABASE_MUTATION,DATABASE_MUTATION,True,other,other,True,update,update,True,TENANT_PROVIDER_MUTATION,TENANT_PROVIDER_MUTATION,True,CLIENT_ASSERTED_TARGET_TENANT,CLIENT_ASSERTED_TARGET_TENANT,True,,
PUT,/v1/tenants/{tenant_id}/feature-flags/{flag_key},DATABASE_MUTATION,DATABASE_MUTATION,True,tenant_governance,tenant_governance,True,update,update,True,TENANT_PROVIDER_MUTATION,TENANT_PROVIDER_MUTATION,True,PRINCIPAL_TENANT,PRINCIPAL_TENANT,True,,
