method,path,endpoint_name,module,capability,persona,current_dependency,runtime_status,primary_gap,risk_severity,disposition
POST,/v1/provider/compliance/requests/{request_id}/cancel,cancel_my_request,app.engines.compliance.provider_router,DPDP compliance requests,TENANT_PROVIDER_MUTATION,require_permission(role-only),MOUNTED_TENANT_MUTATION,SCOPE_WITHOUT_OBJECT_OWNERSHIP,MEDIUM,remains unprotected
POST,/v1/provider/compliance/requests/{request_id}/generate-export,generate_export,app.engines.compliance.provider_router,DPDP compliance requests,TENANT_PROVIDER_MUTATION,require_permission(role-only),MOUNTED_TENANT_MUTATION,SCOPE_WITHOUT_OBJECT_OWNERSHIP,MEDIUM,remains unprotected
POST,/v1/provider/compliance/staff-requests/{request_id}/tenant-response,staff_tenant_response,app.engines.compliance.provider_router,DPDP compliance requests,TENANT_PROVIDER_MUTATION,require_permission(role-only),MOUNTED_TENANT_MUTATION,SCOPE_WITHOUT_OBJECT_OWNERSHIP,MEDIUM,remains unprotected
POST,/v1/provider/home-services/matching-inputs/preview,preview_matching_inputs,app.engines.provider_portal.router,Serviceability matching preview,FALSE_POSITIVE_NON_MUTATION,get_current_user (no persistence -- confirmed false positive since Slice 2F-2),FALSE_POSITIVE_NON_MUTATION,FALSE_POSITIVE,n/a,RECLASSIFIED -- removed from canonical CSV entirely (stale row, already exempted in runtime tool)
PUT,/v1/provider/marketing/assets/{asset_id}/provider-notes,update_asset_provider_notes,app.engines.marketing_automation.provider_router,Marketing automation,TENANT_PROVIDER_MUTATION,get_current_user only,MOUNTED_TENANT_MUTATION,AUTHENTICATED_ONLY,LOW,remains unprotected
POST,/v1/provider/marketing/campaigns/generate-launch,generate_launch_campaign,app.engines.marketing_automation.provider_router,Marketing automation,TENANT_PROVIDER_MUTATION,get_current_user only,MOUNTED_TENANT_MUTATION,AUTHENTICATED_ONLY,LOW,remains unprotected
POST,/v1/provider/marketing/campaigns/{campaign_id}/submit-review,submit_campaign_review,app.engines.marketing_automation.provider_router,Marketing automation,TENANT_PROVIDER_MUTATION,get_current_user only,MOUNTED_TENANT_MUTATION,AUTHENTICATED_ONLY,LOW,remains unprotected
POST,/v1/provider/notifications/mark-all-read,provider_mark_all_read,app.engines.platform_notifications.provider_router,Provider/staff chat + notifications,TENANT_PROVIDER_MUTATION,get_current_user only,MOUNTED_TENANT_MUTATION,AUTHENTICATED_ONLY,CRITICAL,remains unprotected -- SELECTED NEXT MODULE
PUT,/v1/provider/notifications/preferences,provider_update_pref,app.engines.platform_notifications.provider_router,Provider/staff chat + notifications,TENANT_PROVIDER_MUTATION,get_current_user only,MOUNTED_TENANT_MUTATION,AUTHENTICATED_ONLY,CRITICAL,remains unprotected -- SELECTED NEXT MODULE
POST,/v1/provider/notifications/{notification_id}/read,provider_mark_read,app.engines.platform_notifications.provider_router,Provider/staff chat + notifications,TENANT_PROVIDER_MUTATION,get_current_user only,MOUNTED_TENANT_MUTATION,AUTHENTICATED_ONLY,CRITICAL,remains unprotected -- SELECTED NEXT MODULE
POST,/v1/provider/profile/logo,upload_provider_logo,app.engines.media.new_router,Provider/staff media uploads,TENANT_PROVIDER_MUTATION,require_permission(role-only),MOUNTED_TENANT_MUTATION,SCOPE_WITHOUT_OBJECT_OWNERSHIP,LOW,remains unprotected
DELETE,/v1/provider/profile/logo,remove_provider_logo,app.engines.media.new_router,Provider/staff media uploads,TENANT_PROVIDER_MUTATION,require_permission(role-only),MOUNTED_TENANT_MUTATION,SCOPE_WITHOUT_OBJECT_OWNERSHIP,LOW,remains unprotected
POST,/v1/provider/profile/shop-photo,upload_provider_shop_photo,app.engines.media.new_router,Provider/staff media uploads,TENANT_PROVIDER_MUTATION,require_permission(role-only),MOUNTED_TENANT_MUTATION,SCOPE_WITHOUT_OBJECT_OWNERSHIP,LOW,remains unprotected
DELETE,/v1/provider/profile/shop-photo,remove_provider_shop_photo,app.engines.media.new_router,Provider/staff media uploads,TENANT_PROVIDER_MUTATION,require_permission(role-only),MOUNTED_TENANT_MUTATION,SCOPE_WITHOUT_OBJECT_OWNERSHIP,LOW,remains unprotected
POST,/v1/provider/reports/run,provider_run_report,app.engines.analytics.provider_router,Analytics/KB,TENANT_PROVIDER_MUTATION,get_current_user only,MOUNTED_TENANT_MUTATION,AUTHENTICATED_ONLY,LOW,remains unprotected
POST,/v1/provider/reviews/{review_id}/flag,flag_review,app.engines.customer_reviews.provider_router,Provider review replies,TENANT_PROVIDER_MUTATION,get_current_user only,MOUNTED_TENANT_MUTATION,AUTHENTICATED_ONLY,MEDIUM,remains unprotected
POST,/v1/provider/reviews/{review_id}/reply,submit_reply,app.engines.customer_reviews.provider_router,Provider review replies,TENANT_PROVIDER_MUTATION,get_current_user only,MOUNTED_TENANT_MUTATION,AUTHENTICATED_ONLY,MEDIUM,remains unprotected
POST,/v1/provider/service-invoices/{invoice_id}/issue,provider_issue_invoice,app.engines.invoice_payment.provider_router,Provider invoices/wallet/subscription,TENANT_PROVIDER_MUTATION,require_tenant_mutation_permission(FIELD_OPS_INVOICE_GEN),ALREADY_PROTECTED,ALREADY_PROTECTED_MISCLASSIFIED,n/a,RECLASSIFIED -- fixed in Slice 2F-6A; CSV was stale
POST,/v1/provider/service-invoices/{invoice_id}/record-payment,provider_record_payment,app.engines.invoice_payment.provider_router,Provider invoices/wallet/subscription,TENANT_PROVIDER_MUTATION,require_owner_or_office_staff_mutation,ALREADY_PROTECTED,ALREADY_PROTECTED_MISCLASSIFIED,n/a,RECLASSIFIED -- fixed in Slice 2F-6A; CSV was stale
POST,/v1/provider/setup/recommendations,provider_setup_recommendations,app.engines.admin_catalog.recommendation_router,Recommendation rules (provider setup),TENANT_PROVIDER_MUTATION,require_permission(role-only),MOUNTED_TENANT_MUTATION,SCOPE_WITHOUT_OBJECT_OWNERSHIP,LOW,remains unprotected
POST,/v1/provider/setup/services/{service_id}/supported-options,set_supported_options,app.engines.admin_catalog.service_option_provider_router,Service options/setup,TENANT_PROVIDER_MUTATION,require_permission(role-only),MOUNTED_TENANT_MUTATION,SCOPE_WITHOUT_OBJECT_OWNERSHIP,LOW,remains unprotected
POST,/v1/staff/chat/threads/{thread_id}/messages,staff_send_message,app.engines.platform_notifications.provider_router,Provider/staff chat + notifications,TENANT_PROVIDER_MUTATION,get_current_user only,MOUNTED_TENANT_MUTATION,AUTHENTICATED_ONLY,CRITICAL,remains unprotected -- SELECTED NEXT MODULE
POST,/v1/staff/chat/threads/{thread_id}/read,staff_mark_thread_read,app.engines.platform_notifications.provider_router,Provider/staff chat + notifications,TENANT_PROVIDER_MUTATION,get_current_user only,MOUNTED_TENANT_MUTATION,AUTHENTICATED_ONLY,CRITICAL,remains unprotected -- SELECTED NEXT MODULE
POST,/v1/staff/notifications/mark-all-read,staff_mark_all_read,app.engines.platform_notifications.provider_router,Provider/staff chat + notifications,TENANT_PROVIDER_MUTATION,get_current_user only,MOUNTED_TENANT_MUTATION,AUTHENTICATED_ONLY,CRITICAL,remains unprotected -- SELECTED NEXT MODULE
POST,/v1/staff/notifications/{notification_id}/read,staff_mark_read,app.engines.platform_notifications.provider_router,Provider/staff chat + notifications,TENANT_PROVIDER_MUTATION,get_current_user only,MOUNTED_TENANT_MUTATION,AUTHENTICATED_ONLY,CRITICAL,remains unprotected -- SELECTED NEXT MODULE
PUT,/v1/staff/profile,update_staff_profile,app.engines.profile.router,Tenant/staff self-profile,TENANT_PROVIDER_MUTATION,require_permission(role-only),MOUNTED_TENANT_MUTATION,SCOPE_WITHOUT_OBJECT_OWNERSHIP,LOW,remains unprotected
POST,/v1/staff/profile/photo,upload_staff_profile_photo,app.engines.media.new_router,Provider/staff media uploads,TENANT_PROVIDER_MUTATION,require_permission(role-only),MOUNTED_TENANT_MUTATION,SCOPE_WITHOUT_OBJECT_OWNERSHIP,LOW,remains unprotected
DELETE,/v1/staff/profile/photo,remove_staff_profile_photo,app.engines.media.new_router,Provider/staff media uploads,TENANT_PROVIDER_MUTATION,require_permission(role-only),MOUNTED_TENANT_MUTATION,SCOPE_WITHOUT_OBJECT_OWNERSHIP,LOW,remains unprotected
POST,/v1/staff/service-invoices,staff_create_invoice,app.engines.invoice_payment.provider_router,Provider invoices/wallet/subscription,TENANT_PROVIDER_MUTATION,require_owner_or_office_staff_mutation,ALREADY_PROTECTED,ALREADY_PROTECTED_MISCLASSIFIED,n/a,RECLASSIFIED -- fixed in Slice 2F-6A; CSV was stale
POST,/v1/staff/service-invoices/{invoice_id}/items,staff_add_invoice_item,app.engines.invoice_payment.provider_router,Provider invoices/wallet/subscription,TENANT_PROVIDER_MUTATION,require_owner_or_office_staff_mutation,ALREADY_PROTECTED,ALREADY_PROTECTED_MISCLASSIFIED,n/a,RECLASSIFIED -- fixed in Slice 2F-6A; CSV was stale
POST,/v1/tenant/packages/{package_id}/purchase,tenant_purchase_package,app.engines.package_commerce.tenant_router,Package/security-deposit tenant purchase,TENANT_PROVIDER_MUTATION,require_permission(role-only),MOUNTED_TENANT_MUTATION,SCOPE_WITHOUT_OBJECT_OWNERSHIP,MEDIUM,remains unprotected
