method,path,endpoint,module,final_classification,evidence
POST,/v1/commerce/tenants/{tenant_id}/deposit/admin-adjust,admin_adjust_deposit,platform_commerce.router,PLATFORM_ADMIN_MUTATION,"require_permission(P.FINANCE_DEPOSITS_UPDATE) -- platform finance role"
POST,/v1/commerce/tenants/{tenant_id}/wallet/purchase/initiate,initiate_purchase,platform_commerce.router,CANONICAL_TENANT_PROVIDER_MUTATION,"require_tenant_mutation_permission(P.TENANT_BILLING_MANAGE)"
POST,/v1/commerce/tenants/{tenant_id}/wallet/purchase/confirm,confirm_purchase,platform_commerce.router,PUBLIC_OR_CALLBACK_MUTATION,"Depends(_svc_open) -- Razorpay webhook, signature-verified in service"
POST,/v1/commerce/tenants/{tenant_id}/wallet/deduct,engine_deduct,platform_commerce.router,PLATFORM_ADMIN_MUTATION,"require_super_admin"
POST,/v1/commerce/tenants/{tenant_id}/wallet/credit,admin_credit,platform_commerce.router,PLATFORM_ADMIN_MUTATION,"require_super_admin"
POST,/v1/commerce/jobs/{job_id}/commission/deduct,deduct_commission,platform_commerce.router,PLATFORM_ADMIN_MUTATION,"require_super_admin"
POST,/v1/commerce/customers/{customer_id}/health/signals,update_health_signal,platform_commerce.router,PLATFORM_ADMIN_MUTATION,"require_super_admin"
POST,/v1/commerce/customers/{customer_id}/health/recompute,recompute_health,platform_commerce.router,PLATFORM_ADMIN_MUTATION,"require_permission(P.CUSTOMERS_MANAGE) -- platform role"
POST,/v1/commerce/customers/{customer_id}/health/override,override_health,platform_commerce.router,PLATFORM_ADMIN_MUTATION,"require_super_admin"
POST,/v1/commerce/packages,create_package,platform_commerce.router,PLATFORM_ADMIN_MUTATION,"require_super_admin"
PATCH,/v1/commerce/packages/{package_id},update_package,platform_commerce.router,PLATFORM_ADMIN_MUTATION,"require_super_admin"
DELETE,/v1/commerce/packages/{package_id},archive_package,platform_commerce.router,PLATFORM_ADMIN_MUTATION,"require_super_admin"
POST,/v1/commerce/tenants/{tenant_id}/badges/recalculate,recalculate_badges,platform_commerce.router,CANONICAL_TENANT_PROVIDER_MUTATION,"require_tenant_mutation_permission(P.TENANT_UPDATE) -- already noted fixed in Slice 2F-37's R12"
POST,/v1/commerce/warranty/claims,submit_claim,platform_commerce.router,CANONICAL_TENANT_PROVIDER_MUTATION,"require_mutation_access_scope -- already covered by 2F-37 verifier R10"
POST,/v1/commerce/warranty/claims/{claim_id}/approve,approve_claim,platform_commerce.router,PLATFORM_ADMIN_MUTATION,"require_super_admin"
POST,/v1/commerce/warranty/claims/{claim_id}/reject,reject_claim,platform_commerce.router,PLATFORM_ADMIN_MUTATION,"require_super_admin"
POST,/v1/pricing/city-tiers,create_city_tier,pricing.router,PLATFORM_ADMIN_MUTATION,"require_super_admin"
PATCH,/v1/pricing/city-tiers/{config_id},update_city_tier,pricing.router,PLATFORM_ADMIN_MUTATION,"require_super_admin"
DELETE,/v1/pricing/city-tiers/{config_id},delete_city_tier,pricing.router,PLATFORM_ADMIN_MUTATION,"require_super_admin"
POST,/v1/pricing/tenants/{tenant_id}/prices/set,set_tenant_price,pricing.router,CANONICAL_TENANT_PROVIDER_MUTATION,"require_tenant_mutation_permission(P.TENANT_UPDATE)"
POST,/v1/pricing/tenants/{tenant_id}/brand-adjustment,set_brand_adj,pricing.router,CANONICAL_TENANT_PROVIDER_MUTATION,"require_tenant_mutation_permission(P.TENANT_UPDATE)"
POST,/v1/pricing/tenants/{tenant_id}/zones,create_zone,pricing.router,CANONICAL_TENANT_PROVIDER_MUTATION,"require_tenant_mutation_permission(P.TENANT_UPDATE) -- already covered by 2F-37 verifier R07"
PATCH,/v1/pricing/tenants/{tenant_id}/zones/{zone_id},update_zone,pricing.router,CANONICAL_TENANT_PROVIDER_MUTATION,"require_tenant_mutation_permission(P.TENANT_UPDATE) -- R07"
DELETE,/v1/pricing/tenants/{tenant_id}/zones/{zone_id},delete_zone,pricing.router,CANONICAL_TENANT_PROVIDER_MUTATION,"require_tenant_mutation_permission(P.TENANT_UPDATE) -- R07"
POST,/v1/pricing/tenants/{tenant_id}/rules,create_rule,pricing.router,CANONICAL_TENANT_PROVIDER_MUTATION,"require_tenant_mutation_permission(P.TENANT_UPDATE) -- R08"
PATCH,/v1/pricing/tenants/{tenant_id}/rules/{rule_id},update_rule,pricing.router,CANONICAL_TENANT_PROVIDER_MUTATION,"require_tenant_mutation_permission(P.TENANT_UPDATE) -- R08"
DELETE,/v1/pricing/tenants/{tenant_id}/rules/{rule_id},delete_rule,pricing.router,CANONICAL_TENANT_PROVIDER_MUTATION,"require_tenant_mutation_permission(P.TENANT_UPDATE) -- R08"
POST,/v1/pricing/tenants/{tenant_id}/rules/{rule_id}/activate,activate_rule,pricing.router,PRODUCT_DECISION_REQUIRED,"require_permission(P.TENANT_UPDATE) -- bare permission, NOT require_tenant_mutation_permission; same class of gap as security.router::create_api_key (read-only-scoped tenant user could activate/deactivate a pricing rule). NOT fixed this slice -- flagged, not force-classified as canonical, since the fix pattern needs confirmation this permission's read-only-scope exemption is unintentional here too before changing it."
PATCH,/v1/pricing/tenants/{tenant_id}/rules/{rule_id}/deactivate,deactivate_rule,pricing.router,PRODUCT_DECISION_REQUIRED,"same gap as activate_rule above -- require_permission not require_tenant_mutation_permission"
POST,/v1/pricing/compute,compute_price,pricing.router,CANONICAL_TENANT_PROVIDER_MUTATION,"require_mutation_access_scope -- already covered by 2F-37 verifier"
GET,/v1/pricing/tenants/{tenant_id}/price-preview,preview_price,pricing.router,AUTHENTICATED_READ_ONLY,"Depends(get_current_user) only; GET verb; no db write traced"
POST,/v1/pricing/snapshots/{snapshot_id}/replay,replay_snapshot,pricing.router,AUTHENTICATED_READ_ONLY,"Depends(get_current_user) only; traced PricingService.replay_snapshot -> compute_price pipeline helper -- pure computation, zero db.add/INSERT. Read-path caveat: fetches PriceSnapshot by ID with NO tenant_id filter at all -- any authenticated user can view another tenant's historical pricing snapshot. A read-path cross-tenant privacy gap, consistent with this program's already-documented pricing read-path limitation; not fixed this slice (out of mutation-authorization scope)."
POST,/v1/pricing/tenants/{tenant_id}/cache/invalidate,invalidate_cache,pricing.router,PLATFORM_ADMIN_MUTATION,"require_super_admin"
POST,/v1/security/api-keys,create_api_key,security.router,CANONICAL_TENANT_PROVIDER_MUTATION,"FIXED this slice -- was require_permission (bypassable by read-only scope) + client-trusted tenant_id (cross-tenant IDOR); now require_tenant_mutation_permission + server-derived tenant_id. See test_phase2f39a2_security_apikey_fix.py (4 tests)."
POST,/v1/security/api-keys/{key_id}/rotate,rotate_api_key,security.router,CANONICAL_TENANT_PROVIDER_MUTATION,"require_tenant_mutation_permission(P.TENANT_UPDATE) -- already correct"
POST,/v1/security/api-keys/{key_id}/revoke,revoke_api_key,security.router,CANONICAL_TENANT_PROVIDER_MUTATION,"require_tenant_mutation_permission(P.TENANT_UPDATE) -- already correct"
GET,/v1/security/api-keys/verify,verify_api_key,security.router,PRODUCT_DECISION_REQUIRED,"not located in the guard grep -- likely a service-to-service credential check; not individually traced this slice"
POST,/v1/security/blocklist,block_ip,security.router,PLATFORM_ADMIN_MUTATION,"require_super_admin"
DELETE,/v1/security/blocklist/{ip_or_cidr},unblock_ip,security.router,PLATFORM_ADMIN_MUTATION,"require_super_admin"
POST,/v1/security/activity/record,record_activity,security.router,PRODUCT_DECISION_REQUIRED,"REAL UNRESOLVED FINDING: Depends(get_current_user) only, zero permission/scope/ownership check; tenant_id/entity_id/activity_type all client-body-controlled; zero internal callers found elsewhere in the codebase (grep confirmed). Cannot confirm intended caller model (internal service vs any authenticated user) -- NOT fixed this slice given real risk of an incorrect guess. See authorization-remediation-report.md."
POST,/v1/security/activity/{log_id}/acknowledge,acknowledge_activity,security.router,PLATFORM_ADMIN_MUTATION,"require_super_admin"
POST,/v1/security/audit-log,write_audit,security.router,PRODUCT_DECISION_REQUIRED,"REAL UNRESOLVED FINDING: same class of gap as record_activity -- bare auth, fully client-controlled operation/entity/tenant_id for an 'append-only, immutable' audit log; zero internal callers found. NOT fixed this slice."
POST,/v1/security/sessions,create_session,security.router,PRODUCT_DECISION_REQUIRED,"REAL UNRESOLVED FINDING: bare auth, client-controlled user_id/tenant_id/session_id with zero cross-check to the caller's own identity. NOT fixed this slice."
DELETE,/v1/security/sessions/{session_id},revoke_session,security.router,PRODUCT_DECISION_REQUIRED,"REAL UNRESOLVED FINDING: bare auth, session_id path param with no ownership check against the caller -- any authenticated user could revoke ANY OTHER user's security-service session record by ID. NOT fixed this slice."
POST,/v1/security/sessions/users/{user_id}/revoke-all,revoke_all_sessions,security.router,PLATFORM_ADMIN_MUTATION,"require_super_admin"
