method,path,endpoint_name,capability,existing_role_guard,existing_permission,roles_currently_receiving_permission,super_admin_bypass,tenant_ownership_behavior,access_scope_behavior,frontend_caller,api_client_caller,test_caller,documentation,product_workflow,current_real_accessibility,intended_accessibility,final_classification,verification_level
POST,/v1/tenants/{tenant_id}/data/export,request_data_export,Request full data export,require_tenant_mutation_permission,tenant:data:export,tenant_owner,exempt,yes,YES,tenant-portal data/privacy settings,tenant-portal api client,test_owner_accessible_endpoint_* pair,DPDP privacy docs,tenant self-service export,tenant_owner (own tenant) + super_admin,tenant_owner (own tenant) + super_admin,TENANT_OWNER_SELF_SERVICE,SLICE_2F1A_VERIFIED
POST,/v1/tenants/{tenant_id}/engines/bulk-enable,bulk_enable,Enable multiple engines,require_tenant_mutation_permission,tenant:engines:manage,tenant_owner,exempt,yes,YES,tenant-portal engine settings,tenant-portal api client,test_owner_accessible_endpoint_* pair,engine mgmt docs,tenant self-service engine config,tenant_owner (own tenant) + super_admin,tenant_owner (own tenant) + super_admin,TENANT_OWNER_SELF_SERVICE,SLICE_2F1A_VERIFIED
POST,/v1/tenants/{tenant_id}/engines/bulk-disable,bulk_disable,Disable multiple engines,require_tenant_mutation_permission,tenant:engines:manage,tenant_owner,exempt,yes,YES,tenant-portal engine settings,tenant-portal api client,test_owner_accessible_endpoint_* pair,engine mgmt docs,tenant self-service engine config,tenant_owner (own tenant) + super_admin,tenant_owner (own tenant) + super_admin,TENANT_OWNER_SELF_SERVICE,SLICE_2F1A_VERIFIED
POST,/v1/tenants/{tenant_id}/engines/{engine_id}/enable,enable_engine,Enable one engine,require_tenant_mutation_permission,tenant:engines:manage,tenant_owner,exempt,yes,YES,tenant-portal engine settings,tenant-portal api client,test_owner_accessible_endpoint_* pair,engine mgmt docs,tenant self-service engine config,tenant_owner (own tenant) + super_admin,tenant_owner (own tenant) + super_admin,TENANT_OWNER_SELF_SERVICE,SLICE_2F1A_VERIFIED
POST,/v1/tenants/{tenant_id}/engines/{engine_id}/disable,disable_engine,Disable one engine,require_tenant_mutation_permission,tenant:engines:manage,tenant_owner,exempt,yes,YES,tenant-portal engine settings,tenant-portal api client,test_owner_accessible_endpoint_* pair,engine mgmt docs,tenant self-service engine config,tenant_owner (own tenant) + super_admin,tenant_owner (own tenant) + super_admin,TENANT_OWNER_SELF_SERVICE,SLICE_2F1A_VERIFIED
PUT,/v1/tenants/{tenant_id}/engines/{engine_id}/config,update_engine_config,Update engine config,require_tenant_mutation_permission,tenant:engines:manage,tenant_owner,exempt,yes,YES,tenant-portal engine settings,tenant-portal api client,test_owner_accessible_endpoint_* pair,engine mgmt docs,tenant self-service engine config,tenant_owner (own tenant) + super_admin,tenant_owner (own tenant) + super_admin,TENANT_OWNER_SELF_SERVICE,SLICE_2F1A_VERIFIED
POST,/v1/tenants/{tenant_id}/engines/{engine_id}/config/validate,validate_engine_config,Validate engine config,require_tenant_mutation_permission,tenant:engines:manage,tenant_owner,exempt,yes,YES,tenant-portal engine settings,tenant-portal api client,test_owner_accessible_endpoint_* pair,engine mgmt docs,tenant self-service engine config,tenant_owner (own tenant) + super_admin,tenant_owner (own tenant) + super_admin,TENANT_OWNER_SELF_SERVICE,SLICE_2F1A_VERIFIED
PUT,/v1/tenants/{tenant_id}/feature-flags/{flag_key},set_feature_flag,Set tenant feature-flag override,require_tenant_mutation_permission,tenant:flags:manage,tenant_owner,exempt,yes,YES,tenant-portal advanced settings,tenant-portal api client,test_owner_accessible_endpoint_* pair,feature flag docs,tenant self-service flag override,tenant_owner (own tenant) + super_admin,tenant_owner (own tenant) + super_admin,TENANT_OWNER_SELF_SERVICE,SLICE_2F1A_VERIFIED
DELETE,/v1/tenants/{tenant_id}/feature-flags/{flag_key},delete_feature_flag,Remove tenant feature-flag override,require_tenant_mutation_permission,tenant:flags:manage,tenant_owner,exempt,yes,YES,tenant-portal advanced settings,tenant-portal api client,test_owner_accessible_endpoint_* pair,feature flag docs,tenant self-service flag override,tenant_owner (own tenant) + super_admin,tenant_owner (own tenant) + super_admin,TENANT_OWNER_SELF_SERVICE,SLICE_2F1A_VERIFIED
POST,/v1/tenants/{tenant_id}/suspend,suspend_tenant,Suspend tenant (compliance/risk),require_tenant_mutation_permission,tenant:suspend,none (super_admin via P.ALL only),exempt,yes (not reached by tenant_owner),n/a (permission denies first),super-admin app tenant lifecycle,super-admin api client (suspend),test_platform_only_endpoint_* trio,tenant lifecycle docs,platform compliance/risk ops,super_admin only,super_admin only,PLATFORM_ADMIN_ONLY,SLICE_2F1A_VERIFIED
POST,/v1/tenants/{tenant_id}/reinstate,reinstate_tenant,Reinstate suspended tenant,require_tenant_mutation_permission,tenant:reinstate,none (super_admin via P.ALL only),exempt,yes (not reached),n/a,super-admin app tenant lifecycle,super-admin api client (reinstate),test_platform_only_endpoint_* trio,tenant lifecycle docs,platform compliance/risk ops,super_admin only,super_admin only,PLATFORM_ADMIN_ONLY,SLICE_2F1A_VERIFIED
POST,/v1/tenants/{tenant_id}/terminate/begin,begin_termination,Begin 14-day termination warning,require_tenant_mutation_permission,tenant:terminate,none (super_admin via P.ALL only),exempt,yes (not reached),n/a,super-admin app tenant lifecycle,super-admin api client (beginTerminate),test_platform_only_endpoint_* trio,tenant lifecycle docs,platform tenancy termination,super_admin only,super_admin only,PLATFORM_ADMIN_ONLY,SLICE_2F1A_VERIFIED
POST,/v1/tenants/{tenant_id}/terminate/confirm,confirm_termination,Confirm and execute termination,require_tenant_mutation_permission,tenant:terminate,none (super_admin via P.ALL only),exempt,yes (not reached),n/a,super-admin app tenant lifecycle,super-admin api client (confirmTerminate),test_platform_only_endpoint_* trio,tenant lifecycle docs,platform tenancy termination,super_admin only,super_admin only,PLATFORM_ADMIN_ONLY (90-day deletion job missing -- see known-limitations.md),SLICE_2F1A_VERIFIED
POST,/v1/tenants/{tenant_id}/plan/upgrade,upgrade_plan,Upgrade platform-controlled tenant plan,require_tenant_mutation_permission,tenant:plan:manage,none (super_admin via P.ALL only),exempt,yes (not reached),n/a,super-admin app plan tools,super-admin api client (upgradePlan),test_platform_only_endpoint_* trio,plan mgmt docs,platform plan administration (distinct from package purchase),super_admin only,super_admin only,PLATFORM_ADMIN_ONLY,SLICE_2F1A_VERIFIED
POST,/v1/tenants/{tenant_id}/plan/downgrade,downgrade_plan,Downgrade platform-controlled tenant plan,require_tenant_mutation_permission,tenant:plan:manage,none (super_admin via P.ALL only),exempt,yes (not reached),n/a,super-admin app plan tools,super-admin api client (downgradePlan),test_platform_only_endpoint_* trio,plan mgmt docs,platform plan administration,super_admin only,super_admin only,PLATFORM_ADMIN_ONLY,SLICE_2F1A_VERIFIED
POST,/v1/tenants/{tenant_id}/trial/convert,convert_trial,Convert trial tenant to active,require_tenant_mutation_permission,tenant:plan:manage,none (super_admin via P.ALL only),exempt,yes (not reached),n/a,super-admin app plan tools,super-admin api client (convertTrial),test_platform_only_endpoint_* trio,plan mgmt docs,platform plan administration,super_admin only,super_admin only,PLATFORM_ADMIN_ONLY,SLICE_2F1A_VERIFIED
POST,/v1/tenants/{tenant_id}/data/delete-request,gdpr_deletion,Create GDPR/DPDP deletion request,require_tenant_mutation_permission,tenant:data:delete,none (super_admin via P.ALL only),exempt,yes (not reached),n/a,super-admin app data tools,super-admin api client (deleteRequest),test_platform_only_endpoint_* trio,DPDP privacy docs,platform data-erasure request creation (execution unimplemented),super_admin only,super_admin only,PLATFORM_ADMIN_ONLY (execution mechanism missing -- BLOCKED_PENDING_ENGINEERING, see product-decisions-required.md),SLICE_2F1A_VERIFIED
