method,path,endpoint,module,final_classification,evidence
POST,/v1/bookings/reschedule/{reschedule_id}/accept,accept_reschedule,booking.router,CANONICAL_TENANT_PROVIDER_MUTATION,require_tenant_mutation_permission(P.TENANT_UPDATE)
POST,/v1/bookings/reschedule/{reschedule_id}/reject,reject_reschedule,booking.router,CANONICAL_TENANT_PROVIDER_MUTATION,require_tenant_mutation_permission(P.TENANT_UPDATE)
POST,/v1/bookings/{booking_id}/cancel,cancel_booking,booking.router,CANONICAL_TENANT_PROVIDER_MUTATION,require_tenant_mutation_permission(P.BOOKING_CANCEL)
POST,/v1/bookings/{booking_id}/confirm,confirm_booking,booking.router,CANONICAL_TENANT_PROVIDER_MUTATION,require_tenant_mutation_permission(P.BOOKING_MANAGE)
POST,/v1/bookings/{booking_id}/convert-to-job,convert_to_job,booking.router,CANONICAL_TENANT_PROVIDER_MUTATION,require_tenant_mutation_permission(P.BOOKING_MANAGE)
POST,/v1/bookings/{booking_id}/notes,add_note,booking.router,CANONICAL_TENANT_PROVIDER_MUTATION,require_staff_or_above_mutation
POST,/v1/bookings/{booking_id}/reject,reject_booking,booking.router,CANONICAL_TENANT_PROVIDER_MUTATION,require_tenant_mutation_permission(P.BOOKING_MANAGE)
POST,/v1/bookings/{booking_id}/reschedule/request,request_reschedule,booking.router,CANONICAL_TENANT_PROVIDER_MUTATION,require_tenant_mutation_permission(P.BOOKING_RESCHEDULE)
POST,/v1/bookings/{booking_id}/void,void_booking,booking.router,PLATFORM_ADMIN_MUTATION,require_super_admin
POST,/enterprise/column-preferences,save_column_preferences,enterprise_grid.router,CANONICAL_TENANT_PROVIDER_MUTATION,require_mutation_access_scope
GET,/enterprise/column-preferences/reset,reset_column_preferences,enterprise_grid.router,CUSTOMER_SELF_SERVICE_MUTATION,"bare get_current_user but self-scoped by u.user_id passed to service"
POST,/enterprise/exports,create_export,enterprise_grid.router,CANONICAL_TENANT_PROVIDER_MUTATION,require_mutation_access_scope
POST,/enterprise/exports/{export_id}/cancel,cancel_export,enterprise_grid.router,CUSTOMER_SELF_SERVICE_MUTATION,"bare get_current_user; get_export_job(db, export_id, u.user_id) -- self-scoped ownership check verified"
POST,/enterprise/exports/{export_id}/retry,retry_export,enterprise_grid.router,CUSTOMER_SELF_SERVICE_MUTATION,same ownership pattern as cancel_export
POST,/enterprise/saved-views,create_saved_view,enterprise_grid.router,CANONICAL_TENANT_PROVIDER_MUTATION,require_mutation_access_scope
PATCH,/enterprise/saved-views/{view_id},update_saved_view,enterprise_grid.router,CANONICAL_TENANT_PROVIDER_MUTATION,require_mutation_access_scope
DELETE,/enterprise/saved-views/{view_id},delete_saved_view,enterprise_grid.router,CANONICAL_TENANT_PROVIDER_MUTATION,require_mutation_access_scope
POST,/enterprise/saved-views/{view_id}/default,set_default_view,enterprise_grid.router,CANONICAL_TENANT_PROVIDER_MUTATION,require_mutation_access_scope
POST,/v1/ai/chat,ai_chat,ai_chat.router,PRODUCT_DECISION_REQUIRED,"guard extraction inconclusive (only _svc shown) -- not individually re-verified this slice"
POST,/admin/recommendations/ai,ai_recommendations,admin_catalog.recommendation_router,PLATFORM_ADMIN_MUTATION,require_super_admin
POST,/admin/recommendations/evaluate,evaluate_recommendations,admin_catalog.recommendation_router,PLATFORM_ADMIN_MUTATION,require_super_admin
POST,/admin/recommendations/{id}/validate,validate_recommendation,admin_catalog.recommendation_router,PLATFORM_ADMIN_MUTATION,require_super_admin
POST,/admin/recommendations/{id}/accept,accept_recommendation,admin_catalog.recommendation_router,PLATFORM_ADMIN_MUTATION,require_super_admin
POST,/admin/recommendations/{id}/reject,reject_recommendation,admin_catalog.recommendation_router,PLATFORM_ADMIN_MUTATION,require_super_admin
POST,/v1/analytics/events/ingest,ingest_event,analytics.router,PRODUCT_DECISION_REQUIRED,"bare get_current_user -- not individually verified for tenant/actor scoping this slice"
POST,/v1/analytics/daily/upsert,upsert_daily,analytics.router,PLATFORM_ADMIN_MUTATION,require_super_admin
POST,/v1/appointments/staff/{staff_id}/calendar/unblock,unblock_calendar,appointment.router,CANONICAL_TENANT_PROVIDER_MUTATION,require_tenant_mutation_permission(P.TENANT_UPDATE)
POST,/v1/appointments/hold,hold_slot,appointment.router,PRODUCT_DECISION_REQUIRED,"bare get_current_user -- not individually verified this slice"
POST,/v1/appointments/staff/{staff_id}/calendar/block,block_calendar,appointment.router,CANONICAL_TENANT_PROVIDER_MUTATION,require_tenant_mutation_permission(P.TENANT_UPDATE)
PUT,/v1/appointments/tenants/{tenant_id}/working-hours,set_working_hours,appointment.router,CANONICAL_TENANT_PROVIDER_MUTATION,require_tenant_mutation_permission(P.TENANT_UPDATE)
POST,/v1/appointments/{appointment_id}/cancel,cancel_appointment,appointment.router,CANONICAL_TENANT_PROVIDER_MUTATION,"require_mutation_access_scope -- already covered by 2F-37 verifier"
POST,/v1/appointments/holds/{hold_id}/confirm,confirm_hold,appointment.router,CANONICAL_TENANT_PROVIDER_MUTATION,require_mutation_access_scope
POST,/v1/appointments/{appointment_id}/no-show,mark_no_show,appointment.router,CANONICAL_TENANT_PROVIDER_MUTATION,require_tenant_mutation_permission(P.TENANT_UPDATE)
POST,/v1/appointments/{appointment_id}/reschedule,reschedule,appointment.router,CANONICAL_TENANT_PROVIDER_MUTATION,"require_mutation_access_scope -- already covered by 2F-37 verifier"
POST,/v1/commerce/billing/config,set_config,platform_commerce.billing_endpoint,PLATFORM_ADMIN_MUTATION,require_super_admin
POST,/v1/commerce/billing/profile/activate,activate_profile,platform_commerce.billing_endpoint,PLATFORM_ADMIN_MUTATION,require_super_admin
POST,/v1/commerce/billing/mode,change_mode,platform_commerce.billing_endpoint,PLATFORM_ADMIN_MUTATION,require_super_admin
POST,/v1/commerce/billing/route,route_operation,platform_commerce.billing_endpoint,PRODUCT_DECISION_REQUIRED,"bare get_current_user -- not individually verified this slice"
POST,/v1/catalog/items,create_item,service_catalog.router,CANONICAL_TENANT_PROVIDER_MUTATION,require_tenant_mutation_permission(P.TENANT_UPDATE)
PATCH,/v1/catalog/items/{item_id},update_item,service_catalog.router,CANONICAL_TENANT_PROVIDER_MUTATION,require_tenant_mutation_permission(P.TENANT_UPDATE)
POST,/v1/catalog/items/{item_id}/deactivate,deactivate_item,service_catalog.router,PRODUCT_DECISION_REQUIRED,"require_permission(P.TENANT_UPDATE) bare -- same class of gap as the fixed activate_rule/deactivate_rule; NOT individually verified/fixed this slice given time"
POST,/v1/chat/conversations,create_conversation,chat.router,CUSTOMER_SELF_SERVICE_MUTATION,"bare get_current_user; participant list derived from body but conversation scoped to caller -- not deeply re-traced this slice"
POST,/v1/chat/conversations/{conversation_id}/read,mark_read,chat.router,CUSTOMER_SELF_SERVICE_MUTATION,"bare get_current_user + client tenant_id query param, but reader_id server-derived and only the reader's own read-status is touched -- verified safe"
POST,/v1/chat/messages,send_message,chat.router,CANONICAL_TENANT_PROVIDER_MUTATION,require_mutation_access_scope
POST,/v1/chat/conversations/{conversation_id}/typing,set_typing,chat.router,CUSTOMER_SELF_SERVICE_MUTATION,"bare get_current_user; Redis-only, no DB write, self-scoped"
PATCH,/v1/chat/messages/{message_id},edit_message,chat.router,CANONICAL_TENANT_PROVIDER_MUTATION,"bare get_current_user at router but service enforces msg.sender_id == self.actor_id -- verified safe"
DELETE,/v1/chat/messages/{message_id},delete_message,chat.router,CANONICAL_TENANT_PROVIDER_MUTATION,"FIXED this slice -- was missing the sender-ownership check its sibling edit_message already had"
POST,/v1/compliance/consent,record_consent,compliance.router,CANONICAL_TENANT_PROVIDER_MUTATION,"FIXED this slice -- self-service-only check added, matching the established request_deletion/request_export pattern from Slice 2F-37"
POST,/v1/compliance/consent/withdraw,withdraw_consent,compliance.router,CANONICAL_TENANT_PROVIDER_MUTATION,"FIXED this slice -- same fix as record_consent"
POST,/v1/compliance/deletion-requests,request_deletion,compliance.router,CANONICAL_TENANT_PROVIDER_MUTATION,"already fixed in Slice 2F-37 -- reconfirmed"
POST,/v1/compliance/deletion-requests/{id}/process,process_deletion,compliance.router,PLATFORM_ADMIN_MUTATION,require_super_admin
POST,/v1/compliance/export-requests,request_export,compliance.router,CANONICAL_TENANT_PROVIDER_MUTATION,"already fixed in Slice 2F-37 -- reconfirmed"
POST,/v1/compliance/export-requests/{id}/process,process_export,compliance.router,PLATFORM_ADMIN_MUTATION,require_super_admin
POST,/v1/compliance/retention-policy,set_retention_policy,compliance.router,PLATFORM_ADMIN_MUTATION,require_super_admin
POST,/v1/dispatch/jobs/{job_id}/accept,accept_job,dispatch.router,PRODUCT_DECISION_REQUIRED,"bare get_current_user -- not individually verified this slice"
POST,/v1/dispatch/jobs/{job_id}/dispatch,dispatch_job,dispatch.router,CANONICAL_TENANT_PROVIDER_MUTATION,"require_tenant_mutation_permission(P.TENANT_UPDATE) -- already covered by 2F-39 fix"
POST,/v1/dispatch/jobs/{job_id}/reassign,reassign,dispatch.router,CANONICAL_TENANT_PROVIDER_MUTATION,require_tenant_mutation_permission(P.TENANT_UPDATE)
POST,/v1/dispatch/jobs/{job_id}/reject,reject_job,dispatch.router,CANONICAL_TENANT_PROVIDER_MUTATION,require_tenant_mutation_permission(P.TENANT_UPDATE)
POST,/v1/documents,generate_doc,document.router,CANONICAL_TENANT_PROVIDER_MUTATION,"require_tenant_mutation_permission -- already covered by 2F-35 verifier R06"
POST,/v1/documents/{document_id}/signature,record_signature,document.router,PRODUCT_DECISION_REQUIRED,"only get_db shown -- likely a signature-provider callback; not individually verified this slice"
POST,/v1/documents/{document_id}/send,send_for_signature,document.router,CANONICAL_TENANT_PROVIDER_MUTATION,"require_tenant_mutation_permission -- already covered by 2F-35 verifier"
DELETE,/v1/documents/{document_id},void_document,document.router,CANONICAL_TENANT_PROVIDER_MUTATION,require_tenant_mutation_permission(P.TENANT_UPDATE)
POST,/v1/ds/anomalies/{id}/acknowledge,acknowledge_anomaly,data_science.router,PRODUCT_DECISION_REQUIRED,"bare get_current_user -- not individually verified this slice"
POST,/v1/ds/models/retrain,trigger_retrain,data_science.router,PLATFORM_ADMIN_MUTATION,require_super_admin
POST,/v1/ds/tenants/{tenant_id}/customers/{customer_id}/ltv/recompute,recompute_ltv,data_science.router,CANONICAL_TENANT_PROVIDER_MUTATION,"require_mutation_access_scope -- already covered by 2F-26h classifier corpus"
POST,/v1/ds/tenants/{tenant_id}/demand/recompute,trigger_recompute,data_science.router,CANONICAL_TENANT_PROVIDER_MUTATION,require_tenant_mutation_permission(P.TENANT_UPDATE)
POST,/v1/ds/tenants/{tenant_id}/pricing/apply,apply_pricing,data_science.router,CANONICAL_TENANT_PROVIDER_MUTATION,require_tenant_mutation_permission(P.TENANT_UPDATE)
PATCH,/v1/ds/staff/{staff_id}/signal,update_staff_signal,data_science.router,PLATFORM_ADMIN_MUTATION,require_super_admin
POST,/v1/geo/tenants/{tenant_id}/staff/{staff_id}/location,update_location,geo.router,CANONICAL_TENANT_PROVIDER_MUTATION,"require_mutation_access_scope -- already covered by 2F-33/2F-26h"
POST,/v1/geo/tenants/{tenant_id}/zones,create_zone,geo.router,CANONICAL_TENANT_PROVIDER_MUTATION,require_tenant_mutation_permission(P.TENANT_UPDATE)
PUT,/v1/geo/tenants/{tenant_id}/zones/{zone_id},update_zone,geo.router,CANONICAL_TENANT_PROVIDER_MUTATION,"require_tenant_mutation_permission(P.TENANT_UPDATE) -- regex ambiguity resolved by direct read"
DELETE,/v1/geo/tenants/{tenant_id}/zones/{zone_id},delete_zone,geo.router,CANONICAL_TENANT_PROVIDER_MUTATION,require_tenant_mutation_permission(P.TENANT_UPDATE)
POST,/v1/inventory/tenants/{tenant_id}/receive,receive_stock,inventory.router,CANONICAL_TENANT_PROVIDER_MUTATION,require_tenant_mutation_permission(P.TENANT_UPDATE)
POST,/v1/inventory/reservations,create_reservation,inventory.router,CANONICAL_TENANT_PROVIDER_MUTATION,require_tenant_mutation_permission(P.TENANT_UPDATE)
POST,/v1/inventory/reservations/confirm,confirm_reservation,inventory.router,CANONICAL_TENANT_PROVIDER_MUTATION,"require_tenant_mutation_permission -- already covered by 2F-36 verifier"
POST,/v1/inventory/reservations/release,release_reservation,inventory.router,CANONICAL_TENANT_PROVIDER_MUTATION,require_tenant_mutation_permission(P.TENANT_UPDATE)
POST,/v1/inventory/tenants/{tenant_id}/items,create_item,inventory.router,CANONICAL_TENANT_PROVIDER_MUTATION,"require_tenant_mutation_permission -- already covered by 2F-36 verifier"
POST,/v1/inventory/tenants/{tenant_id}/replenish,replenish,inventory.router,PRODUCT_DECISION_REQUIRED,"require_permission(P.TENANT_UPDATE) bare -- same class of gap as activate_rule; NOT individually verified/fixed this slice"
POST,/v1/marketing/accounts/connect,connect_account,marketing.router,PLATFORM_ADMIN_MUTATION,require_super_admin
POST,/v1/marketing/accounts/token/refresh,refresh_token,marketing.router,PLATFORM_ADMIN_MUTATION,require_super_admin
POST,/v1/marketing/images/generate,generate_image,marketing.router,PLATFORM_ADMIN_MUTATION,require_super_admin
POST,/v1/marketing/posts/schedule,schedule_post,marketing.router,PLATFORM_ADMIN_MUTATION,require_super_admin
POST,/v1/marketing/posts/{id}/cancel,cancel_post,marketing.router,PLATFORM_ADMIN_MUTATION,require_super_admin
POST,/v1/marketing/posts/{id}/publish,publish_post,marketing.router,PLATFORM_ADMIN_MUTATION,require_super_admin
POST,/v1/marketing/templates,create_template,marketing.router,PLATFORM_ADMIN_MUTATION,require_super_admin
POST,/v1/marketing/tenants/{tenant_id}/onboarded,tenant_onboarded,marketing.router,PLATFORM_ADMIN_MUTATION,require_super_admin
DELETE,/v1/media/{file_id},delete_file,media.router,PRODUCT_DECISION_REQUIRED,"require_permission(P.TENANT_UPDATE) bare -- same class of gap; NOT verified/fixed this slice"
POST,/v1/media/upload/initiate,initiate_upload,media.router,PRODUCT_DECISION_REQUIRED,"bare get_current_user -- N01 domain-integrity backlog territory; not re-litigated this slice, remains SECURITY_CLOSED_DOMAIN_INTEGRITY_BLOCKED per standing N01 status"
POST,/v1/media/upload/confirm,confirm_upload,media.router,PRODUCT_DECISION_REQUIRED,"same N01 territory as initiate_upload"
POST,/v1/media/v2/upload,upload_media,media.new_router,CANONICAL_TENANT_PROVIDER_MUTATION,require_mutation_access_scope
DELETE,/v1/media/v2/{media_id},delete_media,media.new_router,PRODUCT_DECISION_REQUIRED,"bare get_current_user -- N01 territory, not re-litigated this slice"
PUT,/v1/media/v2/{media_id},replace_media,media.new_router,CANONICAL_TENANT_PROVIDER_MUTATION,require_mutation_access_scope
POST,/v1/notifications/send,send_notification,notification.router,PRODUCT_DECISION_REQUIRED,"bare get_current_user -- not individually verified this slice"
POST,/v1/notifications/templates,create_template,notification.router,PLATFORM_ADMIN_MUTATION,require_super_admin
PATCH,/v1/notifications/templates/{id},update_template,notification.router,PLATFORM_ADMIN_MUTATION,require_super_admin
DELETE,/v1/notifications/templates/{id},delete_template,notification.router,PLATFORM_ADMIN_MUTATION,require_super_admin
PUT,/v1/notifications/tenants/{tenant_id}/channels/{channel},set_channel,notification.router,CANONICAL_TENANT_PROVIDER_MUTATION,"require_tenant_mutation_permission -- already covered by 2F-26h classifier corpus"
POST,/v1/notifications/tenants/{tenant_id}/channels/{channel}/test,test_channel,notification.router,PRODUCT_DECISION_REQUIRED,"require_permission(P.TENANT_UPDATE) bare -- same class of gap; NOT verified/fixed this slice"
POST,/v1/notifications/{id}/retry,retry,notification.router,PRODUCT_DECISION_REQUIRED,"bare get_current_user -- not individually verified this slice"
POST,/v1/payments/tenants/{tenant_id}/invoice,generate_invoice,payment.router,PRODUCT_DECISION_REQUIRED,"require_permission(P.TENANT_BILLING_MANAGE) bare -- same class of gap; NOT verified/fixed this slice"
POST,/v1/payments/orders,create_order,payment.router,PRODUCT_DECISION_REQUIRED,"require_permission(P.TENANT_BILLING_MANAGE) bare -- same class of gap; already flagged in the 2F-26h observation corpus ('tenant_id, customer_id, amount all from body'); NOT verified/fixed this slice"
POST,/v1/payments/tenants/{tenant_id}/payout,request_payout,payment.router,CANONICAL_TENANT_PROVIDER_MUTATION,"require_tenant_mutation_permission -- already covered by 2F-26h classifier corpus PRINCIPAL_TENANT exemption"
POST,/v1/payments/webhook,payment_webhook,payment.router,PUBLIC_OR_CALLBACK_MUTATION,"get_db only -- payment gateway webhook, signature verification expected inside service (not re-traced this slice)"
POST,/v1/payments/tenants/{tenant_id}/refund,create_refund,payment.router,PLATFORM_ADMIN_MUTATION,require_super_admin
DELETE,/v1/rag/knowledge-bases/{kb_id}/documents/{doc_id},delete_document,rag.router,CANONICAL_TENANT_PROVIDER_MUTATION,"require_tenant_mutation_permission -- already covered by 2F-26h classifier corpus"
POST,/v1/rag/knowledge-bases/{kb_id}/documents/{doc_id}/reindex,reindex_document,rag.router,CANONICAL_TENANT_PROVIDER_MUTATION,require_tenant_mutation_permission(P.TENANT_UPDATE)
POST,/v1/rag/knowledge-bases,create_kb,rag.router,PRODUCT_DECISION_REQUIRED,"require_permission(P.TENANT_UPDATE) bare -- same class of gap; NOT verified/fixed this slice"
PATCH,/v1/rag/knowledge-bases/{kb_id},update_kb,rag.router,PRODUCT_DECISION_REQUIRED,"require_permission(P.TENANT_UPDATE) bare -- same class of gap; NOT verified/fixed this slice"
DELETE,/v1/rag/knowledge-bases/{kb_id},delete_kb,rag.router,CANONICAL_TENANT_PROVIDER_MUTATION,"require_tenant_mutation_permission -- already covered by 2F-35 verifier"
POST,/v1/rag/knowledge-bases/{kb_id}/documents,ingest_document,rag.router,CANONICAL_TENANT_PROVIDER_MUTATION,require_tenant_mutation_permission(P.TENANT_UPDATE)
POST,/v1/rag/query,query,rag.router,CANONICAL_TENANT_PROVIDER_MUTATION,require_mutation_access_scope
POST,/v1/rag/search,search,rag.router,PRODUCT_DECISION_REQUIRED,"bare get_current_user -- likely read-only (a search endpoint); not individually verified this slice"
POST,/v1/reviews,create_review,review.router,DEPRECATED_BUT_MOUNTED,"confirmed retired to HTTP 410 (Phase 2A Slice 2 decision, fixed test in Slice 2F-39) -- no mutation occurs"
POST,/v1/reviews/requests,create_request,review.router,CANONICAL_TENANT_PROVIDER_MUTATION,require_tenant_mutation_permission(P.TENANT_UPDATE)
POST,/v1/reviews/{review_id}/flag,flag_review,review.router,CANONICAL_TENANT_PROVIDER_MUTATION,require_tenant_mutation_permission(P.TENANT_UPDATE)
POST,/v1/reviews/{review_id}/reply,submit_reply,review.router,CANONICAL_TENANT_PROVIDER_MUTATION,require_tenant_mutation_permission(P.TENANT_UPDATE)
POST,/v1/reviews/flags/{flag_id}/resolve,resolve_flag,review.router,PLATFORM_ADMIN_MUTATION,require_super_admin
POST,/v1/serviceability/check,check_serviceability,serviceability.router,AUTHENTICATED_READ_ONLY,"require_permission bare but traced -- pure compute/match check, no db write (verified this slice)"
POST,/v1/serviceability/matching-tenants,matching_tenants,serviceability.router,AUTHENTICATED_READ_ONLY,same as check_serviceability
PUT,/v1/settings/plans/{plan_id},set_plan,settings_engine.router,PLATFORM_ADMIN_MUTATION,require_super_admin
DELETE,/v1/settings/plans/{plan_id},delete_plan,settings_engine.router,PLATFORM_ADMIN_MUTATION,require_super_admin
PUT,/v1/settings/platform/bulk,bulk_set_platform,settings_engine.router,PLATFORM_ADMIN_MUTATION,require_super_admin
PUT,/v1/settings/platform/{key},set_platform,settings_engine.router,PLATFORM_ADMIN_MUTATION,require_super_admin
DELETE,/v1/settings/platform/{key},delete_platform,settings_engine.router,PLATFORM_ADMIN_MUTATION,require_super_admin
PUT,/v1/settings/tenants/{tenant_id}/{key},set_tenant,settings_engine.router,CANONICAL_TENANT_PROVIDER_MUTATION,require_tenant_mutation_permission(P.TENANT_UPDATE)
DELETE,/v1/settings/tenants/{tenant_id}/{key},delete_tenant,settings_engine.router,CANONICAL_TENANT_PROVIDER_MUTATION,"require_tenant_mutation_permission -- already covered by 2F-26h classifier corpus"
POST,/v1/subscriptions,create_subscription,subscription.router,PLATFORM_ADMIN_MUTATION,require_super_admin
POST,/v1/subscriptions/{id}/cancel,cancel,subscription.router,PLATFORM_ADMIN_MUTATION,require_super_admin
POST,/v1/subscriptions/{id}/pause,pause,subscription.router,PLATFORM_ADMIN_MUTATION,require_super_admin
PUT,/v1/subscriptions/tenants/{tenant_id}/plan,update_plan,subscription.router,CANONICAL_TENANT_PROVIDER_MUTATION,"require_tenant_mutation_permission -- already covered by 2F-37 verifier"
POST,/v1/subscriptions/{id}/resume,resume,subscription.router,PLATFORM_ADMIN_MUTATION,require_super_admin
