app,route,menu_entry_before,menu_entry_after,role_access,permission_requirement,reachable,duplicated,dead,canonical_api,disposition,verification
super-admin,/admin/coaching/*,dynamic,dynamic (unchanged),super_admin,SUPER_ADMIN_ONLY,yes when vertical enabled,no,no,yes,CONTEXTUAL_ROUTE,RUNTIME_VERIFIED
super-admin,/admin/catalog-module/[key],no menu entry (dynamic placeholder),unchanged,super_admin,n/a,yes (contextual),no,no,n/a (honest placeholder),HIDDEN_BUT_SUPPORTED,SOURCE_VERIFIED
tenant-portal,/dashboard,yes,yes (unchanged),tenant_owner,n/a,yes,no,no,yes,PRIMARY_NAVIGATION,SOURCE_VERIFIED
tenant-portal,/reviews,yes,yes (unchanged),tenant_owner,n/a,yes,no,no,yes,PRIMARY_NAVIGATION,SOURCE_VERIFIED
tenant-portal,/provider/reviews,NO menu entry,unchanged (still no entry - correctly not surfaced),tenant_owner,n/a,by URL only,yes (dup of /reviews),no,yes,HIDDEN_BUT_SUPPORTED,SOURCE_VERIFIED - confirmed zero other referrers
tenant-portal,/marketing,yes,yes (unchanged),tenant_owner,n/a,yes,no,no,yes,PRIMARY_NAVIGATION,SOURCE_VERIFIED
tenant-portal,/provider/marketing,NO menu entry,unchanged (no entry),tenant_owner,n/a,by URL only + WAS linked from MarketingLaunchWidget (FIXED this slice),yes (dup of /marketing),no,yes,HIDDEN_BUT_SUPPORTED,RUNTIME_VERIFIED - real broken link found+fixed
tenant-portal,/chat,yes,yes (unchanged),tenant_owner,n/a,yes,no,no,yes,PRIMARY_NAVIGATION,SOURCE_VERIFIED
tenant-portal,/provider/chat,NO menu entry,unchanged (no entry),tenant_owner,n/a,by URL only,yes (dup of /chat),no,yes,HIDDEN_BUT_SUPPORTED,SOURCE_VERIFIED - confirmed zero other referrers
tenant-portal,/staff/dashboard,yes,yes (unchanged),technician/staff,n/a,yes,no,no,yes,PRIMARY_NAVIGATION,SOURCE_VERIFIED
tenant-portal,/staff/my-work,yes (added Slice 1),yes (unchanged this slice; badge added),technician/staff,n/a,yes,no,no,yes,PRIMARY_NAVIGATION,RUNTIME_VERIFIED
tenant-portal,/staff/jobs,yes,yes (unchanged),technician/staff,n/a,yes,no,no,yes,PRIMARY_NAVIGATION,SOURCE_VERIFIED
tenant-portal,/staff/home-services/jobs,NO menu entry,unchanged (no entry),technician/staff,n/a,by URL only,yes (dup of /staff/jobs),no,yes,HIDDEN_BUT_SUPPORTED,SOURCE_VERIFIED - not re-investigated for other referrers this slice
tenant-portal,/staff/jobs/[job_id],contextual (from /staff/jobs),unchanged; Parts Request UI added Slice 1,technician,n/a,yes,no,no,yes (ServiceJob only),CONTEXTUAL_ROUTE,RUNTIME_VERIFIED
tenant-portal,/(tenant)/service-jobs/[id]/execution,contextual,unchanged; Mark Installed button added Slice 1,tenant_owner/staff,n/a,yes,no,no,yes (ServiceJob only),CONTEXTUAL_ROUTE,RUNTIME_VERIFIED
