workflow_name,role,user_goal,canonical_record,canonical_model,step_count,verification,notes
Booking creation,customer,Book a service,ServiceBooking+ServiceJob,final_records.models,1 (atomic),RUNTIME_VERIFIED,HS7/HS8 confirmed atomic create; legacy Booking(bookings table) and field_ops Job still live in parallel
Serviceability check,customer,Check if bookable,(matching_engine),matching_engine,1,RUNTIME_VERIFIED,
Diagnostic questions/photo upload,customer,Provide job detail,ServiceBooking(draft),final_records/media,1,SOURCE_VERIFIED,
Price estimation,customer,See price,pricing engine (Low/Mid/High),pricing,1,RUNTIME_VERIFIED,replaced manual bargain
Provider matching,customer,Get matched to provider,matching_engine,matching_engine,1,RUNTIME_VERIFIED,11/11 checklist items live-verified
Technician assignment,tenant_owner/staff,Assign technician to job,ServiceJob,home_service_assignment,1,SOURCE_VERIFIED,
On-the-way/arrival,technician,Update job status,ServiceJob,execution engine,2,SOURCE_VERIFIED,
Inspection,technician,Diagnose on site,ServiceJob,execution engine,1,SOURCE_VERIFIED,
Quote creation/approval,tenant_owner/customer,Approve additional cost,quote_checklist record,quote_checklist.models,2,RUNTIME_VERIFIED,customer-side only; no tenant-side approval step exists
Parts approval,tenant_owner,Approve parts request,(none - collapsed into quote_required status),n/a,0,SOURCE_VERIFIED,GAP - no structured parts entity exists (HS8_PARTS_REQUEST_REPORT)
Work start/progress/completion,technician,Execute and finish job,ServiceJob,execution engine,3,RUNTIME_VERIFIED,
Customer confirmation,customer,Confirm job done,ServiceJob,execution engine,1,SOURCE_VERIFIED,
Commission deduction,system,Deduct usage credit on completion,UsageCreditLedger,usage_credit_deduction,1,RUNTIME_VERIFIED,exactly-once verified
Review and rating,customer,Rate provider,CustomerReview,customer_reviews.models,1,RUNTIME_VERIFIED,canonical since L5-13; legacy review/router.py still live in parallel
Provider not assigned,super_admin/tenant_owner,Resolve unmatched booking,ServiceJob,matching_engine,1,SOURCE_INFERRED,workspace not yet built
Provider/technician rejected job,tenant_owner,Reassign,ServiceJob,home_service_assignment,1,SOURCE_VERIFIED,
SLA risk/breach,super_admin,Prevent/handle SLA breach,ServiceJob+ComplaintSLA loop,complaints/app.jobs.complaint_sla,1,RUNTIME_VERIFIED,previously dead loop, fixed L5-02
Cancellation,customer,Cancel booking,ServiceJob,final_records,1,RUNTIME_VERIFIED,closed CRITICAL gap L5-00-005 via L5-29
Rescheduling,customer,Reschedule booking,ServiceJob,final_records,1,RUNTIME_VERIFIED,delivered in L5-29
Rework,customer/tenant_owner,Request rework,ReworkRequest,complaints.models,1,SOURCE_VERIFIED,
Complaint/dispute,customer,Raise complaint,Complaint,complaints.models,3,RUNTIME_VERIFIED,notify wired L5-24
Customer service credit,super_admin,Issue goodwill credit,CustomerCredit,customer_credits.models,1,RUNTIME_VERIFIED,delivered L5-28
Provider credit deduction,system,Deduct provider penalty,ProviderWallet,invoice_payment.models,1,SOURCE_VERIFIED,
Escalation/case closure,super_admin,Close complaint case,Complaint,complaints.models,1,SOURCE_VERIFIED,
Package creation,super_admin,Define a package,Package,package_commerce.models,1,SOURCE_VERIFIED,
Package purchase,tenant_owner,Purchase/assign package,TenantPackageAssignment,package_commerce.models,1,RUNTIME_VERIFIED,canonical since L5-30
Credit top-up,tenant_owner,Top up credit balance,UsageCreditLedger,usage_credits,1,SOURCE_VERIFIED,
Manual adjustment,super_admin,Adjust tenant balance manually,UsageCreditLedger,usage_credits,1,SOURCE_VERIFIED,
Financial restriction,super_admin,Restrict low-credit tenant,Tenant(status)/matching restriction,HS9 low-credit policy,1,RUNTIME_VERIFIED,
Credit ledger review,super_admin/tenant_owner,Review transaction history,UsageCreditLedger,usage_credits,1,RUNTIME_VERIFIED,
Login/MFA/session mgmt,all roles,Authenticate securely,User+Session,auth.models,2,SOURCE_VERIFIED,
Device management,all roles,Manage active sessions,Session,auth.models,1,SOURCE_VERIFIED,
Role/permission management,super_admin,Manage roles/permissions,ROLE_PERMISSIONS (code-based, no DB table),permissions.py,1,SOURCE_VERIFIED,no real mutation capability yet per code comment
Account restriction,super_admin,Restrict a user account,User,auth.models,1,SOURCE_VERIFIED,
Audit investigation,super_admin,Investigate action history,AuthAuditLog/TenantAuditLog,auth/tenant_engine.models,1,SOURCE_VERIFIED,
Compliance export/erasure,customer/super_admin,DPDP data export/delete,ComplianceRequest,compliance.models,1,SOURCE_VERIFIED,
Security incident review,admin_security,Review security events,AuthAuditLog,auth.models,1,SOURCE_VERIFIED,
