module,endpoint_prefix,canonical_or_non_canonical,role,workflow,workspace,ui_coverage,duplicate,deprecated,disconnected,verification,notes
execution,/v1/staff/service-jobs; /v1/provider/service-jobs; /v1/customer/service-jobs; /v1/admin/service-jobs,canonical,technician/tenant_owner/customer/super_admin,Job execution (on-the-way..completion),My Jobs / Inspection / Completion,covered,no,no,no,RUNTIME_VERIFIED,
quote_checklist,/provider/quotes; /staff/quotes; /customer/quotes; /admin/checklist-templates; /admin/quotes,canonical,tenant_owner/staff/customer/super_admin,Quote creation/approval,Quote Decision,covered,no,no,no,RUNTIME_VERIFIED,prefixes inconsistently missing /v1
inventory,/v1/inventory,canonical (only parts-adjacent engine found),tenant_owner,Inventory,Advanced (not primary workflow),partial,no,no,no,SOURCE_VERIFIED,no structured Parts Request entity exists anywhere
chat,/v1/chat,possibly canonical,all,Messaging,Chat,covered,yes - 4 chat engines total,no,no,SOURCE_VERIFIED,needs explicit canonical decision
ai_chat,/v1/ai,possibly legacy,customer,AI assistant chat,AI Chat,covered,yes,no,no,SOURCE_VERIFIED,
ai_conversation,/v1/customer/ai-chat; /v1/admin/ai-chat (+Sprint29 hardening variants),possibly legacy,customer/super_admin,AI conversation,AI Chat,covered,yes,no,no,SOURCE_VERIFIED,
platform_notifications,/v1/customer|provider|staff|admin chat+notif+audit sub-routers,likely canonical (frontend evidence),all,Chat/Notifications/Audit,Chat; Notifications; Audit,covered,yes (chat),no,no,SOURCE_VERIFIED,staff-app and tenant-portal both call this family's chat endpoints
notification,/v1/notifications; /v1/admin/notifications/templates,canonical (core),all,Notifications,Notifications,covered,possible dup of platform_notifications templates,no,no,SOURCE_VERIFIED,
invoice_payment,/v1/admin/service-invoices; /v1/customer/service-invoices; /v1/provider/service-invoices; /v1/staff/service-invoices; wallet/commission/subscription sub-routers,canonical,all,Invoicing/payment/commission,Finance workspace,covered,no,no,no,RUNTIME_VERIFIED,
customer_credits,/v1/admin/finance; /v1/me/credits; /v1/provider/finance,canonical,customer/super_admin/tenant_owner,Customer service credit,Finance/Complaint workspace,covered,shares /v1/admin/finance prefix with 2 others,no,no,RUNTIME_VERIFIED,
finance_hub,/v1/admin/finance,canonical (explicit main.py priority),super_admin,Finance overview,Finance Hub,covered,shares prefix,no,no,SOURCE_VERIFIED,mounted first to win route collision
usage_credits,/v1/admin/usage-credits,canonical (explicit FINAL-L5-05J),super_admin/tenant_owner,Credit ledger/topup/adjustment,Finance workspace,covered,no,older credit paths in package_commerce marked legacy-path,no,RUNTIME_VERIFIED,
package_commerce,/v1/admin (security deposit, credit wallet legacy paths); models TenantPackageAssignment/TenantPackagePurchase,mixed,super_admin/tenant_owner,Package purchase; security deposit,Finance workspace,partial,TenantPackagePurchase possibly legacy sibling of TenantPackageAssignment,security deposit endpoints explicitly [DEPRECATED_410],no,RUNTIME_VERIFIED (package assignment) / UNVERIFIED (deposit replacement),
platform_commerce,/v1/commerce; /v1/billing,mixed,super_admin,Platform billing; wallet deduct (legacy),Finance workspace,partial,no,wallet-deduct endpoint explicitly [DEPRECATED],no,SOURCE_VERIFIED,superseded by Completed Job Deduction
review,/v1/reviews,non_canonical (legacy),super_admin,Reviews (legacy),ambiguous - /admin/reviews page target unconfirmed,yes - full dup of customer_reviews,no (still fully live),no (still mounted),SOURCE_VERIFIED,highest-priority duplicate to resolve
customer_reviews,/v1/customer/reviews; /v1/provider/reviews; /v1/public/reviews; /v1/admin/reviews (+4 admin sub-routers),canonical,customer/tenant_owner/guest/super_admin,Review and rating,Customers workspace,covered,yes (see review above),no,no,RUNTIME_VERIFIED,
complaints,/v1/customer/complaints; /v1/provider/complaints; /v1/provider/rework-requests; /v1/provider/refund-requests; /v1/admin/complaints; /v1/admin/rework-requests; /v1/admin/refund-requests; /v1/admin/complaint-policies,canonical,customer/tenant_owner/super_admin,Complaint/dispute/rework/refund,Complaint workspace,covered,no,no,no,RUNTIME_VERIFIED,
compliance,/v1/compliance; /v1/admin/compliance; /v1/me/compliance; /v1/provider/compliance,canonical,all,DPDP privacy export/erasure,Compliance workspace,covered,no,no,no,RUNTIME_VERIFIED,
trust_quality,/v1/admin/trust-quality; provider/public sub-routers,canonical,super_admin/tenant_owner/guest,Trust & quality scoring,Businesses workspace,covered,no,no,no,SOURCE_VERIFIED,
roles_permissions,/v1/admin,canonical (read-only),super_admin,Role/permission management,Governance workspace,covered (view only),no,no,no,SOURCE_VERIFIED,mutation not wired for any role
auth,/v1/auth*; /v1/admin/platform-users; /v1/admin/staff,canonical,all,Login/MFA/session/staff mgmt,Governance / Profile workspace,covered,no,no,no,SOURCE_VERIFIED,
engine_mgmt,/v1/admin/engines,canonical,super_admin,Engine enable/disable,Governance workspace (advanced),covered,no,no,no,SOURCE_VERIFIED,
matching_engine,(internal, invoked by booking flow),canonical,system,Provider matching,Booking flow / Exception workspace,covered (surfaced via booking UI),no,no,no,RUNTIME_VERIFIED,
