role,user_facing_name,nav_item,business_purpose,pages_inside,workflows_inside,primary_action,alerts_counters,apis_covered,advanced_hidden,verification
tenant_owner,Business Owner,Credits,Finance/package/wallet,finance/package; finance/usage-credit-ledger; finance/security-deposit; wallet,credit topup; package purchase,purchase/topup,balance,/v1/tenant/finance*; /v1/admin/usage-credits* (tenant-scoped),raw ledger,SOURCE_VERIFIED
tenant_owner,Business Owner,Settings,Account/notification config,settings; settings/engines; account; notifications,configure,save,,/v1/tenant/settings*,,SOURCE_VERIFIED
staff,Office Staff,(same tenant-portal shell, permission-gated subset),Delegated day-to-day ops,jobs; quotes; customers,job coordination,assign/update,assigned count,/v1/staff/service-jobs*,tenant finance/settings,SOURCE_VERIFIED
technician,Field Technician,Today,Daily job queue,staff/dashboard,daily schedule,start next job,jobs today,/v1/staff/service-jobs*,,SOURCE_VERIFIED
technician,Field Technician,My Jobs,Assigned jobs,staff/jobs; staff/home-services/jobs,accept/reject/execute,advance status,active job count,/v1/staff/service-jobs/{id}/*,,SOURCE_VERIFIED - duplicate list surfaces noted
technician,Field Technician,Inspection,On-site diagnostic,job detail tabs,start/complete inspection,submit findings,,/v1/staff/service-jobs/{id}/start-inspection,,SOURCE_VERIFIED
technician,Field Technician,Quote,Parts/price flag,job detail tabs,flag quote-required,submit,,/v1/staff/service-jobs/{id}/parts-required,,SOURCE_VERIFIED - no structured parts entity
technician,Field Technician,Completion,Finish job,job detail tabs,complete job,submit proof,,/v1/staff/service-jobs/{id}/complete,,SOURCE_VERIFIED
technician,Field Technician,Profile,Skills/availability/documents (web only),staff/profile; staff/skills; staff/service-areas; staff/availability; staff/documents; staff/security/sessions,self-service setup,edit,,/v1/staff/{id}*,,SOURCE_VERIFIED - mobile app narrower
customer,Customer,Home,Category browse,Home screen,discovery,select category,,/v1/customer/categories,,SOURCE_VERIFIED
customer,Customer,Book,Booking creation flow,BookingAssistant..BookingSuccess screens,booking creation,confirm booking,,/v1/customer/home-services/booking-drafts*; /v1/customer/bookings,,SOURCE_VERIFIED
customer,Customer,My Bookings,Track/manage bookings,BookingsList; BookingDetail; Tracking,tracking; cancel/reschedule,view/cancel/reschedule,active bookings,/v1/customer/bookings*; /v1/customer/service-jobs/{id},,SOURCE_VERIFIED
customer,Customer,Quotes,Quote approval,QuoteDecision,quote approve/reject,decide,pending quotes,/customer/quotes* (quote_checklist),,SOURCE_VERIFIED
customer,Customer,Finance,Invoices/credits,(nested legacy + new screens),invoice payment; credit apply,pay/apply credit,due invoices,/v1/customer/service-invoices*; /v1/me/credits*,,SOURCE_VERIFIED
customer,Customer,Profile,Account/privacy,Profile; Sessions; Authentication,privacy requests; session mgmt,edit/export/delete,,/v1/me/compliance*,,SOURCE_VERIFIED
guest,Prospective user/customer,Public,Signup/browse,public registration screens,registration,sign up,,/v1/public*,,SOURCE_VERIFIED
