method,path,endpoint,repository_module,service,model,inspection_state,tenant_derivation_evidence,guard_status
PUT,/v1/staff/profile,update_staff_profile,app.engines.profile.router,ProfileService,User,CONFIRMED_SELF_SERVICE,n/a -- updates only self.actor (no ID param),ROLE_ONLY_NOT_ACCESS_SCOPE_AWARE
POST,/v1/rag/query,query,app.engines.rag.router,RAGService,KnowledgeBase / RAGQuery,CONFIRMED_CROSS_TENANT_GAP,NONE -- RAGService never receives actor_tenant_id at all; _get_kb(kb_id) queries WHERE id==kb_id AND is_active==True with NO tenant predicate,AUTHENTICATED_ONLY_NO_PERMISSION_CHECK
PUT,/v1/me/profile,update_my_profile,app.engines.profile.router,ProfileService,User,CONFIRMED_SELF_SERVICE,n/a -- updates only self.actor,AUTHENTICATED_ONLY_NO_PERMISSION_CHECK
GET,/v1/commerce/tenants/{tenant_id}/deposit,get_deposit,app.engines.platform_commerce.router,CommerceService,SecurityDeposit,CONFIRMED_ACCESS_SCOPE_GAP,"_assert_owns_tenant_deposit(tid) (server-derived, already inspected 2F-32)",PERMISSION_ONLY_NOT_SCOPE_AWARE
POST,/v1/commerce/tenants/{tenant_id}/deposit/initiate,initiate_deposit,app.engines.platform_commerce.router,CommerceService,SecurityDeposit,CONFIRMED_ACCESS_SCOPE_GAP,_assert_owns_tenant_deposit(tid),PERMISSION_ONLY_NOT_SCOPE_AWARE
GET,/v1/commerce/tenants/{tenant_id}/deposit/transactions,get_deposit_transactions,app.engines.platform_commerce.router,CommerceService,SecurityDepositTransaction,CONFIRMED_ACCESS_SCOPE_GAP,_assert_owns_tenant_deposit(tid),PERMISSION_ONLY_NOT_SCOPE_AWARE
POST,/v1/enterprise/saved-views,create_saved_view,app.engines.enterprise_grid.router,SavedViewService,EnterpriseSavedView,CONFIRMED_ACCESS_SCOPE_GAP,"u.tenant_id passed server-side; create-only, no existing object",AUTHENTICATED_ONLY_NO_PERMISSION_CHECK
PUT,/v1/enterprise/saved-views/{view_id},update_saved_view,app.engines.enterprise_grid.router,SavedViewService,EnterpriseSavedView,CONFIRMED_OBJECT_OWNERSHIP_PRESENT,get_view() tenant/visibility check + owner_user_id compare (2F-32 inspected),AUTHENTICATED_ONLY_NO_PERMISSION_CHECK
DELETE,/v1/enterprise/saved-views/{view_id},delete_saved_view,app.engines.enterprise_grid.router,SavedViewService,EnterpriseSavedView,CONFIRMED_OBJECT_OWNERSHIP_PRESENT,same owner_user_id compare as update,AUTHENTICATED_ONLY_NO_PERMISSION_CHECK
POST,/v1/enterprise/saved-views/{view_id}/set-default,set_default_view,app.engines.enterprise_grid.router,SavedViewService,EnterpriseSavedView,CONFIRMED_ACCESS_SCOPE_GAP,"get_view() checked but set_default itself never re-verifies owner_user_id before mutating is_default (partial gap, 2F-32 finding)",AUTHENTICATED_ONLY_NO_PERMISSION_CHECK
PUT,/v1/enterprise/column-preferences,save_column_preferences,app.engines.enterprise_grid.router,ColumnPreferenceService,EnterpriseColumnPreference,CONFIRMED_SELF_SERVICE,keyed by user_id (self-service); u.tenant_id passed but not object-lookup relevant,AUTHENTICATED_ONLY_NO_PERMISSION_CHECK
POST,/v1/enterprise/exports,create_export,app.engines.enterprise_grid.router,ExportService,EnterpriseExportJob,CONFIRMED_ACCESS_SCOPE_GAP,u.tenant_id (server-derived); per-resource export permission already partially gated per inline comment (FINAL-L5-05O/05R),AUTHENTICATED_ONLY_NO_PERMISSION_CHECK
DELETE,/v1/webhooks/endpoints/{endpoint_id},delete_endpoint,app.engines.webhook.router,WebhookService,WebhookEndpoint,CONFIRMED_CROSS_TENANT_GAP,"client-supplied Query tenant_id, never verified against actor (2F-32 finding, re-confirmed)",PERMISSION_ONLY_NOT_SCOPE_AWARE
