route_key,method,path,endpoint,repository_module,router,service,model_resource,capability_family,permission,existing_guard,access_scope_behavior,principal_tenant_source,object_tenant_source,parent_ownership_source,client_tenant_inputs,direct_service_call_behavior,alternate_routes,current_status,primary_authorization_defect,privacy_integrity_concern,prior_slice_provenance
POST /v1/rag/query,POST,/v1/rag/query,query,app.engines.rag.router,rag/router.py,RAGService,KnowledgeBase / RAGQuery,rag.query.execute,none,get_current_user only,NOT enforced,NONE -- RAGService never receives actor_tenant_id at all,NONE -- _get_kb(kb_id) queries WHERE id==kb_id AND is_active==True only,n/a,kb_id (client body -- fully trusted),NO tenant context possible even via direct call (constructor never accepts one),none found,AUTHENTICATED_ONLY_NO_PERMISSION_CHECK,CROSS-TENANT: any authenticated user of any tenant can query ANY other tenant's knowledge base by supplying its kb_id,HIGH -- potential cross-tenant data exposure/exfiltration via RAG answers,2F-26 persona sweep
GET /v1/commerce/tenants/{tenant_id}/deposit,GET,/v1/commerce/tenants/{tenant_id}/deposit,get_deposit,app.engines.platform_commerce.router,platform_commerce/router.py,CommerceService,SecurityDeposit,commerce.deposit.read,require_tenant_billing_read,require_permission(BILLING_READ),NOT enforced,path tenant_id (client) but service calls _assert_owns_tenant_deposit(tid),service-layer tenant ownership assertion confirmed present,n/a,tenant_id (path -- verified by service),verified (2F-32 inspected),none found,PERMISSION_ONLY_NOT_SCOPE_AWARE,missing access-scope-aware guard only -- cross-tenant already blocked at service layer,none found,2F-26 persona sweep
POST /v1/commerce/tenants/{tenant_id}/deposit/initiate,POST,/v1/commerce/tenants/{tenant_id}/deposit/initiate,initiate_deposit,app.engines.platform_commerce.router,platform_commerce/router.py,CommerceService,SecurityDeposit,commerce.deposit.initiate,require_tenant_billing_manage,require_permission(BILLING_MANAGE),NOT enforced,path tenant_id but service calls _assert_owns_tenant_deposit(tid),service-layer assertion confirmed present,n/a,tenant_id (path -- verified),verified,none found,PERMISSION_ONLY_NOT_SCOPE_AWARE,missing access-scope-aware guard only,none found,2F-26 persona sweep
GET /v1/commerce/tenants/{tenant_id}/deposit/transactions,GET,/v1/commerce/tenants/{tenant_id}/deposit/transactions,get_deposit_transactions,app.engines.platform_commerce.router,platform_commerce/router.py,CommerceService,SecurityDepositTransaction,commerce.deposit.transactions_read,require_tenant_billing_read,require_permission(BILLING_READ),NOT enforced,path tenant_id but service calls _assert_owns_tenant_deposit(tid),service-layer assertion confirmed present,n/a,tenant_id (path -- verified),verified,none found,PERMISSION_ONLY_NOT_SCOPE_AWARE,missing access-scope-aware guard only,none found,2F-26 persona sweep
POST /v1/enterprise/saved-views,POST,/v1/enterprise/saved-views,create_saved_view,app.engines.enterprise_grid.router,enterprise_grid/router.py,SavedViewService,EnterpriseSavedView,enterprise.saved_view.create,none,get_current_user only,NOT enforced,u.tenant_id passed server-side,n/a (create),n/a,none,n/a (create),none found,AUTHENTICATED_ONLY_NO_PERMISSION_CHECK,missing role/permission/access-scope check; no ownership needed (create),none found,2F-26 persona sweep
PUT /v1/enterprise/saved-views/{view_id},PUT,/v1/enterprise/saved-views/{view_id},update_saved_view,app.engines.enterprise_grid.router,enterprise_grid/router.py,SavedViewService,EnterpriseSavedView,enterprise.saved_view.update,none,get_current_user only,NOT enforced,u.tenant_id passed server-side,get_view() visibility/tenant check + owner_user_id compare,n/a,none,verified (2F-32 inspected),none found,AUTHENTICATED_ONLY_NO_PERMISSION_CHECK,missing role/permission/access-scope check; ownership IS enforced at service layer,none found,2F-26 persona sweep
DELETE /v1/enterprise/saved-views/{view_id},DELETE,/v1/enterprise/saved-views/{view_id},delete_saved_view,app.engines.enterprise_grid.router,enterprise_grid/router.py,SavedViewService,EnterpriseSavedView,enterprise.saved_view.delete,none,get_current_user only,NOT enforced,u.tenant_id passed server-side,same owner_user_id compare as update,n/a,none,verified,none found,AUTHENTICATED_ONLY_NO_PERMISSION_CHECK,missing role/permission/access-scope check; ownership IS enforced,none found,2F-26 persona sweep
POST /v1/enterprise/saved-views/{view_id}/set-default,POST,/v1/enterprise/saved-views/{view_id}/set-default,set_default_view,app.engines.enterprise_grid.router,enterprise_grid/router.py,SavedViewService,EnterpriseSavedView,enterprise.saved_view.set_default,none,get_current_user only,NOT enforced,u.tenant_id passed server-side,get_view() checks visibility but set_default itself never re-checks owner_user_id before mutating,n/a,none,PARTIAL -- weaker than update/delete,none found,AUTHENTICATED_ONLY_NO_PERMISSION_CHECK,missing role/permission/access-scope check PLUS a partial ownership gap in set_default itself,none found,2F-26 persona sweep
PUT /v1/enterprise/column-preferences,PUT,/v1/enterprise/column-preferences,save_column_preferences,app.engines.enterprise_grid.router,enterprise_grid/router.py,ColumnPreferenceService,EnterpriseColumnPreference,enterprise.column_preference.save,none,get_current_user only,NOT enforced,keyed by user_id (self-service),n/a (self only),n/a,none,self-service,none found,AUTHENTICATED_ONLY_NO_PERMISSION_CHECK,self-service by construction; missing role/permission/access-scope check only,none found,2F-26 persona sweep
POST /v1/enterprise/exports,POST,/v1/enterprise/exports,create_export,app.engines.enterprise_grid.router,enterprise_grid/router.py,ExportService,EnterpriseExportJob,enterprise.export.create,none (route level; per-resource export permission partially gated internally),get_current_user only,NOT enforced,u.tenant_id (server-derived),n/a (create),n/a,none,per-resource export permission already gated inside ExportService (FINAL-L5-05O/05R),none found,AUTHENTICATED_ONLY_NO_PERMISSION_CHECK,missing route-level role/permission/access-scope check; bulk data-export privacy exposure if resource-level gating has gaps (not fully re-audited this slice),privacy exposure plausible but not confirmed this slice,2F-26 persona sweep
DELETE /v1/webhooks/endpoints/{endpoint_id},DELETE,/v1/webhooks/endpoints/{endpoint_id},delete_endpoint,app.engines.webhook.router,webhook/router.py,WebhookService,WebhookEndpoint,webhook.endpoint.delete,require_permission(TENANT_UPDATE),require_permission(TENANT_UPDATE),NOT enforced,tenant_id is a client-supplied Query param -- never compared to actor's own tenant,WebhookService.delete_endpoint filters WHERE id==endpoint_id AND tenant_id==client_tenant_id (client-asserted; no principal-vs-target check),n/a,tenant_id (Query -- fully trusted),no trusted-context requirement exists at all,none found,PERMISSION_ONLY_NOT_SCOPE_AWARE,CROSS-TENANT: any TENANT_UPDATE holder can delete ANY tenant's webhook endpoint by naming that tenant in the query string,none found beyond the cross-tenant gap,2F-27A authorized addition
