method,path,module,current_status,assigned_future_slice
PUT,/v1/appointments/staff/{staff_id}/working-hours,appointments,PENDING_MODULE_ADJUDICATION,2F-36
POST,/v1/catalog,catalog,PENDING_MODULE_ADJUDICATION,2F-36
PUT,/v1/catalog/{item_id},catalog,PENDING_MODULE_ADJUDICATION,2F-36
POST,/v1/geo/tenants/{tenant_id}/zones,geo,RESOLVED_ADDED_CANONICALLY,n/a -- already canonical
POST,/v1/geo/tenants/{tenant_id}/staff/{staff_id}/location,geo,RESOLVED_ADDED_CANONICALLY,n/a -- already canonical
POST,/v1/dispatch/jobs/{job_id}/dispatch,dispatch,PENDING_MODULE_ADJUDICATION,2F-36
POST,/v1/dispatch/jobs/{job_id}/reassign,dispatch,PENDING_MODULE_ADJUDICATION,2F-36
GET,/v1/ds/tenants/{tenant_id}/churn/score,ds,PENDING_MODULE_ADJUDICATION,2F-36
GET,/v1/ds/tenants/{tenant_id}/demand/forecast,ds,PENDING_MODULE_ADJUDICATION,2F-36
POST,/v1/ds/tenants/{tenant_id}/demand/recompute,ds,PENDING_MODULE_ADJUDICATION,2F-36
POST,/v1/ds/tenants/{tenant_id}/pricing/apply,ds,PENDING_MODULE_ADJUDICATION,2F-36
GET,/v1/ds/tenants/{tenant_id}/customers/{customer_id}/ltv,ds,PENDING_MODULE_ADJUDICATION,2F-36
POST,/v1/ds/tenants/{tenant_id}/customers/{customer_id}/ltv/recompute,ds,PENDING_MODULE_ADJUDICATION,2F-36
DELETE,/v1/rag/knowledge-bases/{kb_id},rag,PENDING_MODULE_ADJUDICATION,2F-35
POST,/v1/rag/knowledge-bases/{kb_id}/documents,rag,PENDING_MODULE_ADJUDICATION,2F-35
DELETE,/v1/rag/documents/{doc_id},rag,PENDING_MODULE_ADJUDICATION,2F-35
POST,/v1/rag/documents/{doc_id}/reindex,rag,PENDING_MODULE_ADJUDICATION,2F-35
PUT,/v1/settings/tenants/{tenant_id}/{key},settings,PENDING_MODULE_ADJUDICATION,2F-36
DELETE,/v1/settings/tenants/{tenant_id}/{key},settings,PENDING_MODULE_ADJUDICATION,2F-36
PUT,/v1/notifications/tenants/{tenant_id}/channels/{channel},notifications,PENDING_MODULE_ADJUDICATION,2F-36
POST,/v1/media/upload/initiate,media,RESOLVED_ADDED_CANONICALLY,n/a -- already canonical
POST,/v1/media/upload/{session_id}/confirm,media,RESOLVED_ADDED_CANONICALLY,n/a -- already canonical
DELETE,/v1/media/tenants/{tenant_id}/files/{file_id},media,RESOLVED_ADDED_CANONICALLY,n/a -- already canonical
POST,/v1/pricing/tenants/{tenant_id}/prices/set,pricing,PENDING_MODULE_ADJUDICATION,2F-37
PUT,/v1/pricing/tenants/{tenant_id}/brand-adjustment,pricing,PENDING_MODULE_ADJUDICATION,2F-37
POST,/v1/pricing/tenants/{tenant_id}/zones,pricing,PENDING_MODULE_ADJUDICATION,2F-37
PUT,/v1/pricing/tenants/{tenant_id}/zones/{zone_id},pricing,PENDING_MODULE_ADJUDICATION,2F-37
DELETE,/v1/pricing/tenants/{tenant_id}/zones/{zone_id},pricing,PENDING_MODULE_ADJUDICATION,2F-37
POST,/v1/pricing/tenants/{tenant_id}/rules,pricing,PENDING_MODULE_ADJUDICATION,2F-37
PUT,/v1/pricing/tenants/{tenant_id}/rules/{rule_id},pricing,PENDING_MODULE_ADJUDICATION,2F-37
DELETE,/v1/pricing/tenants/{tenant_id}/rules/{rule_id},pricing,PENDING_MODULE_ADJUDICATION,2F-37
POST,/v1/pricing/compute,pricing,PENDING_MODULE_ADJUDICATION,2F-37
POST,/v1/commerce/tenants/{tenant_id}/deposit/admin-adjust,commerce,PENDING_MODULE_ADJUDICATION,2F-37
POST,/v1/commerce/tenants/{tenant_id}/wallet/purchase/initiate,commerce,PENDING_MODULE_ADJUDICATION,2F-37
POST,/v1/commerce/warranty/claims,commerce,PENDING_MODULE_ADJUDICATION,2F-37
POST,/v1/commerce/tenants/{tenant_id}/badges/recalculate,commerce,PENDING_MODULE_ADJUDICATION,2F-37
