method,path,endpoint_name,capability,guard_before,guard_after,tenant_scoping_mechanism,object_ownership_mechanism,final_classification,verification_level
DELETE,/v1/provider/availability/exceptions/{exception_id},delete_availability_exception,Soft-delete availability exception,require_tenant_owner,require_tenant_owner_mutation,tenant_id from _tid(user),UPDATE WHERE tenant_id=:tid,TENANT_OWNER_SELF_SERVICE,SLICE_2F2_VERIFIED
PUT,/v1/provider/booking-window,update_booking_window,Update tenant-wide booking-window policy,require_tenant_owner,require_tenant_owner_mutation,tenant_id from _tid(user) (single row per tenant),n/a (upsert by tenant_id),TENANT_OWNER_SELF_SERVICE,SLICE_2F2_VERIFIED
POST,/v1/provider/availability/preset/{preset_key},apply_availability_preset,Apply availability preset (bulk),require_tenant_owner,require_tenant_owner_mutation,tenant_id from _tid(user),DELETE+INSERT WHERE tenant_id=:tid,TENANT_OWNER_SELF_SERVICE,SLICE_2F2_VERIFIED
DELETE,/v1/provider/availability/preset/{preset_key},delete_availability_preset,Remove preset-applied rules (bulk),require_tenant_owner,require_tenant_owner_mutation,tenant_id from _tid(user),DELETE WHERE tenant_id=:tid,TENANT_OWNER_SELF_SERVICE,SLICE_2F2_VERIFIED
POST,/v1/provider/offerings/enabled,enable_offering,Enable a service offering for the business,require_tenant_owner,require_tenant_owner_mutation,tenant_id from _tid(user),UPSERT WHERE tenant_id=:tid,TENANT_OWNER_SELF_SERVICE,SLICE_2F2_VERIFIED
PUT,/v1/provider/offerings/enabled/{offering_id},update_enabled_offering,Update enabled-offering pricing/details,require_tenant_owner,require_tenant_owner_mutation,tenant_id from _tid(user),UPDATE WHERE tenant_id=:tid; read-back now tenant-filtered (fixed),TENANT_OWNER_SELF_SERVICE,SLICE_2F2_VERIFIED
POST,/v1/provider/offerings/enabled/{offering_id}/activate,activate_offering,Activate an enabled offering,require_tenant_owner,require_tenant_owner_mutation,tenant_id from _tid(user),UPDATE WHERE tenant_id=:tid; read-back now tenant-filtered (fixed),TENANT_OWNER_SELF_SERVICE,SLICE_2F2_VERIFIED
POST,/v1/provider/offerings/enabled/{offering_id}/deactivate,deactivate_offering,Deactivate an enabled offering,require_tenant_owner,require_tenant_owner_mutation,tenant_id from _tid(user),UPDATE WHERE tenant_id=:tid; read-back now tenant-filtered (fixed),TENANT_OWNER_SELF_SERVICE,SLICE_2F2_VERIFIED
POST,/v1/provider/offerings/enabled/{offering_id}/refresh-readiness,refresh_offering_readiness,Refresh offering readiness status,require_tenant_owner,require_tenant_owner_mutation,tenant_id from _tid(user),UPDATE WHERE tenant_id=:tid; read-back now tenant-filtered (fixed),TENANT_OWNER_SELF_SERVICE,SLICE_2F2_VERIFIED
PUT,/v1/provider/service-areas/{area_id}/coverage,set_area_coverage,Set per-area service/type/brand coverage,require_tenant_mutation_permission(TENANT_SERVICE_AREA_SERVICE_UPDATE) (pre-existing),unchanged (already scope-aware pre-slice),tenant_id from _tid(user) + area ownership pre-check,pre-existence check WHERE tenant_id=:tid (already safe pre-slice),TENANT_OWNER_SELF_SERVICE,SLICE_2F1-era (unchanged this slice)
POST,/v1/provider/status/refresh,refresh_provider_status,Recompute bookability/visibility status,require_tenant_owner,require_tenant_owner_mutation,tenant_id from _tid(user),n/a (upsert by tenant_id),TENANT_OWNER_SELF_SERVICE,SLICE_2F2_VERIFIED
POST,/v1/provider/onboarding/refresh,refresh_onboarding,Refresh onboarding status (no-op stub),require_tenant_owner,require_tenant_owner_mutation,n/a (no DB write),n/a,TENANT_OWNER_SELF_SERVICE (stub -- see known-limitations.md),SLICE_2F2_VERIFIED
POST,/v1/provider/home-services/matching-inputs/preview,preview_matching_inputs,Preview matching inputs (read-only, no mutation),get_current_user (authenticated only),unchanged (correctly not a mutation),tenant_id from _tid(user),n/a (read-only),FALSE_POSITIVE,SLICE_2F2_VERIFIED
