method,path,module,slice2f27_proposed_persona,existing_canonical_status,reason_not_applied,required_future_evidence,suggested_module_boundary,status
POST,/v1/inventory/reservations/confirm,inventory,TENANT_PROVIDER_MUTATION,absent,single-agent dual-review over-classifies (59-vs-2); not independently confirmed,second independent reviewer OR module-level per-route adjudication,app.engines.inventory,PENDING_INDEPENDENT_OR_MODULE_LEVEL_ADJUDICATION
POST,/v1/inventory/reservations/release,inventory,TENANT_PROVIDER_MUTATION,absent,single-agent dual-review over-classifies (59-vs-2); not independently confirmed,second independent reviewer OR module-level per-route adjudication,app.engines.inventory,PENDING_INDEPENDENT_OR_MODULE_LEVEL_ADJUDICATION
PUT,/v1/subscriptions/tenants/{tenant_id}/plan,subscriptions,TENANT_PROVIDER_MUTATION,absent,single-agent dual-review over-classifies (59-vs-2); not independently confirmed,second independent reviewer OR module-level per-route adjudication,app.engines.subscriptions,PENDING_INDEPENDENT_OR_MODULE_LEVEL_ADJUDICATION
POST,/v1/documents,documents,TENANT_PROVIDER_MUTATION,absent,single-agent dual-review over-classifies (59-vs-2); not independently confirmed,second independent reviewer OR module-level per-route adjudication,app.engines.documents,PENDING_INDEPENDENT_OR_MODULE_LEVEL_ADJUDICATION
POST,/v1/documents/{document_id}/send,documents,TENANT_PROVIDER_MUTATION,absent,single-agent dual-review over-classifies (59-vs-2); not independently confirmed,second independent reviewer OR module-level per-route adjudication,app.engines.documents,PENDING_INDEPENDENT_OR_MODULE_LEVEL_ADJUDICATION
POST,/v1/documents/{document_id}/void,documents,TENANT_PROVIDER_MUTATION,absent,single-agent dual-review over-classifies (59-vs-2); not independently confirmed,second independent reviewer OR module-level per-route adjudication,app.engines.documents,PENDING_INDEPENDENT_OR_MODULE_LEVEL_ADJUDICATION
POST,/v1/bookings,bookings,TENANT_PROVIDER_MUTATION,absent,single-agent dual-review over-classifies (59-vs-2); not independently confirmed,second independent reviewer OR module-level per-route adjudication,app.engines.bookings,PENDING_INDEPENDENT_OR_MODULE_LEVEL_ADJUDICATION
POST,/v1/appointments/{appointment_id}/confirm,appointments,TENANT_PROVIDER_MUTATION,absent,single-agent dual-review over-classifies (59-vs-2); not independently confirmed,second independent reviewer OR module-level per-route adjudication,app.engines.appointments,PENDING_INDEPENDENT_OR_MODULE_LEVEL_ADJUDICATION
POST,/v1/appointments/{appointment_id}/cancel,appointments,TENANT_PROVIDER_MUTATION,absent,single-agent dual-review over-classifies (59-vs-2); not independently confirmed,second independent reviewer OR module-level per-route adjudication,app.engines.appointments,PENDING_INDEPENDENT_OR_MODULE_LEVEL_ADJUDICATION
POST,/v1/appointments/{appointment_id}/reschedule,appointments,TENANT_PROVIDER_MUTATION,absent,single-agent dual-review over-classifies (59-vs-2); not independently confirmed,second independent reviewer OR module-level per-route adjudication,app.engines.appointments,PENDING_INDEPENDENT_OR_MODULE_LEVEL_ADJUDICATION
POST,/v1/appointments/{appointment_id}/no-show,appointments,TENANT_PROVIDER_MUTATION,absent,single-agent dual-review over-classifies (59-vs-2); not independently confirmed,second independent reviewer OR module-level per-route adjudication,app.engines.appointments,PENDING_INDEPENDENT_OR_MODULE_LEVEL_ADJUDICATION
POST,/v1/appointments/staff/{staff_id}/calendar/block,appointments,TENANT_PROVIDER_MUTATION,absent,single-agent dual-review over-classifies (59-vs-2); not independently confirmed,second independent reviewer OR module-level per-route adjudication,app.engines.appointments,PENDING_INDEPENDENT_OR_MODULE_LEVEL_ADJUDICATION
DELETE,/v1/appointments/calendar/blocks/{block_id},appointments,TENANT_PROVIDER_MUTATION,absent,single-agent dual-review over-classifies (59-vs-2); not independently confirmed,second independent reviewer OR module-level per-route adjudication,app.engines.appointments,PENDING_INDEPENDENT_OR_MODULE_LEVEL_ADJUDICATION
PUT,/v1/appointments/staff/{staff_id}/working-hours,appointments,TENANT_PROVIDER_MUTATION,absent,single-agent dual-review over-classifies (59-vs-2); not independently confirmed,second independent reviewer OR module-level per-route adjudication,app.engines.appointments,PENDING_INDEPENDENT_OR_MODULE_LEVEL_ADJUDICATION
POST,/v1/catalog,catalog,TENANT_PROVIDER_MUTATION,absent,single-agent dual-review over-classifies (59-vs-2); not independently confirmed,second independent reviewer OR module-level per-route adjudication,app.engines.catalog,PENDING_INDEPENDENT_OR_MODULE_LEVEL_ADJUDICATION
PUT,/v1/catalog/{item_id},catalog,TENANT_PROVIDER_MUTATION,absent,single-agent dual-review over-classifies (59-vs-2); not independently confirmed,second independent reviewer OR module-level per-route adjudication,app.engines.catalog,PENDING_INDEPENDENT_OR_MODULE_LEVEL_ADJUDICATION
POST,/v1/geo/tenants/{tenant_id}/zones,geo,TENANT_PROVIDER_MUTATION,absent,single-agent dual-review over-classifies (59-vs-2); not independently confirmed,second independent reviewer OR module-level per-route adjudication,app.engines.geo,PENDING_INDEPENDENT_OR_MODULE_LEVEL_ADJUDICATION
POST,/v1/geo/tenants/{tenant_id}/staff/{staff_id}/location,geo,TENANT_PROVIDER_MUTATION,absent,single-agent dual-review over-classifies (59-vs-2); not independently confirmed,second independent reviewer OR module-level per-route adjudication,app.engines.geo,PENDING_INDEPENDENT_OR_MODULE_LEVEL_ADJUDICATION
POST,/v1/dispatch/jobs/{job_id}/dispatch,dispatch,TENANT_PROVIDER_MUTATION,absent,single-agent dual-review over-classifies (59-vs-2); not independently confirmed,second independent reviewer OR module-level per-route adjudication,app.engines.dispatch,PENDING_INDEPENDENT_OR_MODULE_LEVEL_ADJUDICATION
POST,/v1/dispatch/jobs/{job_id}/reassign,dispatch,TENANT_PROVIDER_MUTATION,absent,single-agent dual-review over-classifies (59-vs-2); not independently confirmed,second independent reviewer OR module-level per-route adjudication,app.engines.dispatch,PENDING_INDEPENDENT_OR_MODULE_LEVEL_ADJUDICATION
GET,/v1/ds/tenants/{tenant_id}/churn/score,ds,TENANT_PROVIDER_MUTATION,absent,single-agent dual-review over-classifies (59-vs-2); not independently confirmed,second independent reviewer OR module-level per-route adjudication,app.engines.ds,PENDING_INDEPENDENT_OR_MODULE_LEVEL_ADJUDICATION
GET,/v1/ds/tenants/{tenant_id}/demand/forecast,ds,TENANT_PROVIDER_MUTATION,absent,single-agent dual-review over-classifies (59-vs-2); not independently confirmed,second independent reviewer OR module-level per-route adjudication,app.engines.ds,PENDING_INDEPENDENT_OR_MODULE_LEVEL_ADJUDICATION
POST,/v1/ds/tenants/{tenant_id}/demand/recompute,ds,TENANT_PROVIDER_MUTATION,absent,single-agent dual-review over-classifies (59-vs-2); not independently confirmed,second independent reviewer OR module-level per-route adjudication,app.engines.ds,PENDING_INDEPENDENT_OR_MODULE_LEVEL_ADJUDICATION
POST,/v1/ds/tenants/{tenant_id}/pricing/apply,ds,TENANT_PROVIDER_MUTATION,absent,single-agent dual-review over-classifies (59-vs-2); not independently confirmed,second independent reviewer OR module-level per-route adjudication,app.engines.ds,PENDING_INDEPENDENT_OR_MODULE_LEVEL_ADJUDICATION
GET,/v1/ds/tenants/{tenant_id}/customers/{customer_id}/ltv,ds,TENANT_PROVIDER_MUTATION,absent,single-agent dual-review over-classifies (59-vs-2); not independently confirmed,second independent reviewer OR module-level per-route adjudication,app.engines.ds,PENDING_INDEPENDENT_OR_MODULE_LEVEL_ADJUDICATION
POST,/v1/ds/tenants/{tenant_id}/customers/{customer_id}/ltv/recompute,ds,TENANT_PROVIDER_MUTATION,absent,single-agent dual-review over-classifies (59-vs-2); not independently confirmed,second independent reviewer OR module-level per-route adjudication,app.engines.ds,PENDING_INDEPENDENT_OR_MODULE_LEVEL_ADJUDICATION
DELETE,/v1/rag/knowledge-bases/{kb_id},rag,TENANT_PROVIDER_MUTATION,absent,single-agent dual-review over-classifies (59-vs-2); not independently confirmed,second independent reviewer OR module-level per-route adjudication,app.engines.rag,PENDING_INDEPENDENT_OR_MODULE_LEVEL_ADJUDICATION
POST,/v1/rag/knowledge-bases/{kb_id}/documents,rag,TENANT_PROVIDER_MUTATION,absent,single-agent dual-review over-classifies (59-vs-2); not independently confirmed,second independent reviewer OR module-level per-route adjudication,app.engines.rag,PENDING_INDEPENDENT_OR_MODULE_LEVEL_ADJUDICATION
DELETE,/v1/rag/documents/{doc_id},rag,TENANT_PROVIDER_MUTATION,absent,single-agent dual-review over-classifies (59-vs-2); not independently confirmed,second independent reviewer OR module-level per-route adjudication,app.engines.rag,PENDING_INDEPENDENT_OR_MODULE_LEVEL_ADJUDICATION
POST,/v1/rag/documents/{doc_id}/reindex,rag,TENANT_PROVIDER_MUTATION,absent,single-agent dual-review over-classifies (59-vs-2); not independently confirmed,second independent reviewer OR module-level per-route adjudication,app.engines.rag,PENDING_INDEPENDENT_OR_MODULE_LEVEL_ADJUDICATION
PUT,/v1/settings/tenants/{tenant_id}/{key},settings,TENANT_PROVIDER_MUTATION,absent,single-agent dual-review over-classifies (59-vs-2); not independently confirmed,second independent reviewer OR module-level per-route adjudication,app.engines.settings,PENDING_INDEPENDENT_OR_MODULE_LEVEL_ADJUDICATION
DELETE,/v1/settings/tenants/{tenant_id}/{key},settings,TENANT_PROVIDER_MUTATION,absent,single-agent dual-review over-classifies (59-vs-2); not independently confirmed,second independent reviewer OR module-level per-route adjudication,app.engines.settings,PENDING_INDEPENDENT_OR_MODULE_LEVEL_ADJUDICATION
PUT,/v1/notifications/tenants/{tenant_id}/channels/{channel},notifications,TENANT_PROVIDER_MUTATION,absent,single-agent dual-review over-classifies (59-vs-2); not independently confirmed,second independent reviewer OR module-level per-route adjudication,app.engines.notifications,PENDING_INDEPENDENT_OR_MODULE_LEVEL_ADJUDICATION
POST,/v1/media/upload/initiate,media,TENANT_PROVIDER_MUTATION,absent,single-agent dual-review over-classifies (59-vs-2); not independently confirmed,second independent reviewer OR module-level per-route adjudication,app.engines.media,PENDING_INDEPENDENT_OR_MODULE_LEVEL_ADJUDICATION
POST,/v1/media/upload/{session_id}/confirm,media,TENANT_PROVIDER_MUTATION,absent,single-agent dual-review over-classifies (59-vs-2); not independently confirmed,second independent reviewer OR module-level per-route adjudication,app.engines.media,PENDING_INDEPENDENT_OR_MODULE_LEVEL_ADJUDICATION
DELETE,/v1/media/tenants/{tenant_id}/files/{file_id},media,TENANT_PROVIDER_MUTATION,absent,single-agent dual-review over-classifies (59-vs-2); not independently confirmed,second independent reviewer OR module-level per-route adjudication,app.engines.media,PENDING_INDEPENDENT_OR_MODULE_LEVEL_ADJUDICATION
POST,/v1/pricing/tenants/{tenant_id}/prices/set,pricing,TENANT_PROVIDER_MUTATION,absent,single-agent dual-review over-classifies (59-vs-2); not independently confirmed,second independent reviewer OR module-level per-route adjudication,app.engines.pricing,PENDING_INDEPENDENT_OR_MODULE_LEVEL_ADJUDICATION
PUT,/v1/pricing/tenants/{tenant_id}/brand-adjustment,pricing,TENANT_PROVIDER_MUTATION,absent,single-agent dual-review over-classifies (59-vs-2); not independently confirmed,second independent reviewer OR module-level per-route adjudication,app.engines.pricing,PENDING_INDEPENDENT_OR_MODULE_LEVEL_ADJUDICATION
POST,/v1/pricing/tenants/{tenant_id}/zones,pricing,TENANT_PROVIDER_MUTATION,absent,single-agent dual-review over-classifies (59-vs-2); not independently confirmed,second independent reviewer OR module-level per-route adjudication,app.engines.pricing,PENDING_INDEPENDENT_OR_MODULE_LEVEL_ADJUDICATION
PUT,/v1/pricing/tenants/{tenant_id}/zones/{zone_id},pricing,TENANT_PROVIDER_MUTATION,absent,single-agent dual-review over-classifies (59-vs-2); not independently confirmed,second independent reviewer OR module-level per-route adjudication,app.engines.pricing,PENDING_INDEPENDENT_OR_MODULE_LEVEL_ADJUDICATION
DELETE,/v1/pricing/tenants/{tenant_id}/zones/{zone_id},pricing,TENANT_PROVIDER_MUTATION,absent,single-agent dual-review over-classifies (59-vs-2); not independently confirmed,second independent reviewer OR module-level per-route adjudication,app.engines.pricing,PENDING_INDEPENDENT_OR_MODULE_LEVEL_ADJUDICATION
POST,/v1/pricing/tenants/{tenant_id}/rules,pricing,TENANT_PROVIDER_MUTATION,absent,single-agent dual-review over-classifies (59-vs-2); not independently confirmed,second independent reviewer OR module-level per-route adjudication,app.engines.pricing,PENDING_INDEPENDENT_OR_MODULE_LEVEL_ADJUDICATION
PUT,/v1/pricing/tenants/{tenant_id}/rules/{rule_id},pricing,TENANT_PROVIDER_MUTATION,absent,single-agent dual-review over-classifies (59-vs-2); not independently confirmed,second independent reviewer OR module-level per-route adjudication,app.engines.pricing,PENDING_INDEPENDENT_OR_MODULE_LEVEL_ADJUDICATION
DELETE,/v1/pricing/tenants/{tenant_id}/rules/{rule_id},pricing,TENANT_PROVIDER_MUTATION,absent,single-agent dual-review over-classifies (59-vs-2); not independently confirmed,second independent reviewer OR module-level per-route adjudication,app.engines.pricing,PENDING_INDEPENDENT_OR_MODULE_LEVEL_ADJUDICATION
POST,/v1/pricing/compute,pricing,TENANT_PROVIDER_MUTATION,absent,single-agent dual-review over-classifies (59-vs-2); not independently confirmed,second independent reviewer OR module-level per-route adjudication,app.engines.pricing,PENDING_INDEPENDENT_OR_MODULE_LEVEL_ADJUDICATION
POST,/v1/commerce/tenants/{tenant_id}/deposit/admin-adjust,commerce,TENANT_PROVIDER_MUTATION,absent,single-agent dual-review over-classifies (59-vs-2); not independently confirmed,second independent reviewer OR module-level per-route adjudication,app.engines.commerce,PENDING_INDEPENDENT_OR_MODULE_LEVEL_ADJUDICATION
POST,/v1/commerce/tenants/{tenant_id}/wallet/purchase/initiate,commerce,TENANT_PROVIDER_MUTATION,absent,single-agent dual-review over-classifies (59-vs-2); not independently confirmed,second independent reviewer OR module-level per-route adjudication,app.engines.commerce,PENDING_INDEPENDENT_OR_MODULE_LEVEL_ADJUDICATION
POST,/v1/commerce/warranty/claims,commerce,TENANT_PROVIDER_MUTATION,absent,single-agent dual-review over-classifies (59-vs-2); not independently confirmed,second independent reviewer OR module-level per-route adjudication,app.engines.commerce,PENDING_INDEPENDENT_OR_MODULE_LEVEL_ADJUDICATION
POST,/v1/commerce/tenants/{tenant_id}/badges/recalculate,commerce,TENANT_PROVIDER_MUTATION,absent,single-agent dual-review over-classifies (59-vs-2); not independently confirmed,second independent reviewer OR module-level per-route adjudication,app.engines.commerce,PENDING_INDEPENDENT_OR_MODULE_LEVEL_ADJUDICATION
