method,path,behavior,persona,tenant_direction,capability_family,side_effect,evidence
PUT,/v1/tenant/service-areas/{area_id}/services/{mapping_id},DATABASE_MUTATION,TENANT_PROVIDER_MUTATION,PRINCIPAL_TENANT,geography_serviceability,DATABASE_MUTATION,cap=TENANT_PROVIDER;roles=super_admin|tenant_owner;tenant_guard=True;tenants=False
DELETE,/v1/tenant/service-areas/{area_id}/services/{mapping_id},DATABASE_MUTATION,TENANT_PROVIDER_MUTATION,PRINCIPAL_TENANT,geography_serviceability,DATABASE_MUTATION,cap=TENANT_PROVIDER;roles=super_admin|tenant_owner;tenant_guard=True;tenants=False
POST,/v1/serviceability/check,DATABASE_MUTATION,TENANT_PROVIDER_MUTATION,OBJECT_DERIVED_TENANT,geography_serviceability,DATABASE_MUTATION,cap=TENANT_PROVIDER;roles=customer|super_admin|tenant_owner;tenant_guard=False;tenants=False
POST,/v1/compliance/consent,DATABASE_MUTATION,PRODUCT_DECISION_REQUIRED,REQUIRES_MANUAL_TENANT_ADJUDICATION,compliance,DATABASE_MUTATION,cap=AMBIGUOUS;roles=admin_finance|admin_operations|admin_readonly|admin_security|customer|staff|super_admin|technician|tenant_owner;tenant_guard=False;tenants=False
GET,/v1/compliance/consent/users/{user_id},READ_ONLY,READ_ONLY_NOT_MUTATION,REQUIRES_MANUAL_TENANT_ADJUDICATION,compliance,PURE_READ,cap=AMBIGUOUS;roles=admin_finance|admin_operations|admin_readonly|admin_security|customer|staff|super_admin|technician|tenant_owner;tenant_guard=False;tenants=False
POST,/v1/compliance/consent/withdraw,DATABASE_MUTATION,PRODUCT_DECISION_REQUIRED,REQUIRES_MANUAL_TENANT_ADJUDICATION,compliance,DATABASE_MUTATION,cap=AMBIGUOUS;roles=admin_finance|admin_operations|admin_readonly|admin_security|customer|staff|super_admin|technician|tenant_owner;tenant_guard=False;tenants=False
POST,/v1/compliance/deletion-requests,DATABASE_MUTATION,PRODUCT_DECISION_REQUIRED,REQUIRES_MANUAL_TENANT_ADJUDICATION,compliance,DATABASE_MUTATION,cap=AMBIGUOUS;roles=admin_finance|admin_operations|admin_readonly|admin_security|customer|staff|super_admin|technician|tenant_owner;tenant_guard=False;tenants=False
POST,/v1/compliance/portability-requests,DATABASE_MUTATION,PRODUCT_DECISION_REQUIRED,REQUIRES_MANUAL_TENANT_ADJUDICATION,compliance,DATABASE_MUTATION,cap=AMBIGUOUS;roles=admin_finance|admin_operations|admin_readonly|admin_security|customer|staff|super_admin|technician|tenant_owner;tenant_guard=False;tenants=False
POST,/v1/security/api-keys,DATABASE_MUTATION,PRODUCT_DECISION_REQUIRED,REQUIRES_MANUAL_TENANT_ADJUDICATION,security_audit,DATABASE_MUTATION,cap=AMBIGUOUS;roles=super_admin|tenant_owner;tenant_guard=False;tenants=False
POST,/v1/security/api-keys/{key_id}/rotate,DATABASE_MUTATION,TENANT_PROVIDER_MUTATION,CLIENT_ASSERTED_TARGET_TENANT,security_audit,DATABASE_MUTATION,cap=TENANT_PROVIDER;roles=super_admin|tenant_owner;tenant_guard=False;tenants=True
POST,/v1/security/api-keys/{key_id}/revoke,DATABASE_MUTATION,TENANT_PROVIDER_MUTATION,CLIENT_ASSERTED_TARGET_TENANT,security_audit,DATABASE_MUTATION,cap=TENANT_PROVIDER;roles=super_admin|tenant_owner;tenant_guard=False;tenants=True
POST,/v1/security/activity/record,DATABASE_MUTATION,PRODUCT_DECISION_REQUIRED,REQUIRES_MANUAL_TENANT_ADJUDICATION,security_audit,DATABASE_MUTATION,cap=AMBIGUOUS;roles=admin_finance|admin_operations|admin_readonly|admin_security|customer|staff|super_admin|technician|tenant_owner;tenant_guard=False;tenants=False
POST,/v1/security/audit-log,DATABASE_MUTATION,PRODUCT_DECISION_REQUIRED,REQUIRES_MANUAL_TENANT_ADJUDICATION,security_audit,DATABASE_MUTATION,cap=AMBIGUOUS;roles=admin_finance|admin_operations|admin_readonly|admin_security|customer|staff|super_admin|technician|tenant_owner;tenant_guard=False;tenants=False
POST,/v1/security/sessions,DATABASE_MUTATION,PRODUCT_DECISION_REQUIRED,REQUIRES_MANUAL_TENANT_ADJUDICATION,security_audit,DATABASE_MUTATION,cap=AMBIGUOUS;roles=admin_finance|admin_operations|admin_readonly|admin_security|customer|staff|super_admin|technician|tenant_owner;tenant_guard=False;tenants=False
POST,/v1/security/sessions/{session_id}/revoke,DATABASE_MUTATION,PRODUCT_DECISION_REQUIRED,REQUIRES_MANUAL_TENANT_ADJUDICATION,security_audit,DATABASE_MUTATION,cap=AMBIGUOUS;roles=admin_finance|admin_operations|admin_readonly|admin_security|customer|staff|super_admin|technician|tenant_owner;tenant_guard=False;tenants=False
POST,/v1/chat/conversations,DATABASE_MUTATION,PRODUCT_DECISION_REQUIRED,REQUIRES_MANUAL_TENANT_ADJUDICATION,notification,DATABASE_MUTATION,cap=AMBIGUOUS;roles=admin_finance|admin_operations|admin_readonly|admin_security|customer|staff|super_admin|technician|tenant_owner;tenant_guard=False;tenants=False
POST,/v1/chat/conversations/{conversation_id}/messages,DATABASE_MUTATION,SELF_SERVICE_MUTATION,CLIENT_ASSERTED_TARGET_TENANT,notification,DATABASE_MUTATION,cap=SELF;roles=admin_finance|admin_operations|admin_readonly|admin_security|customer|staff|super_admin|technician|tenant_owner;tenant_guard=False;tenants=True
POST,/v1/payments/orders,DATABASE_MUTATION,PRODUCT_DECISION_REQUIRED,REQUIRES_MANUAL_TENANT_ADJUDICATION,billing,DATABASE_MUTATION,cap=AMBIGUOUS;roles=super_admin|tenant_owner;tenant_guard=False;tenants=False
POST,/v1/payments/invoices,DATABASE_MUTATION,PRODUCT_DECISION_REQUIRED,REQUIRES_MANUAL_TENANT_ADJUDICATION,billing,DATABASE_MUTATION,cap=AMBIGUOUS;roles=super_admin|tenant_owner;tenant_guard=False;tenants=False
POST,/v1/payments/tenants/{tenant_id}/payout,DATABASE_MUTATION,TENANT_PROVIDER_MUTATION,CLIENT_ASSERTED_TARGET_TENANT,billing,DATABASE_MUTATION,cap=TENANT_PROVIDER;roles=super_admin|tenant_owner;tenant_guard=False;tenants=True
POST,/v1/inventory/tenants/{tenant_id}/items,DATABASE_MUTATION,TENANT_PROVIDER_MUTATION,CLIENT_ASSERTED_TARGET_TENANT,other,DATABASE_MUTATION,cap=TENANT_PROVIDER;roles=super_admin|tenant_owner;tenant_guard=False;tenants=True
POST,/v1/inventory/items/{item_id}/locations/{location_id}/receive,DATABASE_MUTATION,TENANT_PROVIDER_MUTATION,OBJECT_DERIVED_TENANT,other,DATABASE_MUTATION,cap=TENANT_PROVIDER;roles=super_admin|tenant_owner;tenant_guard=False;tenants=False
POST,/v1/inventory/reservations,DATABASE_MUTATION,TENANT_PROVIDER_MUTATION,OBJECT_DERIVED_TENANT,other,DATABASE_MUTATION,cap=TENANT_PROVIDER;roles=super_admin|tenant_owner;tenant_guard=False;tenants=False
POST,/v1/inventory/reservations/confirm,DATABASE_MUTATION,TENANT_PROVIDER_MUTATION,OBJECT_DERIVED_TENANT,other,DATABASE_MUTATION,cap=TENANT_PROVIDER;roles=super_admin|tenant_owner;tenant_guard=False;tenants=False
POST,/v1/inventory/reservations/release,DATABASE_MUTATION,TENANT_PROVIDER_MUTATION,OBJECT_DERIVED_TENANT,other,DATABASE_MUTATION,cap=TENANT_PROVIDER;roles=super_admin|tenant_owner;tenant_guard=False;tenants=False
PUT,/v1/subscriptions/tenants/{tenant_id}/plan,DATABASE_MUTATION,TENANT_PROVIDER_MUTATION,CLIENT_ASSERTED_TARGET_TENANT,other,DATABASE_MUTATION,cap=TENANT_PROVIDER;roles=super_admin|tenant_owner;tenant_guard=False;tenants=True
POST,/v1/documents,DATABASE_MUTATION,TENANT_PROVIDER_MUTATION,OBJECT_DERIVED_TENANT,media,DATABASE_MUTATION,cap=TENANT_PROVIDER;roles=super_admin|tenant_owner;tenant_guard=False;tenants=False
POST,/v1/documents/{document_id}/send,DATABASE_MUTATION,TENANT_PROVIDER_MUTATION,OBJECT_DERIVED_TENANT,media,DATABASE_MUTATION,cap=TENANT_PROVIDER;roles=super_admin|tenant_owner;tenant_guard=False;tenants=False
POST,/v1/documents/{document_id}/void,DATABASE_MUTATION,TENANT_PROVIDER_MUTATION,OBJECT_DERIVED_TENANT,media,DATABASE_MUTATION,cap=TENANT_PROVIDER;roles=super_admin|tenant_owner;tenant_guard=False;tenants=False
POST,/v1/bookings,DATABASE_MUTATION,TENANT_PROVIDER_MUTATION,PRINCIPAL_TENANT,booking,DATABASE_MUTATION,cap=TENANT_PROVIDER;roles=customer|super_admin|tenant_owner;tenant_guard=True;tenants=False
POST,/v1/appointments/hold,DATABASE_MUTATION,PRODUCT_DECISION_REQUIRED,REQUIRES_MANUAL_TENANT_ADJUDICATION,booking,DATABASE_MUTATION,cap=AMBIGUOUS;roles=admin_finance|admin_operations|admin_readonly|admin_security|customer|staff|super_admin|technician|tenant_owner;tenant_guard=False;tenants=False
POST,/v1/appointments/{appointment_id}/confirm,DATABASE_MUTATION,PRODUCT_DECISION_REQUIRED,REQUIRES_MANUAL_TENANT_ADJUDICATION,booking,DATABASE_MUTATION,cap=AMBIGUOUS;roles=admin_finance|admin_operations|admin_readonly|admin_security|customer|staff|super_admin|technician|tenant_owner;tenant_guard=False;tenants=False
POST,/v1/appointments/{appointment_id}/cancel,DATABASE_MUTATION,PRODUCT_DECISION_REQUIRED,REQUIRES_MANUAL_TENANT_ADJUDICATION,booking,DATABASE_MUTATION,cap=AMBIGUOUS;roles=admin_finance|admin_operations|admin_readonly|admin_security|customer|staff|super_admin|technician|tenant_owner;tenant_guard=False;tenants=False
POST,/v1/appointments/{appointment_id}/reschedule,DATABASE_MUTATION,PRODUCT_DECISION_REQUIRED,REQUIRES_MANUAL_TENANT_ADJUDICATION,booking,DATABASE_MUTATION,cap=AMBIGUOUS;roles=admin_finance|admin_operations|admin_readonly|admin_security|customer|staff|super_admin|technician|tenant_owner;tenant_guard=False;tenants=False
POST,/v1/appointments/{appointment_id}/no-show,DATABASE_MUTATION,TENANT_PROVIDER_MUTATION,OBJECT_DERIVED_TENANT,booking,DATABASE_MUTATION,cap=TENANT_PROVIDER;roles=super_admin|tenant_owner;tenant_guard=False;tenants=False
POST,/v1/appointments/staff/{staff_id}/calendar/block,DATABASE_MUTATION,TENANT_PROVIDER_MUTATION,CLIENT_ASSERTED_TARGET_TENANT,booking,DATABASE_MUTATION,cap=TENANT_PROVIDER;roles=super_admin|tenant_owner;tenant_guard=False;tenants=True
DELETE,/v1/appointments/calendar/blocks/{block_id},DATABASE_MUTATION,TENANT_PROVIDER_MUTATION,OBJECT_DERIVED_TENANT,booking,DATABASE_MUTATION,cap=TENANT_PROVIDER;roles=super_admin|tenant_owner;tenant_guard=False;tenants=False
PUT,/v1/appointments/staff/{staff_id}/working-hours,DATABASE_MUTATION,TENANT_PROVIDER_MUTATION,CLIENT_ASSERTED_TARGET_TENANT,booking,DATABASE_MUTATION,cap=TENANT_PROVIDER;roles=super_admin|tenant_owner;tenant_guard=False;tenants=True
POST,/v1/catalog,DATABASE_MUTATION,PRODUCT_DECISION_REQUIRED,REQUIRES_MANUAL_TENANT_ADJUDICATION,catalog,DATABASE_MUTATION,cap=AMBIGUOUS;roles=super_admin|tenant_owner;tenant_guard=False;tenants=False
PUT,/v1/catalog/{item_id},DATABASE_MUTATION,PRODUCT_DECISION_REQUIRED,REQUIRES_MANUAL_TENANT_ADJUDICATION,catalog,DATABASE_MUTATION,cap=AMBIGUOUS;roles=super_admin|tenant_owner;tenant_guard=False;tenants=False
POST,/v1/geo/tenants/{tenant_id}/zones,DATABASE_MUTATION,TENANT_PROVIDER_MUTATION,CLIENT_ASSERTED_TARGET_TENANT,geography_serviceability,DATABASE_MUTATION,cap=TENANT_PROVIDER;roles=super_admin|tenant_owner;tenant_guard=False;tenants=True
POST,/v1/geo/tenants/{tenant_id}/staff/{staff_id}/location,DATABASE_MUTATION,PRODUCT_DECISION_REQUIRED,CLIENT_ASSERTED_TARGET_TENANT,geography_serviceability,DATABASE_MUTATION,cap=AMBIGUOUS;roles=admin_finance|admin_operations|admin_readonly|admin_security|customer|staff|super_admin|technician|tenant_owner;tenant_guard=False;tenants=True
POST,/v1/dispatch/jobs/{job_id}/dispatch,DATABASE_MUTATION,PRODUCT_DECISION_REQUIRED,REQUIRES_MANUAL_TENANT_ADJUDICATION,job_execution,DATABASE_MUTATION,cap=AMBIGUOUS;roles=super_admin|tenant_owner;tenant_guard=False;tenants=False
POST,/v1/dispatch/jobs/{job_id}/accept,DATABASE_MUTATION,PRODUCT_DECISION_REQUIRED,REQUIRES_MANUAL_TENANT_ADJUDICATION,job_execution,DATABASE_MUTATION,cap=AMBIGUOUS;roles=admin_finance|admin_operations|admin_readonly|admin_security|customer|staff|super_admin|technician|tenant_owner;tenant_guard=False;tenants=False
POST,/v1/dispatch/jobs/{job_id}/reject,DATABASE_MUTATION,PRODUCT_DECISION_REQUIRED,REQUIRES_MANUAL_TENANT_ADJUDICATION,job_execution,DATABASE_MUTATION,cap=AMBIGUOUS;roles=admin_finance|admin_operations|admin_readonly|admin_security|customer|staff|super_admin|technician|tenant_owner;tenant_guard=False;tenants=False
POST,/v1/dispatch/jobs/{job_id}/reassign,DATABASE_MUTATION,PRODUCT_DECISION_REQUIRED,REQUIRES_MANUAL_TENANT_ADJUDICATION,job_execution,DATABASE_MUTATION,cap=AMBIGUOUS;roles=super_admin|tenant_owner;tenant_guard=False;tenants=False
POST,/v1/jobs/{job_id}/financial-close,DATABASE_MUTATION,TENANT_PROVIDER_MUTATION,PRINCIPAL_TENANT,job_execution,DATABASE_MUTATION,cap=TENANT_PROVIDER;roles=staff|super_admin|technician|tenant_owner;tenant_guard=True;tenants=False
PUT,/v1/tenant/checklist-templates/{template_id}/items/{item_id},DATABASE_MUTATION,TENANT_PROVIDER_MUTATION,PRINCIPAL_TENANT,job_execution,DATABASE_MUTATION,cap=TENANT_PROVIDER;roles=super_admin|tenant_owner;tenant_guard=True;tenants=False
GET,/v1/ds/tenants/{tenant_id}/churn/score,MUTATING_GET,PRODUCT_DECISION_REQUIRED,CLIENT_ASSERTED_TARGET_TENANT,analytics,DATABASE_MUTATION,cap=AMBIGUOUS;roles=admin_finance|admin_operations|admin_readonly|admin_security|customer|staff|super_admin|technician|tenant_owner;tenant_guard=False;tenants=True
GET,/v1/ds/tenants/{tenant_id}/churn/factors,READ_ONLY,READ_ONLY_NOT_MUTATION,CLIENT_ASSERTED_TARGET_TENANT,analytics,PURE_READ,cap=AMBIGUOUS;roles=admin_finance|admin_operations|admin_readonly|admin_security|customer|staff|super_admin|technician|tenant_owner;tenant_guard=False;tenants=True
GET,/v1/ds/tenants/{tenant_id}/demand/forecast,MUTATING_GET,PRODUCT_DECISION_REQUIRED,CLIENT_ASSERTED_TARGET_TENANT,analytics,DATABASE_MUTATION,cap=AMBIGUOUS;roles=admin_finance|admin_operations|admin_readonly|admin_security|customer|staff|super_admin|technician|tenant_owner;tenant_guard=False;tenants=True
POST,/v1/ds/tenants/{tenant_id}/demand/recompute,DATABASE_MUTATION,TENANT_PROVIDER_MUTATION,CLIENT_ASSERTED_TARGET_TENANT,analytics,DATABASE_MUTATION,cap=TENANT_PROVIDER;roles=super_admin|tenant_owner;tenant_guard=False;tenants=True
GET,/v1/ds/tenants/{tenant_id}/pricing/recommendations,READ_ONLY,READ_ONLY_NOT_MUTATION,CLIENT_ASSERTED_TARGET_TENANT,analytics,PURE_READ,cap=AMBIGUOUS;roles=admin_finance|admin_operations|admin_readonly|admin_security|customer|staff|super_admin|technician|tenant_owner;tenant_guard=False;tenants=True
POST,/v1/ds/tenants/{tenant_id}/pricing/apply,DATABASE_MUTATION,TENANT_PROVIDER_MUTATION,CLIENT_ASSERTED_TARGET_TENANT,analytics,DATABASE_MUTATION,cap=TENANT_PROVIDER;roles=super_admin|tenant_owner;tenant_guard=False;tenants=True
GET,/v1/ds/tenants/{tenant_id}/customers/{customer_id}/ltv,MUTATING_GET,PRODUCT_DECISION_REQUIRED,CLIENT_ASSERTED_TARGET_TENANT,analytics,DATABASE_MUTATION,cap=AMBIGUOUS;roles=admin_finance|admin_operations|admin_readonly|admin_security|customer|staff|super_admin|technician|tenant_owner;tenant_guard=False;tenants=True
POST,/v1/ds/tenants/{tenant_id}/customers/{customer_id}/ltv/recompute,DATABASE_MUTATION,PRODUCT_DECISION_REQUIRED,CLIENT_ASSERTED_TARGET_TENANT,analytics,DATABASE_MUTATION,cap=AMBIGUOUS;roles=admin_finance|admin_operations|admin_readonly|admin_security|customer|staff|super_admin|technician|tenant_owner;tenant_guard=False;tenants=True
POST,/v1/rag/knowledge-bases,DATABASE_MUTATION,PRODUCT_DECISION_REQUIRED,REQUIRES_MANUAL_TENANT_ADJUDICATION,other,DATABASE_MUTATION,cap=AMBIGUOUS;roles=super_admin|tenant_owner;tenant_guard=False;tenants=False
PUT,/v1/rag/knowledge-bases/{kb_id},DATABASE_MUTATION,PRODUCT_DECISION_REQUIRED,REQUIRES_MANUAL_TENANT_ADJUDICATION,other,DATABASE_MUTATION,cap=AMBIGUOUS;roles=super_admin|tenant_owner;tenant_guard=False;tenants=False
DELETE,/v1/rag/knowledge-bases/{kb_id},DATABASE_MUTATION,PRODUCT_DECISION_REQUIRED,REQUIRES_MANUAL_TENANT_ADJUDICATION,other,DATABASE_MUTATION,cap=AMBIGUOUS;roles=super_admin|tenant_owner;tenant_guard=False;tenants=False
POST,/v1/rag/knowledge-bases/{kb_id}/documents,DATABASE_MUTATION,PRODUCT_DECISION_REQUIRED,REQUIRES_MANUAL_TENANT_ADJUDICATION,other,DATABASE_MUTATION,cap=AMBIGUOUS;roles=super_admin|tenant_owner;tenant_guard=False;tenants=False
DELETE,/v1/rag/documents/{doc_id},DATABASE_MUTATION,PRODUCT_DECISION_REQUIRED,REQUIRES_MANUAL_TENANT_ADJUDICATION,other,DATABASE_MUTATION,cap=AMBIGUOUS;roles=super_admin|tenant_owner;tenant_guard=False;tenants=False
POST,/v1/rag/documents/{doc_id}/reindex,DATABASE_MUTATION,PRODUCT_DECISION_REQUIRED,REQUIRES_MANUAL_TENANT_ADJUDICATION,other,DATABASE_MUTATION,cap=AMBIGUOUS;roles=super_admin|tenant_owner;tenant_guard=False;tenants=False
PUT,/v1/settings/tenants/{tenant_id}/{key},DATABASE_MUTATION,TENANT_PROVIDER_MUTATION,CLIENT_ASSERTED_TARGET_TENANT,other,DATABASE_MUTATION,cap=TENANT_PROVIDER;roles=super_admin|tenant_owner;tenant_guard=False;tenants=True
DELETE,/v1/settings/tenants/{tenant_id}/{key},DATABASE_MUTATION,TENANT_PROVIDER_MUTATION,CLIENT_ASSERTED_TARGET_TENANT,other,DATABASE_MUTATION,cap=TENANT_PROVIDER;roles=super_admin|tenant_owner;tenant_guard=False;tenants=True
POST,/v1/notifications/send,DATABASE_MUTATION,PRODUCT_DECISION_REQUIRED,REQUIRES_MANUAL_TENANT_ADJUDICATION,notification,DATABASE_MUTATION,cap=AMBIGUOUS;roles=admin_finance|admin_operations|admin_readonly|admin_security|customer|staff|super_admin|technician|tenant_owner;tenant_guard=False;tenants=False
