method,path,A_persona,B_persona,A_dir,B_dir,disputed
POST,/v1/inventory/reservations/release,TENANT_PROVIDER_MUTATION,TENANT_PROVIDER_MUTATION,REQUIRES_MANUAL_TENANT_ADJUDICATION,OBJECT_DERIVED_TENANT,direction
POST,/v1/documents,TENANT_PROVIDER_MUTATION,TENANT_PROVIDER_MUTATION,REQUIRES_MANUAL_TENANT_ADJUDICATION,OBJECT_DERIVED_TENANT,direction
POST,/v1/documents/{document_id}/send,TENANT_PROVIDER_MUTATION,TENANT_PROVIDER_MUTATION,REQUIRES_MANUAL_TENANT_ADJUDICATION,OBJECT_DERIVED_TENANT,direction
POST,/v1/documents/{document_id}/void,TENANT_PROVIDER_MUTATION,TENANT_PROVIDER_MUTATION,REQUIRES_MANUAL_TENANT_ADJUDICATION,OBJECT_DERIVED_TENANT,direction
POST,/v1/appointments/{appointment_id}/confirm,TENANT_PROVIDER_MUTATION,PRODUCT_DECISION_REQUIRED,REQUIRES_MANUAL_TENANT_ADJUDICATION,REQUIRES_MANUAL_TENANT_ADJUDICATION,persona
POST,/v1/appointments/{appointment_id}/cancel,TENANT_PROVIDER_MUTATION,PRODUCT_DECISION_REQUIRED,REQUIRES_MANUAL_TENANT_ADJUDICATION,REQUIRES_MANUAL_TENANT_ADJUDICATION,persona
POST,/v1/appointments/{appointment_id}/reschedule,TENANT_PROVIDER_MUTATION,PRODUCT_DECISION_REQUIRED,REQUIRES_MANUAL_TENANT_ADJUDICATION,REQUIRES_MANUAL_TENANT_ADJUDICATION,persona
POST,/v1/appointments/{appointment_id}/no-show,TENANT_PROVIDER_MUTATION,TENANT_PROVIDER_MUTATION,REQUIRES_MANUAL_TENANT_ADJUDICATION,OBJECT_DERIVED_TENANT,direction
DELETE,/v1/appointments/calendar/blocks/{block_id},TENANT_PROVIDER_MUTATION,TENANT_PROVIDER_MUTATION,REQUIRES_MANUAL_TENANT_ADJUDICATION,OBJECT_DERIVED_TENANT,direction
POST,/v1/catalog,TENANT_PROVIDER_MUTATION,PRODUCT_DECISION_REQUIRED,REQUIRES_MANUAL_TENANT_ADJUDICATION,REQUIRES_MANUAL_TENANT_ADJUDICATION,persona
PUT,/v1/catalog/{item_id},TENANT_PROVIDER_MUTATION,PRODUCT_DECISION_REQUIRED,REQUIRES_MANUAL_TENANT_ADJUDICATION,REQUIRES_MANUAL_TENANT_ADJUDICATION,persona
POST,/v1/geo/tenants/{tenant_id}/staff/{staff_id}/location,TENANT_PROVIDER_MUTATION,PRODUCT_DECISION_REQUIRED,CLIENT_ASSERTED_TARGET_TENANT,CLIENT_ASSERTED_TARGET_TENANT,persona
POST,/v1/dispatch/jobs/{job_id}/dispatch,TENANT_PROVIDER_MUTATION,PRODUCT_DECISION_REQUIRED,REQUIRES_MANUAL_TENANT_ADJUDICATION,REQUIRES_MANUAL_TENANT_ADJUDICATION,persona
POST,/v1/dispatch/jobs/{job_id}/accept,TENANT_PROVIDER_MUTATION,PRODUCT_DECISION_REQUIRED,REQUIRES_MANUAL_TENANT_ADJUDICATION,REQUIRES_MANUAL_TENANT_ADJUDICATION,persona
POST,/v1/dispatch/jobs/{job_id}/reject,TENANT_PROVIDER_MUTATION,PRODUCT_DECISION_REQUIRED,REQUIRES_MANUAL_TENANT_ADJUDICATION,REQUIRES_MANUAL_TENANT_ADJUDICATION,persona
POST,/v1/dispatch/jobs/{job_id}/reassign,TENANT_PROVIDER_MUTATION,PRODUCT_DECISION_REQUIRED,REQUIRES_MANUAL_TENANT_ADJUDICATION,REQUIRES_MANUAL_TENANT_ADJUDICATION,persona
GET,/v1/ds/tenants/{tenant_id}/churn/score,TENANT_PROVIDER_MUTATION,PRODUCT_DECISION_REQUIRED,CLIENT_ASSERTED_TARGET_TENANT,CLIENT_ASSERTED_TARGET_TENANT,persona
GET,/v1/ds/tenants/{tenant_id}/demand/forecast,TENANT_PROVIDER_MUTATION,PRODUCT_DECISION_REQUIRED,CLIENT_ASSERTED_TARGET_TENANT,CLIENT_ASSERTED_TARGET_TENANT,persona
GET,/v1/ds/tenants/{tenant_id}/customers/{customer_id}/ltv,TENANT_PROVIDER_MUTATION,PRODUCT_DECISION_REQUIRED,CLIENT_ASSERTED_TARGET_TENANT,CLIENT_ASSERTED_TARGET_TENANT,persona
POST,/v1/ds/tenants/{tenant_id}/customers/{customer_id}/ltv/recompute,TENANT_PROVIDER_MUTATION,PRODUCT_DECISION_REQUIRED,CLIENT_ASSERTED_TARGET_TENANT,CLIENT_ASSERTED_TARGET_TENANT,persona
DELETE,/v1/rag/knowledge-bases/{kb_id},TENANT_PROVIDER_MUTATION,PRODUCT_DECISION_REQUIRED,REQUIRES_MANUAL_TENANT_ADJUDICATION,REQUIRES_MANUAL_TENANT_ADJUDICATION,persona
POST,/v1/rag/knowledge-bases/{kb_id}/documents,TENANT_PROVIDER_MUTATION,PRODUCT_DECISION_REQUIRED,REQUIRES_MANUAL_TENANT_ADJUDICATION,REQUIRES_MANUAL_TENANT_ADJUDICATION,persona
DELETE,/v1/rag/documents/{doc_id},TENANT_PROVIDER_MUTATION,PRODUCT_DECISION_REQUIRED,REQUIRES_MANUAL_TENANT_ADJUDICATION,REQUIRES_MANUAL_TENANT_ADJUDICATION,persona
POST,/v1/rag/documents/{doc_id}/reindex,TENANT_PROVIDER_MUTATION,PRODUCT_DECISION_REQUIRED,REQUIRES_MANUAL_TENANT_ADJUDICATION,REQUIRES_MANUAL_TENANT_ADJUDICATION,persona
POST,/v1/notifications/send,TENANT_PROVIDER_MUTATION,PRODUCT_DECISION_REQUIRED,REQUIRES_MANUAL_TENANT_ADJUDICATION,REQUIRES_MANUAL_TENANT_ADJUDICATION,persona
POST,/v1/media/upload/initiate,TENANT_PROVIDER_MUTATION,PRODUCT_DECISION_REQUIRED,REQUIRES_MANUAL_TENANT_ADJUDICATION,REQUIRES_MANUAL_TENANT_ADJUDICATION,persona
POST,/v1/media/upload/{session_id}/confirm,TENANT_PROVIDER_MUTATION,PRODUCT_DECISION_REQUIRED,REQUIRES_MANUAL_TENANT_ADJUDICATION,REQUIRES_MANUAL_TENANT_ADJUDICATION,persona
POST,/v1/analytics/events/ingest,TENANT_PROVIDER_MUTATION,PRODUCT_DECISION_REQUIRED,REQUIRES_MANUAL_TENANT_ADJUDICATION,REQUIRES_MANUAL_TENANT_ADJUDICATION,persona
DELETE,/v1/me/profile-photo,TENANT_PROVIDER_MUTATION,PRODUCT_DECISION_REQUIRED,REQUIRES_MANUAL_TENANT_ADJUDICATION,REQUIRES_MANUAL_TENANT_ADJUDICATION,persona
POST,/v1/pricing/compute,TENANT_PROVIDER_MUTATION,PRODUCT_DECISION_REQUIRED,CLIENT_ASSERTED_TARGET_TENANT,CLIENT_ASSERTED_TARGET_TENANT,persona
POST,/v1/commerce/warranty/claims,TENANT_PROVIDER_MUTATION,SELF_SERVICE_MUTATION,CLIENT_ASSERTED_TARGET_TENANT,CLIENT_ASSERTED_TARGET_TENANT,persona
