method,path,final_persona,in_canonical,row_result
PUT,/v1/tenants/{tenant_id}/billing/payment-method,TENANT_PROVIDER_MUTATION,yes,EXISTING_ROW_CONFIRMED
POST,/v1/tenants/{tenant_id}/data/export,TENANT_PROVIDER_MUTATION,yes,EXISTING_ROW_CONFIRMED
POST,/v1/tenants/{tenant_id}/data/delete-request,TENANT_PROVIDER_MUTATION,yes,EXISTING_ROW_CONFIRMED
PUT,/v1/tenant/service-areas/{area_id},TENANT_PROVIDER_MUTATION,yes,EXISTING_ROW_CONFIRMED
DELETE,/v1/tenant/service-areas/{area_id},TENANT_PROVIDER_MUTATION,yes,EXISTING_ROW_CONFIRMED
POST,/v1/tenant/service-areas/{area_id}/set-primary,TENANT_PROVIDER_MUTATION,yes,EXISTING_ROW_CONFIRMED
POST,/v1/tenant/service-areas/{area_id}/services,TENANT_PROVIDER_MUTATION,yes,EXISTING_ROW_CONFIRMED
PUT,/v1/tenant/service-areas/{area_id}/services/{mapping_id},TENANT_PROVIDER_MUTATION,yes,EXISTING_ROW_CONFIRMED
DELETE,/v1/tenant/service-areas/{area_id}/services/{mapping_id},TENANT_PROVIDER_MUTATION,yes,EXISTING_ROW_CONFIRMED
POST,/v1/serviceability/check,TENANT_PROVIDER_MUTATION,no,MISSING_ROW_ADD_CANDIDATE
POST,/v1/compliance/consent,PRODUCT_DECISION_REQUIRED,no,NOT_TENANT_MUTATION
GET,/v1/compliance/consent/users/{user_id},READ_ONLY_NOT_MUTATION,no,NOT_TENANT_MUTATION
POST,/v1/compliance/consent/withdraw,PRODUCT_DECISION_REQUIRED,no,NOT_TENANT_MUTATION
POST,/v1/compliance/deletion-requests,TENANT_PROVIDER_MUTATION,no,MISSING_ROW_ADD_CANDIDATE
POST,/v1/compliance/portability-requests,TENANT_PROVIDER_MUTATION,no,MISSING_ROW_ADD_CANDIDATE
POST,/v1/security/api-keys,PRODUCT_DECISION_REQUIRED,no,NOT_TENANT_MUTATION
POST,/v1/security/api-keys/{key_id}/rotate,TENANT_PROVIDER_MUTATION,no,MISSING_ROW_ADD_CANDIDATE
POST,/v1/security/api-keys/{key_id}/revoke,TENANT_PROVIDER_MUTATION,no,MISSING_ROW_ADD_CANDIDATE
POST,/v1/security/activity/record,PRODUCT_DECISION_REQUIRED,no,NOT_TENANT_MUTATION
POST,/v1/security/audit-log,PRODUCT_DECISION_REQUIRED,no,NOT_TENANT_MUTATION
POST,/v1/security/sessions,PRODUCT_DECISION_REQUIRED,no,NOT_TENANT_MUTATION
POST,/v1/security/sessions/{session_id}/revoke,PRODUCT_DECISION_REQUIRED,no,NOT_TENANT_MUTATION
POST,/v1/chat/conversations,PRODUCT_DECISION_REQUIRED,no,NOT_TENANT_MUTATION
POST,/v1/chat/conversations/{conversation_id}/messages,TENANT_PROVIDER_MUTATION,no,MISSING_ROW_ADD_CANDIDATE
POST,/v1/payments/orders,PRODUCT_DECISION_REQUIRED,no,NOT_TENANT_MUTATION
POST,/v1/payments/invoices,PRODUCT_DECISION_REQUIRED,no,NOT_TENANT_MUTATION
POST,/v1/payments/tenants/{tenant_id}/payout,TENANT_PROVIDER_MUTATION,no,MISSING_ROW_ADD_CANDIDATE
POST,/v1/inventory/tenants/{tenant_id}/items,TENANT_PROVIDER_MUTATION,no,MISSING_ROW_ADD_CANDIDATE
POST,/v1/inventory/items/{item_id}/locations/{location_id}/receive,TENANT_PROVIDER_MUTATION,no,MISSING_ROW_ADD_CANDIDATE
POST,/v1/inventory/reservations,TENANT_PROVIDER_MUTATION,no,MISSING_ROW_ADD_CANDIDATE
POST,/v1/inventory/reservations/confirm,TENANT_PROVIDER_MUTATION,no,MISSING_ROW_ADD_CANDIDATE
POST,/v1/inventory/reservations/release,TENANT_PROVIDER_MUTATION,no,MISSING_ROW_ADD_CANDIDATE
PUT,/v1/subscriptions/tenants/{tenant_id}/plan,TENANT_PROVIDER_MUTATION,no,MISSING_ROW_ADD_CANDIDATE
POST,/v1/documents,TENANT_PROVIDER_MUTATION,no,MISSING_ROW_ADD_CANDIDATE
POST,/v1/documents/{document_id}/send,TENANT_PROVIDER_MUTATION,no,MISSING_ROW_ADD_CANDIDATE
POST,/v1/documents/{document_id}/void,TENANT_PROVIDER_MUTATION,no,MISSING_ROW_ADD_CANDIDATE
POST,/v1/bookings,TENANT_PROVIDER_MUTATION,no,MISSING_ROW_ADD_CANDIDATE
POST,/v1/appointments/hold,PRODUCT_DECISION_REQUIRED,no,NOT_TENANT_MUTATION
POST,/v1/appointments/{appointment_id}/confirm,TENANT_PROVIDER_MUTATION,no,MISSING_ROW_ADD_CANDIDATE
POST,/v1/appointments/{appointment_id}/cancel,TENANT_PROVIDER_MUTATION,no,MISSING_ROW_ADD_CANDIDATE
POST,/v1/appointments/{appointment_id}/reschedule,TENANT_PROVIDER_MUTATION,no,MISSING_ROW_ADD_CANDIDATE
POST,/v1/appointments/{appointment_id}/no-show,TENANT_PROVIDER_MUTATION,no,MISSING_ROW_ADD_CANDIDATE
POST,/v1/appointments/staff/{staff_id}/calendar/block,TENANT_PROVIDER_MUTATION,no,MISSING_ROW_ADD_CANDIDATE
DELETE,/v1/appointments/calendar/blocks/{block_id},TENANT_PROVIDER_MUTATION,no,MISSING_ROW_ADD_CANDIDATE
PUT,/v1/appointments/staff/{staff_id}/working-hours,TENANT_PROVIDER_MUTATION,no,MISSING_ROW_ADD_CANDIDATE
POST,/v1/catalog,TENANT_PROVIDER_MUTATION,no,MISSING_ROW_ADD_CANDIDATE
PUT,/v1/catalog/{item_id},TENANT_PROVIDER_MUTATION,no,MISSING_ROW_ADD_CANDIDATE
POST,/v1/geo/tenants/{tenant_id}/zones,TENANT_PROVIDER_MUTATION,no,MISSING_ROW_ADD_CANDIDATE
POST,/v1/geo/tenants/{tenant_id}/staff/{staff_id}/location,TENANT_PROVIDER_MUTATION,no,MISSING_ROW_ADD_CANDIDATE
POST,/v1/dispatch/jobs/{job_id}/dispatch,TENANT_PROVIDER_MUTATION,no,MISSING_ROW_ADD_CANDIDATE
POST,/v1/dispatch/jobs/{job_id}/accept,PRODUCT_DECISION_REQUIRED,no,NOT_TENANT_MUTATION
POST,/v1/dispatch/jobs/{job_id}/reject,PRODUCT_DECISION_REQUIRED,no,NOT_TENANT_MUTATION
POST,/v1/dispatch/jobs/{job_id}/reassign,TENANT_PROVIDER_MUTATION,no,MISSING_ROW_ADD_CANDIDATE
POST,/v1/jobs/{job_id}/financial-close,TENANT_PROVIDER_MUTATION,yes,EXISTING_ROW_CONFIRMED
PUT,/v1/tenant/checklist-templates/{template_id}/items/{item_id},TENANT_PROVIDER_MUTATION,yes,EXISTING_ROW_CONFIRMED
GET,/v1/ds/tenants/{tenant_id}/churn/score,TENANT_PROVIDER_MUTATION,no,MISSING_ROW_ADD_CANDIDATE
GET,/v1/ds/tenants/{tenant_id}/churn/factors,READ_ONLY_NOT_MUTATION,no,NOT_TENANT_MUTATION
GET,/v1/ds/tenants/{tenant_id}/demand/forecast,TENANT_PROVIDER_MUTATION,no,MISSING_ROW_ADD_CANDIDATE
POST,/v1/ds/tenants/{tenant_id}/demand/recompute,TENANT_PROVIDER_MUTATION,no,MISSING_ROW_ADD_CANDIDATE
GET,/v1/ds/tenants/{tenant_id}/pricing/recommendations,READ_ONLY_NOT_MUTATION,no,NOT_TENANT_MUTATION
POST,/v1/ds/tenants/{tenant_id}/pricing/apply,TENANT_PROVIDER_MUTATION,no,MISSING_ROW_ADD_CANDIDATE
GET,/v1/ds/tenants/{tenant_id}/customers/{customer_id}/ltv,TENANT_PROVIDER_MUTATION,no,MISSING_ROW_ADD_CANDIDATE
POST,/v1/ds/tenants/{tenant_id}/customers/{customer_id}/ltv/recompute,TENANT_PROVIDER_MUTATION,no,MISSING_ROW_ADD_CANDIDATE
POST,/v1/rag/knowledge-bases,PRODUCT_DECISION_REQUIRED,no,NOT_TENANT_MUTATION
PUT,/v1/rag/knowledge-bases/{kb_id},PRODUCT_DECISION_REQUIRED,no,NOT_TENANT_MUTATION
DELETE,/v1/rag/knowledge-bases/{kb_id},TENANT_PROVIDER_MUTATION,no,MISSING_ROW_ADD_CANDIDATE
POST,/v1/rag/knowledge-bases/{kb_id}/documents,TENANT_PROVIDER_MUTATION,no,MISSING_ROW_ADD_CANDIDATE
DELETE,/v1/rag/documents/{doc_id},TENANT_PROVIDER_MUTATION,no,MISSING_ROW_ADD_CANDIDATE
POST,/v1/rag/documents/{doc_id}/reindex,TENANT_PROVIDER_MUTATION,no,MISSING_ROW_ADD_CANDIDATE
PUT,/v1/settings/tenants/{tenant_id}/{key},TENANT_PROVIDER_MUTATION,no,MISSING_ROW_ADD_CANDIDATE
DELETE,/v1/settings/tenants/{tenant_id}/{key},TENANT_PROVIDER_MUTATION,no,MISSING_ROW_ADD_CANDIDATE
POST,/v1/notifications/send,PRODUCT_DECISION_REQUIRED,no,NOT_TENANT_MUTATION
PUT,/v1/notifications/tenants/{tenant_id}/channels/{channel},TENANT_PROVIDER_MUTATION,no,MISSING_ROW_ADD_CANDIDATE
POST,/v1/media/upload/initiate,TENANT_PROVIDER_MUTATION,no,MISSING_ROW_ADD_CANDIDATE
POST,/v1/media/upload/{session_id}/confirm,TENANT_PROVIDER_MUTATION,no,MISSING_ROW_ADD_CANDIDATE
DELETE,/v1/media/tenants/{tenant_id}/files/{file_id},TENANT_PROVIDER_MUTATION,no,MISSING_ROW_ADD_CANDIDATE
POST,/v1/analytics/events/ingest,PRODUCT_DECISION_REQUIRED,no,NOT_TENANT_MUTATION
DELETE,/v1/media/{media_id},PRODUCT_DECISION_REQUIRED,no,NOT_TENANT_MUTATION
DELETE,/v1/me/profile-photo,PRODUCT_DECISION_REQUIRED,no,NOT_TENANT_MUTATION
GET,/v1/media/signed/{token},READ_ONLY_NOT_MUTATION,no,NOT_TENANT_MUTATION
POST,/v1/pricing/tenants/{tenant_id}/prices/set,TENANT_PROVIDER_MUTATION,no,MISSING_ROW_ADD_CANDIDATE
PUT,/v1/pricing/tenants/{tenant_id}/brand-adjustment,TENANT_PROVIDER_MUTATION,no,MISSING_ROW_ADD_CANDIDATE
POST,/v1/pricing/tenants/{tenant_id}/zones,TENANT_PROVIDER_MUTATION,no,MISSING_ROW_ADD_CANDIDATE
PUT,/v1/pricing/tenants/{tenant_id}/zones/{zone_id},TENANT_PROVIDER_MUTATION,no,MISSING_ROW_ADD_CANDIDATE
DELETE,/v1/pricing/tenants/{tenant_id}/zones/{zone_id},TENANT_PROVIDER_MUTATION,no,MISSING_ROW_ADD_CANDIDATE
POST,/v1/pricing/tenants/{tenant_id}/rules,TENANT_PROVIDER_MUTATION,no,MISSING_ROW_ADD_CANDIDATE
PUT,/v1/pricing/tenants/{tenant_id}/rules/{rule_id},TENANT_PROVIDER_MUTATION,no,MISSING_ROW_ADD_CANDIDATE
DELETE,/v1/pricing/tenants/{tenant_id}/rules/{rule_id},TENANT_PROVIDER_MUTATION,no,MISSING_ROW_ADD_CANDIDATE
POST,/v1/pricing/compute,TENANT_PROVIDER_MUTATION,no,MISSING_ROW_ADD_CANDIDATE
POST,/v1/commerce/tenants/{tenant_id}/deposit/admin-adjust,TENANT_PROVIDER_MUTATION,no,MISSING_ROW_ADD_CANDIDATE
POST,/v1/commerce/tenants/{tenant_id}/wallet/purchase/initiate,TENANT_PROVIDER_MUTATION,no,MISSING_ROW_ADD_CANDIDATE
POST,/v1/commerce/warranty/claims,TENANT_PROVIDER_MUTATION,no,MISSING_ROW_ADD_CANDIDATE
POST,/v1/commerce/tenants/{tenant_id}/badges/recalculate,TENANT_PROVIDER_MUTATION,no,MISSING_ROW_ADD_CANDIDATE
POST,/v1/enterprise/column-preferences/reset,SELF_SERVICE_MUTATION,no,NOT_TENANT_MUTATION
POST,/v1/enterprise/exports/{export_id}/retry,SELF_SERVICE_MUTATION,no,NOT_TENANT_MUTATION
POST,/v1/enterprise/exports/{export_id}/cancel,SELF_SERVICE_MUTATION,no,NOT_TENANT_MUTATION
GET,/v1/enterprise/exports/{export_id}/download,SELF_SERVICE_MUTATION,no,NOT_TENANT_MUTATION
POST,/v1/provider/notifications/{notification_id}/read,TENANT_PROVIDER_MUTATION,yes,EXISTING_ROW_CONFIRMED
POST,/v1/provider/notifications/mark-all-read,TENANT_PROVIDER_MUTATION,yes,EXISTING_ROW_CONFIRMED
