method,path,disputed_field,A_evidence,B_evidence,guard_roles,permission,tenant_guard,tenant_inputs,ownership,principal_scope,final_persona,final_direction,resolution_rationale,product_decision
POST,/v1/dispatch/jobs/{job_id}/dispatch,persona,Request.json:attribute assignment,cap=AMBIGUOUS;roles=super_admin|tenant_owner;tenant_guard=Fa,super_admin|tenant_owner,tenant:update,False,,DispatchService.dispatch_job: ownership ,False,TENANT_PROVIDER_MUTATION,OBJECT_DERIVED_TENANT,tenant permission tenant:update acting on an object addressed by id; tenant carried by the object row,False
POST,/v1/dispatch/jobs/{job_id}/accept,persona,Request.json:attribute assignment,cap=AMBIGUOUS;roles=admin_finance|admin_operations|admin_rea,admin_finance|admin_operations|admin_readonly|admin_security|customer|staff|super_admin|technician|tenant_owner,,False,,DispatchService.accept_job: ownership pr,False,PRODUCT_DECISION_REQUIRED,REQUIRES_MANUAL_TENANT_ADJUDICATION,"no tenant-capable guard, no tenant input, no principal scope -> genuine product decision",True
POST,/v1/dispatch/jobs/{job_id}/reject,persona,Request.json:attribute assignment,cap=AMBIGUOUS;roles=admin_finance|admin_operations|admin_rea,admin_finance|admin_operations|admin_readonly|admin_security|customer|staff|super_admin|technician|tenant_owner,,False,,DispatchService.reject_job: ownership pr,False,PRODUCT_DECISION_REQUIRED,REQUIRES_MANUAL_TENANT_ADJUDICATION,"no tenant-capable guard, no tenant input, no principal scope -> genuine product decision",True
POST,/v1/dispatch/jobs/{job_id}/reassign,persona,Request.json:attribute assignment,cap=AMBIGUOUS;roles=super_admin|tenant_owner;tenant_guard=Fa,super_admin|tenant_owner,tenant:update,False,,DispatchService.reassign_job: ownership ,False,TENANT_PROVIDER_MUTATION,OBJECT_DERIVED_TENANT,tenant permission tenant:update acting on an object addressed by id; tenant carried by the object row,False
GET,/v1/ds/tenants/{tenant_id}/churn/score,persona,DSService.get_churn_score:.add()|DSService.get_churn_score:a,cap=AMBIGUOUS;roles=admin_finance|admin_operations|admin_rea,admin_finance|admin_operations|admin_readonly|admin_security|customer|staff|super_admin|technician|tenant_owner,,False,tenant_id|tenant_id,DSService.get_churn_score: ownership pre,False,TENANT_PROVIDER_MUTATION,CLIENT_ASSERTED_TARGET_TENANT,"tenant-capable guard/permission (tenant_guard) + write on a tenant-owned resource (subject=False,tenant_input=True)",False
GET,/v1/ds/tenants/{tenant_id}/demand/forecast,persona,DSService.get_demand_forecast:.add()|DSService.get_demand_fo,cap=AMBIGUOUS;roles=admin_finance|admin_operations|admin_rea,admin_finance|admin_operations|admin_readonly|admin_security|customer|staff|super_admin|technician|tenant_owner,,False,tenant_id|tenant_id,DSService.get_demand_forecast: ownership,False,TENANT_PROVIDER_MUTATION,CLIENT_ASSERTED_TARGET_TENANT,"tenant-capable guard/permission (tenant_guard) + write on a tenant-owned resource (subject=False,tenant_input=True)",False
GET,/v1/ds/tenants/{tenant_id}/customers/{customer_id}/ltv,persona,DSService.get_customer_ltv:.add()|DSService.get_customer_ltv,cap=AMBIGUOUS;roles=admin_finance|admin_operations|admin_rea,admin_finance|admin_operations|admin_readonly|admin_security|customer|staff|super_admin|technician|tenant_owner,,False,tenant_id|tenant_id,DSService.get_customer_ltv: ownership pr,False,TENANT_PROVIDER_MUTATION,CLIENT_ASSERTED_TARGET_TENANT,"tenant-capable guard/permission (tenant_guard) + write on a tenant-owned resource (subject=False,tenant_input=True)",False
POST,/v1/ds/tenants/{tenant_id}/customers/{customer_id}/ltv/recompute,persona,DSService.recompute_ltv:attribute assignment,cap=AMBIGUOUS;roles=admin_finance|admin_operations|admin_rea,admin_finance|admin_operations|admin_readonly|admin_security|customer|staff|super_admin|technician|tenant_owner,,False,tenant_id|tenant_id,DSService.recompute_ltv: ownership predi,False,TENANT_PROVIDER_MUTATION,CLIENT_ASSERTED_TARGET_TENANT,"tenant-capable guard/permission (tenant_guard) + write on a tenant-owned resource (subject=False,tenant_input=True)",False
DELETE,/v1/rag/knowledge-bases/{kb_id},persona,delete_kb:.delete(),cap=AMBIGUOUS;roles=super_admin|tenant_owner;tenant_guard=Fa,super_admin|tenant_owner,tenant:update,False,,RAGService.delete_kb: ownership predicat,False,TENANT_PROVIDER_MUTATION,OBJECT_DERIVED_TENANT,tenant permission tenant:update acting on an object addressed by id; tenant carried by the object row,False
POST,/v1/rag/knowledge-bases/{kb_id}/documents,persona,Request.json:attribute assignment,cap=AMBIGUOUS;roles=super_admin|tenant_owner;tenant_guard=Fa,super_admin|tenant_owner,tenant:update,False,,RAGService.ingest_document: ownership pr,False,TENANT_PROVIDER_MUTATION,OBJECT_DERIVED_TENANT,tenant permission tenant:update acting on an object addressed by id; tenant carried by the object row,False
DELETE,/v1/rag/documents/{doc_id},persona,delete_document:.delete(),cap=AMBIGUOUS;roles=super_admin|tenant_owner;tenant_guard=Fa,super_admin|tenant_owner,tenant:update,False,,RAGService.delete_document: ownership pr,False,TENANT_PROVIDER_MUTATION,OBJECT_DERIVED_TENANT,tenant permission tenant:update acting on an object addressed by id; tenant carried by the object row,False
POST,/v1/rag/documents/{doc_id}/reindex,persona,RAGService.reindex_document:SQLAlchemy update().values()|RAG,cap=AMBIGUOUS;roles=super_admin|tenant_owner;tenant_guard=Fa,super_admin|tenant_owner,tenant:update,False,,RAGService.reindex_document: ownership p,False,TENANT_PROVIDER_MUTATION,OBJECT_DERIVED_TENANT,tenant permission tenant:update acting on an object addressed by id; tenant carried by the object row,False
POST,/v1/notifications/send,persona,Request.json:attribute assignment,cap=AMBIGUOUS;roles=admin_finance|admin_operations|admin_rea,admin_finance|admin_operations|admin_readonly|admin_security|customer|staff|super_admin|technician|tenant_owner,,False,,NotificationService.send: ownership pred,False,PRODUCT_DECISION_REQUIRED,REQUIRES_MANUAL_TENANT_ADJUDICATION,"no tenant-capable guard, no tenant input, no principal scope -> genuine product decision",True
POST,/v1/media/upload/initiate,persona,Request.json:attribute assignment,cap=AMBIGUOUS;roles=admin_finance|admin_operations|admin_rea,admin_finance|admin_operations|admin_readonly|admin_security|customer|staff|super_admin|technician|tenant_owner,,False,,MediaService.initiate_upload: ownership ,False,TENANT_PROVIDER_MUTATION,OBJECT_DERIVED_TENANT,"tenant-capable guard/permission (tenant_guard) + write on a tenant-owned resource (subject=True,tenant_input=False)",False
POST,/v1/media/upload/{session_id}/confirm,persona,Request.json:attribute assignment,cap=AMBIGUOUS;roles=admin_finance|admin_operations|admin_rea,admin_finance|admin_operations|admin_readonly|admin_security|customer|staff|super_admin|technician|tenant_owner,,False,,MediaService.confirm_upload: ownership p,False,TENANT_PROVIDER_MUTATION,OBJECT_DERIVED_TENANT,"tenant-capable guard/permission (tenant_guard) + write on a tenant-owned resource (subject=True,tenant_input=False)",False
POST,/v1/analytics/events/ingest,persona,Request.json:attribute assignment,cap=AMBIGUOUS;roles=admin_finance|admin_operations|admin_rea,admin_finance|admin_operations|admin_readonly|admin_security|customer|staff|super_admin|technician|tenant_owner,,False,,AnalyticsService.ingest_event: ownership,False,PRODUCT_DECISION_REQUIRED,REQUIRES_MANUAL_TENANT_ADJUDICATION,"no tenant-capable guard, no tenant input, no principal scope -> genuine product decision",True
DELETE,/v1/me/profile-photo,persona,remove_my_profile_photo:.delete(),cap=AMBIGUOUS;roles=admin_finance|admin_operations|admin_rea,admin_finance|admin_operations|admin_readonly|admin_security|customer|staff|super_admin|technician|tenant_owner,,False,,MediaAssetService.remove_user_profile_ph,False,PRODUCT_DECISION_REQUIRED,REQUIRES_MANUAL_TENANT_ADJUDICATION,"no tenant-capable guard, no tenant input, no principal scope -> genuine product decision",True
POST,/v1/pricing/compute,persona,PricingService.compute_and_snapshot:.add()|PricingService.co,cap=AMBIGUOUS;roles=admin_finance|admin_operations|admin_rea,admin_finance|admin_operations|admin_readonly|admin_security|customer|staff|super_admin|technician|tenant_owner,,False,tenant_id,PricingService.compute_and_snapshot: own,False,TENANT_PROVIDER_MUTATION,CLIENT_ASSERTED_TARGET_TENANT,"tenant-capable guard/permission (tenant_guard) + write on a tenant-owned resource (subject=True,tenant_input=True)",False
POST,/v1/commerce/warranty/claims,persona,CommerceService.submit_claim:.add()|CommerceService.submit_c,cap=SELF;roles=admin_finance|admin_operations|admin_readonly,admin_finance|admin_operations|admin_readonly|admin_security|customer|staff|super_admin|technician|tenant_owner,,False,tenant_id,CommerceService.submit_claim: ownership ,True,TENANT_PROVIDER_MUTATION,CLIENT_ASSERTED_TARGET_TENANT,"tenant-capable guard/permission (tenant_guard) + write on a tenant-owned resource (subject=False,tenant_input=True)",False
