method,path,behavior,persona,tenant_direction,capability_family,side_effect,evidence
POST,/v1/security/api-keys/{key_id}/revoke,DATABASE_MUTATION,TENANT_PROVIDER_MUTATION,CLIENT_ASSERTED_TARGET_TENANT,security_audit,DATABASE_MUTATION,Request.json:attribute assignment
POST,/v1/security/activity/record,DATABASE_MUTATION,PRODUCT_DECISION_REQUIRED,REQUIRES_MANUAL_TENANT_ADJUDICATION,security_audit,DATABASE_MUTATION,Request.json:attribute assignment
POST,/v1/security/audit-log,DATABASE_MUTATION,PRODUCT_DECISION_REQUIRED,REQUIRES_MANUAL_TENANT_ADJUDICATION,security_audit,DATABASE_MUTATION,Request.json:attribute assignment
POST,/v1/security/sessions,DATABASE_MUTATION,TENANT_PROVIDER_MUTATION,REQUIRES_MANUAL_TENANT_ADJUDICATION,security_audit,DATABASE_MUTATION,Request.json:attribute assignment
POST,/v1/security/sessions/{session_id}/revoke,DATABASE_MUTATION,TENANT_PROVIDER_MUTATION,REQUIRES_MANUAL_TENANT_ADJUDICATION,security_audit,DATABASE_MUTATION,Request.json:attribute assignment
POST,/v1/chat/conversations,DATABASE_MUTATION,TENANT_PROVIDER_MUTATION,REQUIRES_MANUAL_TENANT_ADJUDICATION,notification,DATABASE_MUTATION,Request.json:attribute assignment
POST,/v1/chat/conversations/{conversation_id}/messages,DATABASE_MUTATION,TENANT_PROVIDER_MUTATION,CLIENT_ASSERTED_TARGET_TENANT,notification,DATABASE_MUTATION,Request.json:attribute assignment
POST,/v1/payments/orders,DATABASE_MUTATION,PRODUCT_DECISION_REQUIRED,REQUIRES_MANUAL_TENANT_ADJUDICATION,billing,DATABASE_MUTATION,Request.json:attribute assignment
POST,/v1/payments/invoices,DATABASE_MUTATION,PRODUCT_DECISION_REQUIRED,REQUIRES_MANUAL_TENANT_ADJUDICATION,billing,DATABASE_MUTATION,Request.json:attribute assignment
POST,/v1/payments/tenants/{tenant_id}/payout,DATABASE_MUTATION,TENANT_PROVIDER_MUTATION,CLIENT_ASSERTED_TARGET_TENANT,billing,DATABASE_MUTATION,Request.json:attribute assignment
POST,/v1/inventory/tenants/{tenant_id}/items,DATABASE_MUTATION,TENANT_PROVIDER_MUTATION,CLIENT_ASSERTED_TARGET_TENANT,other,DATABASE_MUTATION,Request.json:attribute assignment
POST,/v1/inventory/items/{item_id}/locations/{location_id}/receive,DATABASE_MUTATION,PRODUCT_DECISION_REQUIRED,REQUIRES_MANUAL_TENANT_ADJUDICATION,other,DATABASE_MUTATION,Request.json:attribute assignment
POST,/v1/inventory/reservations,DATABASE_MUTATION,PRODUCT_DECISION_REQUIRED,REQUIRES_MANUAL_TENANT_ADJUDICATION,other,DATABASE_MUTATION,Request.json:attribute assignment
POST,/v1/inventory/reservations/confirm,DATABASE_MUTATION,TENANT_PROVIDER_MUTATION,REQUIRES_MANUAL_TENANT_ADJUDICATION,other,DATABASE_MUTATION,Request.json:attribute assignment
POST,/v1/inventory/reservations/release,DATABASE_MUTATION,TENANT_PROVIDER_MUTATION,REQUIRES_MANUAL_TENANT_ADJUDICATION,other,DATABASE_MUTATION,Request.json:attribute assignment
PUT,/v1/subscriptions/tenants/{tenant_id}/plan,DATABASE_MUTATION,TENANT_PROVIDER_MUTATION,CLIENT_ASSERTED_TARGET_TENANT,other,DATABASE_MUTATION,Request.json:attribute assignment
POST,/v1/documents,DATABASE_MUTATION,TENANT_PROVIDER_MUTATION,REQUIRES_MANUAL_TENANT_ADJUDICATION,media,DATABASE_MUTATION,Request.json:attribute assignment
POST,/v1/documents/{document_id}/send,DATABASE_MUTATION,TENANT_PROVIDER_MUTATION,REQUIRES_MANUAL_TENANT_ADJUDICATION,media,DATABASE_MUTATION,DocumentService.send_for_signature:attribute assignment
POST,/v1/documents/{document_id}/void,DATABASE_MUTATION,TENANT_PROVIDER_MUTATION,REQUIRES_MANUAL_TENANT_ADJUDICATION,media,DATABASE_MUTATION,Request.json:attribute assignment
POST,/v1/bookings,DATABASE_MUTATION,TENANT_PROVIDER_MUTATION,PRINCIPAL_TENANT,booking,DATABASE_MUTATION,Request.json:attribute assignment
POST,/v1/appointments/hold,DATABASE_MUTATION,PRODUCT_DECISION_REQUIRED,REQUIRES_MANUAL_TENANT_ADJUDICATION,booking,DATABASE_MUTATION,Request.json:attribute assignment
POST,/v1/appointments/{appointment_id}/confirm,DATABASE_MUTATION,TENANT_PROVIDER_MUTATION,REQUIRES_MANUAL_TENANT_ADJUDICATION,booking,DATABASE_MUTATION,AppointmentService.confirm_hold:.delete()|AppointmentService.confirm_hold:attribute assignment
POST,/v1/appointments/{appointment_id}/cancel,DATABASE_MUTATION,TENANT_PROVIDER_MUTATION,REQUIRES_MANUAL_TENANT_ADJUDICATION,booking,DATABASE_MUTATION,Request.json:attribute assignment
POST,/v1/appointments/{appointment_id}/reschedule,DATABASE_MUTATION,TENANT_PROVIDER_MUTATION,REQUIRES_MANUAL_TENANT_ADJUDICATION,booking,DATABASE_MUTATION,Request.json:attribute assignment
POST,/v1/appointments/{appointment_id}/no-show,DATABASE_MUTATION,TENANT_PROVIDER_MUTATION,REQUIRES_MANUAL_TENANT_ADJUDICATION,booking,DATABASE_MUTATION,AppointmentService.mark_no_show:.add()|AppointmentService.mark_no_show:attribute assignment
POST,/v1/appointments/staff/{staff_id}/calendar/block,DATABASE_MUTATION,TENANT_PROVIDER_MUTATION,CLIENT_ASSERTED_TARGET_TENANT,booking,DATABASE_MUTATION,Request.json:attribute assignment
DELETE,/v1/appointments/calendar/blocks/{block_id},DATABASE_MUTATION,TENANT_PROVIDER_MUTATION,REQUIRES_MANUAL_TENANT_ADJUDICATION,booking,DATABASE_MUTATION,unblock_calendar:.delete()
PUT,/v1/appointments/staff/{staff_id}/working-hours,DATABASE_MUTATION,TENANT_PROVIDER_MUTATION,CLIENT_ASSERTED_TARGET_TENANT,booking,DATABASE_MUTATION,Request.json:attribute assignment
POST,/v1/catalog,DATABASE_MUTATION,TENANT_PROVIDER_MUTATION,REQUIRES_MANUAL_TENANT_ADJUDICATION,catalog,DATABASE_MUTATION,Request.json:attribute assignment
PUT,/v1/catalog/{item_id},DATABASE_MUTATION,TENANT_PROVIDER_MUTATION,REQUIRES_MANUAL_TENANT_ADJUDICATION,catalog,DATABASE_MUTATION,Request.json:attribute assignment
POST,/v1/geo/tenants/{tenant_id}/zones,DATABASE_MUTATION,TENANT_PROVIDER_MUTATION,CLIENT_ASSERTED_TARGET_TENANT,geography_serviceability,DATABASE_MUTATION,Request.json:attribute assignment
POST,/v1/geo/tenants/{tenant_id}/staff/{staff_id}/location,DATABASE_MUTATION,TENANT_PROVIDER_MUTATION,CLIENT_ASSERTED_TARGET_TENANT,geography_serviceability,DATABASE_MUTATION,Request.json:attribute assignment
POST,/v1/dispatch/jobs/{job_id}/dispatch,DATABASE_MUTATION,TENANT_PROVIDER_MUTATION,REQUIRES_MANUAL_TENANT_ADJUDICATION,job_execution,DATABASE_MUTATION,Request.json:attribute assignment
POST,/v1/dispatch/jobs/{job_id}/accept,DATABASE_MUTATION,TENANT_PROVIDER_MUTATION,REQUIRES_MANUAL_TENANT_ADJUDICATION,job_execution,DATABASE_MUTATION,Request.json:attribute assignment
POST,/v1/dispatch/jobs/{job_id}/reject,DATABASE_MUTATION,TENANT_PROVIDER_MUTATION,REQUIRES_MANUAL_TENANT_ADJUDICATION,job_execution,DATABASE_MUTATION,Request.json:attribute assignment
POST,/v1/dispatch/jobs/{job_id}/reassign,DATABASE_MUTATION,TENANT_PROVIDER_MUTATION,REQUIRES_MANUAL_TENANT_ADJUDICATION,job_execution,DATABASE_MUTATION,Request.json:attribute assignment
POST,/v1/jobs/{job_id}/financial-close,DATABASE_MUTATION,TENANT_PROVIDER_MUTATION,PRINCIPAL_TENANT,job_execution,DATABASE_MUTATION,Request.json:attribute assignment
PUT,/v1/tenant/checklist-templates/{template_id}/items/{item_id},DATABASE_MUTATION,TENANT_PROVIDER_MUTATION,PRINCIPAL_TENANT,job_execution,DATABASE_MUTATION,Request.json:attribute assignment
GET,/v1/ds/tenants/{tenant_id}/churn/score,MUTATING_GET,TENANT_PROVIDER_MUTATION,CLIENT_ASSERTED_TARGET_TENANT,analytics,DATABASE_MUTATION,DSService.get_churn_score:.add()|DSService.get_churn_score:attribute assignment
GET,/v1/ds/tenants/{tenant_id}/churn/factors,READ_ONLY,READ_ONLY_NOT_MUTATION,CLIENT_ASSERTED_TARGET_TENANT,analytics,PURE_READ,no AST write in handler or resolved callees
GET,/v1/ds/tenants/{tenant_id}/demand/forecast,MUTATING_GET,TENANT_PROVIDER_MUTATION,CLIENT_ASSERTED_TARGET_TENANT,analytics,DATABASE_MUTATION,DSService.get_demand_forecast:.add()|DSService.get_demand_forecast:.flush()|DSService.get_demand_forecast:attribute assignment
POST,/v1/ds/tenants/{tenant_id}/demand/recompute,DATABASE_MUTATION,TENANT_PROVIDER_MUTATION,CLIENT_ASSERTED_TARGET_TENANT,analytics,DATABASE_MUTATION,DSService.trigger_recompute:attribute assignment
GET,/v1/ds/tenants/{tenant_id}/pricing/recommendations,READ_ONLY,READ_ONLY_NOT_MUTATION,CLIENT_ASSERTED_TARGET_TENANT,analytics,PURE_READ,no AST write in handler or resolved callees
POST,/v1/ds/tenants/{tenant_id}/pricing/apply,DATABASE_MUTATION,TENANT_PROVIDER_MUTATION,CLIENT_ASSERTED_TARGET_TENANT,analytics,DATABASE_MUTATION,Request.json:attribute assignment
GET,/v1/ds/tenants/{tenant_id}/customers/{customer_id}/ltv,MUTATING_GET,TENANT_PROVIDER_MUTATION,CLIENT_ASSERTED_TARGET_TENANT,analytics,DATABASE_MUTATION,DSService.get_customer_ltv:.add()|DSService.get_customer_ltv:.flush()
POST,/v1/ds/tenants/{tenant_id}/customers/{customer_id}/ltv/recompute,DATABASE_MUTATION,TENANT_PROVIDER_MUTATION,CLIENT_ASSERTED_TARGET_TENANT,analytics,DATABASE_MUTATION,DSService.recompute_ltv:attribute assignment
POST,/v1/rag/knowledge-bases,DATABASE_MUTATION,PRODUCT_DECISION_REQUIRED,REQUIRES_MANUAL_TENANT_ADJUDICATION,other,DATABASE_MUTATION,Request.json:attribute assignment
PUT,/v1/rag/knowledge-bases/{kb_id},DATABASE_MUTATION,PRODUCT_DECISION_REQUIRED,REQUIRES_MANUAL_TENANT_ADJUDICATION,other,DATABASE_MUTATION,Request.json:attribute assignment
DELETE,/v1/rag/knowledge-bases/{kb_id},DATABASE_MUTATION,TENANT_PROVIDER_MUTATION,REQUIRES_MANUAL_TENANT_ADJUDICATION,other,DATABASE_MUTATION,delete_kb:.delete()
POST,/v1/rag/knowledge-bases/{kb_id}/documents,DATABASE_MUTATION,TENANT_PROVIDER_MUTATION,REQUIRES_MANUAL_TENANT_ADJUDICATION,other,DATABASE_MUTATION,Request.json:attribute assignment
DELETE,/v1/rag/documents/{doc_id},DATABASE_MUTATION,TENANT_PROVIDER_MUTATION,REQUIRES_MANUAL_TENANT_ADJUDICATION,other,DATABASE_MUTATION,delete_document:.delete()
POST,/v1/rag/documents/{doc_id}/reindex,DATABASE_MUTATION,TENANT_PROVIDER_MUTATION,REQUIRES_MANUAL_TENANT_ADJUDICATION,other,DATABASE_MUTATION,RAGService.reindex_document:SQLAlchemy update().values()|RAGService.reindex_document:attribute assignment
PUT,/v1/settings/tenants/{tenant_id}/{key},DATABASE_MUTATION,TENANT_PROVIDER_MUTATION,CLIENT_ASSERTED_TARGET_TENANT,other,DATABASE_MUTATION,Request.json:attribute assignment
DELETE,/v1/settings/tenants/{tenant_id}/{key},DATABASE_MUTATION,TENANT_PROVIDER_MUTATION,CLIENT_ASSERTED_TARGET_TENANT,other,DATABASE_MUTATION,delete_tenant:.delete()
POST,/v1/notifications/send,DATABASE_MUTATION,TENANT_PROVIDER_MUTATION,REQUIRES_MANUAL_TENANT_ADJUDICATION,notification,DATABASE_MUTATION,Request.json:attribute assignment
PUT,/v1/notifications/tenants/{tenant_id}/channels/{channel},DATABASE_MUTATION,TENANT_PROVIDER_MUTATION,CLIENT_ASSERTED_TARGET_TENANT,notification,DATABASE_MUTATION,Request.json:attribute assignment
POST,/v1/media/upload/initiate,DATABASE_MUTATION,TENANT_PROVIDER_MUTATION,REQUIRES_MANUAL_TENANT_ADJUDICATION,media,DATABASE_MUTATION,Request.json:attribute assignment
POST,/v1/media/upload/{session_id}/confirm,DATABASE_MUTATION,TENANT_PROVIDER_MUTATION,REQUIRES_MANUAL_TENANT_ADJUDICATION,media,DATABASE_MUTATION,Request.json:attribute assignment
DELETE,/v1/media/tenants/{tenant_id}/files/{file_id},DATABASE_MUTATION,TENANT_PROVIDER_MUTATION,CLIENT_ASSERTED_TARGET_TENANT,media,DATABASE_MUTATION,delete_file:.delete()
POST,/v1/analytics/events/ingest,DATABASE_MUTATION,TENANT_PROVIDER_MUTATION,REQUIRES_MANUAL_TENANT_ADJUDICATION,analytics,DATABASE_MUTATION,Request.json:attribute assignment
DELETE,/v1/media/{media_id},DATABASE_MUTATION,PRODUCT_DECISION_REQUIRED,REQUIRES_MANUAL_TENANT_ADJUDICATION,media,DATABASE_MUTATION,delete_media:.delete()
DELETE,/v1/me/profile-photo,DATABASE_MUTATION,TENANT_PROVIDER_MUTATION,REQUIRES_MANUAL_TENANT_ADJUDICATION,media,DATABASE_MUTATION,remove_my_profile_photo:.delete()
GET,/v1/media/signed/{token},READ_ONLY,READ_ONLY_NOT_MUTATION,REQUIRES_MANUAL_TENANT_ADJUDICATION,media,PURE_READ,no AST write in handler or resolved callees
POST,/v1/pricing/tenants/{tenant_id}/prices/set,DATABASE_MUTATION,TENANT_PROVIDER_MUTATION,CLIENT_ASSERTED_TARGET_TENANT,pricing,DATABASE_MUTATION,PricingService.set_tenant_price:.add()|PricingService.set_tenant_price:.flush()|PricingService.set_tenant_price:attribute assignment
PUT,/v1/pricing/tenants/{tenant_id}/brand-adjustment,DATABASE_MUTATION,TENANT_PROVIDER_MUTATION,CLIENT_ASSERTED_TARGET_TENANT,pricing,DATABASE_MUTATION,PricingService.set_brand_adjustment:.add()|PricingService.set_brand_adjustment:.flush()|PricingService.set_brand_adjustment:attribute assignment
POST,/v1/pricing/tenants/{tenant_id}/zones,DATABASE_MUTATION,TENANT_PROVIDER_MUTATION,CLIENT_ASSERTED_TARGET_TENANT,pricing,DATABASE_MUTATION,PricingService.create_zone:.add()|PricingService.create_zone:.flush()
PUT,/v1/pricing/tenants/{tenant_id}/zones/{zone_id},DATABASE_MUTATION,TENANT_PROVIDER_MUTATION,CLIENT_ASSERTED_TARGET_TENANT,pricing,DATABASE_MUTATION,PricingService.update_zone:attribute assignment
DELETE,/v1/pricing/tenants/{tenant_id}/zones/{zone_id},DATABASE_MUTATION,TENANT_PROVIDER_MUTATION,CLIENT_ASSERTED_TARGET_TENANT,pricing,DATABASE_MUTATION,delete_zone:.delete()
POST,/v1/pricing/tenants/{tenant_id}/rules,DATABASE_MUTATION,TENANT_PROVIDER_MUTATION,CLIENT_ASSERTED_TARGET_TENANT,pricing,DATABASE_MUTATION,PricingService.create_rule:.add()|PricingService.create_rule:.flush()
PUT,/v1/pricing/tenants/{tenant_id}/rules/{rule_id},DATABASE_MUTATION,TENANT_PROVIDER_MUTATION,CLIENT_ASSERTED_TARGET_TENANT,pricing,DATABASE_MUTATION,PricingService.update_rule:attribute assignment|PricingService.update_rule:setattr
DELETE,/v1/pricing/tenants/{tenant_id}/rules/{rule_id},DATABASE_MUTATION,TENANT_PROVIDER_MUTATION,CLIENT_ASSERTED_TARGET_TENANT,pricing,DATABASE_MUTATION,delete_rule:.delete()
POST,/v1/pricing/compute,DATABASE_MUTATION,TENANT_PROVIDER_MUTATION,CLIENT_ASSERTED_TARGET_TENANT,pricing,DATABASE_MUTATION,PricingService.compute_and_snapshot:.add()|PricingService.compute_and_snapshot:.flush()|PricingService.compute_and_snapshot:SQLAlchemy update().values()
POST,/v1/commerce/tenants/{tenant_id}/deposit/admin-adjust,DATABASE_MUTATION,TENANT_PROVIDER_MUTATION,CLIENT_ASSERTED_TARGET_TENANT,package_commerce,DATABASE_MUTATION,non-GET with no detected write (conservative)
POST,/v1/commerce/tenants/{tenant_id}/wallet/purchase/initiate,DATABASE_MUTATION,TENANT_PROVIDER_MUTATION,CLIENT_ASSERTED_TARGET_TENANT,package_commerce,DATABASE_MUTATION,CommerceService.initiate_purchase:.add()|CommerceService.initiate_purchase:.flush()
POST,/v1/commerce/warranty/claims,DATABASE_MUTATION,TENANT_PROVIDER_MUTATION,CLIENT_ASSERTED_TARGET_TENANT,package_commerce,DATABASE_MUTATION,CommerceService.submit_claim:.add()|CommerceService.submit_claim:.flush()
POST,/v1/commerce/tenants/{tenant_id}/badges/recalculate,DATABASE_MUTATION,TENANT_PROVIDER_MUTATION,CLIENT_ASSERTED_TARGET_TENANT,package_commerce,DATABASE_MUTATION,non-GET with no detected write (conservative)
POST,/v1/enterprise/column-preferences/reset,DATABASE_MUTATION,SELF_SERVICE_MUTATION,NO_TENANT_AUTHORITY_REQUIRED,analytics,DATABASE_MUTATION,ColumnPreferenceService.reset_preferences:.commit()|ColumnPreferenceService.reset_preferences:.delete()
POST,/v1/enterprise/exports/{export_id}/retry,DATABASE_MUTATION,SELF_SERVICE_MUTATION,NO_TENANT_AUTHORITY_REQUIRED,analytics,DATABASE_MUTATION,retry_export:.commit()|retry_export:attribute assignment
POST,/v1/enterprise/exports/{export_id}/cancel,DATABASE_MUTATION,SELF_SERVICE_MUTATION,NO_TENANT_AUTHORITY_REQUIRED,analytics,DATABASE_MUTATION,cancel_export:.commit()|cancel_export:attribute assignment
GET,/v1/enterprise/exports/{export_id}/download,MUTATING_GET,SELF_SERVICE_MUTATION,NO_TENANT_AUTHORITY_REQUIRED,analytics,DATABASE_MUTATION,download_export:.commit()
POST,/v1/provider/notifications/{notification_id}/read,DATABASE_MUTATION,TENANT_PROVIDER_MUTATION,PRINCIPAL_TENANT,notification,DATABASE_MUTATION,NotificationService.mark_notification_read:.commit()|NotificationService.mark_notification_read:attribute assignment
POST,/v1/provider/notifications/mark-all-read,DATABASE_MUTATION,TENANT_PROVIDER_MUTATION,PRINCIPAL_TENANT,notification,DATABASE_MUTATION,NotificationService.mark_all_read:.commit()|NotificationService.mark_all_read:attribute assignment
