method,path,endpoint,module,mounted,source_file,source_line,cls_side_effect,cls_family,cls_action,cls_persona,cls_direction
POST,/v1/tenants/{tenant_id}/suspend,suspend_tenant,app.engines.tenant_engine.router,YES,app\engines\tenant_engine\router.py,336,DATABASE_MUTATION,tenant_governance,deactivate,TENANT_PROVIDER_MUTATION,PRINCIPAL_TENANT
POST,/v1/tenants/{tenant_id}/reinstate,reinstate_tenant,app.engines.tenant_engine.router,YES,app\engines\tenant_engine\router.py,350,DATABASE_MUTATION,tenant_governance,activate,TENANT_PROVIDER_MUTATION,PRINCIPAL_TENANT
POST,/v1/tenants/{tenant_id}/terminate/begin,begin_termination,app.engines.tenant_engine.router,YES,app\engines\tenant_engine\router.py,366,DATABASE_MUTATION,tenant_governance,deactivate,TENANT_PROVIDER_MUTATION,PRINCIPAL_TENANT
POST,/v1/tenants/{tenant_id}/terminate/confirm,confirm_termination,app.engines.tenant_engine.router,YES,app\engines\tenant_engine\router.py,379,DATABASE_MUTATION,tenant_governance,confirm,TENANT_PROVIDER_MUTATION,PRINCIPAL_TENANT
POST,/v1/tenants/{tenant_id}/plan/upgrade,upgrade_plan,app.engines.tenant_engine.router,YES,app\engines\tenant_engine\router.py,391,DATABASE_MUTATION,tenant_governance,update,TENANT_PROVIDER_MUTATION,PRINCIPAL_TENANT
POST,/v1/tenants/{tenant_id}/plan/downgrade,downgrade_plan,app.engines.tenant_engine.router,YES,app\engines\tenant_engine\router.py,407,DATABASE_MUTATION,tenant_governance,update,TENANT_PROVIDER_MUTATION,PRINCIPAL_TENANT
POST,/v1/tenants/{tenant_id}/trial/convert,convert_trial,app.engines.tenant_engine.router,YES,app\engines\tenant_engine\router.py,420,DATABASE_MUTATION,tenant_governance,REQUIRES_MANUAL_ACTION_ADJUDICATION,TENANT_PROVIDER_MUTATION,PRINCIPAL_TENANT
POST,/v1/tenants/{tenant_id}/engines/{engine_id}/enable,enable_engine,app.engines.tenant_engine.router,YES,app\engines\tenant_engine\router.py,448,DATABASE_MUTATION,tenant_governance,activate,TENANT_PROVIDER_MUTATION,PRINCIPAL_TENANT
POST,/v1/tenants/{tenant_id}/engines/{engine_id}/disable,disable_engine,app.engines.tenant_engine.router,YES,app\engines\tenant_engine\router.py,460,DATABASE_MUTATION,tenant_governance,deactivate,TENANT_PROVIDER_MUTATION,PRINCIPAL_TENANT
POST,/v1/tenants/{tenant_id}/engines/bulk-enable,bulk_enable,app.engines.tenant_engine.router,YES,app\engines\tenant_engine\router.py,472,DATABASE_MUTATION,tenant_governance,activate,TENANT_PROVIDER_MUTATION,PRINCIPAL_TENANT
POST,/v1/tenants/{tenant_id}/engines/bulk-disable,bulk_disable,app.engines.tenant_engine.router,YES,app\engines\tenant_engine\router.py,485,DATABASE_MUTATION,tenant_governance,deactivate,TENANT_PROVIDER_MUTATION,PRINCIPAL_TENANT
PUT,/v1/tenants/{tenant_id}/engines/{engine_id}/config,update_engine_config,app.engines.tenant_engine.router,YES,app\engines\tenant_engine\router.py,510,DATABASE_MUTATION,tenant_governance,update,TENANT_PROVIDER_MUTATION,PRINCIPAL_TENANT
PUT,/v1/tenants/{tenant_id}/feature-flags/{flag_key},set_feature_flag,app.engines.tenant_engine.router,YES,app\engines\tenant_engine\router.py,552,DATABASE_MUTATION,tenant_governance,update,TENANT_PROVIDER_MUTATION,PRINCIPAL_TENANT
DELETE,/v1/tenants/{tenant_id}/feature-flags/{flag_key},delete_feature_flag,app.engines.tenant_engine.router,YES,app\engines\tenant_engine\router.py,565,DATABASE_MUTATION,tenant_governance,delete,TENANT_PROVIDER_MUTATION,PRINCIPAL_TENANT
PUT,/v1/tenants/{tenant_id}/billing/payment-method,update_payment_method,app.engines.tenant_engine.router,YES,app\engines\tenant_engine\router.py,605,DATABASE_MUTATION,tenant_governance,update,TENANT_PROVIDER_MUTATION,PRINCIPAL_TENANT
POST,/v1/tenants/{tenant_id}/data/export,request_data_export,app.engines.tenant_engine.router,YES,app\engines\tenant_engine\router.py,647,DATABASE_MUTATION,tenant_governance,export,TENANT_PROVIDER_MUTATION,PRINCIPAL_TENANT
POST,/v1/tenants/{tenant_id}/data/delete-request,gdpr_deletion,app.engines.tenant_engine.router,YES,app\engines\tenant_engine\router.py,671,DATABASE_MUTATION,tenant_governance,delete,TENANT_PROVIDER_MUTATION,PRINCIPAL_TENANT
PUT,/v1/tenant/service-areas/{area_id},update_tenant_service_area,app.engines.serviceability.router,YES,app\engines\serviceability\router.py,186,DATABASE_MUTATION,geography_serviceability,update,TENANT_PROVIDER_MUTATION,PRINCIPAL_TENANT
DELETE,/v1/tenant/service-areas/{area_id},delete_tenant_service_area,app.engines.serviceability.router,YES,app\engines\serviceability\router.py,196,DATABASE_MUTATION,geography_serviceability,deactivate,TENANT_PROVIDER_MUTATION,PRINCIPAL_TENANT
POST,/v1/tenant/service-areas/{area_id}/set-primary,set_primary_tenant_service_area,app.engines.serviceability.router,YES,app\engines\serviceability\router.py,205,DATABASE_MUTATION,geography_serviceability,update,TENANT_PROVIDER_MUTATION,PRINCIPAL_TENANT
POST,/v1/tenant/service-areas/{area_id}/services,add_service_mapping,app.engines.serviceability.router,YES,app\engines\serviceability\router.py,214,DATABASE_MUTATION,geography_serviceability,create,TENANT_PROVIDER_MUTATION,PRINCIPAL_TENANT
PUT,/v1/tenant/service-areas/{area_id}/services/{mapping_id},update_service_mapping,app.engines.serviceability.router,YES,app\engines\serviceability\router.py,234,DATABASE_MUTATION,geography_serviceability,update,TENANT_PROVIDER_MUTATION,PRINCIPAL_TENANT
DELETE,/v1/tenant/service-areas/{area_id}/services/{mapping_id},delete_service_mapping,app.engines.serviceability.router,YES,app\engines\serviceability\router.py,244,DATABASE_MUTATION,geography_serviceability,delete,TENANT_PROVIDER_MUTATION,PRINCIPAL_TENANT
POST,/v1/serviceability/check,check_serviceability,app.engines.serviceability.router,YES,app\engines\serviceability\router.py,300,DATABASE_MUTATION,geography_serviceability,REQUIRES_MANUAL_ACTION_ADJUDICATION,REQUIRES_MANUAL_ADJUDICATION,REQUIRES_MANUAL_TENANT_ADJUDICATION
POST,/v1/compliance/consent,record_consent,app.engines.compliance.router,YES,app\engines\compliance\router.py,42,DATABASE_MUTATION,compliance,REQUIRES_MANUAL_ACTION_ADJUDICATION,TENANT_PROVIDER_MUTATION,CLIENT_ASSERTED_TARGET_TENANT
GET,/v1/compliance/consent/users/{user_id},list_consents,app.engines.compliance.router,YES,app\engines\compliance\router.py,68,PURE_READ,compliance,other,REQUIRES_MANUAL_ADJUDICATION,REQUIRES_MANUAL_TENANT_ADJUDICATION
POST,/v1/compliance/consent/withdraw,withdraw_consent,app.engines.compliance.router,YES,app\engines\compliance\router.py,77,DATABASE_MUTATION,compliance,REQUIRES_MANUAL_ACTION_ADJUDICATION,TENANT_PROVIDER_MUTATION,CLIENT_ASSERTED_TARGET_TENANT
POST,/v1/compliance/deletion-requests,request_deletion,app.engines.compliance.router,YES,app\engines\compliance\router.py,92,DATABASE_MUTATION,compliance,REQUIRES_MANUAL_ACTION_ADJUDICATION,TENANT_PROVIDER_MUTATION,CLIENT_ASSERTED_TARGET_TENANT
POST,/v1/compliance/portability-requests,request_export,app.engines.compliance.router,YES,app\engines\compliance\router.py,149,DATABASE_MUTATION,compliance,export,TENANT_PROVIDER_MUTATION,CLIENT_ASSERTED_TARGET_TENANT
POST,/v1/security/api-keys,create_api_key,app.engines.security.router,YES,app\engines\security\router.py,44,DATABASE_MUTATION,security_audit,create,TENANT_PROVIDER_MUTATION,CLIENT_ASSERTED_TARGET_TENANT
POST,/v1/security/api-keys/{key_id}/rotate,rotate_api_key,app.engines.security.router,YES,app\engines\security\router.py,88,DATABASE_MUTATION,security_audit,rotate,TENANT_PROVIDER_MUTATION,CLIENT_ASSERTED_TARGET_TENANT
POST,/v1/security/api-keys/{key_id}/revoke,revoke_api_key,app.engines.security.router,YES,app\engines\security\router.py,98,DATABASE_MUTATION,security_audit,revoke,TENANT_PROVIDER_MUTATION,CLIENT_ASSERTED_TARGET_TENANT
POST,/v1/security/activity/record,record_activity,app.engines.security.router,YES,app\engines\security\router.py,158,DATABASE_MUTATION,security_audit,REQUIRES_MANUAL_ACTION_ADJUDICATION,TENANT_PROVIDER_MUTATION,CLIENT_ASSERTED_TARGET_TENANT
POST,/v1/security/audit-log,write_audit,app.engines.security.router,YES,app\engines\security\router.py,197,DATABASE_MUTATION,security_audit,REQUIRES_MANUAL_ACTION_ADJUDICATION,TENANT_PROVIDER_MUTATION,CLIENT_ASSERTED_TARGET_TENANT
POST,/v1/security/sessions,create_session,app.engines.security.router,YES,app\engines\security\router.py,230,DATABASE_MUTATION,security_audit,create,TENANT_PROVIDER_MUTATION,CLIENT_ASSERTED_TARGET_TENANT
POST,/v1/security/sessions/{session_id}/revoke,revoke_session,app.engines.security.router,YES,app\engines\security\router.py,255,DATABASE_MUTATION,security_audit,revoke,REQUIRES_MANUAL_ADJUDICATION,REQUIRES_MANUAL_TENANT_ADJUDICATION
POST,/v1/chat/conversations,create_conversation,app.engines.chat.router,YES,app\engines\chat\router.py,27,DATABASE_MUTATION,notification,create,TENANT_PROVIDER_MUTATION,CLIENT_ASSERTED_TARGET_TENANT
POST,/v1/chat/conversations/{conversation_id}/messages,send_message,app.engines.chat.router,YES,app\engines\chat\router.py,56,DATABASE_MUTATION,notification,REQUIRES_MANUAL_ACTION_ADJUDICATION,TENANT_PROVIDER_MUTATION,CLIENT_ASSERTED_TARGET_TENANT
POST,/v1/payments/orders,create_order,app.engines.payment.router,YES,app\engines\payment\router.py,28,DATABASE_MUTATION,billing,create,TENANT_PROVIDER_MUTATION,CLIENT_ASSERTED_TARGET_TENANT
POST,/v1/payments/invoices,generate_invoice,app.engines.payment.router,YES,app\engines\payment\router.py,72,DATABASE_MUTATION,billing,create,TENANT_PROVIDER_MUTATION,CLIENT_ASSERTED_TARGET_TENANT
POST,/v1/payments/tenants/{tenant_id}/payout,request_payout,app.engines.payment.router,YES,app\engines\payment\router.py,90,DATABASE_MUTATION,billing,REQUIRES_MANUAL_ACTION_ADJUDICATION,TENANT_PROVIDER_MUTATION,CLIENT_ASSERTED_TARGET_TENANT
POST,/v1/inventory/tenants/{tenant_id}/items,create_item,app.engines.inventory.router,YES,app\engines\inventory\router.py,24,DATABASE_MUTATION,other,create,TENANT_PROVIDER_MUTATION,CLIENT_ASSERTED_TARGET_TENANT
POST,/v1/inventory/items/{item_id}/locations/{location_id}/receive,receive_stock,app.engines.inventory.router,YES,app\engines\inventory\router.py,37,DATABASE_MUTATION,other,REQUIRES_MANUAL_ACTION_ADJUDICATION,TENANT_PROVIDER_MUTATION,CLIENT_ASSERTED_TARGET_TENANT
POST,/v1/inventory/reservations,create_reservation,app.engines.inventory.router,YES,app\engines\inventory\router.py,54,DATABASE_MUTATION,other,create,TENANT_PROVIDER_MUTATION,CLIENT_ASSERTED_TARGET_TENANT
POST,/v1/inventory/reservations/confirm,confirm_reservation,app.engines.inventory.router,YES,app\engines\inventory\router.py,63,DATABASE_MUTATION,other,confirm,TENANT_PROVIDER_MUTATION,CLIENT_ASSERTED_TARGET_TENANT
POST,/v1/inventory/reservations/release,release_reservation,app.engines.inventory.router,YES,app\engines\inventory\router.py,69,DATABASE_MUTATION,other,REQUIRES_MANUAL_ACTION_ADJUDICATION,TENANT_PROVIDER_MUTATION,CLIENT_ASSERTED_TARGET_TENANT
PUT,/v1/subscriptions/tenants/{tenant_id}/plan,update_plan,app.engines.subscription.router,YES,app\engines\subscription\router.py,34,DATABASE_MUTATION,other,update,TENANT_PROVIDER_MUTATION,CLIENT_ASSERTED_TARGET_TENANT
POST,/v1/documents,generate_doc,app.engines.document.router,YES,app\engines\document\router.py,27,DATABASE_MUTATION,media,create,TENANT_PROVIDER_MUTATION,CLIENT_ASSERTED_TARGET_TENANT
POST,/v1/documents/{document_id}/send,send_for_signature,app.engines.document.router,YES,app\engines\document\router.py,52,DATABASE_MUTATION,media,REQUIRES_MANUAL_ACTION_ADJUDICATION,TENANT_PROVIDER_MUTATION,OBJECT_DERIVED_TENANT
POST,/v1/documents/{document_id}/void,void_document,app.engines.document.router,YES,app\engines\document\router.py,72,DATABASE_MUTATION,media,REQUIRES_MANUAL_ACTION_ADJUDICATION,TENANT_PROVIDER_MUTATION,OBJECT_DERIVED_TENANT
POST,/v1/bookings,create_booking,app.engines.booking.router,YES,app\engines\booking\router.py,73,DATABASE_MUTATION,booking,create,TENANT_PROVIDER_MUTATION,PRINCIPAL_TENANT
POST,/v1/appointments/hold,hold_slot,app.engines.appointment.router,YES,app\engines\appointment\router.py,31,DATABASE_MUTATION,booking,create,TENANT_PROVIDER_MUTATION,CLIENT_ASSERTED_TARGET_TENANT
POST,/v1/appointments/{appointment_id}/confirm,confirm_hold,app.engines.appointment.router,YES,app\engines\appointment\router.py,54,DATABASE_MUTATION,booking,confirm,REQUIRES_MANUAL_ADJUDICATION,REQUIRES_MANUAL_TENANT_ADJUDICATION
POST,/v1/appointments/{appointment_id}/cancel,cancel_appointment,app.engines.appointment.router,YES,app\engines\appointment\router.py,90,DATABASE_MUTATION,booking,cancel,REQUIRES_MANUAL_ADJUDICATION,REQUIRES_MANUAL_TENANT_ADJUDICATION
POST,/v1/appointments/{appointment_id}/reschedule,reschedule,app.engines.appointment.router,YES,app\engines\appointment\router.py,98,DATABASE_MUTATION,booking,REQUIRES_MANUAL_ACTION_ADJUDICATION,REQUIRES_MANUAL_ADJUDICATION,REQUIRES_MANUAL_TENANT_ADJUDICATION
POST,/v1/appointments/{appointment_id}/no-show,mark_no_show,app.engines.appointment.router,YES,app\engines\appointment\router.py,108,DATABASE_MUTATION,booking,REQUIRES_MANUAL_ACTION_ADJUDICATION,TENANT_PROVIDER_MUTATION,OBJECT_DERIVED_TENANT
POST,/v1/appointments/staff/{staff_id}/calendar/block,block_calendar,app.engines.appointment.router,YES,app\engines\appointment\router.py,133,DATABASE_MUTATION,booking,REQUIRES_MANUAL_ACTION_ADJUDICATION,TENANT_PROVIDER_MUTATION,CLIENT_ASSERTED_TARGET_TENANT
DELETE,/v1/appointments/calendar/blocks/{block_id},unblock_calendar,app.engines.appointment.router,YES,app\engines\appointment\router.py,146,DATABASE_MUTATION,booking,delete,TENANT_PROVIDER_MUTATION,OBJECT_DERIVED_TENANT
PUT,/v1/appointments/staff/{staff_id}/working-hours,set_working_hours,app.engines.appointment.router,YES,app\engines\appointment\router.py,153,DATABASE_MUTATION,booking,update,TENANT_PROVIDER_MUTATION,CLIENT_ASSERTED_TARGET_TENANT
POST,/v1/catalog,create_item,app.engines.service_catalog.router,YES,app\engines\service_catalog\router.py,27,DATABASE_MUTATION,catalog,create,TENANT_PROVIDER_MUTATION,CLIENT_ASSERTED_TARGET_TENANT
PUT,/v1/catalog/{item_id},update_item,app.engines.service_catalog.router,YES,app\engines\service_catalog\router.py,53,DATABASE_MUTATION,catalog,update,REQUIRES_MANUAL_ADJUDICATION,REQUIRES_MANUAL_TENANT_ADJUDICATION
POST,/v1/geo/tenants/{tenant_id}/zones,create_zone,app.engines.geo.router,YES,app\engines\geo\router.py,30,DATABASE_MUTATION,geography_serviceability,create,TENANT_PROVIDER_MUTATION,CLIENT_ASSERTED_TARGET_TENANT
POST,/v1/geo/tenants/{tenant_id}/staff/{staff_id}/location,update_location,app.engines.geo.router,YES,app\engines\geo\router.py,68,DATABASE_MUTATION,geography_serviceability,update,TENANT_PROVIDER_MUTATION,CLIENT_ASSERTED_TARGET_TENANT
POST,/v1/dispatch/jobs/{job_id}/dispatch,dispatch_job,app.engines.dispatch.router,YES,app\engines\dispatch\router.py,30,DATABASE_MUTATION,job_execution,execute,TENANT_PROVIDER_MUTATION,CLIENT_ASSERTED_TARGET_TENANT
POST,/v1/dispatch/jobs/{job_id}/accept,accept_job,app.engines.dispatch.router,YES,app\engines\dispatch\router.py,55,DATABASE_MUTATION,job_execution,approve,REQUIRES_MANUAL_ADJUDICATION,REQUIRES_MANUAL_TENANT_ADJUDICATION
POST,/v1/dispatch/jobs/{job_id}/reject,reject_job,app.engines.dispatch.router,YES,app\engines\dispatch\router.py,62,DATABASE_MUTATION,job_execution,reject,REQUIRES_MANUAL_ADJUDICATION,REQUIRES_MANUAL_TENANT_ADJUDICATION
POST,/v1/dispatch/jobs/{job_id}/reassign,reassign,app.engines.dispatch.router,YES,app\engines\dispatch\router.py,69,DATABASE_MUTATION,job_execution,execute,REQUIRES_MANUAL_ADJUDICATION,REQUIRES_MANUAL_TENANT_ADJUDICATION
POST,/v1/jobs/{job_id}/financial-close,financial_close,app.engines.field_ops.router,YES,app\engines\field_ops\router.py,447,DATABASE_MUTATION,job_execution,REQUIRES_MANUAL_ACTION_ADJUDICATION,TENANT_PROVIDER_MUTATION,PRINCIPAL_TENANT
PUT,/v1/tenant/checklist-templates/{template_id}/items/{item_id},update_item,app.engines.field_ops.checklist_router,YES,app\engines\field_ops\checklist_router.py,92,DATABASE_MUTATION,job_execution,update,TENANT_PROVIDER_MUTATION,PRINCIPAL_TENANT
GET,/v1/ds/tenants/{tenant_id}/churn/score,get_churn_score,app.engines.data_science.router,YES,app\engines\data_science\router.py,44,DATABASE_MUTATION,analytics,other,TENANT_PROVIDER_READ,CLIENT_ASSERTED_TARGET_TENANT
GET,/v1/ds/tenants/{tenant_id}/churn/factors,get_churn_factors,app.engines.data_science.router,YES,app\engines\data_science\router.py,63,PURE_READ,analytics,other,TENANT_PROVIDER_READ,CLIENT_ASSERTED_TARGET_TENANT
GET,/v1/ds/tenants/{tenant_id}/demand/forecast,get_forecast,app.engines.data_science.router,YES,app\engines\data_science\router.py,83,DATABASE_MUTATION,analytics,other,TENANT_PROVIDER_READ,CLIENT_ASSERTED_TARGET_TENANT
POST,/v1/ds/tenants/{tenant_id}/demand/recompute,trigger_recompute,app.engines.data_science.router,YES,app\engines\data_science\router.py,92,DATABASE_MUTATION,analytics,execute,TENANT_PROVIDER_MUTATION,CLIENT_ASSERTED_TARGET_TENANT
GET,/v1/ds/tenants/{tenant_id}/pricing/recommendations,pricing_recs,app.engines.data_science.router,YES,app\engines\data_science\router.py,112,PURE_READ,analytics,other,TENANT_PROVIDER_READ,CLIENT_ASSERTED_TARGET_TENANT
POST,/v1/ds/tenants/{tenant_id}/pricing/apply,apply_pricing,app.engines.data_science.router,YES,app\engines\data_science\router.py,121,DATABASE_MUTATION,analytics,execute,TENANT_PROVIDER_MUTATION,CLIENT_ASSERTED_TARGET_TENANT
GET,/v1/ds/tenants/{tenant_id}/customers/{customer_id}/ltv,customer_ltv,app.engines.data_science.router,YES,app\engines\data_science\router.py,176,DATABASE_MUTATION,analytics,other,TENANT_PROVIDER_READ,CLIENT_ASSERTED_TARGET_TENANT
POST,/v1/ds/tenants/{tenant_id}/customers/{customer_id}/ltv/recompute,recompute_ltv,app.engines.data_science.router,YES,app\engines\data_science\router.py,195,DATABASE_MUTATION,analytics,recalculate,TENANT_PROVIDER_MUTATION,CLIENT_ASSERTED_TARGET_TENANT
POST,/v1/rag/knowledge-bases,create_kb,app.engines.rag.router,YES,app\engines\rag\router.py,46,DATABASE_MUTATION,other,create,TENANT_PROVIDER_MUTATION,CLIENT_ASSERTED_TARGET_TENANT
PUT,/v1/rag/knowledge-bases/{kb_id},update_kb,app.engines.rag.router,YES,app\engines\rag\router.py,92,DATABASE_MUTATION,other,update,REQUIRES_MANUAL_ADJUDICATION,REQUIRES_MANUAL_TENANT_ADJUDICATION
DELETE,/v1/rag/knowledge-bases/{kb_id},delete_kb,app.engines.rag.router,YES,app\engines\rag\router.py,103,DATABASE_MUTATION,other,delete,REQUIRES_MANUAL_ADJUDICATION,REQUIRES_MANUAL_TENANT_ADJUDICATION
POST,/v1/rag/knowledge-bases/{kb_id}/documents,ingest_document,app.engines.rag.router,YES,app\engines\rag\router.py,114,DATABASE_MUTATION,other,import,REQUIRES_MANUAL_ADJUDICATION,REQUIRES_MANUAL_TENANT_ADJUDICATION
DELETE,/v1/rag/documents/{doc_id},delete_document,app.engines.rag.router,YES,app\engines\rag\router.py,159,DATABASE_MUTATION,other,delete,REQUIRES_MANUAL_ADJUDICATION,REQUIRES_MANUAL_TENANT_ADJUDICATION
POST,/v1/rag/documents/{doc_id}/reindex,reindex_document,app.engines.rag.router,YES,app\engines\rag\router.py,169,DATABASE_MUTATION,other,REQUIRES_MANUAL_ACTION_ADJUDICATION,REQUIRES_MANUAL_ADJUDICATION,REQUIRES_MANUAL_TENANT_ADJUDICATION
PUT,/v1/settings/tenants/{tenant_id}/{key},set_tenant,app.engines.settings_engine.router,YES,app\engines\settings_engine\router.py,97,DATABASE_MUTATION,other,update,TENANT_PROVIDER_MUTATION,CLIENT_ASSERTED_TARGET_TENANT
DELETE,/v1/settings/tenants/{tenant_id}/{key},delete_tenant,app.engines.settings_engine.router,YES,app\engines\settings_engine\router.py,105,DATABASE_MUTATION,other,delete,TENANT_PROVIDER_MUTATION,CLIENT_ASSERTED_TARGET_TENANT
POST,/v1/notifications/send,send_notification,app.engines.notification.router,YES,app\engines\notification\router.py,31,DATABASE_MUTATION,notification,REQUIRES_MANUAL_ACTION_ADJUDICATION,TENANT_PROVIDER_MUTATION,CLIENT_ASSERTED_TARGET_TENANT
PUT,/v1/notifications/tenants/{tenant_id}/channels/{channel},set_channel,app.engines.notification.router,YES,app\engines\notification\router.py,104,DATABASE_MUTATION,notification,update,TENANT_PROVIDER_MUTATION,CLIENT_ASSERTED_TARGET_TENANT
POST,/v1/media/upload/initiate,initiate_upload,app.engines.media.router,YES,app\engines\media\router.py,29,DATABASE_MUTATION,media,create,TENANT_PROVIDER_MUTATION,CLIENT_ASSERTED_TARGET_TENANT
POST,/v1/media/upload/{session_id}/confirm,confirm_upload,app.engines.media.router,YES,app\engines\media\router.py,39,DATABASE_MUTATION,media,confirm,REQUIRES_MANUAL_ADJUDICATION,REQUIRES_MANUAL_TENANT_ADJUDICATION
DELETE,/v1/media/tenants/{tenant_id}/files/{file_id},delete_file,app.engines.media.router,YES,app\engines\media\router.py,62,DATABASE_MUTATION,media,delete,TENANT_PROVIDER_MUTATION,CLIENT_ASSERTED_TARGET_TENANT
POST,/v1/analytics/events/ingest,ingest_event,app.engines.analytics.router,YES,app\engines\analytics\router.py,31,DATABASE_MUTATION,analytics,import,TENANT_PROVIDER_MUTATION,CLIENT_ASSERTED_TARGET_TENANT
DELETE,/v1/media/{media_id},delete_media,app.engines.media.new_router,YES,app\engines\media\new_router.py,221,DATABASE_MUTATION,media,delete,REQUIRES_MANUAL_ADJUDICATION,REQUIRES_MANUAL_TENANT_ADJUDICATION
DELETE,/v1/me/profile-photo,remove_my_profile_photo,app.engines.media.new_router,YES,app\engines\media\new_router.py,257,DATABASE_MUTATION,media,delete,REQUIRES_MANUAL_ADJUDICATION,REQUIRES_MANUAL_TENANT_ADJUDICATION
GET,/v1/media/signed/{token},resolve_signed_media,app.engines.media.admin_router,YES,app\engines\media\admin_router.py,287,PURE_READ,media,other,REQUIRES_MANUAL_ADJUDICATION,REQUIRES_MANUAL_TENANT_ADJUDICATION
POST,/v1/pricing/tenants/{tenant_id}/prices/set,set_tenant_price,app.engines.pricing.router,YES,app\engines\pricing\router.py,112,DATABASE_MUTATION,pricing,update,TENANT_PROVIDER_MUTATION,CLIENT_ASSERTED_TARGET_TENANT
PUT,/v1/pricing/tenants/{tenant_id}/brand-adjustment,set_brand_adj,app.engines.pricing.router,YES,app\engines\pricing\router.py,142,DATABASE_MUTATION,pricing,update,TENANT_PROVIDER_MUTATION,CLIENT_ASSERTED_TARGET_TENANT
POST,/v1/pricing/tenants/{tenant_id}/zones,create_zone,app.engines.pricing.router,YES,app\engines\pricing\router.py,160,DATABASE_MUTATION,pricing,create,TENANT_PROVIDER_MUTATION,CLIENT_ASSERTED_TARGET_TENANT
PUT,/v1/pricing/tenants/{tenant_id}/zones/{zone_id},update_zone,app.engines.pricing.router,YES,app\engines\pricing\router.py,176,DATABASE_MUTATION,pricing,update,TENANT_PROVIDER_MUTATION,CLIENT_ASSERTED_TARGET_TENANT
DELETE,/v1/pricing/tenants/{tenant_id}/zones/{zone_id},delete_zone,app.engines.pricing.router,YES,app\engines\pricing\router.py,185,DATABASE_MUTATION,pricing,delete,TENANT_PROVIDER_MUTATION,CLIENT_ASSERTED_TARGET_TENANT
POST,/v1/pricing/tenants/{tenant_id}/rules,create_rule,app.engines.pricing.router,YES,app\engines\pricing\router.py,203,DATABASE_MUTATION,pricing,create,TENANT_PROVIDER_MUTATION,CLIENT_ASSERTED_TARGET_TENANT
PUT,/v1/pricing/tenants/{tenant_id}/rules/{rule_id},update_rule,app.engines.pricing.router,YES,app\engines\pricing\router.py,221,DATABASE_MUTATION,pricing,update,TENANT_PROVIDER_MUTATION,CLIENT_ASSERTED_TARGET_TENANT
DELETE,/v1/pricing/tenants/{tenant_id}/rules/{rule_id},delete_rule,app.engines.pricing.router,YES,app\engines\pricing\router.py,246,DATABASE_MUTATION,pricing,delete,TENANT_PROVIDER_MUTATION,CLIENT_ASSERTED_TARGET_TENANT
POST,/v1/pricing/compute,compute_price,app.engines.pricing.router,YES,app\engines\pricing\router.py,255,DATABASE_MUTATION,pricing,execute,TENANT_PROVIDER_MUTATION,CLIENT_ASSERTED_TARGET_TENANT
