route,inferred_purpose,nav_group_today,duplicate_of,classification,notes
/provider/service-coverage,service coverage,setup,,MERGE,see above
/provider/service-invoices,service invoices,finance,,KEEP_AND_REDESIGN,No payout/withdrawal UI — presentation only
/provider/service-options,service options,(unlisted),/inventory,PRODUCT_DECISION_REQUIRED,
/provider/service-setup,service setup wizard,(unlisted),/tenant/setup/services,MERGE,Target for UX03 multi-service setup wizard pattern
/provider/services,service catalog,(unlisted),/catalog /services,MERGE,
/provider/staff,staff + technician roster,team,/staff /users,MERGE,Canonical candidate for UX03 unified Team Members list
/provider/status,setup checklist,setup,/onboarding-status,MERGE,
/provider/subscription-status,subscription/package status,(unlisted),/finance/package,MERGE,
/provider/team-members,team members (alt path),(unlisted),/provider/staff,MERGE,Same concept as /provider/staff under a different path
/provider/wallet,wallet,(unlisted),/wallet /finance/usage-credit-ledger,PRODUCT_DECISION_REQUIRED,"""Wallet"" naming risks implying payout capability the platform does not provide — needs product review, not just a merge"
/reports,reports,insights,,KEEP_AND_REDESIGN,
/reviews,customer reviews/complaints,engagement,/provider/reviews /provider/complaints,MERGE,
/service-areas,service areas (short path),(unlisted),/provider/service-areas,MERGE,
/service-jobs,ServiceJob list,operations,/jobs,MERGE,Canonical ServiceJob-pipeline surface — must not merge with Booking pipeline
/service-jobs/[id],ServiceJob detail,operations,/jobs/[id],MERGE,
/service-jobs/[id]/execution,job execution view,operations,,KEEP_AND_REDESIGN,
/service-jobs/[id]/quotes,job quotes,operations,,KEEP_AND_REDESIGN,Target for UX03 Quote pattern
/services,service catalog (short path),(unlisted),/catalog /provider/services,MERGE,
/settings,tenant settings,more,,KEEP_AND_REDESIGN,Target for UX03 save-bar settings pattern
/settings/engines,engine-level settings,more,,DEVELOPMENT_ONLY,Verify if internal/dev-only or real tenant-facing settings
/setup/checklist,setup checklist,(unlisted),/provider/status,MERGE,
/setup/service-coverage,service coverage setup,(unlisted),/provider/service-coverage,MERGE,
/staff,staff roster (short path),(unlisted),/provider/staff,MERGE,
/staff/[id],staff detail,(unlisted),,KEEP_AND_REDESIGN,Target for UX03 TeamMemberDetail pattern
/tenant/setup/availability,availability setup step,(unlisted),/provider/availability,MERGE,
/tenant/setup/services,services setup step,(unlisted),/provider/service-setup,MERGE,
/users,user list,(unlisted),/provider/staff /staff,MERGE,
/wallet,wallet (short path),(unlisted),/provider/wallet,PRODUCT_DECISION_REQUIRED,see /provider/wallet note
