symbol,resolved_to,chain,resolved,permission,module,confidence,canonical_roles,consumers
require_catalog_pricing_read,require_catalog_pricing_read,require_catalog_pricing_read,True,,app.core.permissions,STATIC_ONLY_RUNTIME_EXTENSIBLE,super_admin,9
require_dashboard.read,require_dashboard.read,require_dashboard.read,True,dashboard.read,app.core.permissions,PERMISSION_MAP,admin_finance|admin_operations|admin_readonly|admin_security|super_admin,9
require_packages.read,require_packages.read,require_packages.read,True,packages.read,app.core.permissions,PERMISSION_MAP,super_admin,8
require_catalog_pricing_write,require_catalog_pricing_write,require_catalog_pricing_write,True,,app.core.permissions,STATIC_ONLY_RUNTIME_EXTENSIBLE,super_admin,7
require_packages.update,require_packages.update,require_packages.update,True,packages.update,app.core.permissions,PERMISSION_MAP,super_admin,7
require_setup_templates_write,require_setup_templates_write,require_setup_templates_write,True,setup_templates:write,app.core.permissions,PERMISSION_MAP,super_admin,7
require_bulk_wizard_read,require_bulk_wizard_read,require_bulk_wizard_read,True,bulk_wizard:read,app.core.permissions,PERMISSION_MAP,super_admin,7
require_tenant_mutation_tenant_engines_manage,require_tenant_mutation_tenant_engines_manage,require_tenant_mutation_tenant_engines_manage->require_tenant_engines_manage,True,tenant:engines:manage,app.core.permissions,PERMISSION_MAP,super_admin|tenant_owner,6
require_trust_quality_health_rules_write,require_trust_quality_health_rules_write,require_trust_quality_health_rules_write,True,trust_quality:health_rules:write,app.core.permissions,PERMISSION_MAP,super_admin,6
require_tenant_billing_manage,require_tenant_billing_manage,require_tenant_billing_manage,True,tenant:billing:manage,app.core.permissions,PERMISSION_MAP,super_admin|tenant_owner,6
require_tenant_mutation_field_ops_checklist_manage,require_tenant_mutation_field_ops_checklist_manage,require_tenant_mutation_field_ops_checklist_manage->require_field_ops_checklist_manage,True,field_ops:checklist:manage,app.core.permissions,PERMISSION_MAP,super_admin|tenant_owner,6
require_platform_staff,require_platform_staff,require_platform_staff,True,,app.dependencies.auth,AST_INLINE_ROLE_SET,admin_finance|admin_operations|admin_readonly|admin_security|super_admin,6
require_notifications.templates.read,require_notifications.templates.read,require_notifications.templates.read,True,notifications.templates.read,app.core.permissions,PERMISSION_MAP,super_admin,5
require_tenant_mutation_field_ops_jobs_close,require_tenant_mutation_field_ops_jobs_close,require_tenant_mutation_field_ops_jobs_close->require_field_ops_jobs_close,True,field_ops:jobs:close,app.core.permissions,PERMISSION_MAP,staff|super_admin|technician|tenant_owner,5
require_owner_or_office_staff_read,require_owner_or_office_staff_read,require_owner_or_office_staff_read,True,,app.engines.execution.coaching_router,AST_INLINE_ROLE_SET,staff|super_admin|tenant_owner,5
require_setup_templates_read,require_setup_templates_read,require_setup_templates_read,True,setup_templates:read,app.core.permissions,PERMISSION_MAP,super_admin,5
require_bulk_wizard_write,require_bulk_wizard_write,require_bulk_wizard_write,True,bulk_wizard:write,app.core.permissions,PERMISSION_MAP,super_admin,5
require_auth_apikeys_manage,require_auth_apikeys_manage,require_auth_apikeys_manage,True,auth:apikeys:manage,app.core.permissions,PERMISSION_MAP,super_admin|tenant_owner,4
require_platform_admin,require_platform_admin,require_platform_admin,True,,app.core.permissions,STATIC_ONLY_RUNTIME_EXTENSIBLE,super_admin,4
require_trust_quality_badge_management_write,require_trust_quality_badge_management_write,require_trust_quality_badge_management_write,True,trust_quality:badge_management:write,app.core.permissions,PERMISSION_MAP,super_admin,4
require_trust_quality_badge_rules_write,require_trust_quality_badge_rules_write,require_trust_quality_badge_rules_write,True,trust_quality:badge_rules:write,app.core.permissions,PERMISSION_MAP,super_admin,4
require_trust_quality_recalculation_jobs_run,require_trust_quality_recalculation_jobs_run,require_trust_quality_recalculation_jobs_run,True,trust_quality:recalculation_jobs:run,app.core.permissions,PERMISSION_MAP,super_admin,4
require_finance_settlements_read,require_finance_settlements_read,require_finance_settlements_read,True,,app.core.permissions,STATIC_ONLY_RUNTIME_EXTENSIBLE,super_admin,4
require_finance_hub_export,require_finance_hub_export,require_finance_hub_export,True,finance:hub:export,app.core.permissions,PERMISSION_MAP,admin_finance|super_admin,4
require_pricing.bargain_rules.read,require_pricing.bargain_rules.read,require_pricing.bargain_rules.read,True,pricing.bargain_rules.read,app.core.permissions,PERMISSION_MAP,super_admin,4
require_pricing.bargain_rules.evaluate_preview,require_pricing.bargain_rules.evaluate_preview,require_pricing.bargain_rules.evaluate_preview,True,pricing.bargain_rules.evaluate_preview,app.core.permissions,PERMISSION_MAP,super_admin,4
require_finance.usage_credits.read,require_finance.usage_credits.read,require_finance.usage_credits.read,True,finance.usage_credits.read,app.core.permissions,PERMISSION_MAP,admin_finance|admin_readonly|super_admin,4
require_settings_feature_flags_update,require_settings_feature_flags_update,require_settings_feature_flags_update,True,settings:feature_flags:update,app.core.permissions,PERMISSION_MAP,super_admin,4
require_verticals_update,require_verticals_update,require_verticals_update,True,,app.core.permissions,STATIC_ONLY_RUNTIME_EXTENSIBLE,super_admin,4
require_dashboard.action_queue.manage,require_dashboard.action_queue.manage,require_dashboard.action_queue.manage,True,dashboard.action_queue.manage,app.core.permissions,PERMISSION_MAP,admin_operations|super_admin,4
require_tenant_read,require_tenant_read,require_tenant_read,True,tenant:read,app.core.permissions,PERMISSION_MAP,admin_finance|admin_operations|admin_readonly|super_admin|tenant_owner,3
require_tenant_health_read,require_tenant_health_read,require_tenant_health_read,True,tenant:health:read,app.core.permissions,PERMISSION_MAP,admin_finance|admin_operations|admin_readonly|super_admin|tenant_owner,3
require_tenant_mutation_tenant_plan_manage,require_tenant_mutation_tenant_plan_manage,require_tenant_mutation_tenant_plan_manage->require_tenant_plan_manage,True,,app.core.permissions,STATIC_ONLY_RUNTIME_EXTENSIBLE,super_admin,3
require_tenant_service_area_read,require_tenant_service_area_read,require_tenant_service_area_read,True,tenant_service_area:read,app.core.permissions,PERMISSION_MAP,staff|super_admin|technician|tenant_owner,3
require_trust_quality_badge_rules_read,require_trust_quality_badge_rules_read,require_trust_quality_badge_rules_read,True,trust_quality:badge_rules:read,app.core.permissions,PERMISSION_MAP,super_admin,3
require_trust_quality_health_rules_read,require_trust_quality_health_rules_read,require_trust_quality_health_rules_read,True,trust_quality:health_rules:read,app.core.permissions,PERMISSION_MAP,super_admin,3
require_finance_credits_read,require_finance_credits_read,require_finance_credits_read,True,,app.core.permissions,STATIC_ONLY_RUNTIME_EXTENSIBLE,super_admin,3
require_security_api_keys_read,require_security_api_keys_read,require_security_api_keys_read,True,security:api_keys:read,app.core.permissions,PERMISSION_MAP,admin_security|super_admin,3
require_tenant_mutation_booking_bookings_manage,require_tenant_mutation_booking_bookings_manage,require_tenant_mutation_booking_bookings_manage->require_booking_bookings_manage,True,booking:bookings:manage,app.core.permissions,PERMISSION_MAP,super_admin|tenant_owner,3
require_finance_deposits_read,require_finance_deposits_read,require_finance_deposits_read,True,finance:deposits:read,app.core.permissions,PERMISSION_MAP,admin_finance|admin_readonly|super_admin,3
require_finance_deposits_update,require_finance_deposits_update,require_finance_deposits_update,True,finance:deposits:update,app.core.permissions,PERMISSION_MAP,admin_finance|super_admin,3
require_finance_topups_read,require_finance_topups_read,require_finance_topups_read,True,finance:topups:read,app.core.permissions,PERMISSION_MAP,admin_finance|admin_readonly|super_admin,3
require_finance_claims_read,require_finance_claims_read,require_finance_claims_read,True,,app.core.permissions,STATIC_ONLY_RUNTIME_EXTENSIBLE,super_admin,3
require_finance_payouts_read,require_finance_payouts_read,require_finance_payouts_read,True,,app.core.permissions,STATIC_ONLY_RUNTIME_EXTENSIBLE,super_admin,3
require_pricing.bargain_rules.update,require_pricing.bargain_rules.update,require_pricing.bargain_rules.update,True,pricing.bargain_rules.update,app.core.permissions,PERMISSION_MAP,super_admin,3
require_pricing.provider_overrides.read,require_pricing.provider_overrides.read,require_pricing.provider_overrides.read,True,pricing.provider_overrides.read,app.core.permissions,PERMISSION_MAP,super_admin,3
require_pricing.provider_overrides.update,require_pricing.provider_overrides.update,require_pricing.provider_overrides.update,True,pricing.provider_overrides.update,app.core.permissions,PERMISSION_MAP,super_admin,3
require_verticals_read,require_verticals_read,require_verticals_read,True,,app.core.permissions,STATIC_ONLY_RUNTIME_EXTENSIBLE,super_admin,3
require_bulk_wizard_execute,require_bulk_wizard_execute,require_bulk_wizard_execute,True,bulk_wizard:execute,app.core.permissions,PERMISSION_MAP,super_admin,3
require_marketing.ai.generate_caption,require_marketing.ai.generate_caption,require_marketing.ai.generate_caption,True,marketing.ai.generate_caption,app.core.permissions,PERMISSION_MAP,super_admin,3
require_platform_permissions_read,require_platform_permissions_read,require_platform_permissions_read,True,platform:permissions:read,app.core.permissions,PERMISSION_MAP,admin_readonly|admin_security|super_admin,3
require_auth_staff_invite,require_auth_staff_invite,require_auth_staff_invite,True,auth:staff:invite,app.core.permissions,PERMISSION_MAP,super_admin|tenant_owner,2
require_staff_read,require_staff_read,require_staff_read,True,staff:read,app.core.permissions,PERMISSION_MAP,admin_operations|admin_readonly|super_admin|tenant_owner,2
require_auth_users_read,require_auth_users_read,require_auth_users_read,True,auth:users:read,app.core.permissions,PERMISSION_MAP,admin_readonly|admin_security|super_admin|tenant_owner,2
require_tenant_mutation_tenant_terminate,require_tenant_mutation_tenant_terminate,require_tenant_mutation_tenant_terminate->require_tenant_terminate,True,,app.core.permissions,STATIC_ONLY_RUNTIME_EXTENSIBLE,super_admin,2
require_tenant_engines_manage,require_tenant_engines_manage,require_tenant_engines_manage,True,tenant:engines:manage,app.core.permissions,PERMISSION_MAP,super_admin|tenant_owner,2
require_tenant_flags_manage,require_tenant_flags_manage,require_tenant_flags_manage,True,tenant:flags:manage,app.core.permissions,PERMISSION_MAP,super_admin|tenant_owner,2
require_tenant_mutation_tenant_flags_manage,require_tenant_mutation_tenant_flags_manage,require_tenant_mutation_tenant_flags_manage->require_tenant_flags_manage,True,tenant:flags:manage,app.core.permissions,PERMISSION_MAP,super_admin|tenant_owner,2
require_customer_address_read_own,require_customer_address_read_own,require_customer_address_read_own,True,customer_address:read_own,app.core.permissions,PERMISSION_MAP,customer|super_admin,2
require_customer_address_update_own,require_customer_address_update_own,require_customer_address_update_own,True,customer_address:update_own,app.core.permissions,PERMISSION_MAP,customer|super_admin,2
require_tenant_mutation_tenant_service_area_create,require_tenant_mutation_tenant_service_area_create,require_tenant_mutation_tenant_service_area_create->require_tenant_service_area_create,True,tenant_service_area:create,app.core.permissions,PERMISSION_MAP,super_admin|tenant_owner,2
require_tenant_mutation_tenant_service_area_update,require_tenant_mutation_tenant_service_area_update,require_tenant_mutation_tenant_service_area_update->require_tenant_service_area_update,True,tenant_service_area:update,app.core.permissions,PERMISSION_MAP,super_admin|tenant_owner,2
require_tenant_mutation_tenant_service_area_service_update,require_tenant_mutation_tenant_service_area_service_update,require_tenant_mutation_tenant_service_area_service_update->require_tenant_service_area_service_update,True,tenant_service_area_service:update,app.core.permissions,PERMISSION_MAP,super_admin|tenant_owner,2
require_trust_quality_badge_management_read,require_trust_quality_badge_management_read,require_trust_quality_badge_management_read,True,trust_quality:badge_management:read,app.core.permissions,PERMISSION_MAP,super_admin,2
require_notifications.templates.seed_defaults,require_notifications.templates.seed_defaults,require_notifications.templates.seed_defaults,True,notifications.templates.seed_defaults,app.core.permissions,PERMISSION_MAP,super_admin,2
require_notifications.templates.audit.read,require_notifications.templates.audit.read,require_notifications.templates.audit.read,True,notifications.templates.audit.read,app.core.permissions,PERMISSION_MAP,super_admin,2
require_notifications.templates.activate,require_notifications.templates.activate,require_notifications.templates.activate,True,notifications.templates.activate,app.core.permissions,PERMISSION_MAP,super_admin,2
require_notifications.templates.preview,require_notifications.templates.preview,require_notifications.templates.preview,True,notifications.templates.preview,app.core.permissions,PERMISSION_MAP,super_admin,2
require_finance_penalties_read,require_finance_penalties_read,require_finance_penalties_read,True,,app.core.permissions,STATIC_ONLY_RUNTIME_EXTENSIBLE,super_admin,2
require_security_threats_read,require_security_threats_read,require_security_threats_read,True,security:threats:read,app.core.permissions,PERMISSION_MAP,admin_security|super_admin,2
require_security_threats_update,require_security_threats_update,require_security_threats_update,True,security:threats:update,app.core.permissions,PERMISSION_MAP,admin_security|super_admin,2
require_security_sessions_read,require_security_sessions_read,require_security_sessions_read,True,security:sessions:read,app.core.permissions,PERMISSION_MAP,admin_readonly|admin_security|super_admin,2
require_security_sessions_revoke,require_security_sessions_revoke,require_security_sessions_revoke,True,security:sessions:revoke,app.core.permissions,PERMISSION_MAP,admin_security|super_admin,2
require_security_ip_blocklist_read,require_security_ip_blocklist_read,require_security_ip_blocklist_read,True,security:ip_blocklist:read,app.core.permissions,PERMISSION_MAP,admin_security|super_admin,2
require_security_audit_read,require_security_audit_read,require_security_audit_read,True,security:audit:read,app.core.permissions,PERMISSION_MAP,admin_readonly|admin_security|super_admin,2
require_booking_bookings_read,require_booking_bookings_read,require_booking_bookings_read,True,booking:bookings:read,app.core.permissions,PERMISSION_MAP,customer|guest|staff|super_admin|technician|tenant_owner,2
require_customers_block,require_customers_block,require_customers_block,True,,app.core.permissions,STATIC_ONLY_RUNTIME_EXTENSIBLE,super_admin,2
require_finance_deposits_approve,require_finance_deposits_approve,require_finance_deposits_approve,True,finance:deposits:approve,app.core.permissions,PERMISSION_MAP,admin_finance|super_admin,2
require_finance_claims_assign,require_finance_claims_assign,require_finance_claims_assign,True,,app.core.permissions,STATIC_ONLY_RUNTIME_EXTENSIBLE,super_admin,2
require_finance_payouts_process,require_finance_payouts_process,require_finance_payouts_process,True,,app.core.permissions,STATIC_ONLY_RUNTIME_EXTENSIBLE,super_admin,2
require_finance_wallets_read,require_finance_wallets_read,require_finance_wallets_read,True,,app.core.permissions,STATIC_ONLY_RUNTIME_EXTENSIBLE,super_admin,2
require_tenant_mutation_field_ops_jobs_assign,require_tenant_mutation_field_ops_jobs_assign,require_tenant_mutation_field_ops_jobs_assign->require_field_ops_jobs_assign,True,field_ops:jobs:assign,app.core.permissions,PERMISSION_MAP,super_admin|tenant_owner,2
require_packages.create,require_packages.create,require_packages.create,True,packages.create,app.core.permissions,PERMISSION_MAP,super_admin,2
require_packages.audit.read,require_packages.audit.read,require_packages.audit.read,True,packages.audit.read,app.core.permissions,PERMISSION_MAP,admin_finance|super_admin,2
require_finance.usage_credits.ledger.read,require_finance.usage_credits.ledger.read,require_finance.usage_credits.ledger.read,True,finance.usage_credits.ledger.read,app.core.permissions,PERMISSION_MAP,admin_finance|admin_readonly|super_admin,2
require_finance.usage_credits.adjust,require_finance.usage_credits.adjust,require_finance.usage_credits.adjust,True,finance.usage_credits.adjust,app.core.permissions,PERMISSION_MAP,admin_finance|super_admin,2
require_settings_seed_defaults,require_settings_seed_defaults,require_settings_seed_defaults,True,settings:seed_defaults,app.core.permissions,PERMISSION_MAP,super_admin,2
require_settings_plan_read,require_settings_plan_read,require_settings_plan_read,True,,app.core.permissions,STATIC_ONLY_RUNTIME_EXTENSIBLE,super_admin,2
require_settings_category_read,require_settings_category_read,require_settings_category_read,True,,app.core.permissions,STATIC_ONLY_RUNTIME_EXTENSIBLE,super_admin,2
require_settings_tenant_overrides_create,require_settings_tenant_overrides_create,require_settings_tenant_overrides_create,True,settings:tenant_overrides:create,app.core.permissions,PERMISSION_MAP,super_admin,2
require_admin_jobs_read,require_admin_jobs_read,require_admin_jobs_read,True,admin:jobs:read,app.core.permissions,PERMISSION_MAP,admin_operations|admin_readonly|super_admin,2
require_tenants.onboarding.read,require_tenants.onboarding.read,require_tenants.onboarding.read,True,tenants.onboarding.read,app.core.permissions,PERMISSION_MAP,admin_operations|super_admin,2
require_tenants.approve,require_tenants.approve,require_tenants.approve,True,tenants.approve,app.core.permissions,PERMISSION_MAP,admin_operations|super_admin,2
require_navigation_menu_read,require_navigation_menu_read,require_navigation_menu_read,True,,app.core.permissions,STATIC_ONLY_RUNTIME_EXTENSIBLE,super_admin,2
require_marketing.posts.update,require_marketing.posts.update,require_marketing.posts.update,True,marketing.posts.update,app.core.permissions,PERMISSION_MAP,super_admin,2
require_marketing.posts.approve,require_marketing.posts.approve,require_marketing.posts.approve,True,marketing.posts.approve,app.core.permissions,PERMISSION_MAP,super_admin,2
require_marketing.posts.schedule,require_marketing.posts.schedule,require_marketing.posts.schedule,True,marketing.posts.schedule,app.core.permissions,PERMISSION_MAP,super_admin,2
require_dashboard.operations.read,require_dashboard.operations.read,require_dashboard.operations.read,True,dashboard.operations.read,app.core.permissions,PERMISSION_MAP,admin_operations|super_admin,2
require_platform_roles_read,require_platform_roles_read,require_platform_roles_read,True,platform:roles:read,app.core.permissions,PERMISSION_MAP,admin_readonly|admin_security|super_admin,2
require_auth_permissions_manage,require_auth_permissions_manage,require_auth_permissions_manage,True,auth:permissions:manage,app.core.permissions,PERMISSION_MAP,super_admin|tenant_owner,1
require_auth_staff_manage,require_auth_staff_manage,require_auth_staff_manage,True,auth:staff:manage,app.core.permissions,PERMISSION_MAP,super_admin|tenant_owner,1
require_staff_manage,require_staff_manage,require_staff_manage,True,staff:manage,app.core.permissions,PERMISSION_MAP,super_admin|tenant_owner,1
require_platform_impersonate,require_platform_impersonate,require_platform_impersonate,True,,app.core.permissions,STATIC_ONLY_RUNTIME_EXTENSIBLE,super_admin,1
require_mfa,require_mfa,require_mfa,True,,app.engines.auth.platform_users_router,STATIC_ONLY_RUNTIME_EXTENSIBLE,super_admin,1
require_tenant_360_read,require_tenant_360_read,require_tenant_360_read,True,,app.core.permissions,STATIC_ONLY_RUNTIME_EXTENSIBLE,super_admin,1
require_tenant_mutation_tenant_suspend,require_tenant_mutation_tenant_suspend,require_tenant_mutation_tenant_suspend->require_tenant_suspend,True,,app.core.permissions,STATIC_ONLY_RUNTIME_EXTENSIBLE,super_admin,1
require_tenant_mutation_tenant_reinstate,require_tenant_mutation_tenant_reinstate,require_tenant_mutation_tenant_reinstate->require_tenant_reinstate,True,,app.core.permissions,STATIC_ONLY_RUNTIME_EXTENSIBLE,super_admin,1
require_tenant_mutation_tenant_billing_manage,require_tenant_mutation_tenant_billing_manage,require_tenant_mutation_tenant_billing_manage->require_tenant_billing_manage,True,tenant:billing:manage,app.core.permissions,PERMISSION_MAP,super_admin|tenant_owner,1
require_tenant_mutation_tenant_data_export,require_tenant_mutation_tenant_data_export,require_tenant_mutation_tenant_data_export->require_tenant_data_export,True,tenant:data:export,app.core.permissions,PERMISSION_MAP,super_admin|tenant_owner,1
require_tenant_data_export,require_tenant_data_export,require_tenant_data_export,True,tenant:data:export,app.core.permissions,PERMISSION_MAP,super_admin|tenant_owner,1
require_tenant_mutation_tenant_data_delete,require_tenant_mutation_tenant_data_delete,require_tenant_mutation_tenant_data_delete->require_tenant_data_delete,True,,app.core.permissions,STATIC_ONLY_RUNTIME_EXTENSIBLE,super_admin,1
require_auth_audit_read,require_auth_audit_read,require_auth_audit_read,True,auth:audit:read,app.core.permissions,PERMISSION_MAP,admin_security|super_admin|tenant_owner,1
require_customer_address_create_own,require_customer_address_create_own,require_customer_address_create_own,True,customer_address:create_own,app.core.permissions,PERMISSION_MAP,customer|super_admin,1
require_customer_address_delete_own,require_customer_address_delete_own,require_customer_address_delete_own,True,customer_address:delete_own,app.core.permissions,PERMISSION_MAP,customer|super_admin,1
require_customers_addresses_read,require_customers_addresses_read,require_customers_addresses_read,True,,app.core.permissions,STATIC_ONLY_RUNTIME_EXTENSIBLE,super_admin,1
require_customer_address_admin_read,require_customer_address_admin_read,require_customer_address_admin_read,True,customer_address:admin_read,app.core.permissions,PERMISSION_MAP,super_admin|tenant_owner,1
require_tenant_mutation_tenant_service_area_delete,require_tenant_mutation_tenant_service_area_delete,require_tenant_mutation_tenant_service_area_delete->require_tenant_service_area_delete,True,tenant_service_area:delete,app.core.permissions,PERMISSION_MAP,super_admin|tenant_owner,1
require_tenant_mutation_tenant_service_area_service_create,require_tenant_mutation_tenant_service_area_service_create,require_tenant_mutation_tenant_service_area_service_create->require_tenant_service_area_service_create,True,tenant_service_area_service:create,app.core.permissions,PERMISSION_MAP,super_admin|tenant_owner,1
require_tenant_service_area_service_read,require_tenant_service_area_service_read,require_tenant_service_area_service_read,True,tenant_service_area_service:read,app.core.permissions,PERMISSION_MAP,super_admin|tenant_owner,1
require_tenant_mutation_tenant_service_area_service_delete,require_tenant_mutation_tenant_service_area_service_delete,require_tenant_mutation_tenant_service_area_service_delete->require_tenant_service_area_service_delete,True,tenant_service_area_service:delete,app.core.permissions,PERMISSION_MAP,super_admin|tenant_owner,1
require_serviceability_check,require_serviceability_check,require_serviceability_check,True,serviceability:check,app.core.permissions,PERMISSION_MAP,customer|super_admin|tenant_owner,1
require_serviceability_matching_tenants_read,require_serviceability_matching_tenants_read,require_serviceability_matching_tenants_read,True,serviceability:matching_tenants:read,app.core.permissions,PERMISSION_MAP,customer|super_admin|tenant_owner,1
require_serviceability_available_services_read,require_serviceability_available_services_read,require_serviceability_available_services_read,True,serviceability:available_services:read,app.core.permissions,PERMISSION_MAP,customer|super_admin,1
require_serviceability_admin_test,require_serviceability_admin_test,require_serviceability_admin_test,True,serviceability:admin_test,app.core.permissions,PERMISSION_MAP,super_admin,1
require_trust_quality_recalculation_jobs_read,require_trust_quality_recalculation_jobs_read,require_trust_quality_recalculation_jobs_read,True,trust_quality:recalculation_jobs:read,app.core.permissions,PERMISSION_MAP,super_admin,1
require_trust_quality_read,require_trust_quality_read,require_trust_quality_read,True,trust_quality:read,app.core.permissions,PERMISSION_MAP,super_admin,1
require_notifications.templates.create,require_notifications.templates.create,require_notifications.templates.create,True,notifications.templates.create,app.core.permissions,PERMISSION_MAP,super_admin,1
require_notifications.templates.update,require_notifications.templates.update,require_notifications.templates.update,True,notifications.templates.update,app.core.permissions,PERMISSION_MAP,super_admin,1
require_notifications.templates.archive,require_notifications.templates.archive,require_notifications.templates.archive,True,notifications.templates.archive,app.core.permissions,PERMISSION_MAP,super_admin,1
require_notifications.templates.delete,require_notifications.templates.delete,require_notifications.templates.delete,True,notifications.templates.delete,app.core.permissions,PERMISSION_MAP,super_admin,1
require_notifications.templates.clone,require_notifications.templates.clone,require_notifications.templates.clone,True,notifications.templates.clone,app.core.permissions,PERMISSION_MAP,super_admin,1
require_notifications.templates.override,require_notifications.templates.override,require_notifications.templates.override,True,notifications.templates.override,app.core.permissions,PERMISSION_MAP,super_admin,1
require_notifications.templates.test_send,require_notifications.templates.test_send,require_notifications.templates.test_send,True,notifications.templates.test_send,app.core.permissions,PERMISSION_MAP,super_admin,1
require_notifications.templates.version.rollback,require_notifications.templates.version.rollback,require_notifications.templates.version.rollback,True,notifications.templates.version.rollback,app.core.permissions,PERMISSION_MAP,super_admin,1
require_notifications.templates.analytics.read,require_notifications.templates.analytics.read,require_notifications.templates.analytics.read,True,notifications.templates.analytics.read,app.core.permissions,PERMISSION_MAP,super_admin,1
require_finance_settlements_create,require_finance_settlements_create,require_finance_settlements_create,True,,app.core.permissions,STATIC_ONLY_RUNTIME_EXTENSIBLE,super_admin,1
require_finance_settlements_approve,require_finance_settlements_approve,require_finance_settlements_approve,True,,app.core.permissions,STATIC_ONLY_RUNTIME_EXTENSIBLE,super_admin,1
require_finance_settlements_execute,require_finance_settlements_execute,require_finance_settlements_execute,True,,app.core.permissions,STATIC_ONLY_RUNTIME_EXTENSIBLE,super_admin,1
require_finance_settlements_cancel,require_finance_settlements_cancel,require_finance_settlements_cancel,True,,app.core.permissions,STATIC_ONLY_RUNTIME_EXTENSIBLE,super_admin,1
require_finance_credits_create,require_finance_credits_create,require_finance_credits_create,True,,app.core.permissions,STATIC_ONLY_RUNTIME_EXTENSIBLE,super_admin,1
require_finance_credits_cancel,require_finance_credits_cancel,require_finance_credits_cancel,True,,app.core.permissions,STATIC_ONLY_RUNTIME_EXTENSIBLE,super_admin,1
require_finance_credits_extend,require_finance_credits_extend,require_finance_credits_extend,True,,app.core.permissions,STATIC_ONLY_RUNTIME_EXTENSIBLE,super_admin,1
require_security_threats_resolve,require_security_threats_resolve,require_security_threats_resolve,True,security:threats:resolve,app.core.permissions,PERMISSION_MAP,admin_security|super_admin,1
require_security_threats_block_ip,require_security_threats_block_ip,require_security_threats_block_ip,True,security:threats:block_ip,app.core.permissions,PERMISSION_MAP,admin_security|super_admin,1
require_security_ip_blocklist_create,require_security_ip_blocklist_create,require_security_ip_blocklist_create,True,security:ip_blocklist:create,app.core.permissions,PERMISSION_MAP,admin_security|super_admin,1
require_security_ip_blocklist_update,require_security_ip_blocklist_update,require_security_ip_blocklist_update,True,security:ip_blocklist:update,app.core.permissions,PERMISSION_MAP,admin_security|super_admin,1
