method,path,endpoint,repository_module,module,guard_status,mounted,canonical_row,primary_gap,secondary_gaps,provenance
POST,/v1/media/{media_id}/replace,replace_media,app.engines.media.new_router,N01_media_assets,AUTHENTICATED_ONLY_NO_PERMISSION_CHECK,yes,present (1),no permission or role gate (authenticated-only),object addressed by id (ownership proof required),2F-26/earlier
POST,/v1/me/profile-photo,upload_my_profile_photo,app.engines.media.new_router,N01_media_assets,AUTHENTICATED_ONLY_NO_PERMISSION_CHECK,yes,present (1),no permission or role gate (authenticated-only),,2F-26/earlier
PUT,/v1/me/profile,update_my_profile,app.engines.profile.router,N03_profile_self_service,AUTHENTICATED_ONLY_NO_PERMISSION_CHECK,yes,present (1),no permission or role gate (authenticated-only),,2F-26/earlier
GET,/v1/commerce/tenants/{tenant_id}/deposit,get_deposit,app.engines.platform_commerce.router,N05_security_deposit,PERMISSION_ONLY_NOT_SCOPE_AWARE,yes,present (1),permission gate without access-scope / object-ownership,client-asserted tenant in path; mutating GET (lazy create),2F-26/earlier
POST,/v1/commerce/tenants/{tenant_id}/deposit/initiate,initiate_deposit,app.engines.platform_commerce.router,N05_security_deposit,PERMISSION_ONLY_NOT_SCOPE_AWARE,yes,present (1),permission gate without access-scope / object-ownership,client-asserted tenant in path,2F-26/earlier
GET,/v1/commerce/tenants/{tenant_id}/deposit/transactions,get_deposit_transactions,app.engines.platform_commerce.router,N05_security_deposit,PERMISSION_ONLY_NOT_SCOPE_AWARE,yes,present (1),permission gate without access-scope / object-ownership,client-asserted tenant in path; mutating GET (lazy create),2F-26/earlier
POST,/v1/enterprise/saved-views,create_saved_view,app.engines.enterprise_grid.router,N02_enterprise_grid_views,AUTHENTICATED_ONLY_NO_PERMISSION_CHECK,yes,present (1),no permission or role gate (authenticated-only),,2F-26/earlier
PUT,/v1/enterprise/saved-views/{view_id},update_saved_view,app.engines.enterprise_grid.router,N02_enterprise_grid_views,AUTHENTICATED_ONLY_NO_PERMISSION_CHECK,yes,present (1),no permission or role gate (authenticated-only),object addressed by id (ownership proof required),2F-26/earlier
DELETE,/v1/enterprise/saved-views/{view_id},delete_saved_view,app.engines.enterprise_grid.router,N02_enterprise_grid_views,AUTHENTICATED_ONLY_NO_PERMISSION_CHECK,yes,present (1),no permission or role gate (authenticated-only),object addressed by id (ownership proof required); destructive delete,2F-26/earlier
POST,/v1/enterprise/saved-views/{view_id}/set-default,set_default_view,app.engines.enterprise_grid.router,N02_enterprise_grid_views,AUTHENTICATED_ONLY_NO_PERMISSION_CHECK,yes,present (1),no permission or role gate (authenticated-only),object addressed by id (ownership proof required),2F-26/earlier
PUT,/v1/enterprise/column-preferences,save_column_preferences,app.engines.enterprise_grid.router,N02_enterprise_grid_views,AUTHENTICATED_ONLY_NO_PERMISSION_CHECK,yes,present (1),no permission or role gate (authenticated-only),,2F-26/earlier
POST,/v1/enterprise/exports,create_export,app.engines.enterprise_grid.router,N02_enterprise_grid_views,AUTHENTICATED_ONLY_NO_PERMISSION_CHECK,yes,present (1),no permission or role gate (authenticated-only),,2F-26/earlier
DELETE,/v1/webhooks/endpoints/{endpoint_id},delete_endpoint,app.engines.webhook.router,N09_webhook_integration,PERMISSION_ONLY_NOT_SCOPE_AWARE,yes,present (1),permission gate without access-scope / object-ownership,object addressed by id (ownership proof required); destructive delete,2F-27A
DELETE,/v1/geo/zones/{zone_id},delete_zone,app.engines.geo.router,N10_geo_zones,PERMISSION_ONLY_NOT_SCOPE_AWARE,yes,present (1),permission gate without access-scope / object-ownership,object addressed by id (ownership proof required); destructive delete,2F-27A
