method,path,held_module,related_canonical_module,shares_boundary,mandatory_before_closure,safely_deferrable
PUT,/v1/notifications/tenants/{tenant_id}/channels/{channel},notifications,no canonical module in the 33-route queue,no,no,yes
POST,/v1/media/upload/initiate,media,N01_media_assets,yes,yes,no
POST,/v1/media/upload/{session_id}/confirm,media,N01_media_assets,yes,yes,no
DELETE,/v1/media/tenants/{tenant_id}/files/{file_id},media,N01_media_assets,yes,yes,no
POST,/v1/pricing/tenants/{tenant_id}/prices/set,pricing,no canonical module in the 33-route queue,no,no,yes
PUT,/v1/pricing/tenants/{tenant_id}/brand-adjustment,pricing,no canonical module in the 33-route queue,no,no,yes
POST,/v1/pricing/tenants/{tenant_id}/zones,pricing,no canonical module in the 33-route queue,no,no,yes
PUT,/v1/pricing/tenants/{tenant_id}/zones/{zone_id},pricing,no canonical module in the 33-route queue,no,no,yes
DELETE,/v1/pricing/tenants/{tenant_id}/zones/{zone_id},pricing,no canonical module in the 33-route queue,no,no,yes
POST,/v1/pricing/tenants/{tenant_id}/rules,pricing,no canonical module in the 33-route queue,no,no,yes
PUT,/v1/pricing/tenants/{tenant_id}/rules/{rule_id},pricing,no canonical module in the 33-route queue,no,no,yes
DELETE,/v1/pricing/tenants/{tenant_id}/rules/{rule_id},pricing,no canonical module in the 33-route queue,no,no,yes
POST,/v1/pricing/compute,pricing,no canonical module in the 33-route queue,no,no,yes
POST,/v1/commerce/tenants/{tenant_id}/deposit/admin-adjust,commerce,N05_security_deposit,yes,yes,no
POST,/v1/commerce/tenants/{tenant_id}/wallet/purchase/initiate,commerce,N05_security_deposit,yes,yes,no
POST,/v1/commerce/warranty/claims,commerce,N05_security_deposit,yes,yes,no
POST,/v1/commerce/tenants/{tenant_id}/badges/recalculate,commerce,N05_security_deposit,yes,yes,no
