method,path,operation_id,requires_auth,primary_tag,summary
GET,/v1/admin/bulk-setup/available-pricing-templates,get_available_pricing_templates_v1_admin_bulk_setup_available_pricing_templates_get,True,Admin Bulk Setup Wizard,Get Available Pricing Templates
GET,/v1/admin/bulk-setup/available-service-options,get_available_service_options_v1_admin_bulk_setup_available_service_options_get,True,Admin Bulk Setup Wizard,Get Available Service Options
GET,/v1/admin/bulk-setup/available-services,get_available_services_v1_admin_bulk_setup_available_services_get,True,Admin Bulk Setup Wizard,Get Available Services
GET,/v1/admin/bulk-setup/available-templates,get_available_templates_v1_admin_bulk_setup_available_templates_get,True,Admin Bulk Setup Wizard,Get Available Templates
GET,/v1/admin/bulk-setup/available-workflow-templates,get_available_workflow_templates_v1_admin_bulk_setup_available_workflow_templates_get,True,Admin Bulk Setup Wizard,Get Available Workflow Templates
POST,/v1/admin/bulk-setup/drafts,create_draft_v1_admin_bulk_setup_drafts_post,True,Admin Bulk Setup Wizard,Create Draft
GET,/v1/admin/bulk-setup/drafts,list_drafts_v1_admin_bulk_setup_drafts_get,True,Admin Bulk Setup Wizard,List Drafts
GET,/v1/admin/bulk-setup/drafts/{draft_id},get_draft_v1_admin_bulk_setup_drafts__draft_id__get,True,Admin Bulk Setup Wizard,Get Draft
PUT,/v1/admin/bulk-setup/drafts/{draft_id},update_draft_v1_admin_bulk_setup_drafts__draft_id__put,True,Admin Bulk Setup Wizard,Update Draft
DELETE,/v1/admin/bulk-setup/drafts/{draft_id},delete_draft_v1_admin_bulk_setup_drafts__draft_id__delete,True,Admin Bulk Setup Wizard,Delete Draft
POST,/v1/admin/bulk-setup/drafts/{draft_id}/apply,apply_draft_v1_admin_bulk_setup_drafts__draft_id__apply_post,True,Admin Bulk Setup Wizard,Apply Draft
POST,/v1/admin/bulk-setup/drafts/{draft_id}/brand-mappings,set_brand_mappings_v1_admin_bulk_setup_drafts__draft_id__brand_mappings_post,True,Admin Bulk Setup Wizard,Set Brand Mappings
POST,/v1/admin/bulk-setup/drafts/{draft_id}/category,set_category_v1_admin_bulk_setup_drafts__draft_id__category_post,True,Admin Bulk Setup Wizard,Set Category
POST,/v1/admin/bulk-setup/drafts/{draft_id}/checklist-mappings,set_checklist_mappings_v1_admin_bulk_setup_drafts__draft_id__checklist_mappings_post,True,Admin Bulk Setup Wizard,Set Checklist Mappings
POST,/v1/admin/bulk-setup/drafts/{draft_id}/commission-mappings,set_commission_mappings_v1_admin_bulk_setup_drafts__draft_id__commission_mappings_post,True,Admin Bulk Setup Wizard,Set Commission Mappings
POST,/v1/admin/bulk-setup/drafts/{draft_id}/document-mappings,set_document_mappings_v1_admin_bulk_setup_drafts__draft_id__document_mappings_post,True,Admin Bulk Setup Wizard,Set Document Mappings
POST,/v1/admin/bulk-setup/drafts/{draft_id}/issue-mappings,set_issue_mappings_v1_admin_bulk_setup_drafts__draft_id__issue_mappings_post,True,Admin Bulk Setup Wizard,Set Issue Mappings
POST,/v1/admin/bulk-setup/drafts/{draft_id}/option-mappings,set_option_mappings_v1_admin_bulk_setup_drafts__draft_id__option_mappings_post,True,Admin Bulk Setup Wizard,Set Option Mappings
POST,/v1/admin/bulk-setup/drafts/{draft_id}/preview,preview_draft_v1_admin_bulk_setup_drafts__draft_id__preview_post,True,Admin Bulk Setup Wizard,Preview Draft
POST,/v1/admin/bulk-setup/drafts/{draft_id}/pricing-mappings,set_pricing_mappings_v1_admin_bulk_setup_drafts__draft_id__pricing_mappings_post,True,Admin Bulk Setup Wizard,Set Pricing Mappings
POST,/v1/admin/bulk-setup/drafts/{draft_id}/recommendations,bulk_setup_draft_recommendations_v1_admin_bulk_setup_drafts__draft_id__recommendations_post,True,Admin Bulk Setup Recommendations,Get recommendations for bulk setup draft
GET,/v1/admin/bulk-setup/drafts/{draft_id}/review,review_draft_v1_admin_bulk_setup_drafts__draft_id__review_get,True,Admin Bulk Setup Wizard,Review Draft
POST,/v1/admin/bulk-setup/drafts/{draft_id}/services,set_services_v1_admin_bulk_setup_drafts__draft_id__services_post,True,Admin Bulk Setup Wizard,Set Services
POST,/v1/admin/bulk-setup/drafts/{draft_id}/templates,set_templates_v1_admin_bulk_setup_drafts__draft_id__templates_post,True,Admin Bulk Setup Wizard,Set Templates
POST,/v1/admin/bulk-setup/drafts/{draft_id}/validate,validate_draft_v1_admin_bulk_setup_drafts__draft_id__validate_post,True,Admin Bulk Setup Wizard,Validate Draft
POST,/v1/admin/bulk-setup/drafts/{draft_id}/workflow-mappings,set_workflow_mappings_v1_admin_bulk_setup_drafts__draft_id__workflow_mappings_post,True,Admin Bulk Setup Wizard,Set Workflow Mappings
GET,/v1/admin/bulk-setup/runs,list_runs_v1_admin_bulk_setup_runs_get,True,Admin Bulk Setup Wizard,List Runs
GET,/v1/admin/bulk-setup/runs/{run_id},get_run_v1_admin_bulk_setup_runs__run_id__get,True,Admin Bulk Setup Wizard,Get Run
GET,/v1/admin/catalog/brand-mappings,list_brand_mappings_v1_admin_catalog_brand_mappings_get,True,Catalog Enterprise,List brand mappings
POST,/v1/admin/catalog/brand-mappings,create_brand_mapping_v1_admin_catalog_brand_mappings_post,True,Catalog Enterprise,Create brand mapping
GET,/v1/admin/catalog/brand-mappings/export,export_brand_mappings_v1_admin_catalog_brand_mappings_export_get,True,Catalog Enterprise,Export all brand mappings
PUT,/v1/admin/catalog/brand-mappings/{mapping_id},update_brand_mapping_v1_admin_catalog_brand_mappings__mapping_id__put,True,Catalog Enterprise,Update brand mapping
DELETE,/v1/admin/catalog/brand-mappings/{mapping_id},delete_brand_mapping_v1_admin_catalog_brand_mappings__mapping_id__delete,True,Catalog Enterprise,Archive / remove brand mapping
GET,/v1/admin/catalog/brands/summary,brand_summary_v1_admin_catalog_brands_summary_get,True,Catalog Enterprise,Brand master summary counts
GET,/v1/admin/catalog/categories/options,category_options_v1_admin_catalog_categories_options_get,True,Admin Catalog,Searchable category options for dropdowns
GET,/v1/admin/catalog/modules,list_modules_v1_admin_catalog_modules_get,True,admin-catalog-modules,List Modules
GET,/v1/admin/catalog/navigation/effective-menu,get_effective_menu_v1_admin_catalog_navigation_effective_menu_get,True,admin-catalog-modules,Get Effective Menu
GET,/v1/admin/catalog/type-mappings,list_type_mappings_v1_admin_catalog_type_mappings_get,True,Catalog Enterprise,List type mappings
POST,/v1/admin/catalog/type-mappings,create_type_mapping_v1_admin_catalog_type_mappings_post,True,Catalog Enterprise,Create type mapping
GET,/v1/admin/catalog/type-mappings/export,export_type_mappings_v1_admin_catalog_type_mappings_export_get,True,Catalog Enterprise,Export all type mappings
PUT,/v1/admin/catalog/type-mappings/{mapping_id},update_type_mapping_v1_admin_catalog_type_mappings__mapping_id__put,True,Catalog Enterprise,Update type mapping
DELETE,/v1/admin/catalog/type-mappings/{mapping_id},delete_type_mapping_v1_admin_catalog_type_mappings__mapping_id__delete,True,Catalog Enterprise,Archive / remove type mapping
GET,/v1/admin/catalog/types,list_types_v1_admin_catalog_types_get,True,Catalog Enterprise,List service types
POST,/v1/admin/catalog/types,create_type_v1_admin_catalog_types_post,True,Catalog Enterprise,Create service type
GET,/v1/admin/catalog/types/export,export_types_v1_admin_catalog_types_export_get,True,Catalog Enterprise,Export all service types as list
GET,/v1/admin/catalog/types/summary,types_summary_v1_admin_catalog_types_summary_get,True,Catalog Enterprise,Service types summary counts
GET,/v1/admin/catalog/types/{type_id},get_type_v1_admin_catalog_types__type_id__get,True,Catalog Enterprise,Get service type detail
PUT,/v1/admin/catalog/types/{type_id},update_type_v1_admin_catalog_types__type_id__put,True,Catalog Enterprise,Update service type
POST,/v1/admin/catalog/types/{type_id}/activate,activate_type_v1_admin_catalog_types__type_id__activate_post,True,Catalog Enterprise,Activate service type
POST,/v1/admin/catalog/types/{type_id}/archive,archive_type_v1_admin_catalog_types__type_id__archive_post,True,Catalog Enterprise,Archive service type
POST,/v1/admin/catalog/types/{type_id}/deactivate,deactivate_type_v1_admin_catalog_types__type_id__deactivate_post,True,Catalog Enterprise,Deactivate service type
GET,/v1/admin/categories,list_categories_v1_admin_categories_get,True,Category Runtime,"List categories with filters, linked counts, and readiness"
GET,/v1/admin/categories/export,export_categories_v1_admin_categories_export_get,True,Category Runtime,Export categories as CSV
GET,/v1/admin/categories/summary,get_categories_summary_v1_admin_categories_summary_get,True,Category Runtime,Category summary cards
GET,/v1/admin/categories/{category_id},get_category_v1_admin_categories__category_id__get,True,Category Runtime,Get category with runtime config
PUT,/v1/admin/categories/{category_id},update_category_v1_admin_categories__category_id__put,True,Category Runtime,Update category (runtime fields)
POST,/v1/admin/categories/{category_id}/activate,activate_category_v1_admin_categories__category_id__activate_post,True,Category Runtime,Activate category
GET,/v1/admin/categories/{category_id}/customer-flow,get_customer_flow_config_v1_admin_categories__category_id__customer_flow_get,True,Admin Customer Flow Config,Get customer flow config for a category
PUT,/v1/admin/categories/{category_id}/customer-flow,upsert_customer_flow_config_v1_admin_categories__category_id__customer_flow_put,True,Admin Customer Flow Config,Create or update customer flow config
POST,/v1/admin/categories/{category_id}/customer-flow/activate,activate_customer_flow_config_v1_admin_categories__category_id__customer_flow_activate_post,True,Admin Customer Flow Config,Activate customer flow config
POST,/v1/admin/categories/{category_id}/customer-flow/deactivate,deactivate_customer_flow_config_v1_admin_categories__category_id__customer_flow_deactivate_post,True,Admin Customer Flow Config,Deactivate customer flow config
GET,/v1/admin/categories/{category_id}/dashboard-modules,list_dashboard_modules_v1_admin_categories__category_id__dashboard_modules_get,True,Category Runtime,List dashboard modules
POST,/v1/admin/categories/{category_id}/dashboard-modules,create_dashboard_module_v1_admin_categories__category_id__dashboard_modules_post,True,Category Runtime,Create dashboard module
POST,/v1/admin/categories/{category_id}/dashboard-modules/reorder,reorder_modules_v1_admin_categories__category_id__dashboard_modules_reorder_post,True,Category Runtime,Reorder modules
PUT,/v1/admin/categories/{category_id}/dashboard-modules/{module_id},update_dashboard_module_v1_admin_categories__category_id__dashboard_modules__module_id__put,True,Category Runtime,Update dashboard module
POST,/v1/admin/categories/{category_id}/dashboard-modules/{module_id}/disable,disable_module_v1_admin_categories__category_id__dashboard_modules__module_id__disable_post,True,Category Runtime,Disable module
