method,path,endpoint,module,behaviour,db_writes,external_effects,audit_effects
POST,/v1/admin/platform-users/{user_id}/generate-temp-password,generate_temp_password,app.engines.auth.platform_users_router,DATABASE_MUTATION,add,,_audit|record_platform_audit
GET,/v1/admin/platform-users/{user_id}/sessions,list_sessions,app.engines.auth.platform_users_router,MUTATING_GET,add,,_audit|record_platform_audit
POST,/v1/admin/platform-users/{user_id}/sessions/{session_id}/revoke,revoke_session,app.engines.auth.platform_users_router,DATABASE_MUTATION,add,,_audit|record_platform_audit
POST,/v1/admin/platform-users/{user_id}/sessions/revoke-all,revoke_all_sessions,app.engines.auth.platform_users_router,DATABASE_MUTATION,add,,_audit|record_platform_audit
GET,/v1/admin/platform-users/{user_id}/login-history,login_history,app.engines.auth.platform_users_router,MUTATING_GET,add,,_audit|record_platform_audit
GET,/v1/admin/platform-users/{user_id}/risk-signals,risk_signals,app.engines.auth.platform_users_router,READ_ONLY,,,
GET,/v1/admin/platform-users/{user_id}/audit-logs,user_audit_logs,app.engines.auth.platform_users_router,READ_ONLY,,,
GET,/v1/tenants/meta,engine_meta,app.engines.tenant_engine.router,HEALTH_OR_DIAGNOSTIC,,,
POST,/v1/tenants/onboarding/signup,submit_signup,app.engines.tenant_engine.router,DATABASE_MUTATION,add|flush,,
GET,/v1/tenants/onboarding/queue,list_onboarding_queue,app.engines.tenant_engine.router,READ_ONLY,,,
GET,/v1/tenants/onboarding/{request_id},get_onboarding_request,app.engines.tenant_engine.router,READ_ONLY,,,
POST,/v1/tenants/onboarding/{request_id}/start-review,start_review,app.engines.tenant_engine.router,READ_ONLY_POST,,,
POST,/v1/tenants/onboarding/{request_id}/request-documents,request_documents,app.engines.tenant_engine.router,READ_ONLY_POST,,,
PUT,/v1/tenants/onboarding/{request_id}/checklist/{item_key},update_checklist,app.engines.tenant_engine.router,DATABASE_MUTATION,raw_sql,,
POST,/v1/tenants/onboarding/{request_id}/preflight-check,preflight_check,app.engines.tenant_engine.router,READ_ONLY_POST,,,
POST,/v1/tenants/onboarding/{request_id}/activate,activate_tenant,app.engines.tenant_engine.router,DATABASE_MUTATION,add|flush,,_audit|record_platform_audit
POST,/v1/tenants/onboarding/{request_id}/reject,reject_onboarding,app.engines.tenant_engine.router,READ_ONLY_POST,,,
GET,/v1/tenants,list_tenants,app.engines.tenant_engine.router,READ_ONLY,,,
GET,/v1/tenants/{tenant_id},get_tenant,app.engines.tenant_engine.router,READ_ONLY,,,
PUT,/v1/tenants/{tenant_id},update_tenant,app.engines.tenant_engine.router,DATABASE_MUTATION,add|raw_sql,,_audit|record_platform_audit
GET,/v1/tenants/{tenant_id}/360,get_360_view,app.engines.tenant_engine.router,READ_ONLY,,,
GET,/v1/tenants/{tenant_id}/health,get_health_score,app.engines.tenant_engine.router,HEALTH_OR_DIAGNOSTIC,,,
GET,/v1/tenants/{tenant_id}/health/history,get_health_history,app.engines.tenant_engine.router,HEALTH_OR_DIAGNOSTIC,,,
GET,/v1/tenants/{tenant_id}/limits/check/{limit_type},check_limit,app.engines.tenant_engine.router,READ_ONLY,,,
POST,/v1/tenants/{tenant_id}/suspend,suspend_tenant,app.engines.tenant_engine.router,DATABASE_AND_EXTERNAL_MUTATION,add,publish,_audit|record_platform_audit
POST,/v1/tenants/{tenant_id}/reinstate,reinstate_tenant,app.engines.tenant_engine.router,DATABASE_MUTATION,add,,_audit|record_platform_audit
POST,/v1/tenants/{tenant_id}/terminate/begin,begin_termination,app.engines.tenant_engine.router,DATABASE_MUTATION,add,,_audit|record_platform_audit
POST,/v1/tenants/{tenant_id}/terminate/confirm,confirm_termination,app.engines.tenant_engine.router,DATABASE_MUTATION,add,,_audit|record_platform_audit
POST,/v1/tenants/{tenant_id}/plan/upgrade,upgrade_plan,app.engines.tenant_engine.router,DATABASE_MUTATION,add,,_audit|record_platform_audit
POST,/v1/tenants/{tenant_id}/plan/downgrade,downgrade_plan,app.engines.tenant_engine.router,DATABASE_MUTATION,add,,_audit|record_platform_audit
POST,/v1/tenants/{tenant_id}/trial/convert,convert_trial,app.engines.tenant_engine.router,DATABASE_MUTATION,add,,_audit|record_platform_audit
GET,/v1/tenants/{tenant_id}/engines,list_engines,app.engines.tenant_engine.router,READ_ONLY,,,
POST,/v1/tenants/{tenant_id}/engines/{engine_id}/enable,enable_engine,app.engines.tenant_engine.router,DATABASE_MUTATION,add,,_audit|record_platform_audit
POST,/v1/tenants/{tenant_id}/engines/{engine_id}/disable,disable_engine,app.engines.tenant_engine.router,DATABASE_MUTATION,add,,_audit|record_platform_audit
POST,/v1/tenants/{tenant_id}/engines/bulk-enable,bulk_enable,app.engines.tenant_engine.router,DATABASE_MUTATION,add,,_audit
POST,/v1/tenants/{tenant_id}/engines/bulk-disable,bulk_disable,app.engines.tenant_engine.router,DATABASE_MUTATION,,,_audit
GET,/v1/tenants/{tenant_id}/engines/{engine_id}/config,get_engine_config,app.engines.tenant_engine.router,READ_ONLY,,,
PUT,/v1/tenants/{tenant_id}/engines/{engine_id}/config,update_engine_config,app.engines.tenant_engine.router,DATABASE_MUTATION,add|raw_sql,,_audit|record_platform_audit
POST,/v1/tenants/{tenant_id}/engines/{engine_id}/config/validate,validate_engine_config,app.engines.tenant_engine.router,READ_ONLY_POST,,,
GET,/v1/tenants/{tenant_id}/feature-flags,list_feature_flags,app.engines.tenant_engine.router,READ_ONLY,,,
PUT,/v1/tenants/{tenant_id}/feature-flags/{flag_key},set_feature_flag,app.engines.tenant_engine.router,DATABASE_MUTATION,add,,_audit|record_platform_audit
DELETE,/v1/tenants/{tenant_id}/feature-flags/{flag_key},delete_feature_flag,app.engines.tenant_engine.router,DATABASE_MUTATION,add|delete,,_audit|record_platform_audit
GET,/v1/tenants/{tenant_id}/feature-flags/{flag_key}/resolve,resolve_feature_flag,app.engines.tenant_engine.router,READ_ONLY,,,
GET,/v1/tenants/{tenant_id}/billing,get_billing,app.engines.tenant_engine.router,READ_ONLY,,,
PUT,/v1/tenants/{tenant_id}/billing/payment-method,update_payment_method,app.engines.tenant_engine.router,DATABASE_MUTATION,add|raw_sql,,_audit|record_platform_audit
GET,/v1/tenants/{tenant_id}/billing/invoices,list_invoices,app.engines.tenant_engine.router,READ_ONLY,,,
POST,/v1/tenants/{tenant_id}/billing/dunning,trigger_dunning,app.engines.tenant_engine.router,READ_ONLY_POST,,,
POST,/v1/tenants/{tenant_id}/data/export,request_data_export,app.engines.tenant_engine.router,DATABASE_MUTATION,add,,_audit|record_platform_audit
GET,/v1/tenants/{tenant_id}/data/export/{job_id},get_export_status,app.engines.tenant_engine.router,READ_ONLY,,,
POST,/v1/tenants/{tenant_id}/data/delete-request,gdpr_deletion,app.engines.tenant_engine.router,DATABASE_MUTATION,add,,_audit|record_platform_audit
GET,/v1/tenants/{tenant_id}/audit-log,get_audit_log,app.engines.tenant_engine.router,READ_ONLY,,,
GET,/v1/serviceability/meta,engine_meta,app.engines.serviceability.router,HEALTH_OR_DIAGNOSTIC,,,
GET,/v1/customers/me/addresses,list_my_addresses,app.engines.serviceability.router,READ_ONLY,,,
POST,/v1/customers/me/addresses,create_my_address,app.engines.serviceability.router,DATABASE_MUTATION,add|commit,,
GET,/v1/customers/me/addresses/{address_id},get_my_address,app.engines.serviceability.router,READ_ONLY,,,
PUT,/v1/customers/me/addresses/{address_id},update_my_address,app.engines.serviceability.router,DATABASE_MUTATION,commit|raw_sql,,
DELETE,/v1/customers/me/addresses/{address_id},delete_my_address,app.engines.serviceability.router,DATABASE_MUTATION,commit,,
POST,/v1/customers/me/addresses/{address_id}/set-default,set_default_address,app.engines.serviceability.router,DATABASE_MUTATION,commit,,
GET,/v1/admin/customers/{customer_id}/addresses,admin_list_customer_addresses,app.engines.serviceability.router,READ_ONLY,,,
GET,/v1/admin/customers/{customer_id}/addresses/{address_id},admin_get_customer_address,app.engines.serviceability.router,READ_ONLY,,,
GET,/v1/tenant/service-areas,list_tenant_service_areas,app.engines.serviceability.router,READ_ONLY,,,
POST,/v1/tenant/service-areas,create_tenant_service_area,app.engines.serviceability.router,DATABASE_MUTATION,add|commit|flush,,record_platform_audit
GET,/v1/tenant/service-areas/limits,get_tenant_service_area_limits,app.engines.serviceability.router,READ_ONLY,,,
POST,/v1/tenant/service-areas/validate,validate_tenant_service_area,app.engines.serviceability.router,READ_ONLY_POST,,,
GET,/v1/tenant/service-areas/{area_id},get_tenant_service_area,app.engines.serviceability.router,READ_ONLY,,,
PUT,/v1/tenant/service-areas/{area_id},update_tenant_service_area,app.engines.serviceability.router,DATABASE_MUTATION,commit|flush|raw_sql,,record_platform_audit
DELETE,/v1/tenant/service-areas/{area_id},delete_tenant_service_area,app.engines.serviceability.router,DATABASE_MUTATION,commit|flush,,record_platform_audit
POST,/v1/tenant/service-areas/{area_id}/set-primary,set_primary_tenant_service_area,app.engines.serviceability.router,DATABASE_MUTATION,commit,,
POST,/v1/tenant/service-areas/{area_id}/services,add_service_mapping,app.engines.serviceability.router,DATABASE_MUTATION,add|commit,,
GET,/v1/tenant/service-areas/{area_id}/services,list_service_mappings,app.engines.serviceability.router,READ_ONLY,,,
PUT,/v1/tenant/service-areas/{area_id}/services/{mapping_id},update_service_mapping,app.engines.serviceability.router,DATABASE_MUTATION,commit|raw_sql,,
DELETE,/v1/tenant/service-areas/{area_id}/services/{mapping_id},delete_service_mapping,app.engines.serviceability.router,DATABASE_MUTATION,commit,,
GET,/v1/admin/tenants/{tenant_id}/service-areas,admin_list_service_areas,app.engines.serviceability.router,READ_ONLY,,,
POST,/v1/admin/tenants/{tenant_id}/service-areas,admin_create_service_area,app.engines.serviceability.router,DATABASE_MUTATION,add|commit|flush,,record_platform_audit
PUT,/v1/admin/tenants/{tenant_id}/service-areas/{area_id},admin_update_service_area,app.engines.serviceability.router,DATABASE_MUTATION,commit|flush|raw_sql,,record_platform_audit
DELETE,/v1/admin/tenants/{tenant_id}/service-areas/{area_id},admin_delete_service_area,app.engines.serviceability.router,DATABASE_MUTATION,commit|flush,,record_platform_audit
POST,/v1/serviceability/check,check_serviceability,app.engines.serviceability.router,DATABASE_MUTATION,add|commit,,
POST,/v1/serviceability/matching-tenants,matching_tenants,app.engines.serviceability.router,READ_ONLY_POST,,,
POST,/v1/customer/services/available,available_services,app.engines.serviceability.router,READ_ONLY_POST,,,
POST,/v1/admin/serviceability/test,admin_serviceability_test,app.engines.serviceability.router,READ_ONLY_POST,,,
GET,/v1/marketing/meta,engine_meta,app.engines.marketing.router,HEALTH_OR_DIAGNOSTIC,,,
POST,/v1/marketing/accounts,connect_account,app.engines.marketing.router,DATABASE_MUTATION,add|flush,,
GET,/v1/marketing/accounts,list_accounts,app.engines.marketing.router,READ_ONLY,,,
GET,/v1/marketing/accounts/{account_id},get_account,app.engines.marketing.router,READ_ONLY,,,
POST,/v1/marketing/accounts/{account_id}/refresh-token,refresh_token,app.engines.marketing.router,DATABASE_MUTATION,raw_sql,,
POST,/v1/marketing/templates,create_template,app.engines.marketing.router,DATABASE_MUTATION,add|flush,,
GET,/v1/marketing/templates,list_templates,app.engines.marketing.router,READ_ONLY,,,
GET,/v1/marketing/templates/{template_id},get_template,app.engines.marketing.router,READ_ONLY,,,
POST,/v1/marketing/images/generate,generate_image,app.engines.marketing.router,DATABASE_MUTATION,add|flush,,
GET,/v1/marketing/images/{asset_id},get_asset,app.engines.marketing.router,READ_ONLY,,,
GET,/v1/marketing/images,list_assets,app.engines.marketing.router,READ_ONLY,,,
POST,/v1/marketing/posts,schedule_post,app.engines.marketing.router,DATABASE_MUTATION,add|flush,,
GET,/v1/marketing/calendar,get_calendar,app.engines.marketing.router,READ_ONLY,,,
POST,/v1/marketing/posts/{post_id}/publish,publish_post,app.engines.marketing.router,DATABASE_MUTATION,add|flush,,
POST,/v1/marketing/posts/{post_id}/cancel,cancel_post,app.engines.marketing.router,READ_ONLY_POST,,,
GET,/v1/marketing/deliveries,list_deliveries,app.engines.marketing.router,READ_ONLY,,,
GET,/v1/marketing/budget,budget_status,app.engines.marketing.router,READ_ONLY,,,
GET,/v1/marketing/summary,marketing_summary,app.engines.marketing.router,READ_ONLY,,,
POST,/v1/marketing/tenant-onboarded,tenant_onboarded,app.engines.marketing.router,DATABASE_MUTATION,add|flush,,
GET,/v1/billing/meta,engine_meta,app.engines.platform_commerce.billing_endpoint,HEALTH_OR_DIAGNOSTIC,,,
POST,/v1/billing/profiles,activate_profile,app.engines.platform_commerce.billing_endpoint,DATABASE_MUTATION,raw_sql,,
GET,/v1/billing/profiles/{tenant_id},get_profile,app.engines.platform_commerce.billing_endpoint,READ_ONLY,,,
GET,/v1/billing/profiles/{tenant_id}/history,profile_history,app.engines.platform_commerce.billing_endpoint,READ_ONLY,,,
POST,/v1/billing/profiles/{tenant_id}/change-mode,change_mode,app.engines.platform_commerce.billing_endpoint,READ_ONLY_POST,,,
POST,/v1/billing/route,route_operation,app.engines.platform_commerce.billing_endpoint,READ_ONLY_POST,,,
GET,/v1/billing/configs,get_configs,app.engines.platform_commerce.billing_endpoint,READ_ONLY,,,
PUT,/v1/billing/configs,set_config,app.engines.platform_commerce.billing_endpoint,READ_ONLY_PUT_OR_PATCH_FALSE_POSITIVE,,,
GET,/v1/billing/logs/{tenant_id},routing_logs,app.engines.platform_commerce.billing_endpoint,READ_ONLY,,,
GET,/v1/compliance/meta,engine_meta,app.engines.compliance.router,HEALTH_OR_DIAGNOSTIC,,,
POST,/v1/compliance/consent,record_consent,app.engines.compliance.router,DATABASE_MUTATION,add|flush|raw_sql,,_audit
GET,/v1/compliance/consent/users/{user_id}/check,check_consent,app.engines.compliance.router,READ_ONLY,,,
GET,/v1/compliance/consent/users/{user_id},list_consents,app.engines.compliance.router,MUTATING_GET,add|raw_sql,,_audit
POST,/v1/compliance/consent/withdraw,withdraw_consent,app.engines.compliance.router,DATABASE_MUTATION,add|flush,,_audit
POST,/v1/compliance/deletion-requests,request_deletion,app.engines.compliance.router,DATABASE_MUTATION,add|flush|raw_sql,,_audit
GET,/v1/compliance/deletion-requests/{request_id},get_deletion_request,app.engines.compliance.router,READ_ONLY,,,
GET,/v1/compliance/deletion-requests,list_deletion_requests,app.engines.compliance.router,READ_ONLY,,,
POST,/v1/compliance/deletion-requests/{request_id}/process,process_deletion,app.engines.compliance.router,DATABASE_MUTATION,add|flush|raw_sql,,_audit
GET,/v1/compliance/retention-policies,get_retention_policies,app.engines.compliance.router,READ_ONLY,,,
POST,/v1/compliance/portability-requests,request_export,app.engines.compliance.router,DATABASE_MUTATION,add|flush|raw_sql,,_audit
GET,/v1/compliance/portability-requests/{request_id},get_export_status,app.engines.compliance.router,READ_ONLY,,,
POST,/v1/compliance/portability-requests/{request_id}/process,process_export,app.engines.compliance.router,DATABASE_MUTATION,add|flush|raw_sql,,_audit
PUT,/v1/compliance/retention-policies,set_retention_policy,app.engines.compliance.router,DATABASE_MUTATION,add,,
GET,/v1/compliance/audit-log,compliance_audit,app.engines.compliance.router,READ_ONLY,,,
GET,/v1/compliance/summary,compliance_summary,app.engines.compliance.router,READ_ONLY,,,
GET,/v1/admin/compliance/summary,get_summary,app.engines.compliance.admin_router,READ_ONLY,,,
GET,/v1/admin/compliance/overview,get_overview,app.engines.compliance.admin_router,READ_ONLY,,,
POST,/v1/admin/compliance/sla/refresh,refresh_sla,app.engines.compliance.admin_router,DATABASE_MUTATION,flush,,
GET,/v1/admin/compliance/requests,list_requests,app.engines.compliance.admin_router,READ_ONLY,,,
POST,/v1/admin/compliance/requests,create_request,app.engines.compliance.admin_router,DATABASE_MUTATION,add|flush|raw_sql,,_audit
GET,/v1/admin/compliance/requests/{request_id},get_request,app.engines.compliance.admin_router,READ_ONLY,,,
POST,/v1/admin/compliance/requests/{request_id}/verify-identity,verify_identity,app.engines.compliance.admin_router,DATABASE_MUTATION,add|flush|raw_sql,,_audit
POST,/v1/admin/compliance/requests/{request_id}/scan-data,scan_data,app.engines.compliance.admin_router,DATABASE_MUTATION,add|delete|flush|raw_sql,,_audit
POST,/v1/admin/compliance/requests/{request_id}/approve,approve_request,app.engines.compliance.admin_router,DATABASE_MUTATION,add|flush|raw_sql,,_audit
POST,/v1/admin/compliance/requests/{request_id}/reject,reject_request,app.engines.compliance.admin_router,DATABASE_MUTATION,add|flush|raw_sql,,_audit
POST,/v1/admin/compliance/requests/{request_id}/apply-exemption,apply_exemption,app.engines.compliance.admin_router,DATABASE_MUTATION,add|flush|raw_sql,,_audit
POST,/v1/admin/compliance/requests/{request_id}/process,process_request,app.engines.compliance.admin_router,DATABASE_MUTATION,add|flush|raw_sql,,_audit
GET,/v1/admin/compliance/requests/{request_id}/audit,get_request_audit,app.engines.compliance.admin_router,READ_ONLY,,,
GET,/v1/admin/compliance/consents,list_consents,app.engines.compliance.admin_router,READ_ONLY,,,
POST,/v1/admin/compliance/consents/{user_id}/revoke,revoke_consent,app.engines.compliance.admin_router,DATABASE_MUTATION,add|raw_sql,,_audit
GET,/v1/admin/compliance/exports,list_exports,app.engines.compliance.admin_router,READ_ONLY,,,
