method,path,endpoint,module,auth_dependencies,tenant_evidence,mutation_evidence,verdict,reason
GET,/v1/provider/compliance/staff-requests/{request_id},get_staff_request,,require_tenant_owner|get_current_user|require_technician|get_current_user,,db.commit(,MUTATION_BUT_TENANT_SOURCE_UNPROVEN_HOLD,insufficient route-level evidence to add
GET,/v1/provider/compliance/customer-requests,list_customer_requests,,require_tenant_owner|get_current_user,,db.commit(,MUTATION_BUT_TENANT_SOURCE_UNPROVEN_HOLD,insufficient route-level evidence to add
GET,/v1/provider/compliance/customer-requests/{request_id},get_customer_request,,require_tenant_owner|get_current_user,,db.commit(,MUTATION_BUT_TENANT_SOURCE_UNPROVEN_HOLD,insufficient route-level evidence to add
POST,/v1/bookings/{booking_id}/cancel,cancel_booking,,require_tenant_mutation_booking_bookings_cancel|get_current_user|get_current_user,self.actor_tenant_id,add,CONFIRMED_TENANT_MUTATION_ADD,tenant derived from principal AND persistent mutation present
POST,/v1/bookings/{booking_id}/reschedule/request,request_reschedule,,require_tenant_mutation_booking_bookings_reschedule|get_current_user|get_current_user,self.actor_tenant_id,add|flush,CONFIRMED_TENANT_MUTATION_ADD,tenant derived from principal AND persistent mutation present
POST,/v1/rag/query,query,,get_current_user|get_current_user,u.tenant_id,add|flush,CONFIRMED_TENANT_MUTATION_ADD,tenant derived from principal AND persistent mutation present
POST,/v1/media/upload,upload_media,,get_current_user|get_current_user,actor.tenant_id,add|flush,CONFIRMED_TENANT_MUTATION_ADD,tenant derived from principal AND persistent mutation present
POST,/v1/media/{media_id}/replace,replace_media,,get_current_user|get_current_user,actor.tenant_id,add|flush,CONFIRMED_TENANT_MUTATION_ADD,tenant derived from principal AND persistent mutation present
POST,/v1/me/profile-photo,upload_my_profile_photo,,get_current_user|get_current_user,actor.tenant_id,add|flush|raw_sql,CONFIRMED_TENANT_MUTATION_ADD,tenant derived from principal AND persistent mutation present
PUT,/v1/me/profile,update_my_profile,,get_current_user|get_current_user,actor.tenant_id|user.tenant_id,Update ,CONFIRMED_TENANT_MUTATION_ADD,tenant derived from principal AND persistent mutation present
GET,/v1/commerce/tenants/{tenant_id}/deposit,get_deposit,,require_tenant_billing_read|get_current_user|get_current_user,self.actor_tenant_id,add|flush,CONFIRMED_TENANT_MUTATION_ADD,tenant derived from principal AND persistent mutation present
POST,/v1/commerce/tenants/{tenant_id}/deposit/initiate,initiate_deposit,,require_tenant_billing_manage|get_current_user|get_current_user,self.actor_tenant_id,add|flush,CONFIRMED_TENANT_MUTATION_ADD,tenant derived from principal AND persistent mutation present
GET,/v1/commerce/tenants/{tenant_id}/deposit/transactions,get_deposit_transactions,,require_tenant_billing_read|get_current_user|get_current_user,self.actor_tenant_id,add|flush,CONFIRMED_TENANT_MUTATION_ADD,tenant derived from principal AND persistent mutation present
POST,/v1/enterprise/saved-views,create_saved_view,,get_current_user,u.tenant_id,add|commit,CONFIRMED_TENANT_MUTATION_ADD,tenant derived from principal AND persistent mutation present
PUT,/v1/enterprise/saved-views/{view_id},update_saved_view,,get_current_user,u.tenant_id,Update ,CONFIRMED_TENANT_MUTATION_ADD,tenant derived from principal AND persistent mutation present
DELETE,/v1/enterprise/saved-views/{view_id},delete_saved_view,,get_current_user,u.tenant_id,delete(,CONFIRMED_TENANT_MUTATION_ADD,tenant derived from principal AND persistent mutation present
POST,/v1/enterprise/saved-views/{view_id}/set-default,set_default_view,,get_current_user,u.tenant_id,commit,CONFIRMED_TENANT_MUTATION_ADD,tenant derived from principal AND persistent mutation present
PUT,/v1/enterprise/column-preferences,save_column_preferences,,get_current_user,u.tenant_id,add|commit,CONFIRMED_TENANT_MUTATION_ADD,tenant derived from principal AND persistent mutation present
POST,/v1/enterprise/exports,create_export,,get_current_user,u.tenant_id,add|commit,CONFIRMED_TENANT_MUTATION_ADD,tenant derived from principal AND persistent mutation present
