method,path,endpoint,module,source_file,source_line,tags,deprecated,include_in_schema,dependencies,auth_dependencies,db_writes,external_effects,audit_effects,tenant_derivation
POST,/v1/auth/password/reset/confirm,confirm_password_reset,app.engines.auth.router,app\engines\auth\router.py,432,Auth & IAM,False,True,confirm_password_reset|_svc|get_db,NONE,,,,
GET,/v1/auth/sessions,list_sessions,app.engines.auth.router,app\engines\auth\router.py,447,Auth & IAM,False,True,list_sessions|get_current_user|<fastapi.security.http.HTTPBearer object at 0x0000012C233CCA70>|_svc|get_db,get_current_user,,,,
DELETE,/v1/auth/sessions/{session_id},revoke_session,app.engines.auth.router,app\engines\auth\router.py,463,Auth & IAM,False,True,revoke_session|get_current_user|<fastapi.security.http.HTTPBearer object at 0x0000012C233CCA70>|_svc|get_db,get_current_user,add,,_audit|record_platform_audit,
POST,/v1/auth/sessions/{session_id}/approve,approve_device,app.engines.auth.router,app\engines\auth\router.py,480,Auth & IAM,False,True,approve_device|require_tenant_owner|get_current_user|<fastapi.security.http.HTTPBearer object at 0x0000012C233CCA70>|_svc|get_db,require_tenant_owner|get_current_user,add,,_audit|record_platform_audit,
POST,/v1/auth/staff/invite,invite_staff,app.engines.auth.router,app\engines\auth\router.py,496,Auth & IAM,False,True,invite_staff|require_auth_staff_invite|get_current_user|<fastapi.security.http.HTTPBearer object at 0x0000012C233CCA70>|_svc|get_db,get_current_user,add|flush,,_audit|record_platform_audit,user.tenant_id
POST,/v1/auth/staff/invite/accept,accept_invite,app.engines.auth.router,app\engines\auth\router.py,522,Auth & IAM,False,True,accept_invite|_svc|get_db,NONE,add,,_audit|record_platform_audit,user.tenant_id
POST,/v1/auth/staff/{user_id}/invite/resend,resend_invite,app.engines.auth.router,app\engines\auth\router.py,537,Auth & IAM,False,True,resend_invite|require_auth_staff_invite|get_current_user|<fastapi.security.http.HTTPBearer object at 0x0000012C233CCA70>|_svc|get_db,get_current_user,add,,_audit|record_platform_audit,
PUT,/v1/auth/staff/{user_id}/permissions,update_permissions,app.engines.auth.router,app\engines\auth\router.py,553,Auth & IAM,False,True,update_permissions|require_auth_permissions_manage|get_current_user|<fastapi.security.http.HTTPBearer object at 0x0000012C233CCA70>|_svc|get_db,get_current_user,add|raw_sql|sqlalchemy.update(),,_audit|record_platform_audit,user.tenant_id
POST,/v1/auth/staff/{user_id}/deactivate,deactivate_staff,app.engines.auth.router,app\engines\auth\router.py,577,Auth & IAM,False,True,deactivate_staff|require_auth_staff_manage|get_current_user|<fastapi.security.http.HTTPBearer object at 0x0000012C233CCA70>|_svc|get_db,get_current_user,add|sqlalchemy.update(),,_audit|record_platform_audit,user.tenant_id
GET,/v1/auth/staff,list_staff,app.engines.auth.router,app\engines\auth\router.py,599,Auth & IAM,False,True,list_staff|require_staff_read|get_current_user|<fastapi.security.http.HTTPBearer object at 0x0000012C233CCA70>|_svc|get_db,get_current_user,,,,
GET,/v1/auth/staff/{user_id},get_staff,app.engines.auth.router,app\engines\auth\router.py,614,Auth & IAM,False,True,get_staff|require_staff_read|get_current_user|<fastapi.security.http.HTTPBearer object at 0x0000012C233CCA70>|_svc|get_db,get_current_user,,,,
PUT,/v1/auth/staff/{user_id}/schedule,update_staff_schedule,app.engines.auth.router,app\engines\auth\router.py,629,Auth & IAM,False,True,update_staff_schedule|require_staff_manage|get_current_user|<fastapi.security.http.HTTPBearer object at 0x0000012C233CCA70>|_svc|get_db,get_current_user,raw_sql,,,
POST,/v1/auth/impersonate,impersonate,app.engines.auth.router,app\engines\auth\router.py,646,Auth & IAM,False,True,impersonate|require_platform_impersonate|get_current_user|<fastapi.security.http.HTTPBearer object at 0x0000012C233CCA70>|_svc|get_db,get_current_user,add,,_audit|record_platform_audit,user.tenant_id
POST,/v1/auth/impersonate/{session_id}/end,end_impersonation,app.engines.auth.router,app\engines\auth\router.py,666,Auth & IAM,False,True,end_impersonation|require_super_admin|get_current_user|<fastapi.security.http.HTTPBearer object at 0x0000012C233CCA70>|_svc|get_db,require_super_admin|get_current_user,add,,_audit|record_platform_audit,
GET,/v1/auth/impersonate/active,list_impersonations,app.engines.auth.router,app\engines\auth\router.py,682,Auth & IAM,False,True,list_impersonations|require_super_admin|get_current_user|<fastapi.security.http.HTTPBearer object at 0x0000012C233CCA70>|_svc|get_db,require_super_admin|get_current_user,,,,
POST,/v1/auth/api-keys,create_api_key,app.engines.auth.router,app\engines\auth\router.py,698,Auth & IAM,False,True,create_api_key|require_auth_apikeys_manage|get_current_user|<fastapi.security.http.HTTPBearer object at 0x0000012C233CCA70>|_svc|get_db,get_current_user,add|flush,,_audit|record_platform_audit,user.tenant_id
GET,/v1/auth/api-keys,list_api_keys,app.engines.auth.router,app\engines\auth\router.py,724,Auth & IAM,False,True,list_api_keys|require_auth_apikeys_manage|get_current_user|<fastapi.security.http.HTTPBearer object at 0x0000012C233CCA70>|_svc|get_db,get_current_user,,,,user.tenant_id
DELETE,/v1/auth/api-keys/{key_id},revoke_api_key,app.engines.auth.router,app\engines\auth\router.py,741,Auth & IAM,False,True,revoke_api_key|require_auth_apikeys_manage|get_current_user|<fastapi.security.http.HTTPBearer object at 0x0000012C233CCA70>|_svc|get_db,get_current_user,add,,_audit|record_platform_audit,user.tenant_id
PATCH,/v1/auth/api-keys/{key_id},update_api_key,app.engines.auth.router,app\engines\auth\router.py,759,Auth & IAM,False,True,update_api_key|require_auth_apikeys_manage|get_current_user|<fastapi.security.http.HTTPBearer object at 0x0000012C233CCA70>|_svc|get_db,get_current_user,add|raw_sql,,_audit|record_platform_audit,user.tenant_id
GET,/v1/auth/audit-log,get_audit_log,app.engines.auth.router,app\engines\auth\router.py,781,Auth & IAM,False,True,get_audit_log|get_current_user|<fastapi.security.http.HTTPBearer object at 0x0000012C233CCA70>|_svc|get_db,get_current_user,,,,user.tenant_id
GET,/v1/auth/users,list_users,app.engines.auth.router,app\engines\auth\router.py,804,Auth & IAM,False,True,list_users|require_auth_users_read|get_current_user|<fastapi.security.http.HTTPBearer object at 0x0000012C233CCA70>|get_db,get_current_user,,,,u.tenant_id
GET,/v1/auth/users/{user_id},get_user,app.engines.auth.router,app\engines\auth\router.py,845,Auth & IAM,False,True,get_user|require_auth_users_read|get_current_user|<fastapi.security.http.HTTPBearer object at 0x0000012C233CCA70>|_svc|get_db,get_current_user,,,,user.tenant_id
GET,/v1/auth/permissions/map,get_permissions_map,app.engines.auth.router,app\engines\auth\router.py,860,Auth & IAM,False,True,get_permissions_map|get_current_user|<fastapi.security.http.HTTPBearer object at 0x0000012C233CCA70>,get_current_user,,,,
POST,/v1/auth/change-password-required,change_password_required,app.engines.auth.router,app\engines\auth\router.py,877,Auth & IAM|Auth Security|Password Management,False,True,change_password_required|get_current_user|<fastapi.security.http.HTTPBearer object at 0x0000012C233CCA70>|_svc|get_db,get_current_user,add,,_audit|record_platform_audit,user.tenant_id
GET,/v1/admin/users/{user_id}/security-status,get_user_security_status,app.engines.auth.router,app\engines\auth\router.py,908,Admin User Security,False,True,get_user_security_status|require_super_admin|get_current_user|<fastapi.security.http.HTTPBearer object at 0x0000012C233CCA70>|_svc|get_db,require_super_admin|get_current_user,,,,
POST,/v1/admin/users/{user_id}/force-password-change,admin_force_password_change,app.engines.auth.router,app\engines\auth\router.py,923,Admin User Security|Auth Security,False,True,admin_force_password_change|require_super_admin|get_current_user|<fastapi.security.http.HTTPBearer object at 0x0000012C233CCA70>|_svc|get_db,require_super_admin|get_current_user,add,,_audit|record_platform_audit,
POST,/v1/admin/users/{user_id}/send-password-reset,admin_send_password_reset,app.engines.auth.router,app\engines\auth\router.py,951,Admin User Security|Auth Security,False,True,admin_send_password_reset|require_super_admin|get_current_user|<fastapi.security.http.HTTPBearer object at 0x0000012C233CCA70>|_svc|get_db,require_super_admin|get_current_user,add,,_audit|record_platform_audit,
POST,/v1/admin/users/{user_id}/generate-temporary-password,admin_generate_temporary_password,app.engines.auth.router,app\engines\auth\router.py,979,Admin User Security|Auth Security,False,True,admin_generate_temporary_password|require_super_admin|get_current_user|<fastapi.security.http.HTTPBearer object at 0x0000012C233CCA70>|_svc|get_db,require_super_admin|get_current_user,add,,_audit|record_platform_audit,
GET,/v1/admin/users/{user_id}/security,get_full_user_security,app.engines.auth.router,app\engines\auth\router.py,1009,Admin User Security|Account Security,False,True,get_full_user_security|require_super_admin|get_current_user|<fastapi.security.http.HTTPBearer object at 0x0000012C233CCA70>|_svc|get_db,require_super_admin|get_current_user,add,,_audit|record_platform_audit,
POST,/v1/admin/users/{user_id}/lock,lock_user,app.engines.auth.router,app\engines\auth\router.py,1026,Admin User Security|Account Security,False,True,lock_user|require_super_admin|get_current_user|<fastapi.security.http.HTTPBearer object at 0x0000012C233CCA70>|_svc|get_db,require_super_admin|get_current_user,add,,_audit|record_platform_audit,
POST,/v1/admin/users/{user_id}/unlock,unlock_user,app.engines.auth.router,app\engines\auth\router.py,1047,Admin User Security|Account Security,False,True,unlock_user|require_super_admin|get_current_user|<fastapi.security.http.HTTPBearer object at 0x0000012C233CCA70>|_svc|get_db,require_super_admin|get_current_user,add,,_audit|record_platform_audit,
POST,/v1/admin/users/{user_id}/deactivate,admin_deactivate_user,app.engines.auth.router,app\engines\auth\router.py,1065,Admin User Security|Account Security,False,True,admin_deactivate_user|require_super_admin|get_current_user|<fastapi.security.http.HTTPBearer object at 0x0000012C233CCA70>|_svc|get_db,require_super_admin|get_current_user,add,,_audit|record_platform_audit,
POST,/v1/admin/users/{user_id}/reactivate,admin_reactivate_user,app.engines.auth.router,app\engines\auth\router.py,1085,Admin User Security|Account Security,False,True,admin_reactivate_user|require_super_admin|get_current_user|<fastapi.security.http.HTTPBearer object at 0x0000012C233CCA70>|_svc|get_db,require_super_admin|get_current_user,add,,_audit|record_platform_audit,
GET,/v1/admin/users/{user_id}/sessions,admin_list_user_sessions,app.engines.auth.router,app\engines\auth\router.py,1103,Admin User Security|Account Security|User Sessions,False,True,admin_list_user_sessions|require_super_admin|get_current_user|<fastapi.security.http.HTTPBearer object at 0x0000012C233CCA70>|_svc|get_db,require_super_admin|get_current_user,add,,_audit|record_platform_audit,
POST,/v1/admin/users/{user_id}/sessions/revoke-all,admin_revoke_all_user_sessions,app.engines.auth.router,app\engines\auth\router.py,1119,Admin User Security|Account Security|User Sessions,False,True,admin_revoke_all_user_sessions|require_super_admin|get_current_user|<fastapi.security.http.HTTPBearer object at 0x0000012C233CCA70>|_svc|get_db,require_super_admin|get_current_user,add,,_audit|record_platform_audit,
GET,/v1/admin/users/{user_id}/login-history,admin_get_login_history,app.engines.auth.router,app\engines\auth\router.py,1137,Admin User Security|Account Security|Login History,False,True,admin_get_login_history|require_super_admin|get_current_user|<fastapi.security.http.HTTPBearer object at 0x0000012C233CCA70>|_svc|get_db,require_super_admin|get_current_user,add,,_audit|record_platform_audit,
GET,/v1/auth/login-history,get_own_login_history,app.engines.auth.router,app\engines\auth\router.py,1164,Login History|User Sessions,False,True,get_own_login_history|get_current_user|<fastapi.security.http.HTTPBearer object at 0x0000012C233CCA70>|_svc|get_db,get_current_user,add,,_audit|record_platform_audit,
POST,/v1/auth/sessions/revoke-all-other,revoke_all_other_sessions,app.engines.auth.router,app\engines\auth\router.py,1184,Login History|User Sessions,False,True,revoke_all_other_sessions|get_current_user|<fastapi.security.http.HTTPBearer object at 0x0000012C233CCA70>|_svc|get_db,get_current_user,add,,_audit|record_platform_audit,
POST,/v1/public/register/initiate,initiate_registration,app.engines.public_registration.router,app\engines\public_registration\router.py,117,Public Registration,False,True,initiate_registration|get_redis,NONE,,send_sms,,
POST,/v1/public/register/confirm-plan,confirm_plan,app.engines.public_registration.router,app\engines\public_registration\router.py,186,Public Registration,False,True,confirm_plan|get_redis,NONE,raw_sql,,,
POST,/v1/public/register/verify,verify_otp,app.engines.public_registration.router,app\engines\public_registration\router.py,208,Public Registration,False,True,verify_otp|get_redis,NONE,,,,
POST,/v1/public/register/payment-order,create_payment_order,app.engines.public_registration.router,app\engines\public_registration\router.py,271,Public Registration,False,True,create_payment_order|get_redis,NONE,,,,
POST,/v1/public/register/complete,complete_registration,app.engines.public_registration.router,app\engines\public_registration\router.py,330,Public Registration,False,True,complete_registration|get_db|get_redis,NONE,add|commit|flush,send_email|send_sms,,
POST,/v1/public/register/webhook/razorpay,razorpay_webhook,app.engines.public_registration.router,app\engines\public_registration\router.py,510,Public Registration,False,False,razorpay_webhook,NONE,,,,
GET,/v1/admin/platform-users/summary,get_summary,app.engines.auth.platform_users_router,app\engines\auth\platform_users_router.py,66,Platform Users,False,True,get_summary|get_db|require_super_admin|get_current_user|<fastapi.security.http.HTTPBearer object at 0x0000012C233CCA70>,require_super_admin|get_current_user,,,,_svc()
GET,/v1/admin/platform-users,list_users,app.engines.auth.platform_users_router,app\engines\auth\platform_users_router.py,73,Platform Users,False,True,list_users|get_db|require_super_admin|get_current_user|<fastapi.security.http.HTTPBearer object at 0x0000012C233CCA70>,require_super_admin|get_current_user,,,,_svc()|u.tenant_id
GET,/v1/admin/platform-users/export,export_users,app.engines.auth.platform_users_router,app\engines\auth\platform_users_router.py,96,Platform Users,False,True,export_users|get_db|require_super_admin|get_current_user|<fastapi.security.http.HTTPBearer object at 0x0000012C233CCA70>,require_super_admin|get_current_user,,,,_svc()|u.tenant_id
GET,/v1/admin/platform-users/audit-logs,list_audit_logs,app.engines.auth.platform_users_router,app\engines\auth\platform_users_router.py,105,Platform Users,False,True,list_audit_logs|get_db|require_super_admin|get_current_user|<fastapi.security.http.HTTPBearer object at 0x0000012C233CCA70>,require_super_admin|get_current_user,,,,_svc()
GET,/v1/admin/platform-users/invites,list_invites,app.engines.auth.platform_users_router,app\engines\auth\platform_users_router.py,114,Platform Users,False,True,list_invites|get_db|require_super_admin|get_current_user|<fastapi.security.http.HTTPBearer object at 0x0000012C233CCA70>,require_super_admin|get_current_user,,,,_svc()
POST,/v1/admin/platform-users/invite,invite_user,app.engines.auth.platform_users_router,app\engines\auth\platform_users_router.py,121,Platform Users,False,True,invite_user|get_db|require_platform_mutate|require_super_admin|get_current_user|<fastapi.security.http.HTTPBearer object at 0x0000012C233CCA70>,require_super_admin|get_current_user,add|flush,,_audit|record_platform_audit,_svc()
POST,/v1/admin/platform-users/invites/{invite_id}/resend,resend_invite,app.engines.auth.platform_users_router,app\engines\auth\platform_users_router.py,132,Platform Users,False,True,resend_invite|get_db|require_platform_mutate|require_super_admin|get_current_user|<fastapi.security.http.HTTPBearer object at 0x0000012C233CCA70>,require_super_admin|get_current_user,add,,_audit|record_platform_audit,_svc()
POST,/v1/admin/platform-users/invites/{invite_id}/revoke,revoke_invite,app.engines.auth.platform_users_router,app\engines\auth\platform_users_router.py,141,Platform Users,False,True,revoke_invite|get_db|require_platform_mutate|require_super_admin|get_current_user|<fastapi.security.http.HTTPBearer object at 0x0000012C233CCA70>,require_super_admin|get_current_user,add,,_audit|record_platform_audit,_svc()
POST,/v1/admin/platform-users/bulk/{action},bulk_action,app.engines.auth.platform_users_router,app\engines\auth\platform_users_router.py,149,Platform Users,False,True,bulk_action|get_db|require_platform_mutate|require_super_admin|get_current_user|<fastapi.security.http.HTTPBearer object at 0x0000012C233CCA70>,require_super_admin|get_current_user,,,_audit,_svc()
GET,/v1/admin/platform-users/{user_id},get_detail,app.engines.auth.platform_users_router,app\engines\auth\platform_users_router.py,158,Platform Users,False,True,get_detail|get_db|require_super_admin|get_current_user|<fastapi.security.http.HTTPBearer object at 0x0000012C233CCA70>,require_super_admin|get_current_user,,,,_svc()|u.tenant_id
PUT,/v1/admin/platform-users/{user_id}/role,change_role,app.engines.auth.platform_users_router,app\engines\auth\platform_users_router.py,168,Platform Users,False,True,change_role|get_db|require_platform_mutate|require_super_admin|get_current_user|<fastapi.security.http.HTTPBearer object at 0x0000012C233CCA70>,require_super_admin|get_current_user,add,,_audit|record_platform_audit,_svc()
PUT,/v1/admin/platform-users/{user_id}/access-scope,change_scope,app.engines.auth.platform_users_router,app\engines\auth\platform_users_router.py,177,Platform Users,False,True,change_scope|get_db|require_platform_mutate|require_super_admin|get_current_user|<fastapi.security.http.HTTPBearer object at 0x0000012C233CCA70>,require_super_admin|get_current_user,add,,_audit|record_platform_audit,_svc()
POST,/v1/admin/platform-users/{user_id}/suspend,suspend,app.engines.auth.platform_users_router,app\engines\auth\platform_users_router.py,188,Platform Users,False,True,suspend|get_db|require_platform_mutate|require_super_admin|get_current_user|<fastapi.security.http.HTTPBearer object at 0x0000012C233CCA70>,require_super_admin|get_current_user,add,,_audit|record_platform_audit,_svc()
POST,/v1/admin/platform-users/{user_id}/unsuspend,unsuspend,app.engines.auth.platform_users_router,app\engines\auth\platform_users_router.py,197,Platform Users,False,True,unsuspend|get_db|require_platform_mutate|require_super_admin|get_current_user|<fastapi.security.http.HTTPBearer object at 0x0000012C233CCA70>,require_super_admin|get_current_user,add,,_audit|record_platform_audit,_svc()
POST,/v1/admin/platform-users/{user_id}/deactivate,deactivate,app.engines.auth.platform_users_router,app\engines\auth\platform_users_router.py,205,Platform Users,False,True,deactivate|get_db|require_platform_mutate|require_super_admin|get_current_user|<fastapi.security.http.HTTPBearer object at 0x0000012C233CCA70>,require_super_admin|get_current_user,add,,_audit|record_platform_audit,_svc()
POST,/v1/admin/platform-users/{user_id}/reactivate,reactivate,app.engines.auth.platform_users_router,app\engines\auth\platform_users_router.py,214,Platform Users,False,True,reactivate|get_db|require_platform_mutate|require_super_admin|get_current_user|<fastapi.security.http.HTTPBearer object at 0x0000012C233CCA70>,require_super_admin|get_current_user,add,,_audit|record_platform_audit,_svc()
POST,/v1/admin/platform-users/{user_id}/lock,lock,app.engines.auth.platform_users_router,app\engines\auth\platform_users_router.py,222,Platform Users,False,True,lock|get_db|require_platform_mutate|require_super_admin|get_current_user|<fastapi.security.http.HTTPBearer object at 0x0000012C233CCA70>,require_super_admin|get_current_user,add,,_audit|record_platform_audit,_svc()
POST,/v1/admin/platform-users/{user_id}/unlock,unlock,app.engines.auth.platform_users_router,app\engines\auth\platform_users_router.py,231,Platform Users,False,True,unlock|get_db|require_platform_mutate|require_super_admin|get_current_user|<fastapi.security.http.HTTPBearer object at 0x0000012C233CCA70>,require_super_admin|get_current_user,add,,_audit|record_platform_audit,_svc()
POST,/v1/admin/platform-users/{user_id}/require-mfa,require_mfa,app.engines.auth.platform_users_router,app\engines\auth\platform_users_router.py,241,Platform Users,False,True,require_mfa|get_db|require_platform_mutate|require_super_admin|get_current_user|<fastapi.security.http.HTTPBearer object at 0x0000012C233CCA70>,require_super_admin|get_current_user,add,,_audit|record_platform_audit,_svc()
POST,/v1/admin/platform-users/{user_id}/reset-mfa,reset_mfa,app.engines.auth.platform_users_router,app\engines\auth\platform_users_router.py,249,Platform Users,False,True,reset_mfa|get_db|require_platform_mutate|require_super_admin|get_current_user|<fastapi.security.http.HTTPBearer object at 0x0000012C233CCA70>,require_super_admin|get_current_user,add|sqlalchemy.delete(),,_audit|record_platform_audit,_svc()
POST,/v1/admin/platform-users/{user_id}/force-password-reset,force_password_reset,app.engines.auth.platform_users_router,app\engines\auth\platform_users_router.py,257,Platform Users,False,True,force_password_reset|get_db|require_platform_mutate|require_super_admin|get_current_user|<fastapi.security.http.HTTPBearer object at 0x0000012C233CCA70>,require_super_admin|get_current_user,add,,_audit|record_platform_audit,_svc()
POST,/v1/admin/platform-users/{user_id}/send-reset-link,send_reset_link,app.engines.auth.platform_users_router,app\engines\auth\platform_users_router.py,266,Platform Users,False,True,send_reset_link|get_db|require_platform_mutate|require_super_admin|get_current_user|<fastapi.security.http.HTTPBearer object at 0x0000012C233CCA70>,require_super_admin|get_current_user,add,,_audit|record_platform_audit,_svc()
POST,/v1/admin/platform-users/{user_id}/generate-temp-password,generate_temp_password,app.engines.auth.platform_users_router,app\engines\auth\platform_users_router.py,275,Platform Users,False,True,generate_temp_password|get_db|require_super_admin|get_current_user|<fastapi.security.http.HTTPBearer object at 0x0000012C233CCA70>,require_super_admin|get_current_user,add,,_audit|record_platform_audit,_svc()
GET,/v1/admin/platform-users/{user_id}/sessions,list_sessions,app.engines.auth.platform_users_router,app\engines\auth\platform_users_router.py,287,Platform Users,False,True,list_sessions|get_db|require_super_admin|get_current_user|<fastapi.security.http.HTTPBearer object at 0x0000012C233CCA70>,require_super_admin|get_current_user,add,,_audit|record_platform_audit,_svc()
POST,/v1/admin/platform-users/{user_id}/sessions/{session_id}/revoke,revoke_session,app.engines.auth.platform_users_router,app\engines\auth\platform_users_router.py,296,Platform Users,False,True,revoke_session|get_db|require_platform_mutate|require_super_admin|get_current_user|<fastapi.security.http.HTTPBearer object at 0x0000012C233CCA70>,require_super_admin|get_current_user,add,,_audit|record_platform_audit,_svc()
POST,/v1/admin/platform-users/{user_id}/sessions/revoke-all,revoke_all_sessions,app.engines.auth.platform_users_router,app\engines\auth\platform_users_router.py,305,Platform Users,False,True,revoke_all_sessions|get_db|require_platform_mutate|require_super_admin|get_current_user|<fastapi.security.http.HTTPBearer object at 0x0000012C233CCA70>,require_super_admin|get_current_user,add,,_audit|record_platform_audit,_svc()
GET,/v1/admin/platform-users/{user_id}/login-history,login_history,app.engines.auth.platform_users_router,app\engines\auth\platform_users_router.py,313,Platform Users,False,True,login_history|get_db|require_super_admin|get_current_user|<fastapi.security.http.HTTPBearer object at 0x0000012C233CCA70>,require_super_admin|get_current_user,add,,_audit|record_platform_audit,_svc()
GET,/v1/admin/platform-users/{user_id}/risk-signals,risk_signals,app.engines.auth.platform_users_router,app\engines\auth\platform_users_router.py,325,Platform Users,False,True,risk_signals|get_db|require_super_admin|get_current_user|<fastapi.security.http.HTTPBearer object at 0x0000012C233CCA70>,require_super_admin|get_current_user,,,,_svc()
GET,/v1/admin/platform-users/{user_id}/audit-logs,user_audit_logs,app.engines.auth.platform_users_router,app\engines\auth\platform_users_router.py,333,Platform Users,False,True,user_audit_logs|get_db|require_super_admin|get_current_user|<fastapi.security.http.HTTPBearer object at 0x0000012C233CCA70>,require_super_admin|get_current_user,,,,_svc()
GET,/v1/tenants/meta,engine_meta,app.engines.tenant_engine.router,app\engines\tenant_engine\router.py,98,Tenant Engine|Engine Registry,False,True,engine_meta,NONE,,,,
POST,/v1/tenants/onboarding/signup,submit_signup,app.engines.tenant_engine.router,app\engines\tenant_engine\router.py,118,Tenant Engine,False,True,submit_signup|_svc|get_db,NONE,add|flush,,,
