method,path,endpoint,module,behaviour,persona,auth_dependencies,db_writes,external_effects
PUT,/v1/auth/password/change,change_password,app.engines.auth.router,DATABASE_MUTATION,TENANT_PROVIDER_MUTATION,get_current_user,add,
POST,/v1/auth/password/reset/request,request_password_reset,app.engines.auth.router,DATABASE_MUTATION,PUBLIC_OR_UNAUTHENTICATED_MUTATION,NONE,add,
DELETE,/v1/auth/sessions/{session_id},revoke_session,app.engines.auth.router,DATABASE_MUTATION,MIXED_PERSONA_MUTATION,get_current_user,add,
POST,/v1/auth/sessions/{session_id}/approve,approve_device,app.engines.auth.router,DATABASE_MUTATION,TENANT_PROVIDER_MUTATION,require_tenant_owner|get_current_user,add,
POST,/v1/auth/staff/invite,invite_staff,app.engines.auth.router,DATABASE_MUTATION,TENANT_PROVIDER_MUTATION,get_current_user,add|flush,
POST,/v1/auth/staff/invite/accept,accept_invite,app.engines.auth.router,DATABASE_MUTATION,PUBLIC_OR_UNAUTHENTICATED_MUTATION,NONE,add,
POST,/v1/auth/staff/{user_id}/invite/resend,resend_invite,app.engines.auth.router,DATABASE_MUTATION,MIXED_PERSONA_MUTATION,get_current_user,add,
PUT,/v1/auth/staff/{user_id}/permissions,update_permissions,app.engines.auth.router,DATABASE_MUTATION,TENANT_PROVIDER_MUTATION,get_current_user,add|raw_sql|sqlalchemy.update(),
POST,/v1/auth/staff/{user_id}/deactivate,deactivate_staff,app.engines.auth.router,DATABASE_MUTATION,TENANT_PROVIDER_MUTATION,get_current_user,add|sqlalchemy.update(),
PUT,/v1/auth/staff/{user_id}/schedule,update_staff_schedule,app.engines.auth.router,DATABASE_MUTATION,MIXED_PERSONA_MUTATION,get_current_user,raw_sql,
POST,/v1/auth/impersonate,impersonate,app.engines.auth.router,DATABASE_MUTATION,TENANT_PROVIDER_MUTATION,get_current_user,add,
POST,/v1/auth/impersonate/{session_id}/end,end_impersonation,app.engines.auth.router,DATABASE_MUTATION,PLATFORM_ADMIN_MUTATION,require_super_admin|get_current_user,add,
POST,/v1/auth/api-keys,create_api_key,app.engines.auth.router,DATABASE_MUTATION,TENANT_PROVIDER_MUTATION,get_current_user,add|flush,
DELETE,/v1/auth/api-keys/{key_id},revoke_api_key,app.engines.auth.router,DATABASE_MUTATION,TENANT_PROVIDER_MUTATION,get_current_user,add,
PATCH,/v1/auth/api-keys/{key_id},update_api_key,app.engines.auth.router,DATABASE_MUTATION,TENANT_PROVIDER_MUTATION,get_current_user,add|raw_sql,
POST,/v1/auth/change-password-required,change_password_required,app.engines.auth.router,DATABASE_MUTATION,TENANT_PROVIDER_MUTATION,get_current_user,add,
POST,/v1/admin/users/{user_id}/force-password-change,admin_force_password_change,app.engines.auth.router,DATABASE_MUTATION,PLATFORM_ADMIN_MUTATION,require_super_admin|get_current_user,add,
POST,/v1/admin/users/{user_id}/send-password-reset,admin_send_password_reset,app.engines.auth.router,DATABASE_MUTATION,PLATFORM_ADMIN_MUTATION,require_super_admin|get_current_user,add,
POST,/v1/admin/users/{user_id}/generate-temporary-password,admin_generate_temporary_password,app.engines.auth.router,DATABASE_MUTATION,PLATFORM_ADMIN_MUTATION,require_super_admin|get_current_user,add,
GET,/v1/admin/users/{user_id}/security,get_full_user_security,app.engines.auth.router,MUTATING_GET,PLATFORM_ADMIN_MUTATION,require_super_admin|get_current_user,add,
POST,/v1/admin/users/{user_id}/lock,lock_user,app.engines.auth.router,DATABASE_MUTATION,PLATFORM_ADMIN_MUTATION,require_super_admin|get_current_user,add,
POST,/v1/admin/users/{user_id}/unlock,unlock_user,app.engines.auth.router,DATABASE_MUTATION,PLATFORM_ADMIN_MUTATION,require_super_admin|get_current_user,add,
POST,/v1/admin/users/{user_id}/deactivate,admin_deactivate_user,app.engines.auth.router,DATABASE_MUTATION,PLATFORM_ADMIN_MUTATION,require_super_admin|get_current_user,add,
POST,/v1/admin/users/{user_id}/reactivate,admin_reactivate_user,app.engines.auth.router,DATABASE_MUTATION,PLATFORM_ADMIN_MUTATION,require_super_admin|get_current_user,add,
GET,/v1/admin/users/{user_id}/sessions,admin_list_user_sessions,app.engines.auth.router,MUTATING_GET,PLATFORM_ADMIN_MUTATION,require_super_admin|get_current_user,add,
POST,/v1/admin/users/{user_id}/sessions/revoke-all,admin_revoke_all_user_sessions,app.engines.auth.router,DATABASE_MUTATION,PLATFORM_ADMIN_MUTATION,require_super_admin|get_current_user,add,
GET,/v1/admin/users/{user_id}/login-history,admin_get_login_history,app.engines.auth.router,MUTATING_GET,PLATFORM_ADMIN_MUTATION,require_super_admin|get_current_user,add,
GET,/v1/auth/login-history,get_own_login_history,app.engines.auth.router,MUTATING_GET,MIXED_PERSONA_MUTATION,get_current_user,add,
POST,/v1/auth/sessions/revoke-all-other,revoke_all_other_sessions,app.engines.auth.router,DATABASE_MUTATION,MIXED_PERSONA_MUTATION,get_current_user,add,
POST,/v1/public/register/initiate,initiate_registration,app.engines.public_registration.router,EXTERNAL_SIDE_EFFECT,PUBLIC_OR_UNAUTHENTICATED_MUTATION,NONE,,send_sms
POST,/v1/public/register/confirm-plan,confirm_plan,app.engines.public_registration.router,DATABASE_MUTATION,PUBLIC_OR_UNAUTHENTICATED_MUTATION,NONE,raw_sql,
POST,/v1/public/register/complete,complete_registration,app.engines.public_registration.router,DATABASE_AND_EXTERNAL_MUTATION,PUBLIC_OR_UNAUTHENTICATED_MUTATION,NONE,add|commit|flush,send_email|send_sms
POST,/v1/admin/platform-users/invite,invite_user,app.engines.auth.platform_users_router,DATABASE_MUTATION,PLATFORM_ADMIN_MUTATION,require_super_admin|get_current_user,add|flush,
POST,/v1/admin/platform-users/invites/{invite_id}/resend,resend_invite,app.engines.auth.platform_users_router,DATABASE_MUTATION,PLATFORM_ADMIN_MUTATION,require_super_admin|get_current_user,add,
POST,/v1/admin/platform-users/invites/{invite_id}/revoke,revoke_invite,app.engines.auth.platform_users_router,DATABASE_MUTATION,PLATFORM_ADMIN_MUTATION,require_super_admin|get_current_user,add,
POST,/v1/admin/platform-users/bulk/{action},bulk_action,app.engines.auth.platform_users_router,DATABASE_MUTATION,PLATFORM_ADMIN_MUTATION,require_super_admin|get_current_user,,
PUT,/v1/admin/platform-users/{user_id}/role,change_role,app.engines.auth.platform_users_router,DATABASE_MUTATION,PLATFORM_ADMIN_MUTATION,require_super_admin|get_current_user,add,
PUT,/v1/admin/platform-users/{user_id}/access-scope,change_scope,app.engines.auth.platform_users_router,DATABASE_MUTATION,PLATFORM_ADMIN_MUTATION,require_super_admin|get_current_user,add,
POST,/v1/admin/platform-users/{user_id}/suspend,suspend,app.engines.auth.platform_users_router,DATABASE_MUTATION,PLATFORM_ADMIN_MUTATION,require_super_admin|get_current_user,add,
POST,/v1/admin/platform-users/{user_id}/unsuspend,unsuspend,app.engines.auth.platform_users_router,DATABASE_MUTATION,PLATFORM_ADMIN_MUTATION,require_super_admin|get_current_user,add,
POST,/v1/admin/platform-users/{user_id}/deactivate,deactivate,app.engines.auth.platform_users_router,DATABASE_MUTATION,PLATFORM_ADMIN_MUTATION,require_super_admin|get_current_user,add,
POST,/v1/admin/platform-users/{user_id}/reactivate,reactivate,app.engines.auth.platform_users_router,DATABASE_MUTATION,PLATFORM_ADMIN_MUTATION,require_super_admin|get_current_user,add,
POST,/v1/admin/platform-users/{user_id}/lock,lock,app.engines.auth.platform_users_router,DATABASE_MUTATION,PLATFORM_ADMIN_MUTATION,require_super_admin|get_current_user,add,
POST,/v1/admin/platform-users/{user_id}/unlock,unlock,app.engines.auth.platform_users_router,DATABASE_MUTATION,PLATFORM_ADMIN_MUTATION,require_super_admin|get_current_user,add,
POST,/v1/admin/platform-users/{user_id}/require-mfa,require_mfa,app.engines.auth.platform_users_router,DATABASE_MUTATION,PLATFORM_ADMIN_MUTATION,require_super_admin|get_current_user,add,
POST,/v1/admin/platform-users/{user_id}/reset-mfa,reset_mfa,app.engines.auth.platform_users_router,DATABASE_MUTATION,PLATFORM_ADMIN_MUTATION,require_super_admin|get_current_user,add|sqlalchemy.delete(),
POST,/v1/admin/platform-users/{user_id}/force-password-reset,force_password_reset,app.engines.auth.platform_users_router,DATABASE_MUTATION,PLATFORM_ADMIN_MUTATION,require_super_admin|get_current_user,add,
POST,/v1/admin/platform-users/{user_id}/send-reset-link,send_reset_link,app.engines.auth.platform_users_router,DATABASE_MUTATION,PLATFORM_ADMIN_MUTATION,require_super_admin|get_current_user,add,
POST,/v1/admin/platform-users/{user_id}/generate-temp-password,generate_temp_password,app.engines.auth.platform_users_router,DATABASE_MUTATION,PLATFORM_ADMIN_MUTATION,require_super_admin|get_current_user,add,
GET,/v1/admin/platform-users/{user_id}/sessions,list_sessions,app.engines.auth.platform_users_router,MUTATING_GET,PLATFORM_ADMIN_MUTATION,require_super_admin|get_current_user,add,
POST,/v1/admin/platform-users/{user_id}/sessions/{session_id}/revoke,revoke_session,app.engines.auth.platform_users_router,DATABASE_MUTATION,PLATFORM_ADMIN_MUTATION,require_super_admin|get_current_user,add,
POST,/v1/admin/platform-users/{user_id}/sessions/revoke-all,revoke_all_sessions,app.engines.auth.platform_users_router,DATABASE_MUTATION,PLATFORM_ADMIN_MUTATION,require_super_admin|get_current_user,add,
GET,/v1/admin/platform-users/{user_id}/login-history,login_history,app.engines.auth.platform_users_router,MUTATING_GET,PLATFORM_ADMIN_MUTATION,require_super_admin|get_current_user,add,
POST,/v1/tenants/onboarding/signup,submit_signup,app.engines.tenant_engine.router,DATABASE_MUTATION,PUBLIC_OR_UNAUTHENTICATED_MUTATION,NONE,add|flush,
PUT,/v1/tenants/onboarding/{request_id}/checklist/{item_key},update_checklist,app.engines.tenant_engine.router,DATABASE_MUTATION,PLATFORM_ADMIN_MUTATION,require_super_admin|get_current_user|get_current_user,raw_sql,
POST,/v1/tenants/onboarding/{request_id}/activate,activate_tenant,app.engines.tenant_engine.router,DATABASE_MUTATION,PLATFORM_ADMIN_MUTATION,require_super_admin|get_current_user|get_current_user,add|flush,
PUT,/v1/tenants/{tenant_id},update_tenant,app.engines.tenant_engine.router,DATABASE_MUTATION,MIXED_PERSONA_MUTATION,get_current_user|get_current_user,add|raw_sql,
POST,/v1/tenants/{tenant_id}/suspend,suspend_tenant,app.engines.tenant_engine.router,DATABASE_AND_EXTERNAL_MUTATION,MIXED_PERSONA_MUTATION,get_current_user|get_current_user,add,publish
POST,/v1/tenants/{tenant_id}/reinstate,reinstate_tenant,app.engines.tenant_engine.router,DATABASE_MUTATION,MIXED_PERSONA_MUTATION,get_current_user|get_current_user,add,
POST,/v1/tenants/{tenant_id}/terminate/begin,begin_termination,app.engines.tenant_engine.router,DATABASE_MUTATION,MIXED_PERSONA_MUTATION,get_current_user|get_current_user,add,
POST,/v1/tenants/{tenant_id}/terminate/confirm,confirm_termination,app.engines.tenant_engine.router,DATABASE_MUTATION,MIXED_PERSONA_MUTATION,get_current_user|get_current_user,add,
POST,/v1/tenants/{tenant_id}/plan/upgrade,upgrade_plan,app.engines.tenant_engine.router,DATABASE_MUTATION,MIXED_PERSONA_MUTATION,get_current_user|get_current_user,add,
POST,/v1/tenants/{tenant_id}/plan/downgrade,downgrade_plan,app.engines.tenant_engine.router,DATABASE_MUTATION,MIXED_PERSONA_MUTATION,get_current_user|get_current_user,add,
POST,/v1/tenants/{tenant_id}/trial/convert,convert_trial,app.engines.tenant_engine.router,DATABASE_MUTATION,MIXED_PERSONA_MUTATION,get_current_user|get_current_user,add,
POST,/v1/tenants/{tenant_id}/engines/{engine_id}/enable,enable_engine,app.engines.tenant_engine.router,DATABASE_MUTATION,MIXED_PERSONA_MUTATION,get_current_user|get_current_user,add,
POST,/v1/tenants/{tenant_id}/engines/{engine_id}/disable,disable_engine,app.engines.tenant_engine.router,DATABASE_MUTATION,MIXED_PERSONA_MUTATION,get_current_user|get_current_user,add,
POST,/v1/tenants/{tenant_id}/engines/bulk-enable,bulk_enable,app.engines.tenant_engine.router,DATABASE_MUTATION,MIXED_PERSONA_MUTATION,get_current_user|get_current_user,add,
POST,/v1/tenants/{tenant_id}/engines/bulk-disable,bulk_disable,app.engines.tenant_engine.router,DATABASE_MUTATION,MIXED_PERSONA_MUTATION,get_current_user|get_current_user,,
PUT,/v1/tenants/{tenant_id}/engines/{engine_id}/config,update_engine_config,app.engines.tenant_engine.router,DATABASE_MUTATION,MIXED_PERSONA_MUTATION,get_current_user|get_current_user,add|raw_sql,
PUT,/v1/tenants/{tenant_id}/feature-flags/{flag_key},set_feature_flag,app.engines.tenant_engine.router,DATABASE_MUTATION,MIXED_PERSONA_MUTATION,get_current_user|get_current_user,add,
DELETE,/v1/tenants/{tenant_id}/feature-flags/{flag_key},delete_feature_flag,app.engines.tenant_engine.router,DATABASE_MUTATION,MIXED_PERSONA_MUTATION,get_current_user|get_current_user,add|delete,
PUT,/v1/tenants/{tenant_id}/billing/payment-method,update_payment_method,app.engines.tenant_engine.router,DATABASE_MUTATION,MIXED_PERSONA_MUTATION,get_current_user|get_current_user,add|raw_sql,
POST,/v1/tenants/{tenant_id}/data/export,request_data_export,app.engines.tenant_engine.router,DATABASE_MUTATION,MIXED_PERSONA_MUTATION,get_current_user|get_current_user,add,
POST,/v1/tenants/{tenant_id}/data/delete-request,gdpr_deletion,app.engines.tenant_engine.router,DATABASE_MUTATION,MIXED_PERSONA_MUTATION,get_current_user|get_current_user,add,
POST,/v1/customers/me/addresses,create_my_address,app.engines.serviceability.router,DATABASE_MUTATION,CUSTOMER_SELF_SERVICE_MUTATION,get_current_user|get_current_user,add|commit,
PUT,/v1/customers/me/addresses/{address_id},update_my_address,app.engines.serviceability.router,DATABASE_MUTATION,CUSTOMER_SELF_SERVICE_MUTATION,get_current_user|get_current_user,commit|raw_sql,
DELETE,/v1/customers/me/addresses/{address_id},delete_my_address,app.engines.serviceability.router,DATABASE_MUTATION,CUSTOMER_SELF_SERVICE_MUTATION,get_current_user|get_current_user,commit,
POST,/v1/customers/me/addresses/{address_id}/set-default,set_default_address,app.engines.serviceability.router,DATABASE_MUTATION,CUSTOMER_SELF_SERVICE_MUTATION,get_current_user|get_current_user,commit,
POST,/v1/tenant/service-areas,create_tenant_service_area,app.engines.serviceability.router,DATABASE_MUTATION,TENANT_PROVIDER_MUTATION,get_current_user|get_current_user,add|commit|flush,
PUT,/v1/tenant/service-areas/{area_id},update_tenant_service_area,app.engines.serviceability.router,DATABASE_MUTATION,MIXED_PERSONA_MUTATION,get_current_user|get_current_user,commit|flush|raw_sql,
DELETE,/v1/tenant/service-areas/{area_id},delete_tenant_service_area,app.engines.serviceability.router,DATABASE_MUTATION,MIXED_PERSONA_MUTATION,get_current_user|get_current_user,commit|flush,
POST,/v1/tenant/service-areas/{area_id}/set-primary,set_primary_tenant_service_area,app.engines.serviceability.router,DATABASE_MUTATION,MIXED_PERSONA_MUTATION,get_current_user|get_current_user,commit,
POST,/v1/tenant/service-areas/{area_id}/services,add_service_mapping,app.engines.serviceability.router,DATABASE_MUTATION,MIXED_PERSONA_MUTATION,get_current_user|get_current_user,add|commit,
PUT,/v1/tenant/service-areas/{area_id}/services/{mapping_id},update_service_mapping,app.engines.serviceability.router,DATABASE_MUTATION,MIXED_PERSONA_MUTATION,get_current_user|get_current_user,commit|raw_sql,
DELETE,/v1/tenant/service-areas/{area_id}/services/{mapping_id},delete_service_mapping,app.engines.serviceability.router,DATABASE_MUTATION,MIXED_PERSONA_MUTATION,get_current_user|get_current_user,commit,
POST,/v1/admin/tenants/{tenant_id}/service-areas,admin_create_service_area,app.engines.serviceability.router,DATABASE_MUTATION,PLATFORM_ADMIN_MUTATION,get_current_user|get_current_user,add|commit|flush,
PUT,/v1/admin/tenants/{tenant_id}/service-areas/{area_id},admin_update_service_area,app.engines.serviceability.router,DATABASE_MUTATION,PLATFORM_ADMIN_MUTATION,get_current_user|get_current_user,commit|flush|raw_sql,
DELETE,/v1/admin/tenants/{tenant_id}/service-areas/{area_id},admin_delete_service_area,app.engines.serviceability.router,DATABASE_MUTATION,PLATFORM_ADMIN_MUTATION,get_current_user|get_current_user,commit|flush,
POST,/v1/serviceability/check,check_serviceability,app.engines.serviceability.router,DATABASE_MUTATION,MIXED_PERSONA_MUTATION,get_current_user|get_current_user,add|commit,
POST,/v1/marketing/accounts,connect_account,app.engines.marketing.router,DATABASE_MUTATION,PLATFORM_ADMIN_MUTATION,require_super_admin|get_current_user|get_current_user,add|flush,
POST,/v1/marketing/accounts/{account_id}/refresh-token,refresh_token,app.engines.marketing.router,DATABASE_MUTATION,PLATFORM_ADMIN_MUTATION,require_super_admin|get_current_user|get_current_user,raw_sql,
POST,/v1/marketing/templates,create_template,app.engines.marketing.router,DATABASE_MUTATION,PLATFORM_ADMIN_MUTATION,require_super_admin|get_current_user|get_current_user,add|flush,
POST,/v1/marketing/images/generate,generate_image,app.engines.marketing.router,DATABASE_MUTATION,PLATFORM_ADMIN_MUTATION,require_super_admin|get_current_user|get_current_user,add|flush,
POST,/v1/marketing/posts,schedule_post,app.engines.marketing.router,DATABASE_MUTATION,PLATFORM_ADMIN_MUTATION,require_super_admin|get_current_user|get_current_user,add|flush,
POST,/v1/marketing/posts/{post_id}/publish,publish_post,app.engines.marketing.router,DATABASE_MUTATION,PLATFORM_ADMIN_MUTATION,require_super_admin|get_current_user|get_current_user,add|flush,
POST,/v1/marketing/tenant-onboarded,tenant_onboarded,app.engines.marketing.router,DATABASE_MUTATION,PLATFORM_ADMIN_MUTATION,require_super_admin|get_current_user|get_current_user,add|flush,
POST,/v1/billing/profiles,activate_profile,app.engines.platform_commerce.billing_endpoint,DATABASE_MUTATION,PLATFORM_ADMIN_MUTATION,require_super_admin|get_current_user|get_current_user,raw_sql,
POST,/v1/compliance/consent,record_consent,app.engines.compliance.router,DATABASE_MUTATION,MIXED_PERSONA_MUTATION,get_current_user|get_current_user,add|flush|raw_sql,
GET,/v1/compliance/consent/users/{user_id},list_consents,app.engines.compliance.router,MUTATING_GET,MIXED_PERSONA_MUTATION,get_current_user|get_current_user,add|raw_sql,
POST,/v1/compliance/consent/withdraw,withdraw_consent,app.engines.compliance.router,DATABASE_MUTATION,MIXED_PERSONA_MUTATION,get_current_user|get_current_user,add|flush,
POST,/v1/compliance/deletion-requests,request_deletion,app.engines.compliance.router,DATABASE_MUTATION,MIXED_PERSONA_MUTATION,get_current_user|get_current_user,add|flush|raw_sql,
POST,/v1/compliance/deletion-requests/{request_id}/process,process_deletion,app.engines.compliance.router,DATABASE_MUTATION,PLATFORM_ADMIN_MUTATION,require_super_admin|get_current_user|get_current_user,add|flush|raw_sql,
POST,/v1/compliance/portability-requests,request_export,app.engines.compliance.router,DATABASE_MUTATION,MIXED_PERSONA_MUTATION,get_current_user|get_current_user,add|flush|raw_sql,
POST,/v1/compliance/portability-requests/{request_id}/process,process_export,app.engines.compliance.router,DATABASE_MUTATION,PLATFORM_ADMIN_MUTATION,require_super_admin|get_current_user|get_current_user,add|flush|raw_sql,
PUT,/v1/compliance/retention-policies,set_retention_policy,app.engines.compliance.router,DATABASE_MUTATION,PLATFORM_ADMIN_MUTATION,require_super_admin|get_current_user|get_current_user,add,
POST,/v1/admin/compliance/sla/refresh,refresh_sla,app.engines.compliance.admin_router,DATABASE_MUTATION,PLATFORM_ADMIN_MUTATION,require_super_admin|get_current_user|require_super_admin|get_current_user,flush,
POST,/v1/admin/compliance/requests,create_request,app.engines.compliance.admin_router,DATABASE_MUTATION,PLATFORM_ADMIN_MUTATION,require_super_admin|get_current_user|require_super_admin|get_current_user,add|flush|raw_sql,
POST,/v1/admin/compliance/requests/{request_id}/verify-identity,verify_identity,app.engines.compliance.admin_router,DATABASE_MUTATION,PLATFORM_ADMIN_MUTATION,require_super_admin|get_current_user|require_super_admin|get_current_user,add|flush|raw_sql,
POST,/v1/admin/compliance/requests/{request_id}/scan-data,scan_data,app.engines.compliance.admin_router,DATABASE_MUTATION,PLATFORM_ADMIN_MUTATION,require_super_admin|get_current_user|require_super_admin|get_current_user,add|delete|flush|raw_sql,
POST,/v1/admin/compliance/requests/{request_id}/approve,approve_request,app.engines.compliance.admin_router,DATABASE_MUTATION,PLATFORM_ADMIN_MUTATION,require_super_admin|get_current_user|require_super_admin|get_current_user,add|flush|raw_sql,
POST,/v1/admin/compliance/requests/{request_id}/reject,reject_request,app.engines.compliance.admin_router,DATABASE_MUTATION,PLATFORM_ADMIN_MUTATION,require_super_admin|get_current_user|require_super_admin|get_current_user,add|flush|raw_sql,
POST,/v1/admin/compliance/requests/{request_id}/apply-exemption,apply_exemption,app.engines.compliance.admin_router,DATABASE_MUTATION,PLATFORM_ADMIN_MUTATION,require_super_admin|get_current_user|require_super_admin|get_current_user,add|flush|raw_sql,
POST,/v1/admin/compliance/requests/{request_id}/process,process_request,app.engines.compliance.admin_router,DATABASE_MUTATION,PLATFORM_ADMIN_MUTATION,require_super_admin|get_current_user|require_super_admin|get_current_user,add|flush|raw_sql,
POST,/v1/admin/compliance/consents/{user_id}/revoke,revoke_consent,app.engines.compliance.admin_router,DATABASE_MUTATION,PLATFORM_ADMIN_MUTATION,require_super_admin|get_current_user|require_super_admin|get_current_user,add|raw_sql,
POST,/v1/admin/compliance/exports/{export_id}/expire,expire_export,app.engines.compliance.admin_router,DATABASE_MUTATION,PLATFORM_ADMIN_MUTATION,require_super_admin|get_current_user|require_super_admin|get_current_user,add|flush|raw_sql,
POST,/v1/admin/compliance/retention-policies,create_retention,app.engines.compliance.admin_router,DATABASE_MUTATION,PLATFORM_ADMIN_MUTATION,require_super_admin|get_current_user|require_super_admin|get_current_user,add|raw_sql,
PUT,/v1/admin/compliance/retention-policies/{table_name},update_retention,app.engines.compliance.admin_router,DATABASE_MUTATION,PLATFORM_ADMIN_MUTATION,require_super_admin|get_current_user|require_super_admin|get_current_user,add|raw_sql,
POST,/v1/admin/compliance/requests/{request_id}/assign,assign_request,app.engines.compliance.admin_router,DATABASE_MUTATION,PLATFORM_ADMIN_MUTATION,require_super_admin|get_current_user|require_super_admin|get_current_user,add|flush|raw_sql,
POST,/v1/admin/compliance/requests/{request_id}/escalate,escalate_request,app.engines.compliance.admin_router,DATABASE_MUTATION,PLATFORM_ADMIN_MUTATION,require_super_admin|get_current_user|require_super_admin|get_current_user,add|raw_sql,
GET,/v1/admin/compliance/requests/{request_id}/data-map,get_data_map,app.engines.compliance.admin_router,MUTATING_GET,PLATFORM_ADMIN_MUTATION,require_super_admin|get_current_user|require_super_admin|get_current_user,add|delete|flush,
POST,/v1/admin/compliance/requests/{request_id}/refresh-data-map,refresh_data_map,app.engines.compliance.admin_router,DATABASE_MUTATION,PLATFORM_ADMIN_MUTATION,require_super_admin|get_current_user|require_super_admin|get_current_user,add|delete|flush|raw_sql,
POST,/v1/admin/compliance/dpdp/legal-holds,apply_legal_hold,app.engines.compliance.admin_router,DATABASE_MUTATION,PLATFORM_ADMIN_MUTATION,require_super_admin|get_current_user|require_super_admin|get_current_user,add|raw_sql,
POST,/v1/admin/compliance/dpdp/legal-holds/{hold_id}/release,release_legal_hold,app.engines.compliance.admin_router,DATABASE_MUTATION,PLATFORM_ADMIN_MUTATION,require_super_admin|get_current_user|require_super_admin|get_current_user,add|raw_sql,
POST,/v1/admin/compliance/requests/{request_id}/generate-evidence-pack,generate_evidence_pack,app.engines.compliance.admin_router,DATABASE_MUTATION,PLATFORM_ADMIN_MUTATION,require_super_admin|get_current_user|require_super_admin|get_current_user,add|raw_sql,
GET,/v1/me/compliance/requests,list_my_requests,app.engines.compliance.customer_router,MUTATING_GET,CUSTOMER_SELF_SERVICE_MUTATION,require_customer|get_current_user,add|commit,
POST,/v1/me/compliance/requests,create_my_request,app.engines.compliance.customer_router,DATABASE_MUTATION,CUSTOMER_SELF_SERVICE_MUTATION,require_customer|get_current_user|require_customer|get_current_user,add|commit|flush|raw_sql,
GET,/v1/me/compliance/requests/{request_id},get_my_request,app.engines.compliance.customer_router,MUTATING_GET,CUSTOMER_SELF_SERVICE_MUTATION,require_customer|get_current_user|require_customer|get_current_user,add|commit,
POST,/v1/me/compliance/requests/{request_id}/cancel,cancel_my_request,app.engines.compliance.customer_router,DATABASE_MUTATION,CUSTOMER_SELF_SERVICE_MUTATION,require_customer|get_current_user,add|commit,
POST,/v1/me/compliance/requests/{request_id}/add-note,add_my_note,app.engines.compliance.customer_router,DATABASE_MUTATION,CUSTOMER_SELF_SERVICE_MUTATION,require_customer|get_current_user,add|commit,
POST,/v1/me/compliance/consents/{consent_type}/withdraw,withdraw_my_consent,app.engines.compliance.customer_router,DATABASE_MUTATION,CUSTOMER_SELF_SERVICE_MUTATION,require_customer|get_current_user|require_customer|get_current_user,add|commit|raw_sql,
GET,/v1/me/compliance/exports/{export_id}/download,download_my_export,app.engines.compliance.customer_router,MUTATING_GET,CUSTOMER_SELF_SERVICE_MUTATION,require_customer|get_current_user,add|commit,
POST,/v1/provider/compliance/requests,create_my_request,app.engines.compliance.provider_router,DATABASE_MUTATION,TENANT_PROVIDER_MUTATION,require_tenant_owner_mutation|require_tenant_owner|get_current_user|require_technician|get_current_user,add|commit|flush|raw_sql,
GET,/v1/provider/compliance/requests/{request_id},get_my_request,app.engines.compliance.provider_router,MUTATING_GET,TENANT_PROVIDER_MUTATION,require_technician|get_current_user|require_technician|get_current_user,add|commit|raw_sql,
POST,/v1/provider/compliance/requests/{request_id}/cancel,cancel_my_request,app.engines.compliance.provider_router,DATABASE_MUTATION,TENANT_PROVIDER_MUTATION,require_tenant_owner_mutation|require_tenant_owner|get_current_user,add|commit|raw_sql,
