method,path,route_name,module,capability,current_dependency,runtime_guard_status,intended_persona,tenant_access_scope,assignment_behavior,job_ownership,lifecycle_effect,checklist_gate_effect,financial_effect,final_classification,verification_status
POST,/v1/jobs/{job_id}/assessment/start,start_assessment,app.engines.field_ops.router,start assessment,require_staff_or_technician_only (fixed 2F-14A),STAFF_EXECUTION_ROLE_SCOPE_AWARE,staff/technician,n/a,assigned_staff_id==actor_id,_get_job_for_staff_action,ARRIVED->ASSESSMENT_STARTED,none,none,SAME_JOB_SAME_CAPABILITY,SLICE_2F14A_VERIFIED
POST,/v1/jobs/{job_id}/assign,assign_job,app.engines.field_ops.router,assign staff to job,require_tenant_mutation_permission,TENANT_MUTATION_PERMISSION_SCOPE_AWARE,tenant_owner,scope-aware,n/a,_get_job_for_assignment,unassigned->ASSIGNED,none,none,SAME_JOB_SAME_CAPABILITY,SLICE_2F14_VERIFIED
PUT,/v1/jobs/{job_id}/checklist,update_checklist (legacy),app.engines.field_ops.router,legacy whole-checklist write,require_staff_or_technician_only,STAFF_EXECUTION_ROLE_SCOPE_AWARE,staff/technician,n/a,assigned_staff_id==actor_id,_assert_assigned,writes inert Job.checklist JSONB only,does not affect authoritative gate,none,LEGACY,SLICE_2F14_VERIFIED
POST,/v1/jobs/{job_id}/checklist/complete,complete_checklist,app.engines.field_ops.router,finalize checklist,require_staff_or_technician_only,STAFF_EXECUTION_ROLE_SCOPE_AWARE,staff/technician,n/a,assigned_staff_id==actor_id,_get_job_for_staff_action,CHECKLIST_STARTED->CHECKLIST_COMPLETE,requires all required items complete,none,SAME_JOB_SAME_CAPABILITY,SLICE_2F14_VERIFIED
PUT,/v1/jobs/{job_id}/checklist/items/{item_id},update_checklist_item,app.engines.field_ops.router,mutate checklist item,require_staff_or_technician_only,STAFF_EXECUTION_ROLE_SCOPE_AWARE,staff/technician,n/a,assigned_staff_id==actor_id,_get_job_for_staff_action + item.job_id==job.id,none,requires CHECKLIST_STARTED (fixed 2F-14),none,SAME_JOB_SAME_CAPABILITY,SLICE_2F14_VERIFIED
POST,/v1/jobs/{job_id}/checklist/start,start_checklist,app.engines.field_ops.router,start checklist,require_staff_or_technician_only,STAFF_EXECUTION_ROLE_SCOPE_AWARE,staff/technician,n/a,assigned_staff_id==actor_id,_get_job_for_staff_action,ARRIVED->CHECKLIST_STARTED,provisions JobChecklistItem (idempotent),none,SAME_JOB_SAME_CAPABILITY,SLICE_2F14_VERIFIED
POST,/v1/jobs/{job_id}/close,close_job,app.engines.field_ops.router,financial closure,require_tenant_mutation_permission (fixed 2F-14A),TENANT_MUTATION_PERMISSION_SCOPE_AWARE,tenant_owner/staff/technician (own job),scope-aware (fixed),assigned_staff_id (staff/technician) or own-tenant,_get_job_for_billing,PAID->CLOSED,requires commission_deducted,closes financial record,SAME_JOB_FINANCIAL_CAPABILITY,SLICE_2F14A_VERIFIED
POST,/v1/jobs/{job_id}/convert-to-repair,convert_to_repair,app.engines.field_ops.router,consultation->repair conversion,require_permission(FIELD_OPS_JOBS_ASSIGN),PERMISSION_ONLY_NOT_SCOPE_AWARE,tenant_owner,not scope-aware (open),n/a,_get_job_for_assignment,QUOTE_APPROVED->CONVERTED_TO_REPAIR,none,none,SAME_JOB_DISTINCT_CAPABILITY,SLICE_2F14A_CLASSIFIED_NOT_FIXED
POST,/v1/jobs/{job_id}/deduct-commission,deduct_commission,app.engines.field_ops.router,commission deduction,require_tenant_mutation_permission (fixed 2F-14A),TENANT_MUTATION_PERMISSION_SCOPE_AWARE,tenant_owner/staff/technician (own job),scope-aware (fixed),assigned_staff_id or own-tenant,_get_job_for_billing,none,requires invoice_id,deducts commission (idempotent),SAME_JOB_FINANCIAL_CAPABILITY,SLICE_2F14A_VERIFIED
POST,/v1/jobs/{job_id}/financial-close,financial_close,app.engines.field_ops.router,atomic invoice->payment->commission->close,require_tenant_mutation_permission (fixed 2F-14A),TENANT_MUTATION_PERMISSION_SCOPE_AWARE,tenant_owner/staff/technician (own job),scope-aware (fixed),assigned_staff_id or own-tenant,_get_job_for_billing (via sub-calls),PAID->CLOSED,requires commission_deducted,invoice+payment+commission+close,SAME_JOB_FINANCIAL_CAPABILITY,SLICE_2F14A_VERIFIED
POST,/v1/jobs/{job_id}/findings,submit_findings,app.engines.field_ops.router,submit assessment findings,require_staff_or_technician_only,STAFF_EXECUTION_ROLE_SCOPE_AWARE,staff/technician,n/a,assigned_staff_id==actor_id,_assert_assigned,ASSESSMENT_STARTED->ASSESSMENT_COMPLETE,none,none,SAME_JOB_SAME_CAPABILITY,SLICE_2F14_VERIFIED
POST,/v1/jobs/{job_id}/generate-invoice,generate_invoice,app.engines.field_ops.router,invoice generation,require_tenant_mutation_permission (fixed 2F-14A),TENANT_MUTATION_PERMISSION_SCOPE_AWARE,tenant_owner/staff/technician (own job),scope-aware (fixed),assigned_staff_id or own-tenant,_get_job_for_billing,requires SIGNED_OFF/COMPLETED,n/a,generates invoice,SAME_JOB_FINANCIAL_CAPABILITY,SLICE_2F14A_VERIFIED
POST,/v1/jobs/{job_id}/media,add_media,app.engines.field_ops.router,attach media,get_current_user (route-level unchanged),AUTHENTICATED_ONLY_NO_PERMISSION_CHECK (tool),customer denied; staff/technician/tenant_owner allowed,service-level (fixed 2F-14A),assigned_staff_id or own-tenant (service-level),_assert_can_access_job (fixed 2F-14A),none,none,creates media reference,SAME_JOB_MEDIA_CAPABILITY,SLICE_2F14A_SERVICE_LEVEL_FIX_TOOL_INVISIBLE
POST,/v1/jobs/{job_id}/notes,add_note,app.engines.field_ops.router,add note,get_current_user (route-level unchanged),AUTHENTICATED_ONLY_NO_PERMISSION_CHECK (tool),customer denied; staff/technician/tenant_owner allowed,service-level (fixed 2F-14A),assigned_staff_id or own-tenant (service-level),_assert_can_access_job (fixed 2F-14A),none,none,none,SAME_JOB_NOTE_CAPABILITY,SLICE_2F14A_SERVICE_LEVEL_FIX_TOOL_INVISIBLE
POST,/v1/jobs/{job_id}/quote,create_quote,app.engines.field_ops.router,legacy quote creation,get_current_user,AUTHENTICATED_ONLY_NO_PERMISSION_CHECK,staff/tenant,none,n/a,job lookup only (no ownership),none,none,creates quote,SAME_JOB_DISTINCT_CAPABILITY,SLICE_2F14A_CLASSIFIED_NOT_FIXED
POST,/v1/jobs/{job_id}/quotes,create_job_quote,app.engines.field_ops.router,line-item quote creation,get_current_user,AUTHENTICATED_ONLY_NO_PERMISSION_CHECK,staff/tenant,none at route,_get_job_for_quote_management (service-level),requires ASSESSMENT_COMPLETE,none,creates quote,SAME_JOB_DISTINCT_CAPABILITY,SLICE_2F14A_CLASSIFIED_NOT_FIXED
POST,/v1/jobs/{job_id}/quotes/{quote_id}/approve,approve_job_quote,app.engines.field_ops.router,customer approves quote,get_current_user + inline role==customer check,ROLE_CHECK_INLINE_NOT_TOOL_VISIBLE,customer,n/a,quote.customer_id==actor,_get_quote_for_customer (service-level),quote status->approved,none,none,SAME_JOB_DISTINCT_CAPABILITY,SLICE_2F14A_CLASSIFIED_NOT_FIXED
POST,/v1/jobs/{job_id}/quotes/{quote_id}/reject,reject_job_quote,app.engines.field_ops.router,customer rejects quote,get_current_user + inline role==customer check,ROLE_CHECK_INLINE_NOT_TOOL_VISIBLE,customer,n/a,quote.customer_id==actor,_get_quote_for_customer (service-level),quote status->rejected,none,none,SAME_JOB_DISTINCT_CAPABILITY,SLICE_2F14A_CLASSIFIED_NOT_FIXED
POST,/v1/jobs/{job_id}/quotes/{quote_id}/send,send_job_quote,app.engines.field_ops.router,send quote to customer,get_current_user,AUTHENTICATED_ONLY_NO_PERMISSION_CHECK,staff/tenant,none at route,_get_job_for_quote_management (service-level),quote status->sent,none,none,SAME_JOB_DISTINCT_CAPABILITY,SLICE_2F14A_CLASSIFIED_NOT_FIXED
POST,/v1/jobs/{job_id}/record-payment,record_payment,app.engines.field_ops.router,payment recording,require_tenant_mutation_permission (fixed 2F-14A),TENANT_MUTATION_PERMISSION_SCOPE_AWARE,tenant_owner/staff/technician (own job),scope-aware (fixed),assigned_staff_id or own-tenant,_get_job_for_billing,requires invoice_id,n/a,records payment (idempotent guard on payment_id),SAME_JOB_FINANCIAL_CAPABILITY,SLICE_2F14A_VERIFIED
POST,/v1/jobs/{job_id}/reject-assignment,reject_assignment,app.engines.field_ops.router,reject assigned job,require_staff_or_technician_only,STAFF_EXECUTION_ROLE_SCOPE_AWARE,staff/technician,n/a,assigned_staff_id==actor_id,_get_job_for_staff_action,ASSIGNED->REJECTED,none,none,SAME_JOB_SAME_CAPABILITY,SLICE_2F14_VERIFIED
POST,/v1/jobs/{job_id}/spawn-repair,spawn_repair,app.engines.field_ops.router,manual repair spawn,require_permission(TENANT_UPDATE),PERMISSION_ONLY_NOT_SCOPE_AWARE,tenant_owner,not scope-aware (open),n/a,job lookup only (no ownership check),creates new Job from consultation,none,none,SAME_JOB_DISTINCT_CAPABILITY,SLICE_2F14A_CLASSIFIED_NOT_FIXED
PUT,/v1/jobs/{job_id}/status,update_status,app.engines.field_ops.router,status transition,require_tenant_mutation_permission,TENANT_MUTATION_PERMISSION_SCOPE_AWARE,tenant_owner,scope-aware,n/a,_assert_can_access_job,lifecycle guard chain,CHECKLIST_COMPLETE required for WORK_COMPLETE when checklist_required,none,SAME_JOB_SAME_CAPABILITY,SLICE_2F14_VERIFIED
POST,/v1/jobs/{job_id}/void,void_job,app.engines.field_ops.router,void job,require_tenant_mutation_permission (fixed 2F-14A),TENANT_MUTATION_PERMISSION_SCOPE_AWARE,tenant_owner,scope-aware (fixed),n/a,_get_job_for_assignment (fixed 2F-14A -- was UNCHECKED cross-tenant IDOR),non-terminal/non-locked->VOIDED,none,none,SAME_JOB_COMPLETION_ALTERNATE,SLICE_2F14A_VERIFIED
