method,path,m_side_effect,t_side_effect,agree_side_effect,m_capability_family,t_capability_family,agree_capability_family,m_capability_action,t_capability_action,agree_capability_action,m_persona,t_persona,agree_persona,m_tenant_direction,t_tenant_direction,agree_tenant_direction,m_abstention_reason,t_abstention_reason,agree_abstention_reason
POST,/v1/ds/tenants/{tenant_id}/pricing/apply,DATABASE_MUTATION,DATABASE_MUTATION,True,analytics,analytics,True,create,create,True,TENANT_PROVIDER_MUTATION,TENANT_PROVIDER_MUTATION,True,CLIENT_ASSERTED_TARGET_TENANT,CLIENT_ASSERTED_TARGET_TENANT,True,,,True
POST,/v1/payments/tenants/{tenant_id}/payout,DATABASE_MUTATION,DATABASE_MUTATION,True,billing,billing,True,create,create,True,TENANT_PROVIDER_MUTATION,TENANT_PROVIDER_MUTATION,True,CLIENT_ASSERTED_TARGET_TENANT,CLIENT_ASSERTED_TARGET_TENANT,True,,,True
PUT,/v1/notifications/tenants/{tenant_id}/channels/{channel},DATABASE_MUTATION,DATABASE_MUTATION,True,notification,notification,True,update,update,True,TENANT_PROVIDER_MUTATION,TENANT_PROVIDER_MUTATION,True,CLIENT_ASSERTED_TARGET_TENANT,CLIENT_ASSERTED_TARGET_TENANT,True,,,True
DELETE,/v1/me/profile-photo,DATABASE_MUTATION,DATABASE_MUTATION,True,media,identity_access,False,delete,delete,True,REQUIRES_MANUAL_ADJUDICATION,REQUIRES_MANUAL_ADJUDICATION,True,REQUIRES_MANUAL_TENANT_ADJUDICATION,REQUIRES_MANUAL_TENANT_ADJUDICATION,True,OWNERSHIP_CHECK_IN_SERVICE_NOT_TRACEABLE,OWNERSHIP_CHECK_IN_SERVICE_NOT_TRACEABLE,True
POST,/v1/appointments/hold,DATABASE_MUTATION,DATABASE_MUTATION,True,booking,booking,True,create,create,True,TENANT_PROVIDER_MUTATION,TENANT_PROVIDER_MUTATION,True,CLIENT_ASSERTED_TARGET_TENANT,CLIENT_ASSERTED_TARGET_TENANT,True,,,True
POST,/v1/auth/logout,DATABASE_MUTATION,DATABASE_MUTATION,True,identity_access,identity_access,True,create,create,True,SELF_SERVICE_MUTATION,SELF_SERVICE_MUTATION,True,NO_TENANT_AUTHORITY_REQUIRED,NO_TENANT_AUTHORITY_REQUIRED,True,,,True
POST,/v1/bookings,DATABASE_MUTATION,DATABASE_MUTATION,True,booking,booking,True,create,create,True,TENANT_PROVIDER_MUTATION,TENANT_PROVIDER_MUTATION,True,PRINCIPAL_TENANT,PRINCIPAL_TENANT,True,,,True
POST,/v1/compliance/consent/withdraw,DATABASE_MUTATION,DATABASE_MUTATION,True,compliance,compliance,True,create,create,True,TENANT_PROVIDER_MUTATION,TENANT_PROVIDER_MUTATION,True,CLIENT_ASSERTED_TARGET_TENANT,CLIENT_ASSERTED_TARGET_TENANT,True,,,True
POST,/v1/dispatch/jobs/{job_id}/reassign,DATABASE_MUTATION,DATABASE_MUTATION,True,job_execution,job_execution,True,execute,execute,True,REQUIRES_MANUAL_ADJUDICATION,REQUIRES_MANUAL_ADJUDICATION,True,REQUIRES_MANUAL_TENANT_ADJUDICATION,REQUIRES_MANUAL_TENANT_ADJUDICATION,True,OWNERSHIP_CHECK_IN_SERVICE_NOT_TRACEABLE,OWNERSHIP_CHECK_IN_SERVICE_NOT_TRACEABLE,True
POST,/v1/enterprise/exports/{export_id}/cancel,DATABASE_MUTATION,DATABASE_MUTATION,True,analytics,analytics,True,cancel,cancel,True,SELF_SERVICE_MUTATION,SELF_SERVICE_MUTATION,True,NO_TENANT_AUTHORITY_REQUIRED,NO_TENANT_AUTHORITY_REQUIRED,True,,,True
POST,/v1/jobs/{job_id}/financial-close,DATABASE_MUTATION,DATABASE_MUTATION,True,job_execution,job_execution,True,create,create,True,TENANT_PROVIDER_MUTATION,TENANT_PROVIDER_MUTATION,True,PRINCIPAL_TENANT,PRINCIPAL_TENANT,True,,,True
POST,/v1/payments/orders,DATABASE_MUTATION,DATABASE_MUTATION,True,billing,billing,True,create,create,True,TENANT_PROVIDER_MUTATION,TENANT_PROVIDER_MUTATION,True,CLIENT_ASSERTED_TARGET_TENANT,CLIENT_ASSERTED_TARGET_TENANT,True,,,True
POST,/v1/security/api-keys,DATABASE_MUTATION,DATABASE_MUTATION,True,security_audit,security_audit,True,create,create,True,TENANT_PROVIDER_MUTATION,TENANT_PROVIDER_MUTATION,True,CLIENT_ASSERTED_TARGET_TENANT,CLIENT_ASSERTED_TARGET_TENANT,True,,,True
POST,/v1/security/sessions/{session_id}/revoke,DATABASE_MUTATION,DATABASE_MUTATION,True,security_audit,security_audit,True,revoke,revoke,True,REQUIRES_MANUAL_ADJUDICATION,REQUIRES_MANUAL_ADJUDICATION,True,REQUIRES_MANUAL_TENANT_ADJUDICATION,REQUIRES_MANUAL_TENANT_ADJUDICATION,True,OWNERSHIP_CHECK_IN_SERVICE_NOT_TRACEABLE,OWNERSHIP_CHECK_IN_SERVICE_NOT_TRACEABLE,True
