method,path,manual_persona,tool_persona,agree_persona,manual_tenant,tool_tenant,agree_tenant,roles
POST,/v1/geo/tenants/{tenant_id}/staff/{staff_id}/location,TENANT_PROVIDER_MUTATION,REQUIRES_MANUAL_ADJUDICATION,MANUAL_ONLY,CLIENT_ASSERTED_TENANT,CLIENT_ASSERTED_TENANT,AGREE,admin_finance|admin_operations|admin_readonly|admin_security|customer|staff|super_admin|technician|tenant_owner
POST,/v1/pricing/tenants/{tenant_id}/rules,TENANT_PROVIDER_MUTATION,TENANT_PROVIDER_MUTATION,AGREE,CLIENT_ASSERTED_TENANT,CLIENT_ASSERTED_TENANT,AGREE,super_admin|tenant_owner
DELETE,/v1/appointments/calendar/blocks/{block_id},TENANT_PROVIDER_MUTATION,TENANT_PROVIDER_MUTATION,AGREE,NO_TENANT_SCOPE,UNKNOWN_TENANT_ROLE,DISAGREE,super_admin|tenant_owner
POST,/v1/appointments/staff/{staff_id}/calendar/block,TENANT_PROVIDER_MUTATION,TENANT_PROVIDER_MUTATION,AGREE,CLIENT_ASSERTED_TENANT,CLIENT_ASSERTED_TENANT,AGREE,super_admin|tenant_owner
POST,/v1/auth/mfa/setup,SELF_SERVICE_MUTATION,REQUIRES_MANUAL_ADJUDICATION,MANUAL_ONLY,NO_TENANT_SCOPE,UNKNOWN_TENANT_ROLE,DISAGREE,admin_finance|admin_operations|admin_readonly|admin_security|customer|staff|super_admin|technician|tenant_owner
POST,/v1/compliance/consent,TENANT_PROVIDER_MUTATION,REQUIRES_MANUAL_ADJUDICATION,MANUAL_ONLY,CLIENT_ASSERTED_TENANT,UNKNOWN_TENANT_ROLE,DISAGREE,admin_finance|admin_operations|admin_readonly|admin_security|customer|staff|super_admin|technician|tenant_owner
POST,/v1/documents,TENANT_PROVIDER_MUTATION,TENANT_PROVIDER_MUTATION,AGREE,CLIENT_ASSERTED_TENANT,UNKNOWN_TENANT_ROLE,DISAGREE,super_admin|tenant_owner
POST,/v1/inventory/reservations/confirm,TENANT_PROVIDER_MUTATION,TENANT_PROVIDER_MUTATION,AGREE,CLIENT_ASSERTED_TENANT,UNKNOWN_TENANT_ROLE,DISAGREE,super_admin|tenant_owner
POST,/v1/pricing/compute,TENANT_PROVIDER_MUTATION,REQUIRES_MANUAL_ADJUDICATION,MANUAL_ONLY,CLIENT_ASSERTED_TENANT,UNKNOWN_TENANT_ROLE,DISAGREE,admin_finance|admin_operations|admin_readonly|admin_security|customer|staff|super_admin|technician|tenant_owner
POST,/v1/security/audit-log,TENANT_PROVIDER_MUTATION,REQUIRES_MANUAL_ADJUDICATION,MANUAL_ONLY,CLIENT_ASSERTED_TENANT,UNKNOWN_TENANT_ROLE,DISAGREE,admin_finance|admin_operations|admin_readonly|admin_security|customer|staff|super_admin|technician|tenant_owner
GET,/v1/auth/login-history,SELF_SERVICE_READ,REQUIRES_MANUAL_ADJUDICATION,MANUAL_ONLY,NO_TENANT_SCOPE,UNKNOWN_TENANT_ROLE,DISAGREE,admin_finance|admin_operations|admin_readonly|admin_security|customer|staff|super_admin|technician|tenant_owner
GET,/v1/enterprise/exports/{export_id}/download,SELF_SERVICE_READ,REQUIRES_MANUAL_ADJUDICATION,MANUAL_ONLY,NO_TENANT_SCOPE,UNKNOWN_TENANT_ROLE,DISAGREE,admin_finance|admin_operations|admin_readonly|admin_security|customer|staff|super_admin|technician|tenant_owner
